date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
01-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,31250,31425,31250,31309.35,31285,31303,31309.35,2403375,753282.67,1433225,19800,25,34684
01-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,31350,31479.95,31317.35,31361.3,31339.75,31340.4,31361.3,38450,12073.16,57100,2100,25,34684
01-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,31372.1,31515.65,31372.1,31402.85,31397.15,31529.25,31402.85,3775,1187.17,1925,1925,25,34684
04-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,31450.25,31599,30930.8,31326.55,31371.6,31309.35,31326.55,5362875,1678831.03,1467975,34750,25,34684
04-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,31523.45,31625,30999.65,31378.85,31418.2,31361.3,31378.85,112950,35428.05,58950,1850,25,34684
04-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,31560,31668,31052.5,31445.1,31475,31402.85,31445.1,11700,3677.24,4850,2925,25,34684
05-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,31130,31844,31011.1,31798.75,31792.95,31326.55,31798.75,5376275,1691251.67,1799325,331350,25,34684
05-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,31142.9,31896.85,31073.25,31853.55,31862.45,31378.85,31853.55,163950,51659.97,86800,27850,25,34684
05-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,31280,31958.05,31101.75,31903.85,31900,31445.1,31903.85,19500,6163.89,6525,1675,25,34684
06-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,31875,32089.7,31662.5,31903.1,31835.2,31798.75,31903.1,5024050,1602467.61,1732375,-66950,25,34684
06-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,31909.55,32132.85,31728.4,31937.9,31904.25,31853.55,31937.9,129525,41406.94,91225,4425,25,34684
06-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,31891.9,32180,31784.8,32000.35,31938.25,31903.85,32000.35,24025,7689.39,9800,3275,25,34684
07-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,32106.05,32294.95,32034.05,32078.75,32089,31903.1,32078.75,4051275,1302483.8,1726675,-5700,25,34684
07-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,32185,32340,32095.05,32137.2,32145,31937.9,32137.2,95575,30780.02,92325,1100,25,34684
07-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,32195.25,32380,32139.6,32198.4,32188,32000.35,32198.4,16425,5296.56,10375,575,25,34684
08-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,32305.1,32337.95,32080.2,32172.7,32163.95,32078.75,32172.7,3417400,1100762.65,1681150,-45525,25,34684
08-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,32325,32367,32146.75,32229.4,32240.5,32137.2,32229.4,108925,35153.96,101725,9400,25,34684
08-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,32402.95,32416.8,32200,32285.85,32285,32198.4,32285.85,14525,4694.03,11525,1150,25,34684
11-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,32480,32480,31888,32096.25,32114.95,32172.7,32096.25,4089650,1311747.86,1566175,-114975,25,34684
11-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,32403.35,32403.35,31950.5,32160.5,32160.05,32229.4,32160.5,82250,26437.44,114475,12750,25,34684
11-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,32265.55,32347.65,32012,32211.05,32233.15,32285.85,32211.05,19675,6330.79,9800,-1725,25,34684
12-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,31849.95,32508.9,31810,32455.05,32460,32096.25,32455.05,4322275,1392643.2,1570800,4625,25,34684
12-Jan-2021,25-Feb-2021,FUTIDX,BANKNIFTY,31978,32563.85,31878.45,32524.8,32522,32160.5,32524.8,131225,42427.35,112125,-2350,25,34684
12-Jan-2021,25-Mar-2021,FUTIDX,BANKNIFTY,32018.1,32602,31924.05,32550.55,32565,32211.05,32550.55,18750,6066.47,10050,250,25,34684
13-Jan-2021,28-Jan-2021,FUTIDX,BANKNIFTY,32603,32758.15,32251.85,32685.15,32649.15,32455.05,32685.15,5772400,1879844.16,1377625,-193175,25,34684
