date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
01-Jan-2021,28-Jan-2021,FUTIDX,NIFTY,14002.1,14073.95,13997.05,14053.85,14050.5,14009.65,14053.85,4562250,640917.26,12168975,368325,75,14018.5
01-Jan-2021,25-Feb-2021,FUTIDX,NIFTY,14043,14103,14036.2,14086.5,14085,14040.2,14086.5,190275,26787.73,953775,27300,75,14018.5
01-Jan-2021,25-Mar-2021,FUTIDX,NIFTY,14069,14127.8,14069,14111.65,14110.05,14100.35,14111.65,57225,8070.16,32100,32100,75,14018.5
04-Jan-2021,28-Jan-2021,FUTIDX,NIFTY,14100,14179.45,13970.05,14165.3,14173.35,14053.85,14165.3,10099575,1424378.51,12682725,513750,75,14132.9
04-Jan-2021,25-Feb-2021,FUTIDX,NIFTY,14156.55,14210.65,14004.9,14197.95,14208.65,14086.5,14197.95,304575,43071.81,982950,29175,75,14132.9
04-Jan-2021,25-Mar-2021,FUTIDX,NIFTY,14191,14229,14039.4,14217.15,14229,14111.65,14217.15,61950,8775.68,50400,18300,75,14132.9
05-Jan-2021,28-Jan-2021,FUTIDX,NIFTY,14110.2,14227.75,14077,14217.95,14216.05,14165.3,14217.95,9784350,1384755.2,13181400,498675,75,
05-Jan-2021,25-Feb-2021,FUTIDX,NIFTY,14146.05,14261.6,14111.35,14251.9,14250.1,14197.95,14251.9,313425,44487.6,1010250,27300,75,
05-Jan-2021,25-Mar-2021,FUTIDX,NIFTY,14137.6,14276.6,14135.55,14268.4,14268.8,14217.15,14268.4,61200,8695.45,63075,12675,75,
06-Jan-2021,28-Jan-2021,FUTIDX,NIFTY,14249.95,14252.55,14078.1,14189.45,14174.45,14217.95,14189.45,11787075,1672475.68,12368925,-812475,75,
06-Jan-2021,25-Feb-2021,FUTIDX,NIFTY,14290.55,14290.6,14115,14223.35,14208,14251.9,14223.35,314025,44671.08,995100,-15150,75,
06-Jan-2021,25-Mar-2021,FUTIDX,NIFTY,14268.8,14303,14138.2,14241.2,14226.35,14268.4,14241.2,59550,8482.16,67875,4800,75,
