date,index,open,high,low,close,traded_quantity,turnover_crores
01-JAN-2026,NIFTY BANK,59674.8,59743.2,59569.65,59711.55,110131396,3648.95
02-JAN-2026,NIFTY BANK,59757.4,60203.75,59738.25,60150.95,250440812,6633.49
05-JAN-2026,NIFTY BANK,60360.4,60437.35,59859.8,60044.2,318529309,8697.22
06-JAN-2026,NIFTY BANK,59957.8,60305,59844.8,60118.4,295387172,11182.59
07-JAN-2026,NIFTY BANK,60039.7,60065.4,59760.65,59990.85,376309588,11478.35
08-JAN-2026,NIFTY BANK,59893.15,60112.85,59564.8,59686.5,312854042,8251.14
09-JAN-2026,NIFTY BANK,59558.15,59739.65,59154.2,59251.55,272495773,9269.24
12-JAN-2026,NIFTY BANK,59217.25,59541.1,58864.2,59450.5,262444337,7760.26
13-JAN-2026,NIFTY BANK,59767.55,59767.55,59312.05,59578.8,224165921,9646.09
14-JAN-2026,NIFTY BANK,59330.35,59796.65,59324.2,59580.15,341456051,12174.25
16-JAN-2026,NIFTY BANK,59590.35,60235.15,59510.5,60095.15,478076895,14036.92
19-JAN-2026,NIFTY BANK,60093.3,60107.5,59594.6,59891.35,492939689,13834.09
20-JAN-2026,NIFTY BANK,59851.4,59993.5,59283.95,59404.2,396050764,11324.6
21-JAN-2026,NIFTY BANK,59142,59447.35,58278.6,58800.3,331731071,10751.29
22-JAN-2026,NIFTY BANK,59194.25,59573.1,58823.05,59200.1,300681497,11221.61
23-JAN-2026,NIFTY BANK,59305.15,59400.15,58346.25,58473.1,323378832,10384.09
27-JAN-2026,NIFTY BANK,58366.05,59436.8,58121.6,59205.45,388807148,16894.89
28-JAN-2026,NIFTY BANK,59575.65,59699.9,59240.1,59598.8,289254779,11447.46
29-JAN-2026,NIFTY BANK,59416.25,60060.7,59339,59957.85,617356910,16628.34
30-JAN-2026,NIFTY BANK,59542.25,59906.9,59501.8,59610.45,317798499,12587.49
01-FEB-2026,NIFTY BANK,59607.65,59865.7,57783.2,58417.2,204312522,5673.45
02-FEB-2026,NIFTY BANK,58239.3,58687.05,57829.85,58619,282473569,9987.01
03-FEB-2026,NIFTY BANK,61411.2,61764.85,59793.2,60041.3,368345752,16163.36
04-FEB-2026,NIFTY BANK,60163.35,60389.4,59891.75,60238.15,255627301,8092.67
05-FEB-2026,NIFTY BANK,60315.35,60328.3,59881.05,60063.65,231379745,7983.28
