date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HDFCBANK,EQ,1276.10,1280.00,1270.60,1278.60,1272.10,1836849,23450.01,46625,
2020-01-02,HDFCBANK,EQ,1279.00,1288.00,1279.00,1286.75,1278.60,3068583,39417.92,104570,
2020-01-03,HDFCBANK,EQ,1282.20,1285.00,1263.60,1268.40,1286.75,5427775,68958.86,157066,
2020-01-06,HDFCBANK,EQ,1260.00,1261.80,1236.00,1240.95,1268.40,5445093,67913.48,155007,
2020-01-07,HDFCBANK,EQ,1258.90,1271.45,1252.25,1260.60,1240.95,7362247,92873.02,189026,
2020-01-08,HDFCBANK,EQ,1246.95,1262.15,1240.05,1257.30,1260.60,5666055,71036.12,141795,
2020-01-09,HDFCBANK,EQ,1265.00,1275.80,1263.10,1271.40,1257.30,4773158,60679.65,125829,
2020-01-10,HDFCBANK,EQ,1284.10,1286.90,1275.10,1282.70,1271.40,4607290,59070.37,123583,
2020-01-13,HDFCBANK,EQ,1282.70,1296.50,1276.00,1286.00,1282.70,3725784,48037.56,107121,
2020-01-14,HDFCBANK,EQ,1289.00,1292.55,1277.50,1289.50,1286.00,3943145,50662.04,91722,
2020-01-15,HDFCBANK,EQ,1286.40,1287.95,1274.10,1284.25,1289.50,5893724,75476.49,105548,
2020-01-16,HDFCBANK,EQ,1282.05,1291.00,1279.35,1287.65,1284.25,3575200,45952.67,93131,
2020-01-17,HDFCBANK,EQ,1281.75,1284.90,1271.90,1278.15,1287.65,8459407,108059.02,136379,
2020-01-20,HDFCBANK,EQ,1304.85,1304.85,1252.50,1254.90,1278.15,11089225,140278.28,245672,
2020-01-21,HDFCBANK,EQ,1250.00,1250.00,1238.40,1244.35,1254.90,7492402,93216.21,216589,
2020-01-22,HDFCBANK,EQ,1248.05,1255.00,1234.40,1240.85,1244.35,9184155,114192.77,146555,
2020-01-23,HDFCBANK,EQ,1240.00,1246.85,1231.00,1244.85,1240.85,5754460,71409.06,176401,
2020-01-24,HDFCBANK,EQ,1246.00,1254.00,1239.10,1244.55,1244.85,5915878,73787.71,138884,
2020-01-27,HDFCBANK,EQ,1235.00,1235.00,1211.75,1213.20,1244.55,9444276,115311.93,268331,
2020-01-28,HDFCBANK,EQ,1218.80,1227.80,1213.25,1223.20,1213.20,6706079,81905.99,219199,
2020-01-29,HDFCBANK,EQ,1225.30,1242.00,1222.25,1235.85,1223.20,6894175,85143.72,155174,
2020-01-30,HDFCBANK,EQ,1238.95,1238.95,1217.20,1226.05,1235.85,6055992,74170.91,195593,
2020-01-31,HDFCBANK,EQ,1231.45,1237.80,1220.25,1226.30,1226.05,5589134,68760.01,169641,
2020-02-03,HDFCBANK,EQ,1197.00,1197.95,1177.70,1192.80,1198.70,6538505,77720.96,251382,
2020-02-04,HDFCBANK,EQ,1198.00,1234.00,1198.00,1229.80,1192.80,10448852,127685.29,173447,
2020-02-05,HDFCBANK,EQ,1234.90,1248.00,1227.30,1244.65,1229.80,9010341,111495.65,150882,
2020-02-06,HDFCBANK,EQ,1244.65,1248.70,1237.20,1239.80,1244.65,5913775,73449.82,126190,
2020-02-07,HDFCBANK,EQ,1246.00,1247.00,1231.60,1242.20,1239.80,3407724,42194.87,81299,
2020-02-10,HDFCBANK,EQ,1242.95,1242.95,1226.05,1240.30,1242.20,4609917,56963.88,105140,
2020-02-11,HDFCBANK,EQ,1243.30,1255.00,1238.05,1240.60,1240.30,5806760,72398.73,98063,
2020-02-12,HDFCBANK,EQ,1245.20,1252.90,1244.05,1249.00,1240.60,3148965,39343.83,87413,
2020-02-13,HDFCBANK,EQ,1259.90,1259.90,1233.60,1241.40,1249.00,4556070,56584.32,97099,
2020-02-14,HDFCBANK,EQ,1243.20,1248.40,1215.00,1219.35,1241.40,7344429,90173.59,167779,
2020-02-17,HDFCBANK,EQ,1225.00,1233.00,1214.45,1217.15,1219.35,5076345,62005.35,157333,
2020-02-18,HDFCBANK,EQ,1216.90,1218.50,1203.50,1213.25,1217.15,5264558,63678.73,119172,
2020-02-19,HDFCBANK,EQ,1222.50,1230.00,1213.90,1227.20,1213.25,5006134,61159.09,101692,
2020-02-20,HDFCBANK,EQ,1230.00,1230.00,1214.10,1217.10,1227.20,5561707,67929.70,146273,
2020-02-24,HDFCBANK,EQ,1208.95,1214.75,1200.00,1209.95,1217.10,8284042,99877.54,199969,
2020-02-25,HDFCBANK,EQ,1204.00,1209.00,1198.00,1200.30,1209.95,6943340,83394.58,193249,
2020-02-26,HDFCBANK,EQ,1197.50,1204.70,1185.65,1199.25,1200.30,6907393,82549.56,191519,
2020-02-27,HDFCBANK,EQ,1195.00,1202.50,1181.00,1199.45,1199.25,10327549,123026.66,241038,
2020-02-28,HDFCBANK,EQ,1175.50,1185.00,1170.10,1177.65,1199.45,12156528,142991.67,276737,
2020-03-02,HDFCBANK,EQ,1200.20,1201.15,1166.15,1179.60,1177.65,7332449,86860.77,197905,
2020-03-03,HDFCBANK,EQ,1175.00,1185.35,1168.00,1181.80,1179.60,11184775,131771.82,233028,
2020-03-04,HDFCBANK,EQ,1178.35,1180.00,1133.10,1148.85,1181.80,17144435,197628.47,503032,
2020-03-05,HDFCBANK,EQ,1153.00,1165.00,1142.75,1151.35,1148.85,9774854,112974.50,262470,
2020-03-06,HDFCBANK,EQ,1125.00,1140.90,1101.00,1134.90,1151.35,11526783,129599.99,272373,
2020-03-09,HDFCBANK,EQ,1110.00,1118.40,1065.00,1107.30,1134.90,17210297,188418.72,427518,
2020-03-11,HDFCBANK,EQ,1105.00,1120.00,1092.00,1113.80,1107.30,17769198,196486.40,344285,
2020-03-12,HDFCBANK,EQ,1075.00,1080.00,1003.45,1021.30,1113.80,29500406,305700.04,503472,
2020-03-13,HDFCBANK,EQ,980.05,1081.45,919.20,1069.80,1021.30,33171603,337786.14,541649,
2020-03-16,HDFCBANK,EQ,1035.00,1037.00,995.00,999.50,1069.80,15993174,162024.85,430742,
2020-03-17,HDFCBANK,EQ,1008.00,1010.00,954.70,975.10,999.50,21338641,209678.41,447922,
2020-03-18,HDFCBANK,EQ,985.00,993.00,865.00,876.90,975.10,30593809,280314.32,652391,
2020-03-19,HDFCBANK,EQ,847.00,919.95,795.00,895.55,876.90,33610239,288050.79,632617,
2020-03-20,HDFCBANK,EQ,875.00,914.60,824.55,882.85,895.55,44319015,384710.82,790631,
2020-03-23,HDFCBANK,EQ,794.60,838.75,765.00,771.55,882.85,25142273,197241.38,590210,
2020-03-24,HDFCBANK,EQ,795.25,810.00,738.75,767.70,771.55,30528676,236847.12,634897,
2020-03-25,HDFCBANK,EQ,770.45,867.45,755.25,856.75,767.70,23614449,189840.55,608039,
2020-03-26,HDFCBANK,EQ,870.10,937.70,841.00,901.10,856.75,28521681,256301.40,627160,
2020-03-27,HDFCBANK,EQ,944.95,988.65,872.10,904.45,901.10,27619436,254966.67,651440,
2020-03-30,HDFCBANK,EQ,880.00,887.00,828.00,831.65,904.45,19634313,168556.55,491743,
2020-03-31,HDFCBANK,EQ,853.80,873.60,838.00,861.90,831.65,17605997,150484.45,411360,
2020-04-01,HDFCBANK,EQ,863.85,863.85,820.00,829.65,861.90,14551758,121069.33,354947,
2020-04-03,HDFCBANK,EQ,843.00,844.00,810.00,813.85,829.65,17499063,144413.18,392455,
2020-04-07,HDFCBANK,EQ,874.00,907.30,845.35,896.10,813.85,30206626,263273.15,475198,
2020-04-08,HDFCBANK,EQ,879.95,945.00,866.10,888.90,896.10,28109877,253576.09,503019,
2020-04-09,HDFCBANK,EQ,913.00,930.90,890.00,925.05,888.90,22229012,203034.63,417910,
2020-04-13,HDFCBANK,EQ,934.00,946.70,886.20,895.35,925.05,17079259,155048.28,389148,
2020-04-15,HDFCBANK,EQ,930.50,930.50,843.00,863.30,895.35,28989523,256679.31,517354,
2020-04-16,HDFCBANK,EQ,865.00,890.70,856.25,879.75,863.30,26927231,234470.30,467724,
2020-04-17,HDFCBANK,EQ,915.00,920.00,887.25,910.30,879.75,27941831,253330.29,453652,
2020-04-20,HDFCBANK,EQ,951.00,960.95,935.00,944.85,910.30,33116614,313184.96,555965,
2020-04-21,HDFCBANK,EQ,925.00,934.00,908.00,921.65,944.85,16589148,152991.96,291815,
2020-04-22,HDFCBANK,EQ,919.15,933.00,907.30,928.60,921.65,19144678,176176.71,258479,
2020-04-23,HDFCBANK,EQ,935.00,958.50,912.55,954.95,928.60,20450895,192199.11,424855,
2020-04-24,HDFCBANK,EQ,933.00,958.40,926.00,938.05,954.95,16642831,156112.68,293787,
2020-04-27,HDFCBANK,EQ,945.15,957.40,926.30,929.70,938.05,13710727,129056.70,266336,
2020-04-28,HDFCBANK,EQ,943.80,943.80,922.00,931.40,929.70,14720773,136976.06,239400,
2020-04-29,HDFCBANK,EQ,935.00,992.70,934.10,977.10,931.40,27939019,269354.18,450180,
2020-04-30,HDFCBANK,EQ,1001.40,1019.00,992.10,1001.80,977.10,21897643,220301.30,451072,
2020-05-04,HDFCBANK,EQ,957.50,960.00,917.50,923.00,1001.80,13361177,124581.67,383166,
2020-05-05,HDFCBANK,EQ,938.00,944.00,908.05,911.45,923.00,14837190,137695.84,298424,
2020-05-06,HDFCBANK,EQ,919.00,950.00,905.65,946.40,911.45,16893140,158185.02,310813,
2020-05-07,HDFCBANK,EQ,940.50,943.30,921.35,925.00,946.40,10916003,101553.10,226640,
2020-05-08,HDFCBANK,EQ,942.00,943.95,925.20,929.05,925.00,10403747,97010.69,176643,
2020-05-11,HDFCBANK,EQ,937.00,954.00,914.00,915.80,929.05,14275392,133377.59,316129,
2020-05-12,HDFCBANK,EQ,901.00,909.40,871.10,901.55,915.80,24784324,220165.71,516512,
2020-05-13,HDFCBANK,EQ,951.00,960.00,922.10,927.65,901.55,22173554,208090.10,396148,
2020-05-14,HDFCBANK,EQ,898.00,911.00,890.00,893.70,927.65,19777445,177955.29,364023,
2020-05-15,HDFCBANK,EQ,890.50,892.40,875.00,888.15,893.70,12174870,107747.97,280499,
2020-05-18,HDFCBANK,EQ,888.00,888.00,831.30,836.65,888.15,23326656,197769.54,533951,
2020-05-19,HDFCBANK,EQ,860.85,867.30,826.10,830.65,836.65,23730561,200837.66,415550,
2020-05-20,HDFCBANK,EQ,836.45,864.00,832.20,857.10,830.65,20007413,168947.39,359835,
2020-05-21,HDFCBANK,EQ,861.45,884.00,852.30,859.55,857.10,24239683,211040.75,416994,
2020-05-22,HDFCBANK,EQ,850.00,870.30,833.05,838.85,859.55,21025849,177568.09,382888,
2020-05-26,HDFCBANK,EQ,857.00,871.75,848.75,852.40,838.85,19002589,163540.24,303415,
2020-05-27,HDFCBANK,EQ,859.90,909.80,857.15,903.65,852.40,28013227,247035.84,388895,
2020-05-28,HDFCBANK,EQ,920.00,950.00,913.95,945.25,903.65,37744926,354184.48,631552,
2020-05-29,HDFCBANK,EQ,944.00,955.00,923.45,951.65,945.25,26512600,248539.73,352639,
2020-06-01,HDFCBANK,EQ,975.00,995.00,966.10,987.65,951.65,19595373,193505.41,294542,
2020-06-02,HDFCBANK,EQ,986.70,1005.00,975.20,1001.00,987.65,20811909,206714.41,312508,
2020-06-03,HDFCBANK,EQ,1020.00,1046.25,1015.45,1022.25,1001.00,25273067,260303.20,336920,
2020-06-04,HDFCBANK,EQ,1028.05,1038.95,991.10,1001.70,1022.25,27139478,275646.75,406454,
2020-06-05,HDFCBANK,EQ,1003.10,1042.40,1002.80,1033.35,1001.70,17598103,179876.26,281754,
2020-06-08,HDFCBANK,EQ,1060.00,1066.65,1006.40,1015.90,1033.35,24906362,256954.65,388541,
2020-06-09,HDFCBANK,EQ,1020.00,1026.75,979.55,987.30,1015.90,30922894,310620.63,417245,
2020-06-10,HDFCBANK,EQ,990.00,999.85,978.20,991.85,987.30,18248880,180661.01,263364,
2020-06-11,HDFCBANK,EQ,985.00,988.40,965.00,968.60,991.85,15449142,150804.85,290542,
2020-06-12,HDFCBANK,EQ,928.00,986.65,928.00,982.75,968.60,21322880,204619.54,329375,
2020-06-15,HDFCBANK,EQ,968.00,974.00,943.00,949.85,982.75,16004973,152788.32,261144,
2020-06-16,HDFCBANK,EQ,975.00,993.95,952.00,990.40,949.85,22700113,222133.52,318791,
2020-06-17,HDFCBANK,EQ,989.00,998.90,973.25,979.25,990.40,18479504,182136.64,263560,
2020-06-18,HDFCBANK,EQ,980.00,1024.90,972.00,1019.95,979.25,20435469,204080.20,283491,
2020-06-19,HDFCBANK,EQ,1017.95,1043.00,1012.15,1033.35,1019.95,23939324,246370.00,330341,
2020-06-22,HDFCBANK,EQ,1039.45,1045.95,1023.80,1028.75,1033.35,14847321,154148.41,295528,
2020-06-23,HDFCBANK,EQ,1039.00,1045.00,1016.55,1042.30,1028.75,14415640,148658.98,231379,
2020-06-24,HDFCBANK,EQ,1048.50,1057.50,1030.05,1032.50,1042.30,19714664,205797.39,356432,
2020-06-25,HDFCBANK,EQ,1021.90,1049.00,1007.00,1028.75,1032.50,35323457,362615.16,361881,
2020-06-26,HDFCBANK,EQ,1041.00,1063.00,1028.00,1056.45,1028.75,19986677,208223.82,346461,
2020-06-29,HDFCBANK,EQ,1037.00,1082.60,1037.00,1076.05,1056.45,23003725,243467.72,361163,
2020-06-30,HDFCBANK,EQ,1074.00,1078.55,1056.30,1065.85,1076.05,17873316,190902.57,282325,
