date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HINDUNILVR,EQ,1930.00,1939.90,1918.00,1936.55,1923.00,543035,10493.23,26908,
2020-01-02,HINDUNILVR,EQ,1940.00,1952.60,1930.00,1938.05,1936.55,663275,12863.86,65620,
2020-01-03,HINDUNILVR,EQ,1937.90,1940.00,1918.75,1927.45,1938.05,1598825,30801.89,85043,
2020-01-06,HINDUNILVR,EQ,1927.35,1929.40,1911.25,1915.45,1927.45,683129,13097.52,50595,
2020-01-07,HINDUNILVR,EQ,1919.25,1931.00,1918.00,1920.70,1915.45,808935,15560.70,49424,
2020-01-08,HINDUNILVR,EQ,1910.00,1936.05,1906.45,1929.35,1920.70,1889685,36276.47,75078,
2020-01-09,HINDUNILVR,EQ,1941.55,1947.30,1931.00,1935.05,1929.35,1544334,29934.61,110313,
2020-01-10,HINDUNILVR,EQ,1940.90,1957.50,1931.65,1954.00,1935.05,1003336,19533.25,75262,
2020-01-13,HINDUNILVR,EQ,1961.00,1997.85,1957.00,1994.85,1954.00,2040089,40425.88,98419,
2020-01-14,HINDUNILVR,EQ,1995.50,2014.95,1982.40,2008.80,1994.85,1610737,32259.84,94942,
2020-01-15,HINDUNILVR,EQ,2011.15,2027.00,1997.35,2021.65,2008.80,1559491,31343.82,62989,
2020-01-16,HINDUNILVR,EQ,2022.00,2054.70,2016.10,2049.25,2021.65,2468958,50430.42,117361,
2020-01-17,HINDUNILVR,EQ,2055.00,2063.90,2040.05,2060.30,2049.25,994719,20455.01,61520,
2020-01-20,HINDUNILVR,EQ,2060.50,2075.90,2050.00,2062.85,2060.30,829399,17097.23,48931,
2020-01-21,HINDUNILVR,EQ,2059.75,2075.00,2052.15,2055.40,2062.85,750000,15442.28,54424,
2020-01-22,HINDUNILVR,EQ,2063.00,2063.50,2027.20,2051.70,2055.40,983169,20108.91,70960,
2020-01-23,HINDUNILVR,EQ,2051.75,2060.85,2035.00,2056.90,2051.70,708017,14493.16,42076,
2020-01-24,HINDUNILVR,EQ,2057.00,2079.00,2050.05,2073.70,2056.90,914993,18959.96,50498,
2020-01-27,HINDUNILVR,EQ,2066.00,2068.75,2056.75,2061.35,2073.70,429312,8853.70,31957,
2020-01-28,HINDUNILVR,EQ,2062.00,2065.00,2042.70,2060.60,2061.35,777052,15984.86,82900,
2020-01-29,HINDUNILVR,EQ,2062.05,2085.80,2062.05,2074.20,2060.60,873433,18132.06,73343,
2020-01-30,HINDUNILVR,EQ,2074.90,2078.00,2049.45,2058.10,2074.20,952768,19648.13,67960,
2020-01-31,HINDUNILVR,EQ,2064.00,2068.25,2020.05,2034.25,2058.10,1930834,39383.48,79082,
2020-02-03,HINDUNILVR,EQ,2074.90,2195.55,2074.90,2178.95,2074.90,4012542,86751.23,180842,
2020-02-04,HINDUNILVR,EQ,2177.00,2204.20,2140.00,2155.60,2178.95,1932121,41883.73,94066,
2020-02-05,HINDUNILVR,EQ,2167.40,2184.00,2153.90,2160.30,2155.60,1514368,32777.58,87356,
2020-02-06,HINDUNILVR,EQ,2166.00,2196.25,2134.05,2156.40,2160.30,1302116,28201.30,60068,
2020-02-07,HINDUNILVR,EQ,2165.00,2172.00,2141.60,2159.95,2156.40,908152,19562.34,44179,
2020-02-10,HINDUNILVR,EQ,2160.10,2189.55,2151.70,2159.30,2159.95,1389847,30067.10,47651,
2020-02-11,HINDUNILVR,EQ,2169.00,2179.65,2147.70,2152.65,2159.30,777506,16809.99,54049,
2020-02-12,HINDUNILVR,EQ,2157.10,2272.00,2155.00,2260.35,2152.65,4753325,106887.83,216884,
2020-02-13,HINDUNILVR,EQ,2256.00,2288.95,2233.05,2283.40,2260.35,2950407,66909.77,97853,
2020-02-14,HINDUNILVR,EQ,2273.00,2297.60,2246.25,2255.05,2283.40,1728651,39266.29,73086,
2020-02-17,HINDUNILVR,EQ,2248.00,2289.00,2243.20,2252.60,2255.05,1420851,32145.83,62176,
2020-02-18,HINDUNILVR,EQ,2252.60,2262.95,2222.10,2234.40,2252.60,1194605,26655.74,36111,
2020-02-19,HINDUNILVR,EQ,2250.20,2308.20,2241.25,2292.15,2234.40,1299800,29644.10,87008,
2020-02-20,HINDUNILVR,EQ,2282.20,2289.95,2242.50,2248.25,2292.15,1555224,35193.47,94457,
2020-02-24,HINDUNILVR,EQ,2236.80,2262.00,2210.10,2215.15,2248.25,1409245,31458.68,75116,
2020-02-25,HINDUNILVR,EQ,2239.90,2279.70,2225.75,2233.60,2215.15,2237493,50303.65,94865,
2020-02-26,HINDUNILVR,EQ,2238.80,2255.70,2202.35,2236.20,2233.60,2896154,64987.38,106783,
2020-02-27,HINDUNILVR,EQ,2241.95,2259.70,2200.00,2254.95,2236.20,2446802,54521.40,128902,
2020-02-28,HINDUNILVR,EQ,2191.10,2229.40,2155.00,2174.75,2254.95,3837330,83829.74,167111,
2020-03-02,HINDUNILVR,EQ,2190.00,2241.95,2141.85,2159.45,2174.75,1707337,37312.51,83077,
2020-03-03,HINDUNILVR,EQ,2171.90,2189.60,2141.70,2166.65,2159.45,1753148,38047.68,110315,
2020-03-04,HINDUNILVR,EQ,2179.00,2185.05,2152.00,2175.85,2166.65,1515878,32853.45,69750,
2020-03-05,HINDUNILVR,EQ,2185.00,2258.65,2181.85,2218.00,2175.85,2272645,50738.83,142099,
2020-03-06,HINDUNILVR,EQ,2185.00,2250.00,2159.25,2188.90,2218.00,2479414,54406.20,122964,
2020-03-09,HINDUNILVR,EQ,2140.00,2169.60,2112.00,2121.50,2188.90,2485208,53062.94,109512,
2020-03-11,HINDUNILVR,EQ,2066.00,2169.45,2066.00,2155.00,2121.50,2861649,60915.42,126457,
2020-03-12,HINDUNILVR,EQ,2102.40,2123.00,2031.65,2055.95,2155.00,3655792,75966.00,161111,
2020-03-13,HINDUNILVR,EQ,1970.00,2120.00,1888.10,2033.20,2055.95,3667035,74394.27,199161,
2020-03-16,HINDUNILVR,EQ,2000.00,2039.20,1933.90,1941.90,2033.20,2948704,58101.45,157351,
2020-03-17,HINDUNILVR,EQ,1955.55,2088.00,1951.95,2004.05,1941.90,3732415,75764.86,216826,
2020-03-18,HINDUNILVR,EQ,2034.05,2063.80,1909.35,1923.80,2004.05,3911480,77806.03,276097,
2020-03-19,HINDUNILVR,EQ,1894.30,1899.00,1757.30,1838.30,1923.80,5095023,93161.81,213980,
2020-03-20,HINDUNILVR,EQ,1850.00,2078.90,1850.00,2051.70,1838.30,4252263,85044.79,192288,
2020-03-23,HINDUNILVR,EQ,1950.00,1985.05,1850.00,1869.70,2051.70,3574682,67844.51,207403,
2020-03-24,HINDUNILVR,EQ,1975.00,2070.95,1930.00,2027.85,1869.70,5789906,116684.19,231906,
2020-03-25,HINDUNILVR,EQ,2010.05,2138.95,2001.65,2088.15,2027.85,3959038,82516.74,239780,
2020-03-26,HINDUNILVR,EQ,2089.00,2250.00,2060.00,2194.90,2088.15,3201566,68426.05,206208,
2020-03-27,HINDUNILVR,EQ,2239.00,2267.65,2120.50,2140.55,2194.90,2918796,63806.43,169463,
2020-03-30,HINDUNILVR,EQ,2123.00,2213.00,2102.85,2184.35,2140.55,2809611,61065.34,139369,
2020-03-31,HINDUNILVR,EQ,2234.80,2313.00,2185.00,2298.50,2184.35,2809285,63498.79,125401,
2020-04-01,HINDUNILVR,EQ,2293.20,2324.90,2158.05,2179.65,2298.50,2774689,61575.35,174853,
2020-04-03,HINDUNILVR,EQ,2234.00,2254.10,2127.95,2154.10,2179.65,4121462,89976.33,217202,
2020-04-07,HINDUNILVR,EQ,2220.00,2460.00,2220.00,2444.90,2154.10,8510183,200980.61,356119,
2020-04-08,HINDUNILVR,EQ,2432.00,2614.30,2417.40,2460.85,2444.90,9791892,246790.66,415294,
2020-04-09,HINDUNILVR,EQ,2499.95,2500.00,2345.00,2372.25,2460.85,4770083,113843.87,282099,
2020-04-13,HINDUNILVR,EQ,2381.00,2423.00,2315.00,2346.45,2372.25,3249562,76452.04,190144,
2020-04-15,HINDUNILVR,EQ,2425.95,2516.60,2381.50,2487.55,2346.45,29485532,730403.25,484212,
2020-04-16,HINDUNILVR,EQ,2466.00,2526.15,2421.10,2436.10,2487.55,5388258,132691.13,296531,
2020-04-17,HINDUNILVR,EQ,2498.80,2498.80,2354.05,2385.00,2436.10,4540967,108768.55,266225,
2020-04-20,HINDUNILVR,EQ,2420.00,2420.00,2321.00,2336.55,2385.00,2985278,70050.60,165896,
2020-04-21,HINDUNILVR,EQ,2283.00,2378.00,2282.00,2317.40,2336.55,3227339,75409.10,153513,
2020-04-22,HINDUNILVR,EQ,2317.95,2399.95,2275.65,2386.15,2317.40,2837835,66529.06,160575,
2020-04-23,HINDUNILVR,EQ,2389.00,2413.00,2308.05,2317.50,2386.15,4095595,96296.83,192550,
2020-04-24,HINDUNILVR,EQ,2311.00,2338.00,2280.00,2283.10,2317.50,2169013,49847.28,100504,
2020-04-27,HINDUNILVR,EQ,2305.00,2329.40,2283.25,2320.45,2283.10,2013737,46523.09,108209,
2020-04-28,HINDUNILVR,EQ,2338.65,2338.65,2267.00,2289.95,2320.45,2164048,49544.58,126130,
2020-04-29,HINDUNILVR,EQ,2290.00,2291.70,2221.00,2231.75,2289.95,3642216,81964.16,195321,
2020-04-30,HINDUNILVR,EQ,2272.00,2272.00,2160.00,2195.00,2231.75,8448104,185538.90,380311,
2020-05-04,HINDUNILVR,EQ,2130.00,2160.00,2066.00,2082.65,2195.00,8474699,178573.91,331282,
2020-05-05,HINDUNILVR,EQ,2101.20,2121.00,2033.10,2041.50,2082.65,4304146,88946.04,181077,
2020-05-06,HINDUNILVR,EQ,2049.95,2073.00,2000.00,2010.20,2041.50,5127756,104363.93,202349,
2020-05-07,HINDUNILVR,EQ,1950.10,2007.00,1902.00,1992.05,2010.20,185670048,3564334.17,946784,
2020-05-08,HINDUNILVR,EQ,2074.95,2098.00,2036.00,2089.45,1992.05,16100488,332056.66,484036,
2020-05-11,HINDUNILVR,EQ,2083.00,2116.55,2035.95,2048.00,2089.45,11158836,230886.25,288406,
2020-05-12,HINDUNILVR,EQ,2020.00,2027.85,1985.00,2011.55,2048.00,14881259,298045.78,466557,
2020-05-13,HINDUNILVR,EQ,2075.00,2075.00,1975.40,1995.75,2011.55,8432991,169695.68,361624,
2020-05-14,HINDUNILVR,EQ,1988.00,2026.55,1980.65,2006.05,1995.75,8510097,170809.78,268615,
2020-05-15,HINDUNILVR,EQ,2015.00,2037.65,2006.00,2032.10,2006.05,5491176,111016.84,243593,
2020-05-18,HINDUNILVR,EQ,2041.50,2047.85,1988.60,2005.25,2032.10,7675796,154126.86,265255,
2020-05-19,HINDUNILVR,EQ,2018.00,2024.80,1968.10,1975.55,2005.25,5963269,118580.94,233042,
2020-05-20,HINDUNILVR,EQ,1975.55,2010.00,1975.00,1990.85,1975.55,3927076,78287.36,154130,
2020-05-21,HINDUNILVR,EQ,1999.00,2003.40,1955.20,1970.90,1990.85,4261738,84329.20,211274,
2020-05-22,HINDUNILVR,EQ,1975.00,1995.05,1958.00,1987.90,1970.90,5340153,105704.33,201026,
2020-05-26,HINDUNILVR,EQ,2004.95,2020.00,1975.00,1977.80,1987.90,4629114,92548.04,296939,
2020-05-27,HINDUNILVR,EQ,1990.00,2005.10,1961.00,1998.10,1977.80,4261646,84547.25,211409,
2020-05-28,HINDUNILVR,EQ,2000.00,2015.00,1990.00,2009.95,1998.10,5500915,110303.63,166186,
2020-05-29,HINDUNILVR,EQ,2009.00,2068.00,2000.00,2057.35,2009.95,8779010,178589.32,238620,
2020-06-01,HINDUNILVR,EQ,2075.00,2143.00,2071.20,2108.55,2057.35,6592707,139237.49,213628,
2020-06-02,HINDUNILVR,EQ,2122.00,2125.00,2090.00,2107.40,2108.55,3268736,69039.62,153054,
2020-06-03,HINDUNILVR,EQ,2115.00,2149.00,2085.00,2120.50,2107.40,4895141,103614.51,199497,
2020-06-04,HINDUNILVR,EQ,2115.00,2132.40,2105.25,2120.60,2120.50,3264780,69172.12,149826,
2020-06-05,HINDUNILVR,EQ,2124.00,2128.00,2085.00,2087.60,2120.60,2981896,62498.08,127882,
2020-06-08,HINDUNILVR,EQ,2107.00,2124.50,2078.10,2111.70,2087.60,4298517,90384.59,226705,
2020-06-09,HINDUNILVR,EQ,2100.00,2144.80,2095.05,2106.50,2111.70,3128155,66444.67,152965,
2020-06-10,HINDUNILVR,EQ,2115.90,2130.00,2096.00,2119.60,2106.50,2421672,51308.45,128957,
2020-06-11,HINDUNILVR,EQ,2115.00,2138.20,2095.65,2106.90,2119.60,2566963,54368.25,121007,
2020-06-12,HINDUNILVR,EQ,2065.25,2119.00,2065.00,2107.25,2106.90,2338562,49138.16,113191,
2020-06-15,HINDUNILVR,EQ,2114.85,2131.70,2056.80,2084.30,2107.25,2830788,59235.89,110390,
2020-06-16,HINDUNILVR,EQ,2109.80,2120.00,2057.00,2076.35,2084.30,2806804,58648.01,107765,
2020-06-17,HINDUNILVR,EQ,2076.00,2099.00,2062.30,2078.25,2076.35,2293343,47767.34,94264,
2020-06-18,HINDUNILVR,EQ,2070.25,2084.85,2054.05,2065.35,2078.25,2326992,48115.50,99757,
2020-06-19,HINDUNILVR,EQ,2079.00,2100.00,2057.00,2092.75,2065.35,4673557,97237.70,138770,
2020-06-22,HINDUNILVR,EQ,2110.00,2118.90,2087.00,2100.80,2092.75,2487252,52275.07,108728,
2020-06-23,HINDUNILVR,EQ,2115.00,2172.00,2101.60,2155.95,2100.80,4309193,92674.94,174720,
2020-06-24,HINDUNILVR,EQ,2172.00,2176.90,2125.00,2130.30,2155.95,3023031,64917.53,152939,
2020-06-25,HINDUNILVR,EQ,2114.30,2189.90,2112.00,2173.15,2130.30,8208083,177670.69,176752,
2020-06-26,HINDUNILVR,EQ,2179.95,2179.95,2138.10,2154.20,2173.15,3176495,68430.40,126115,
2020-06-29,HINDUNILVR,EQ,2151.35,2195.90,2140.00,2182.95,2154.20,3295050,71856.99,137344,
2020-06-30,HINDUNILVR,EQ,2193.80,2199.95,2170.00,2180.00,2182.95,2373121,51776.32,110362,
2020-07-01,HINDUNILVR,EQ,2183.00,2191.80,2160.10,2170.40,2180.00,1532935,33285.39,77798,
2020-07-02,HINDUNILVR,EQ,2167.75,2177.65,2145.00,2151.75,2170.40,2588845,55772.73,111689,
2020-07-03,HINDUNILVR,EQ,2165.50,2188.00,2156.35,2173.70,2151.75,1946326,42288.65,84127,
2020-07-06,HINDUNILVR,EQ,2180.00,2180.00,2153.00,2161.60,2173.70,2375701,51345.21,106168,
2020-07-07,HINDUNILVR,EQ,2175.50,2175.50,2151.65,2154.15,2161.60,2014697,43486.67,101569,
2020-07-08,HINDUNILVR,EQ,2153.60,2194.00,2125.00,2186.05,2154.15,3350115,72708.46,137320,
2020-07-09,HINDUNILVR,EQ,2183.00,2219.95,2171.05,2175.85,2186.05,3039821,66621.22,141677,
2020-07-10,HINDUNILVR,EQ,2170.00,2232.00,2167.45,2223.80,2175.85,3179517,70155.98,134655,
2020-07-13,HINDUNILVR,EQ,2239.00,2275.00,2235.00,2265.25,2223.80,4556688,102963.39,158470,
2020-07-14,HINDUNILVR,EQ,2264.80,2269.95,2226.60,2234.75,2265.25,2403257,53990.92,128919,
2020-07-15,HINDUNILVR,EQ,2237.25,2291.00,2235.05,2275.15,2234.75,2474553,56136.49,97827,
2020-07-16,HINDUNILVR,EQ,2275.25,2291.30,2238.00,2287.85,2275.15,2495150,56693.98,92681,
2020-07-17,HINDUNILVR,EQ,2285.00,2340.00,2281.00,2334.55,2287.85,3088773,71762.65,158916,
2020-07-20,HINDUNILVR,EQ,2334.55,2343.30,2300.60,2330.95,2334.55,2816285,65428.22,128458,
2020-07-21,HINDUNILVR,EQ,2348.00,2350.00,2308.00,2318.00,2330.95,3037830,70597.06,120286,
2020-07-22,HINDUNILVR,EQ,2330.00,2330.00,2241.25,2248.50,2318.00,6950011,157464.34,300035,
2020-07-23,HINDUNILVR,EQ,2260.00,2267.15,2205.55,2211.35,2248.50,3936886,87875.44,171067,
2020-07-24,HINDUNILVR,EQ,2200.00,2220.00,2168.05,2209.30,2211.35,4203390,92152.53,143884,
2020-07-27,HINDUNILVR,EQ,2217.75,2235.95,2184.75,2221.50,2209.30,2209431,48988.69,97258,
2020-07-28,HINDUNILVR,EQ,2230.95,2244.90,2211.05,2242.55,2221.50,1567889,35023.15,66747,
2020-07-29,HINDUNILVR,EQ,2235.00,2262.20,2215.00,2231.30,2242.55,2404989,53866.85,99243,
2020-07-30,HINDUNILVR,EQ,2231.30,2238.05,2190.10,2195.60,2231.30,2046188,45306.58,106202,
2020-07-31,HINDUNILVR,EQ,2197.50,2221.95,2178.00,2209.90,2195.60,1715834,37878.13,59984,
2020-08-03,HINDUNILVR,EQ,2209.80,2223.05,2188.55,2204.50,2209.90,1683798,37159.28,71787,
2020-08-04,HINDUNILVR,EQ,2209.90,2218.90,2175.10,2197.80,2204.50,1981721,43574.67,107819,
2020-08-05,HINDUNILVR,EQ,2202.00,2209.90,2181.05,2194.55,2197.80,1715481,37632.70,83530,
2020-08-06,HINDUNILVR,EQ,2200.00,2229.00,2192.05,2220.45,2194.55,1824540,40439.10,103094,
2020-08-07,HINDUNILVR,EQ,2223.00,2234.80,2205.00,2210.55,2220.45,1778051,39504.11,76506,
2020-08-10,HINDUNILVR,EQ,2218.00,2226.75,2198.80,2206.75,2210.55,1476389,32639.54,67996,
2020-08-11,HINDUNILVR,EQ,2209.05,2233.00,2206.00,2210.65,2206.75,1665204,36937.20,67354,
2020-08-12,HINDUNILVR,EQ,2200.05,2209.05,2190.00,2195.10,2210.65,1170455,25713.02,68478,
2020-08-13,HINDUNILVR,EQ,2200.00,2217.00,2190.95,2198.65,2195.10,1453429,31968.81,66643,
2020-08-14,HINDUNILVR,EQ,2204.00,2216.00,2165.05,2173.90,2198.65,1341691,29432.80,70158,
2020-08-17,HINDUNILVR,EQ,2181.00,2203.65,2168.40,2196.05,2173.90,1559579,34086.38,55914,
2020-08-18,HINDUNILVR,EQ,2204.00,2216.80,2189.00,2214.35,2196.05,1339002,29535.11,58829,
2020-08-19,HINDUNILVR,EQ,2206.00,2221.50,2190.00,2193.60,2214.35,1585132,34936.18,74502,
2020-08-20,HINDUNILVR,EQ,2186.00,2197.80,2176.15,2185.70,2193.60,1768939,38707.86,84041,
2020-08-21,HINDUNILVR,EQ,2199.00,2208.70,2187.45,2202.05,2185.70,1374412,30241.37,52443,
2020-08-24,HINDUNILVR,EQ,2206.00,2211.65,2191.20,2194.40,2202.05,1665474,36583.88,72008,
2020-08-25,HINDUNILVR,EQ,2194.40,2197.90,2175.00,2179.10,2194.40,1774886,38736.17,69888,
2020-08-26,HINDUNILVR,EQ,2182.10,2186.00,2160.00,2182.80,2179.10,2148246,46707.29,71305,
2020-08-27,HINDUNILVR,EQ,2182.10,2188.00,2165.00,2171.25,2182.80,2172278,47191.64,76992,
2020-08-28,HINDUNILVR,EQ,2179.00,2182.40,2145.00,2151.95,2171.25,1939848,41953.87,107096,
2020-08-31,HINDUNILVR,EQ,2152.00,2167.50,2100.65,2117.35,2151.95,3534525,75460.01,165575,
2020-09-01,HINDUNILVR,EQ,2149.95,2174.90,2111.75,2161.65,2117.35,1738013,37203.22,70039,
2020-09-02,HINDUNILVR,EQ,2171.00,2185.00,2136.55,2141.65,2161.65,1667810,35943.25,84280,
2020-09-03,HINDUNILVR,EQ,2153.00,2154.45,2128.05,2139.15,2141.65,1590711,34031.97,88296,
2020-09-04,HINDUNILVR,EQ,2115.00,2140.90,2114.00,2124.65,2139.15,1590491,33828.05,71511,
2020-09-07,HINDUNILVR,EQ,2126.00,2174.00,2103.75,2162.60,2124.65,2363028,50917.29,100531,
2020-09-08,HINDUNILVR,EQ,2154.00,2171.35,2131.15,2142.25,2162.60,1804240,38925.72,94155,
2020-09-09,HINDUNILVR,EQ,2122.00,2144.20,2110.00,2132.25,2142.25,2009945,42850.58,107561,
2020-09-10,HINDUNILVR,EQ,2142.00,2143.60,2118.20,2133.90,2132.25,2137794,45496.90,72808,
2020-09-11,HINDUNILVR,EQ,2125.00,2169.00,2124.50,2159.25,2133.90,1934716,41652.48,78410,
2020-09-14,HINDUNILVR,EQ,2167.00,2169.70,2115.00,2123.50,2159.25,2096976,44722.17,122163,
2020-09-15,HINDUNILVR,EQ,2136.90,2137.00,2109.00,2124.45,2123.50,1224059,26005.33,58186,
2020-09-16,HINDUNILVR,EQ,2125.00,2158.95,2112.70,2143.50,2124.45,2087842,44579.96,109780,
2020-09-17,HINDUNILVR,EQ,2135.00,2145.05,2122.25,2128.20,2143.50,1741644,37100.20,70467,
2020-09-18,HINDUNILVR,EQ,2120.00,2127.55,2090.00,2098.70,2128.20,4475209,93969.32,209451,
2020-09-21,HINDUNILVR,EQ,2098.70,2099.00,2022.10,2037.80,2098.70,3483981,71420.83,191664,
2020-09-22,HINDUNILVR,EQ,2040.55,2054.75,2000.05,2026.80,2037.80,2345712,47314.83,148164,
2020-09-23,HINDUNILVR,EQ,2035.00,2060.00,2025.85,2052.55,2026.80,2410305,49294.23,178103,
2020-09-24,HINDUNILVR,EQ,2044.00,2081.00,2035.05,2060.90,2052.55,3798394,78270.97,150917,
2020-09-25,HINDUNILVR,EQ,2082.00,2111.00,2070.85,2079.05,2060.90,2528928,52925.66,115091,
2020-09-28,HINDUNILVR,EQ,2083.00,2092.35,2060.00,2063.30,2079.05,1524037,31570.85,92455,
2020-09-29,HINDUNILVR,EQ,2065.00,2069.25,2024.75,2033.20,2063.30,2298854,47076.34,85799,
2020-09-30,HINDUNILVR,EQ,2038.95,2097.00,2034.00,2068.25,2033.20,2417400,50110.52,96219,
2020-10-01,HINDUNILVR,EQ,2090.00,2108.90,2070.00,2095.00,2068.25,2131593,44592.97,69043,
2020-10-05,HINDUNILVR,EQ,2100.00,2123.30,2082.20,2111.05,2095.00,1646114,34661.48,83919,
2020-10-06,HINDUNILVR,EQ,2119.00,2140.00,2108.05,2115.90,2111.05,1679500,35665.14,80302,
2020-10-07,HINDUNILVR,EQ,2123.00,2150.00,2113.00,2139.35,2115.90,2428598,51910.58,102634,
2020-10-08,HINDUNILVR,EQ,2147.00,2165.00,2146.25,2160.80,2139.35,1617382,34890.91,64436,
2020-10-09,HINDUNILVR,EQ,2150.00,2166.95,2121.10,2139.65,2160.80,2001031,42769.83,67059,
2020-10-12,HINDUNILVR,EQ,2145.20,2147.60,2123.30,2138.40,2139.65,1741171,37179.79,99238,
2020-10-13,HINDUNILVR,EQ,2137.95,2153.25,2128.00,2138.20,2138.40,1679176,35931.36,66648,
2020-10-14,HINDUNILVR,EQ,2132.60,2165.00,2131.00,2158.15,2138.20,2123033,45639.76,91381,
2020-10-15,HINDUNILVR,EQ,2160.00,2179.70,2141.05,2152.55,2158.15,2344440,50735.88,90648,
2020-10-16,HINDUNILVR,EQ,2171.90,2171.90,2144.05,2150.55,2152.55,1640402,35386.19,87935,
2020-10-19,HINDUNILVR,EQ,2153.55,2185.00,2152.10,2177.80,2150.55,1606069,34884.96,67397,
2020-10-20,HINDUNILVR,EQ,2182.10,2208.50,2132.55,2173.10,2177.80,5855301,127470.96,246254,
2020-10-21,HINDUNILVR,EQ,2190.00,2196.75,2136.00,2163.15,2173.10,3954247,85436.86,211194,
2020-10-22,HINDUNILVR,EQ,2160.00,2187.25,2153.20,2179.35,2163.15,2632959,57120.49,126818,
2020-10-23,HINDUNILVR,EQ,2188.90,2188.90,2140.00,2143.85,2179.35,2805734,60518.24,145784,
2020-10-26,HINDUNILVR,EQ,2150.00,2172.00,2142.30,2166.75,2143.85,1646050,35509.86,62225,
2020-10-27,HINDUNILVR,EQ,2157.00,2189.00,2152.45,2176.70,2166.75,2334908,50850.02,98159,
2020-10-28,HINDUNILVR,EQ,2183.95,2183.95,2144.10,2164.35,2176.70,1555484,33536.82,86062,
2020-10-29,HINDUNILVR,EQ,2142.00,2160.00,2116.00,2122.10,2164.35,1934403,41213.32,87133,
2020-10-30,HINDUNILVR,EQ,2118.20,2120.00,2068.00,2071.30,2122.10,2414328,50402.64,102925,
2020-11-02,HINDUNILVR,EQ,2072.00,2087.65,2056.00,2072.00,2071.30,1486077,30781.64,70425,
2020-11-03,HINDUNILVR,EQ,2091.80,2091.80,2043.00,2055.70,2072.00,2227402,45843.25,111638,
2020-11-04,HINDUNILVR,EQ,2050.00,2085.00,2049.95,2060.05,2055.70,1479878,30589.97,78673,
