date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ITC,EQ,238.60,238.60,237.10,238.10,237.70,4208837,10010.78,38576,
2020-01-02,ITC,EQ,238.20,240.95,238.10,239.85,238.10,8402979,20142.41,84223,
2020-01-03,ITC,EQ,241.00,241.00,238.00,238.50,239.85,9284478,22158.53,64049,
2020-01-06,ITC,EQ,237.50,238.30,235.00,235.10,238.50,7636617,18033.75,72977,
2020-01-07,ITC,EQ,236.05,237.90,234.60,235.35,235.10,8416741,19858.25,66747,
2020-01-08,ITC,EQ,234.00,235.80,233.25,234.20,235.35,7043211,16513.74,66642,
2020-01-09,ITC,EQ,235.60,236.60,235.05,235.80,234.20,9452653,22281.77,107069,
2020-01-10,ITC,EQ,237.60,238.75,236.80,238.00,235.80,9973746,23723.97,89471,
2020-01-13,ITC,EQ,238.50,240.50,238.25,239.25,238.00,12243639,29333.50,83515,
2020-01-14,ITC,EQ,240.25,243.80,238.30,243.25,239.25,11843444,28644.88,89338,
2020-01-15,ITC,EQ,242.55,243.00,241.10,242.40,243.25,5476729,13261.00,60662,
2020-01-16,ITC,EQ,242.50,243.90,240.10,240.75,242.40,9369668,22663.60,85618,
2020-01-17,ITC,EQ,240.75,242.10,239.40,239.95,240.75,7392403,17773.21,97633,
2020-01-20,ITC,EQ,240.05,243.25,240.05,241.90,239.95,8020816,19407.54,70844,
2020-01-21,ITC,EQ,241.45,241.45,238.00,238.45,241.90,9571070,22899.06,90383,
2020-01-22,ITC,EQ,239.60,239.60,237.10,238.05,238.45,7654918,18239.01,83042,
2020-01-23,ITC,EQ,238.10,238.75,236.90,237.90,238.05,6120434,14546.55,69953,
2020-01-24,ITC,EQ,237.40,239.10,237.00,238.15,237.90,6801874,16202.48,66148,
2020-01-27,ITC,EQ,237.00,237.40,234.30,234.60,238.15,6837613,16123.15,73157,
2020-01-28,ITC,EQ,234.75,235.90,230.50,230.75,234.60,14582907,33889.53,134277,
2020-01-29,ITC,EQ,231.50,237.65,231.15,236.65,230.75,20469708,48337.59,136048,
2020-01-30,ITC,EQ,236.95,237.00,233.00,234.05,236.65,10394149,24418.43,75658,
2020-01-31,ITC,EQ,235.75,238.40,234.05,235.15,234.05,18455880,43576.77,119578,
2020-02-03,ITC,EQ,215.00,216.90,205.00,207.60,219.00,79764370,167088.88,436227,
2020-02-04,ITC,EQ,210.80,217.60,209.15,215.65,207.60,35767812,76455.56,182198,
2020-02-05,ITC,EQ,216.30,217.50,211.50,216.45,215.65,21253607,45738.21,245783,
2020-02-06,ITC,EQ,218.00,219.90,211.80,213.55,216.45,27388582,59082.00,221588,
2020-02-07,ITC,EQ,213.80,215.70,212.75,213.40,213.55,17133407,36734.40,126285,
2020-02-10,ITC,EQ,214.00,214.05,210.05,210.55,213.40,9617387,20332.42,212652,
2020-02-11,ITC,EQ,216.50,216.95,211.80,212.60,210.55,29803784,63717.25,352348,
2020-02-12,ITC,EQ,213.40,214.80,211.80,213.05,212.60,9928416,21182.20,91939,
2020-02-13,ITC,EQ,213.05,213.45,211.20,211.90,213.05,9153131,19410.22,111421,
2020-02-14,ITC,EQ,212.25,212.90,206.80,207.70,211.90,13731692,28774.77,119326,
2020-02-17,ITC,EQ,208.00,208.65,204.00,204.80,207.70,15561953,32039.06,113582,
2020-02-18,ITC,EQ,204.55,204.60,200.50,203.85,204.80,20934864,42305.24,159783,
2020-02-19,ITC,EQ,205.25,207.15,203.85,206.70,203.85,9054560,18626.92,115692,
2020-02-20,ITC,EQ,207.00,208.55,205.45,207.45,206.70,15592846,32309.76,137512,
2020-02-24,ITC,EQ,207.00,207.45,201.80,203.00,207.45,16594046,33848.26,141527,
2020-02-25,ITC,EQ,203.80,205.40,201.50,201.80,203.00,15313516,31096.39,144560,
2020-02-26,ITC,EQ,200.65,201.95,196.30,198.60,201.80,17869240,35614.19,140431,
2020-02-27,ITC,EQ,198.40,199.15,195.90,197.55,198.60,17271066,34127.76,120175,
2020-02-28,ITC,EQ,195.00,199.90,192.05,197.55,197.55,32628444,63963.56,240164,
2020-03-02,ITC,EQ,199.50,203.45,193.65,195.30,197.55,18560049,37055.37,114142,
2020-03-03,ITC,EQ,197.00,197.45,192.55,193.85,195.30,17947416,34919.06,148060,
2020-03-04,ITC,EQ,194.95,195.55,186.55,187.50,193.85,27664076,52319.08,138723,
2020-03-05,ITC,EQ,187.55,191.20,186.55,188.05,187.50,20025924,37821.97,151318,
2020-03-06,ITC,EQ,184.85,184.85,179.75,181.75,188.05,26764504,48709.65,199706,
2020-03-09,ITC,EQ,179.00,179.00,174.50,177.20,181.75,21795899,38613.09,156489,
2020-03-11,ITC,EQ,174.00,176.75,172.35,175.65,177.20,27957737,48785.69,179482,
2020-03-12,ITC,EQ,169.00,169.15,150.55,155.80,175.65,52040944,82292.13,264894,
2020-03-13,ITC,EQ,150.00,164.00,134.60,162.25,155.80,61592332,95644.79,274571,
2020-03-16,ITC,EQ,158.00,158.10,145.25,147.25,162.25,33255085,50164.91,215377,
2020-03-17,ITC,EQ,148.00,155.80,146.05,149.15,147.25,47658462,72249.00,226554,
2020-03-18,ITC,EQ,152.10,154.65,147.35,150.70,149.15,50248786,75900.57,282399,
2020-03-19,ITC,EQ,150.70,163.55,144.75,161.85,150.70,89753683,138588.83,386234,
2020-03-20,ITC,EQ,165.10,176.50,165.10,175.50,161.85,61997991,106651.09,327341,
2020-03-23,ITC,EQ,158.00,162.00,149.20,154.30,175.50,51354135,79802.78,369765,
2020-03-24,ITC,EQ,162.95,163.70,147.40,149.70,154.30,52569242,79509.11,348501,
2020-03-25,ITC,EQ,151.00,152.00,139.00,147.35,149.70,62506221,90001.06,365896,
2020-03-26,ITC,EQ,150.00,159.40,143.25,156.40,147.35,58443502,88169.39,287956,
2020-03-27,ITC,EQ,162.00,166.00,155.00,163.20,156.40,32636891,52365.88,209456,
2020-03-30,ITC,EQ,156.05,164.90,156.05,159.20,163.20,28120394,45666.82,262288,
2020-03-31,ITC,EQ,164.00,173.85,161.55,171.70,159.20,42630922,71417.98,231840,
2020-04-01,ITC,EQ,171.70,172.75,164.55,166.40,171.70,18142049,30405.21,180234,
2020-04-03,ITC,EQ,167.90,182.75,167.00,177.90,166.40,62868085,110092.82,354482,
2020-04-07,ITC,EQ,185.70,185.70,173.65,181.55,177.90,36119016,64817.03,238009,
2020-04-08,ITC,EQ,180.85,184.00,176.65,178.65,181.55,37561322,67447.18,263938,
2020-04-09,ITC,EQ,184.00,186.25,180.00,185.25,178.65,42643743,78306.31,215510,
2020-04-13,ITC,EQ,184.50,186.65,181.05,181.60,185.25,17744825,32548.18,139175,
2020-04-15,ITC,EQ,184.05,193.75,182.70,189.35,181.60,49092959,93061.40,337036,
