date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,RELIANCE,EQ,1518.00,1527.10,1505.50,1509.60,1514.05,6402372,97010.63,122265,
2020-01-02,RELIANCE,EQ,1512.00,1540.95,1512.00,1535.30,1509.60,8096561,123947.10,151727,
2020-01-03,RELIANCE,EQ,1533.00,1541.65,1523.00,1537.15,1535.30,9593498,147042.83,149003,
2020-01-06,RELIANCE,EQ,1520.00,1527.90,1498.00,1501.50,1537.15,11209343,169549.37,225138,
2020-01-07,RELIANCE,EQ,1519.00,1534.50,1513.50,1524.60,1501.50,7627191,116170.96,180713,
2020-01-08,RELIANCE,EQ,1515.00,1534.45,1510.00,1513.15,1524.60,7336561,111386.44,169662,
2020-01-09,RELIANCE,EQ,1538.60,1550.00,1531.25,1548.00,1513.15,6849606,105604.32,154953,
2020-01-10,RELIANCE,EQ,1551.90,1557.95,1539.65,1547.65,1548.00,5704686,88389.54,136340,
2020-01-13,RELIANCE,EQ,1545.05,1558.70,1538.40,1543.70,1547.65,8358090,129461.47,143022,
2020-01-14,RELIANCE,EQ,1540.00,1550.00,1521.85,1529.40,1543.70,7230788,110902.63,173502,
2020-01-15,RELIANCE,EQ,1535.85,1539.90,1518.25,1523.85,1529.40,7231393,110405.51,212172,
2020-01-16,RELIANCE,EQ,1529.00,1543.35,1528.00,1537.90,1523.85,5873662,90185.08,164724,
2020-01-17,RELIANCE,EQ,1553.50,1584.95,1553.20,1581.00,1537.90,13469708,211879.07,279304,
2020-01-20,RELIANCE,EQ,1609.00,1609.00,1526.40,1532.35,1581.00,14878868,231791.01,338270,
2020-01-21,RELIANCE,EQ,1528.60,1545.85,1522.00,1533.90,1532.35,8650831,132848.92,233395,
2020-01-22,RELIANCE,EQ,1544.00,1546.75,1531.10,1533.35,1533.90,4719245,72589.54,143828,
2020-01-23,RELIANCE,EQ,1536.50,1541.95,1520.70,1526.85,1533.35,5142088,78611.87,149239,
2020-01-24,RELIANCE,EQ,1527.00,1536.35,1518.55,1521.55,1526.85,6687633,102035.95,152146,
2020-01-27,RELIANCE,EQ,1514.90,1524.45,1505.00,1506.55,1521.55,6120429,92628.15,130826,
2020-01-28,RELIANCE,EQ,1508.60,1510.00,1463.60,1471.75,1506.55,11215313,166639.89,271852,
2020-01-29,RELIANCE,EQ,1474.05,1494.40,1464.05,1479.85,1471.75,11313297,167361.73,254760,
2020-01-30,RELIANCE,EQ,1479.00,1479.70,1440.00,1443.75,1479.85,10241756,148751.17,231136,
2020-01-31,RELIANCE,EQ,1453.00,1453.25,1407.20,1411.65,1443.75,15886673,226503.75,330774,
2020-02-03,RELIANCE,EQ,1369.90,1399.95,1363.05,1385.50,1383.35,14040626,193868.93,370104,
2020-02-04,RELIANCE,EQ,1400.00,1432.50,1397.80,1426.40,1385.50,11604666,164705.99,286666,
2020-02-05,RELIANCE,EQ,1434.90,1452.80,1430.30,1448.50,1426.40,8444823,121813.51,242039,
2020-02-06,RELIANCE,EQ,1454.10,1467.00,1440.10,1457.80,1448.50,7103715,103212.04,163247,
2020-02-07,RELIANCE,EQ,1451.00,1452.35,1428.30,1433.65,1457.80,5581641,80211.39,134128,
