date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,LT,EQ,1308.400000,1318.900000,1303.000000,1309.950000,1298.200000,3123998,40952.86,73190,
2020-01-02,LT,EQ,1312.000000,1348.000000,1311.000000,1345.300000,1309.950000,4335359,57846.06,135378,
2020-01-03,LT,EQ,1344.950000,1344.950000,1330.150000,1335.050000,1345.300000,2059871,27517.28,77644,
2020-01-06,LT,EQ,1331.000000,1332.000000,1314.100000,1316.750000,1335.050000,2646905,34958.35,118803,
2020-01-07,LT,EQ,1328.000000,1339.500000,1313.750000,1320.500000,1316.750000,2077893,27546.27,70374,
2020-01-08,LT,EQ,1302.000000,1308.700000,1283.350000,1291.550000,1320.500000,4147568,53671.15,145613,
2020-01-09,LT,EQ,1311.000000,1319.900000,1305.100000,1316.150000,1291.550000,2067779,27176.34,98843,
2020-01-10,LT,EQ,1319.000000,1335.950000,1319.000000,1324.600000,1316.150000,2360798,31331.16,93096,
2020-01-13,LT,EQ,1329.000000,1339.400000,1328.700000,1334.700000,1324.600000,1825244,24367.05,62542,
2020-01-14,LT,EQ,1329.800000,1331.000000,1315.100000,1326.100000,1334.700000,2046500,27079.13,103923,
2020-01-15,LT,EQ,1325.600000,1336.150000,1320.000000,1323.600000,1326.100000,2127677,28229.96,67695,
2020-01-16,LT,EQ,1327.700000,1332.900000,1317.400000,1319.300000,1323.600000,1773135,23482.50,76644,
2020-01-17,LT,EQ,1320.600000,1325.950000,1302.000000,1304.200000,1319.300000,2941837,38585.23,158742,
2020-01-20,LT,EQ,1313.950000,1319.900000,1306.500000,1309.600000,1304.200000,2542477,33381.94,112596,
2020-01-21,LT,EQ,1304.750000,1313.900000,1300.450000,1302.350000,1309.600000,1361576,17786.66,74036,
2020-01-22,LT,EQ,1311.000000,1312.000000,1292.000000,1294.200000,1302.350000,2449753,31850.17,95993,
2020-01-23,LT,EQ,1307.000000,1339.850000,1306.000000,1332.300000,1294.200000,10056067,133666.14,219420,
2020-01-24,LT,EQ,1332.000000,1367.850000,1332.000000,1359.200000,1332.300000,5837319,78991.35,146118,
2020-01-27,LT,EQ,1340.000000,1364.900000,1340.000000,1348.600000,1359.200000,2510013,33997.35,71639,
2020-01-28,LT,EQ,1350.900000,1355.000000,1338.000000,1346.650000,1348.600000,2352852,31643.67,118120,
2020-01-29,LT,EQ,1353.100000,1374.950000,1352.100000,1365.700000,1346.650000,3678474,50261.43,108090,
2020-01-30,LT,EQ,1365.950000,1376.800000,1353.000000,1370.200000,1365.700000,2743506,37441.93,76783,
2020-01-31,LT,EQ,1375.950000,1377.000000,1360.450000,1369.300000,1370.200000,3939306,53971.32,127379,
2020-02-03,LT,EQ,1290.000000,1303.900000,1272.000000,1286.650000,1287.400000,5767353,74193.34,248556,
2020-02-04,LT,EQ,1296.000000,1307.300000,1287.550000,1291.750000,1286.650000,3604309,46754.44,117966,
2020-02-05,LT,EQ,1297.900000,1325.000000,1295.000000,1310.050000,1291.750000,4220104,55405.90,111767,
2020-02-06,LT,EQ,1322.900000,1325.000000,1309.050000,1317.600000,1310.050000,2354458,31017.77,85894,
2020-02-07,LT,EQ,1313.050000,1314.400000,1296.000000,1299.000000,1317.600000,3053804,39752.35,89067,
2020-02-10,LT,EQ,1300.000000,1302.450000,1273.100000,1285.300000,1299.000000,3039992,39033.27,120243,
2020-02-11,LT,EQ,1292.000000,1298.950000,1284.000000,1286.900000,1285.300000,2200796,28431.82,114602,
2020-02-12,LT,EQ,1289.100000,1299.850000,1280.000000,1297.300000,1286.900000,2568696,33139.57,127830,
2020-02-13,LT,EQ,1299.000000,1299.850000,1285.000000,1292.250000,1297.300000,1545536,19948.90,79219,
2020-02-14,LT,EQ,1295.000000,1304.950000,1290.600000,1295.150000,1292.250000,1780119,23090.29,79043,
2020-02-17,LT,EQ,1297.000000,1297.850000,1277.000000,1280.200000,1295.150000,2155085,27701.60,70230,
2020-02-18,LT,EQ,1281.500000,1289.800000,1266.450000,1286.350000,1280.200000,2347917,29966.31,96379,
2020-02-19,LT,EQ,1298.000000,1299.000000,1276.600000,1281.400000,1286.350000,1820353,23345.87,77257,
2020-02-20,LT,EQ,1279.900000,1288.900000,1275.300000,1280.600000,1281.400000,3034681,38891.08,131459,
2020-02-24,LT,EQ,1271.900000,1271.900000,1252.650000,1259.700000,1280.600000,3414064,43062.03,165366,
2020-02-25,LT,EQ,1262.200000,1265.650000,1240.150000,1242.050000,1259.700000,3133077,39090.47,131233,
2020-02-26,LT,EQ,1235.000000,1238.000000,1206.000000,1211.150000,1242.050000,5721483,69790.28,161455,
2020-02-27,LT,EQ,1212.350000,1216.950000,1200.000000,1210.350000,1211.150000,4003149,48329.07,141145,
2020-02-28,LT,EQ,1189.650000,1196.450000,1162.000000,1187.550000,1210.350000,6286647,74113.03,218919,
2020-03-02,LT,EQ,1205.000000,1212.350000,1150.550000,1160.900000,1187.550000,3177486,37615.32,109785,
2020-03-03,LT,EQ,1166.000000,1186.800000,1162.050000,1181.300000,1160.900000,3134527,36826.74,91823,
2020-03-04,LT,EQ,1185.000000,1187.850000,1158.000000,1176.650000,1181.300000,3135151,36847.10,115524,
2020-03-05,LT,EQ,1180.100000,1187.250000,1166.200000,1182.450000,1176.650000,2625152,30953.18,99673,
2020-03-06,LT,EQ,1148.000000,1164.000000,1130.850000,1158.900000,1182.450000,3956575,45311.07,146183,
2020-03-09,LT,EQ,1135.800000,1135.800000,1067.300000,1101.950000,1158.900000,8038432,87961.47,244516,
2020-03-11,LT,EQ,1090.000000,1120.950000,1085.800000,1116.950000,1101.950000,5628178,62514.63,212206,
2020-03-12,LT,EQ,1070.000000,1070.050000,1004.100000,1016.550000,1116.950000,9200492,94978.83,294935,
2020-03-13,LT,EQ,950.000000,1060.450000,890.000000,1051.450000,1016.550000,8117968,81303.74,300693,
2020-03-16,LT,EQ,1014.250000,1042.000000,961.900000,968.700000,1051.450000,6672579,66635.38,316173,
2020-03-17,LT,EQ,972.000000,1005.000000,940.150000,956.750000,968.700000,4720357,46010.55,186154,
2020-03-18,LT,EQ,968.000000,974.750000,900.000000,904.550000,956.750000,5586629,52014.95,211669,
2020-03-19,LT,EQ,873.900000,884.000000,837.700000,843.100000,904.550000,7252149,62306.13,311401,
2020-03-20,LT,EQ,849.000000,877.800000,831.300000,864.700000,843.100000,6130498,52360.36,222198,
2020-03-23,LT,EQ,809.000000,809.950000,706.000000,724.050000,864.700000,7310033,54475.78,290747,
2020-03-24,LT,EQ,755.000000,755.750000,672.000000,707.900000,724.050000,7113438,50306.57,263108,
2020-03-25,LT,EQ,697.200000,775.000000,661.000000,765.750000,707.900000,16122626,112607.89,321286,
2020-03-26,LT,EQ,787.750000,842.300000,754.150000,838.000000,765.750000,9028697,72947.77,243919,
2020-03-27,LT,EQ,867.900000,890.000000,812.000000,837.050000,838.000000,6573602,55586.93,202101,
2020-03-30,LT,EQ,801.000000,815.000000,791.000000,798.650000,837.050000,4474168,35907.03,176856,
2020-03-31,LT,EQ,820.000000,823.000000,791.200000,808.500000,798.650000,8045539,64915.72,160157,
2020-04-01,LT,EQ,806.850000,812.400000,766.550000,774.350000,808.500000,4104461,32099.31,207097,
2020-04-03,LT,EQ,791.100000,791.100000,762.800000,774.650000,774.350000,4268501,33009.75,186484,
2020-04-07,LT,EQ,805.000000,813.000000,791.000000,801.650000,774.650000,5769216,46404.57,189036,
2020-04-08,LT,EQ,804.000000,832.000000,797.700000,807.100000,801.650000,6151093,50037.53,166115,
2020-04-09,LT,EQ,834.350000,834.350000,804.400000,812.800000,807.100000,6410629,52338.49,185106,
2020-04-13,LT,EQ,812.800000,872.400000,807.950000,865.450000,812.800000,9462929,80158.97,264873,
2020-04-15,LT,EQ,890.950000,926.600000,869.000000,880.150000,865.450000,10435586,94146.20,295558,
2020-04-16,LT,EQ,875.950000,919.800000,870.150000,911.650000,880.150000,6980628,63440.20,206450,
2020-04-17,LT,EQ,930.000000,940.000000,916.000000,932.900000,911.650000,5827735,54058.02,185080,
2020-04-20,LT,EQ,940.800000,943.000000,911.000000,915.600000,932.900000,4958437,46043.53,158851,
2020-04-21,LT,EQ,897.000000,906.600000,863.000000,870.350000,915.600000,5122597,45222.73,164745,
2020-04-22,LT,EQ,873.000000,885.500000,850.000000,852.600000,870.350000,6090177,52771.02,235279,
2020-04-23,LT,EQ,860.000000,869.500000,835.000000,840.600000,852.600000,6322048,53928.59,227895,
2020-04-24,LT,EQ,838.000000,869.000000,834.150000,851.200000,840.600000,7960660,68082.50,220618,
2020-04-27,LT,EQ,861.950000,874.900000,852.250000,855.250000,851.200000,4224467,36489.01,142648,
2020-04-28,LT,EQ,863.800000,867.700000,852.100000,857.150000,855.250000,3773038,32417.63,108569,
2020-04-29,LT,EQ,862.000000,883.050000,854.000000,875.350000,857.150000,4841417,42116.06,152437,
2020-04-30,LT,EQ,890.200000,916.800000,884.100000,897.550000,875.350000,6333023,57173.00,162674,
2020-05-04,LT,EQ,880.000000,880.000000,845.000000,850.650000,897.550000,4678679,39939.75,188413,
2020-05-05,LT,EQ,861.000000,869.800000,835.000000,836.900000,850.650000,4296534,36549.61,119699,
2020-05-06,LT,EQ,838.000000,848.000000,817.600000,837.300000,836.900000,5081614,42386.12,160333,
2020-05-07,LT,EQ,833.000000,836.050000,820.100000,822.850000,837.300000,3529156,29196.26,138162,
2020-05-08,LT,EQ,833.000000,834.850000,810.000000,815.950000,822.850000,4394534,36042.18,145863,
2020-05-11,LT,EQ,821.200000,827.500000,816.350000,821.600000,815.950000,2882960,23697.05,133688,
2020-05-12,LT,EQ,817.000000,819.250000,804.000000,814.800000,821.600000,3024386,24499.78,112515,
2020-05-13,LT,EQ,863.700000,871.950000,850.500000,862.900000,814.800000,8625530,74368.42,280407,
2020-05-14,LT,EQ,858.900000,879.600000,841.500000,871.650000,862.900000,6778688,58136.38,212650,
2020-05-15,LT,EQ,881.950000,885.000000,854.000000,864.400000,871.650000,5654025,49079.92,151401,
2020-05-18,LT,EQ,869.900000,870.000000,810.000000,813.350000,864.400000,6211450,51426.10,189719,
2020-05-19,LT,EQ,827.100000,833.800000,791.700000,796.350000,813.350000,5533176,45081.39,188008,
2020-05-20,LT,EQ,800.000000,841.000000,800.000000,835.000000,796.350000,5950015,49049.94,237183,
2020-05-21,LT,EQ,835.950000,845.000000,818.100000,820.500000,835.000000,4701980,38811.93,142535,
2020-05-22,LT,EQ,815.000000,826.500000,810.100000,815.700000,820.500000,4609134,37658.14,131973,
