date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TCS,EQ,2168.000000,2183.900000,2154.000000,2167.600000,2161.700000,1354908,29408.82,44438,
2020-01-02,TCS,EQ,2179.950000,2179.950000,2149.200000,2157.650000,2167.600000,2380752,51391.56,99242,
2020-01-03,TCS,EQ,2164.000000,2223.000000,2164.000000,2200.650000,2157.650000,4655761,102392.06,123516,
2020-01-06,TCS,EQ,2205.000000,2225.950000,2187.900000,2200.450000,2200.650000,3023209,66658.55,135360,
2020-01-07,TCS,EQ,2200.500000,2214.650000,2183.800000,2205.850000,2200.450000,2429317,53530.64,95018,
2020-01-08,TCS,EQ,2205.000000,2260.000000,2202.050000,2255.250000,2205.850000,5197454,116434.24,172815,
2020-01-09,TCS,EQ,2248.750000,2251.950000,2210.000000,2214.350000,2255.250000,3734173,83039.24,134309,
2020-01-10,TCS,EQ,2228.000000,2234.000000,2208.000000,2213.550000,2214.350000,1915807,42521.50,102938,
2020-01-13,TCS,EQ,2217.850000,2218.950000,2184.700000,2190.350000,2213.550000,2843893,62498.73,113645,
2020-01-14,TCS,EQ,2195.000000,2229.800000,2195.000000,2206.900000,2190.350000,2948452,65236.22,132106,
2020-01-15,TCS,EQ,2213.000000,2231.000000,2194.200000,2226.900000,2206.900000,2620681,57986.45,114594,
2020-01-16,TCS,EQ,2226.950000,2249.000000,2215.000000,2238.800000,2226.900000,3117214,69694.83,113056,
2020-01-17,TCS,EQ,2240.750000,2253.550000,2213.000000,2219.100000,2238.800000,3281059,73245.50,123528,
2020-01-20,TCS,EQ,2194.900000,2242.200000,2156.200000,2170.350000,2219.100000,5817599,126967.98,216725,
2020-01-21,TCS,EQ,2169.950000,2186.550000,2158.050000,2171.050000,2170.350000,1902980,41312.69,115866,
2020-01-22,TCS,EQ,2181.000000,2210.000000,2173.700000,2206.900000,2171.050000,1773686,39001.38,109240,
2020-01-23,TCS,EQ,2209.800000,2217.750000,2183.700000,2190.950000,2206.900000,2069866,45553.83,110107,
2020-01-24,TCS,EQ,2190.950000,2190.950000,2170.000000,2183.400000,2190.950000,1319430,28759.88,55949,
2020-01-27,TCS,EQ,2189.700000,2193.450000,2165.000000,2169.250000,2183.400000,1549101,33661.88,62160,
2020-01-28,TCS,EQ,2174.000000,2187.800000,2152.000000,2183.750000,2169.250000,1743024,37814.54,79762,
