date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-06,ABB,EQ,1321.950000,1340.000000,1275.000000,1287.000000,1322.250000,31293,404.73,2997,
2020-01-07,ABB,EQ,1298.000000,1315.000000,1289.000000,1306.750000,1287.000000,27246,354.99,2127,
2020-01-08,ABB,EQ,1300.000000,1318.000000,1285.050000,1310.700000,1306.750000,16798,218.49,2054,
2020-01-09,ABB,EQ,1319.000000,1339.000000,1285.000000,1322.100000,1310.700000,49113,645.08,2834,
2020-01-10,ABB,EQ,1337.400000,1405.800000,1331.500000,1372.400000,1322.100000,147240,2029.92,10878,
2020-01-13,ABB,EQ,1379.400000,1411.000000,1370.100000,1376.850000,1372.400000,37463,519.17,3647,
2020-01-14,ABB,EQ,1372.000000,1411.000000,1362.000000,1369.200000,1376.850000,96552,1339.77,5496,
2020-01-15,ABB,EQ,1373.800000,1373.800000,1315.000000,1327.050000,1369.200000,89843,1197.50,12396,
2020-01-16,ABB,EQ,1332.000000,1345.000000,1295.100000,1306.350000,1327.050000,68577,903.20,9011,
2020-01-17,ABB,EQ,1307.150000,1314.750000,1292.050000,1302.750000,1306.350000,35098,457.76,4454,
2020-01-20,ABB,EQ,1303.000000,1316.000000,1280.000000,1290.600000,1302.750000,38416,499.53,3317,
2020-01-21,ABB,EQ,1290.000000,1319.450000,1286.000000,1310.150000,1290.600000,37591,492.43,2047,
2020-01-22,ABB,EQ,1315.000000,1315.350000,1295.000000,1303.300000,1310.150000,14625,190.83,1351,
2020-01-23,ABB,EQ,1309.000000,1320.000000,1302.000000,1316.400000,1303.300000,13495,177.09,1082,
2020-01-24,ABB,EQ,1318.000000,1364.850000,1301.450000,1329.050000,1316.400000,198401,2645.31,5750,
2020-01-27,ABB,EQ,1312.000000,1360.000000,1312.000000,1339.600000,1329.050000,45579,612.44,3895,
2020-01-28,ABB,EQ,1340.850000,1352.000000,1324.000000,1329.750000,1339.600000,18818,251.86,2073,
2020-01-29,ABB,EQ,1331.000000,1355.150000,1331.000000,1342.250000,1329.750000,17111,229.95,1338,
2020-01-30,ABB,EQ,1323.000000,1346.850000,1323.000000,1331.750000,1342.250000,22645,301.39,2198,
2020-01-31,ABB,EQ,1349.000000,1349.000000,1295.000000,1310.700000,1331.750000,16129,213.42,2299,
2020-02-03,ABB,EQ,1282.000000,1315.000000,1282.000000,1292.300000,1281.250000,20304,263.03,3495,
2020-02-04,ABB,EQ,1301.000000,1324.000000,1293.800000,1311.300000,1292.300000,21892,286.51,1867,
2020-02-05,ABB,EQ,1318.000000,1348.000000,1313.950000,1338.500000,1311.300000,38870,519.08,3713,
2020-02-06,ABB,EQ,1339.700000,1360.950000,1324.300000,1339.450000,1338.500000,25507,342.09,2070,
2020-02-07,ABB,EQ,1333.000000,1340.000000,1316.000000,1328.950000,1339.450000,35789,474.64,1913,
2020-02-10,ABB,EQ,1332.000000,1379.000000,1317.000000,1341.950000,1328.950000,186488,2537.60,8704,
2020-02-11,ABB,EQ,1349.000000,1365.000000,1322.000000,1334.200000,1341.950000,45537,612.04,3611,
2020-02-12,ABB,EQ,1339.800000,1344.000000,1255.200000,1274.450000,1334.200000,290668,3758.11,16576,
2020-02-13,ABB,EQ,1273.000000,1278.150000,1226.150000,1268.650000,1274.450000,208984,2601.43,12735,
2020-02-14,ABB,EQ,1268.850000,1280.000000,1229.350000,1233.100000,1268.650000,56198,699.31,4186,
2020-02-17,ABB,EQ,1254.000000,1254.000000,1213.000000,1223.500000,1233.100000,85129,1041.51,5258,
2020-02-18,ABB,EQ,1220.500000,1227.000000,1200.700000,1205.100000,1223.500000,41542,501.90,3432,
2020-02-19,ABB,EQ,1210.000000,1229.000000,1202.000000,1209.750000,1205.100000,40075,488.15,2924,
2020-02-20,ABB,EQ,1213.900000,1246.900000,1213.350000,1230.900000,1209.750000,48608,598.88,4641,
2020-02-24,ABB,EQ,1225.000000,1225.000000,1190.000000,1191.950000,1230.900000,44916,539.64,4395,
2020-02-25,ABB,EQ,1192.000000,1217.900000,1192.000000,1200.200000,1191.950000,24401,293.71,1956,
2020-02-26,ABB,EQ,1195.000000,1212.350000,1190.000000,1201.400000,1200.200000,25367,304.99,2002,
2020-02-27,ABB,EQ,1198.000000,1203.000000,1189.000000,1198.600000,1201.400000,40112,480.21,2688,
2020-02-28,ABB,EQ,1188.000000,1195.000000,1175.000000,1185.000000,1198.600000,39171,464.82,2436,
2020-03-02,ABB,EQ,1185.000000,1198.900000,1182.050000,1190.200000,1185.000000,99510,1185.16,2500,
2020-03-03,ABB,EQ,1199.000000,1204.850000,1154.000000,1161.000000,1190.200000,45482,530.34,3437,
2020-03-04,ABB,EQ,1168.950000,1178.650000,1150.000000,1157.150000,1161.000000,41444,479.77,4791,
2020-03-05,ABB,EQ,1167.800000,1185.000000,1160.000000,1180.550000,1157.150000,27103,318.84,2360,
2020-03-06,ABB,EQ,1168.000000,1221.000000,1155.000000,1191.900000,1180.550000,36939,432.08,2225,
2020-03-09,ABB,EQ,1180.000000,1192.750000,1096.700000,1129.850000,1191.900000,81699,936.15,9472,
2020-03-11,ABB,EQ,1130.000000,1143.000000,1096.500000,1109.450000,1129.850000,55300,613.86,5344,
2020-03-12,ABB,EQ,1087.950000,1087.950000,1000.000000,1038.600000,1109.450000,57759,591.99,5968,
2020-03-13,ABB,EQ,1008.700000,1029.950000,830.900000,1006.800000,1038.600000,113247,1127.43,9113,
2020-03-16,ABB,EQ,1000.000000,1018.450000,947.000000,963.850000,1006.800000,492097,4721.14,7345,
2020-03-17,ABB,EQ,980.000000,980.000000,920.000000,948.800000,963.850000,48674,460.86,8810,
2020-03-18,ABB,EQ,974.000000,974.000000,899.300000,905.100000,948.800000,32597,298.57,3746,
2020-03-19,ABB,EQ,880.000000,925.000000,835.000000,895.900000,905.100000,280603,2374.34,5218,
2020-03-20,ABB,EQ,898.500000,969.950000,851.050000,949.550000,895.900000,42124,385.96,4482,
2020-03-23,ABB,EQ,825.000000,999.000000,805.000000,863.050000,949.550000,58987,493.16,4831,
2020-03-24,ABB,EQ,900.000000,900.000000,821.200000,830.150000,863.050000,34599,290.95,2929,
2020-03-25,ABB,EQ,801.000000,850.000000,801.000000,834.550000,830.150000,58627,486.99,6063,
2020-03-26,ABB,EQ,835.700000,870.200000,829.550000,861.300000,834.550000,29477,252.90,2814,
2020-03-27,ABB,EQ,915.150000,915.150000,835.000000,852.500000,861.300000,34666,298.32,3979,
2020-03-30,ABB,EQ,839.550000,889.000000,826.000000,881.400000,852.500000,30325,257.25,4139,
2020-03-31,ABB,EQ,910.000000,949.000000,866.750000,935.400000,881.400000,141102,1254.13,3370,
2020-04-01,ABB,EQ,935.400000,949.000000,904.900000,929.650000,935.400000,14021,129.15,1785,
2020-04-03,ABB,EQ,914.300000,949.000000,893.000000,934.150000,929.650000,40418,372.34,3299,
2020-04-07,ABB,EQ,969.900000,1050.000000,911.000000,931.350000,934.150000,162985,1583.07,8967,
2020-04-08,ABB,EQ,935.000000,965.000000,910.000000,930.700000,931.350000,87757,823.59,4699,
2020-04-09,ABB,EQ,943.000000,948.000000,916.350000,926.850000,930.700000,75668,707.07,5078,
2020-04-13,ABB,EQ,930.000000,934.000000,897.500000,907.200000,926.850000,63007,575.90,3007,
2020-04-15,ABB,EQ,915.000000,934.400000,901.000000,915.850000,907.200000,32470,299.03,2806,
2020-04-16,ABB,EQ,914.800000,928.050000,898.950000,900.150000,915.850000,140790,1272.93,3294,
2020-04-17,ABB,EQ,918.400000,933.000000,913.800000,924.900000,900.150000,40359,372.57,2785,
