date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2023-08-24,ADANIENSOL,EQ,907.950000,934.000000,892.050000,895.150000,890.400000,1134578,10321.84,37263,
2023-08-25,ADANIENSOL,EQ,895.150000,898.850000,865.000000,874.550000,895.150000,983333,8648.71,35611,
2023-08-28,ADANIENSOL,EQ,895.000000,899.000000,860.000000,864.950000,874.550000,995290,8696.68,32281,
2023-08-29,ADANIENSOL,EQ,869.100000,875.100000,852.600000,857.150000,864.950000,1218219,10514.56,32322,
2023-08-30,ADANIENSOL,EQ,861.850000,864.850000,840.000000,841.700000,857.150000,857053,7283.72,26966,
2023-08-31,ADANIENSOL,EQ,820.000000,830.750000,800.100000,811.950000,841.700000,1636383,13390.80,48876,
2023-09-01,ADANIENSOL,EQ,803.850000,835.850000,791.050000,824.900000,811.950000,1204025,9837.53,38962,
2023-09-04,ADANIENSOL,EQ,830.000000,834.900000,815.000000,817.600000,824.900000,825805,6784.73,26358,
2023-09-05,ADANIENSOL,EQ,821.650000,825.850000,811.500000,813.450000,817.600000,684436,5593.85,25455,
2023-09-06,ADANIENSOL,EQ,815.050000,859.450000,809.000000,855.950000,813.450000,8646350,72273.86,113875,
2023-09-07,ADANIENSOL,EQ,858.900000,858.900000,833.100000,839.400000,855.950000,6099751,51641.62,78843,
2023-09-08,ADANIENSOL,EQ,843.800000,846.000000,831.000000,833.000000,839.400000,937304,7865.23,25814,
2023-09-11,ADANIENSOL,EQ,843.400000,877.000000,838.000000,874.900000,833.000000,6691473,57315.89,98345,
2023-09-12,ADANIENSOL,EQ,880.000000,888.750000,834.200000,852.300000,874.900000,5946118,51178.30,87912,
2023-09-13,ADANIENSOL,EQ,852.300000,854.900000,832.000000,836.900000,852.300000,703403,5913.32,24446,
2023-09-14,ADANIENSOL,EQ,840.900000,855.100000,835.000000,851.750000,836.900000,4528205,38288.67,60858,
2023-09-15,ADANIENSOL,EQ,853.200000,859.900000,839.050000,846.100000,851.750000,7152425,60626.36,80190,
2023-09-18,ADANIENSOL,EQ,873.850000,873.850000,846.200000,855.100000,846.100000,6408916,54856.71,78911,
2023-09-20,ADANIENSOL,EQ,859.000000,860.000000,843.950000,855.200000,855.100000,4608210,39275.38,60967,
2023-09-21,ADANIENSOL,EQ,853.500000,857.000000,844.650000,847.350000,855.200000,771656,6570.02,18783,
2023-09-22,ADANIENSOL,EQ,855.000000,858.000000,835.000000,839.100000,847.350000,543417,4590.04,15581,
2023-09-25,ADANIENSOL,EQ,838.000000,844.000000,827.600000,830.400000,839.100000,404295,3374.26,16695,
2023-09-26,ADANIENSOL,EQ,825.000000,837.250000,811.650000,817.850000,830.400000,584558,4821.13,24000,
2023-09-27,ADANIENSOL,EQ,822.600000,822.750000,812.550000,816.200000,817.850000,443309,3624.86,15224,
2023-09-28,ADANIENSOL,EQ,817.000000,839.650000,816.400000,830.500000,816.200000,861650,7141.30,29394,
2023-09-29,ADANIENSOL,EQ,825.050000,825.900000,807.200000,810.250000,830.500000,1106739,9006.50,36014,
2023-10-03,ADANIENSOL,EQ,815.900000,816.800000,806.700000,807.750000,810.250000,506021,4099.13,21880,
2023-10-04,ADANIENSOL,EQ,807.700000,826.950000,801.050000,808.100000,807.750000,711980,5798.26,23436,
2023-10-05,ADANIENSOL,EQ,812.500000,815.500000,805.300000,807.700000,808.100000,252701,2047.18,12203,
2023-10-06,ADANIENSOL,EQ,810.350000,815.900000,804.500000,806.000000,807.700000,265517,2147.77,10586,
2023-10-09,ADANIENSOL,EQ,806.000000,806.000000,772.400000,778.900000,806.000000,559255,4389.16,25509,
2023-10-10,ADANIENSOL,EQ,778.000000,790.300000,777.150000,786.000000,778.900000,360806,2833.40,13335,
2023-10-11,ADANIENSOL,EQ,792.000000,807.000000,791.200000,798.200000,786.000000,655215,5232.65,17275,
2023-10-12,ADANIENSOL,EQ,801.100000,806.950000,792.000000,793.700000,798.200000,230980,1840.96,11180,
2023-10-13,ADANIENSOL,EQ,792.850000,793.700000,783.000000,785.200000,793.700000,269417,2120.24,16917,
2023-10-16,ADANIENSOL,EQ,786.000000,786.650000,773.000000,774.750000,785.200000,312993,2432.21,16769,
2023-10-17,ADANIENSOL,EQ,778.000000,787.000000,771.000000,774.900000,774.750000,351835,2743.21,15793,
2023-10-18,ADANIENSOL,EQ,775.000000,779.450000,762.150000,764.900000,774.900000,346049,2662.34,14519,
