date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ADANIENT,EQ,137.768555,138.724365,136.219482,137.010498,137.340088,2356151,3233.77,10641,
2020-01-02,ADANIENT,EQ,137.109375,140.537109,136.779785,139.218750,137.010498,4538879,6305.94,19649,
2020-01-03,ADANIENT,EQ,138.592529,139.976807,135.659180,137.307129,139.218750,3811436,5246.74,14792,
2020-01-06,ADANIENT,EQ,136.944580,136.944580,130.352783,131.539307,137.307129,6603934,8742.54,25330,
2020-01-07,ADANIENT,EQ,132.198486,135.593262,132.198486,134.505615,131.539307,4499714,6034.38,17757,
2020-01-08,ADANIENT,EQ,132.495117,134.176025,128.243408,132.824707,134.505615,8742160,11490.29,35823,
2020-01-09,ADANIENT,EQ,133.088379,137.702637,133.088379,137.109375,132.824707,5303657,7198.31,20369,
2020-01-10,ADANIENT,EQ,137.109375,140.405273,135.725098,137.834473,137.109375,4200876,5777.50,16595,
2020-01-13,ADANIENT,EQ,138.856201,142.547607,138.164062,140.800781,137.834473,5350995,7534.32,20596,
2020-01-14,ADANIENT,EQ,140.701904,142.053223,139.647217,141.295166,140.800781,2693017,3795.06,10469,
2020-01-15,ADANIENT,EQ,141.394043,143.701172,140.075684,142.778320,141.295166,3006887,4269.38,11161,
2020-01-16,ADANIENT,EQ,143.503418,146.667480,143.041992,145.019531,142.778320,6493493,9421.80,27655,
2020-01-17,ADANIENT,EQ,142.382812,151.116943,140.866699,150.556641,145.019531,16400299,24047.53,48991,
2020-01-20,ADANIENT,EQ,151.314697,153.094482,147.755127,149.337158,150.556641,6897007,10340.66,31281,
2020-01-21,ADANIENT,EQ,147.886963,149.633789,145.349121,147.821045,149.337158,4268223,6303.69,19279,
2020-01-22,ADANIENT,EQ,148.183594,150.292969,145.777588,148.908691,147.821045,4459127,6628.59,19573,
2020-01-23,ADANIENT,EQ,148.974609,152.402344,148.809814,151.347656,148.908691,4020288,6069.62,15737,
2020-01-24,ADANIENT,EQ,148.645020,153.193359,144.360352,151.446533,151.347656,10854089,16229.49,41155,
2020-01-27,ADANIENT,EQ,151.281738,155.863037,149.007568,151.973877,151.446533,8031156,12343.87,36646,
2020-01-28,ADANIENT,EQ,153.094482,154.577637,151.018066,151.545410,151.973877,3279396,5009.71,16321,
2020-01-29,ADANIENT,EQ,152.731934,157.115479,152.270508,153.127441,151.545410,5670967,8772.51,23294,
2020-01-30,ADANIENT,EQ,153.127441,153.424072,150.424805,152.600098,153.127441,3325532,5054.17,12795,
2020-01-31,ADANIENT,EQ,152.270508,154.610596,149.732666,151.248779,152.600098,4126808,6296.00,18857,
2020-02-03,ADANIENT,EQ,146.140137,148.084717,142.119141,145.612793,146.865234,4127272,6007.92,16315,
2020-02-04,ADANIENT,EQ,146.766357,149.732666,146.370850,148.612061,145.612793,3076685,4567.12,11967,
2020-02-05,ADANIENT,EQ,149.468994,157.741699,146.700439,155.731201,148.612061,13631972,20781.27,58565,
2020-02-06,ADANIENT,EQ,156.489258,160.576172,154.313965,155.895996,155.731201,13429836,21157.80,55491,
2020-02-07,ADANIENT,EQ,155.830078,159.620361,155.072021,157.873535,155.895996,7664743,12102.45,38871,
2020-02-10,ADANIENT,EQ,157.873535,161.597900,156.588135,161.169434,157.873535,8477523,13545.99,41378,
2020-02-11,ADANIENT,EQ,161.630859,163.872070,160.609131,161.696777,161.169434,5360831,8705.12,23934,
2020-02-12,ADANIENT,EQ,162.092285,165.717773,161.499023,164.597168,161.696777,6811970,11194.44,31166,
2020-02-13,ADANIENT,EQ,164.663086,166.607666,163.641357,165.750732,164.597168,3888390,6428.52,18466,
2020-02-14,ADANIENT,EQ,166.442871,170.463867,165.816650,168.848877,165.750732,7537133,12718.77,38927,
2020-02-17,ADANIENT,EQ,169.343262,169.672852,165.882568,166.442871,168.848877,3658371,6145.10,18128,
2020-02-18,ADANIENT,EQ,165.882568,165.882568,161.663818,164.432373,166.442871,3687077,6034.79,16739,
2020-02-19,ADANIENT,EQ,164.794922,168.420410,164.729004,167.431641,164.432373,3188401,5322.31,13713,
2020-02-20,ADANIENT,EQ,166.904297,172.045898,166.541748,170.496826,167.431641,4715214,8000.11,18560,
2020-02-24,ADANIENT,EQ,167.958984,168.651123,160.905762,162.982178,170.496826,5020200,8282.64,18619,
2020-02-25,ADANIENT,EQ,164.663086,165.948486,159.785156,162.454834,162.982178,5021335,8182.37,18849,
2020-02-26,ADANIENT,EQ,160.839844,162.355957,158.862305,160.048828,162.454834,4395448,7070.99,17903,
2020-02-27,ADANIENT,EQ,159.158936,159.158936,152.962646,154.346924,160.048828,5412872,8446.82,20571,
2020-02-28,ADANIENT,EQ,145.678711,149.501953,143.041992,144.129639,154.346924,5103587,7444.74,18914,
2020-03-02,ADANIENT,EQ,146.997070,149.436035,142.481689,144.096680,144.129639,4797803,7025.62,19406,
2020-03-03,ADANIENT,EQ,145.678711,150.721436,144.525146,148.809814,144.096680,4539233,6693.58,17147,
2020-03-04,ADANIENT,EQ,149.040527,149.633789,140.767822,145.744629,148.809814,7914059,11464.74,23482,
2020-03-05,ADANIENT,EQ,147.491455,149.534912,144.591064,146.173096,145.744629,4792441,7052.73,22545,
2020-03-06,ADANIENT,EQ,141.789551,142.877197,136.779785,141.558838,146.173096,6637380,9301.58,28384,
2020-03-09,ADANIENT,EQ,136.450195,137.438965,130.023193,131.638184,141.558838,4193074,5621.14,17488,
2020-03-11,ADANIENT,EQ,130.122070,135.131836,126.727295,129.034424,131.638184,5708900,7501.24,21387,
2020-03-12,ADANIENT,EQ,118.718262,121.223145,105.765381,106.885986,129.034424,7333949,8293.22,31733,
2020-03-13,ADANIENT,EQ,96.207275,106.358643,85.528564,98.052979,106.885986,11322673,11214.39,53874,
2020-03-16,ADANIENT,EQ,92.944336,93.801270,84.803467,88.791504,98.052979,9986426,9044.39,40424,
2020-03-17,ADANIENT,EQ,89.450684,93.966064,86.022949,87.934570,88.791504,9690927,8628.10,36452,
2020-03-18,ADANIENT,EQ,89.582520,90.307617,83.781738,85.825195,87.934570,6456036,5590.99,35656,
2020-03-19,ADANIENT,EQ,79.760742,87.637939,77.915039,84.968262,85.825195,8369615,6942.75,29278,
2020-03-20,ADANIENT,EQ,90.966797,93.339844,84.836426,90.769043,84.968262,6821207,6093.60,27480,
2020-03-23,ADANIENT,EQ,81.112061,88.989258,77.915039,79.694824,90.769043,2209023,1842.63,14699,
2020-03-24,ADANIENT,EQ,82.397461,87.637939,76.728516,85.924072,79.694824,7776215,6439.65,19507,
2020-03-25,ADANIENT,EQ,83.056641,88.923340,82.397461,87.209473,85.924072,4204192,3594.45,19080,
2020-03-26,ADANIENT,EQ,88.989258,100.195312,87.044678,92.449951,87.209473,12106342,11365.50,34716,
2020-03-27,ADANIENT,EQ,96.240234,99.536133,83.221436,84.375000,92.449951,6642143,6029.92,32564,
2020-03-30,ADANIENT,EQ,81.738281,85.561523,79.760742,84.836426,84.375000,3637251,3050.29,22668,
2020-03-31,ADANIENT,EQ,86.813965,91.263428,85.330811,90.703125,84.836426,3337826,2954.66,16220,
2020-04-01,ADANIENT,EQ,91.593018,91.593018,86.879883,88.297119,90.703125,3030445,2693.89,15540,
2020-04-03,ADANIENT,EQ,88.330078,88.725586,84.375000,85.067139,88.297119,2672939,2284.94,14137,
2020-04-07,ADANIENT,EQ,86.352539,93.273926,86.352539,91.065674,85.067139,3737259,3352.56,17669,
2020-04-08,ADANIENT,EQ,90.208740,96.998291,88.923340,91.032715,91.065674,4911089,4564.92,23696,
2020-04-09,ADANIENT,EQ,92.285156,96.405029,92.285156,93.900146,91.032715,3579491,3371.85,16405,
2020-04-13,ADANIENT,EQ,93.603516,98.217773,90.010986,96.240234,93.900146,3344399,3137.76,16097,
2020-04-15,ADANIENT,EQ,97.591553,99.503174,94.394531,95.745850,96.240234,5178433,5021.25,29711,
2020-04-16,ADANIENT,EQ,93.603516,95.482178,92.647705,94.460449,95.745850,4074299,3823.22,20157,
2020-04-17,ADANIENT,EQ,96.866455,97.921143,93.306885,94.855957,94.460449,3616666,3445.95,26603,
2020-04-20,ADANIENT,EQ,96.240234,102.469482,93.999023,96.701660,94.855957,10369355,10277.30,47481,
2020-04-21,ADANIENT,EQ,94.262695,94.262695,88.428955,89.615479,96.701660,5425194,4895.57,29177,
2020-04-22,ADANIENT,EQ,89.648438,91.494141,87.077637,90.703125,89.615479,9120674,8111.87,27169,
2020-04-23,ADANIENT,EQ,92.614746,93.933105,90.637207,92.614746,90.703125,5114349,4748.49,24817,
2020-04-24,ADANIENT,EQ,90.406494,92.647705,88.395996,88.758545,92.614746,2765812,2506.00,13960,
2020-04-27,ADANIENT,EQ,89.912109,91.197510,88.395996,88.725586,88.758545,4546458,4072.81,20929,
2020-04-28,ADANIENT,EQ,89.615479,93.537598,89.022217,91.823730,88.725586,8679286,8003.30,42803,
2020-04-29,ADANIENT,EQ,92.285156,92.746582,89.417725,91.955566,91.823730,7242889,6567.30,34981,
2020-04-30,ADANIENT,EQ,93.240967,97.196045,92.482910,93.208008,91.955566,7433970,7031.20,42301,
2020-05-04,ADANIENT,EQ,90.241699,90.637207,85.693359,86.715088,93.208008,9122484,7967.88,37151,
2020-05-05,ADANIENT,EQ,88.989258,89.879150,86.879883,87.473145,86.715088,4721757,4179.88,24886,
2020-05-06,ADANIENT,EQ,88.099365,89.252930,83.913574,87.835693,87.473145,10146687,8796.68,51885,
2020-05-07,ADANIENT,EQ,86.418457,89.417725,85.693359,88.923340,87.835693,3676506,3254.48,21123,
2020-05-08,ADANIENT,EQ,90.241699,91.856689,89.780273,90.406494,88.923340,3688638,3344.48,19115,
2020-05-11,ADANIENT,EQ,90.867920,94.460449,90.637207,92.318115,90.406494,4400503,4093.56,22483,
2020-05-12,ADANIENT,EQ,91.296387,92.746582,87.802734,92.219238,92.318115,4402367,3988.99,20537,
