date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ADANIGREEN,EQ,211.687500,218.437500,210.125000,218.437500,208.062500,4334362,9395.12,35158,
2020-01-02,ADANIGREEN,EQ,223.937500,229.312500,221.937500,229.312500,218.437500,2469607,5593.24,23173,
2020-01-03,ADANIGREEN,EQ,234.750000,240.750000,228.750000,240.750000,229.312500,2936032,6996.43,23947,
2020-01-06,ADANIGREEN,EQ,250.000000,252.750000,231.937500,250.750000,240.750000,7597767,18785.20,73862,
2020-01-07,ADANIGREEN,EQ,260.000000,263.250000,253.750000,263.250000,250.750000,1701438,4454.80,15650,
2020-01-08,ADANIGREEN,EQ,269.750000,276.375000,268.062500,276.375000,263.250000,945070,2597.32,7085,
2020-01-09,ADANIGREEN,EQ,290.187500,290.187500,290.187500,290.187500,276.375000,218438,633.88,1276,
2020-01-10,ADANIGREEN,EQ,304.687500,304.687500,275.687500,275.687500,290.187500,2670037,7835.77,24049,
2020-01-13,ADANIGREEN,EQ,261.937500,261.937500,261.937500,261.937500,275.687500,95029,248.92,1642,
2020-01-14,ADANIGREEN,EQ,248.875000,248.875000,248.875000,248.875000,261.937500,64546,160.64,1425,
2020-01-15,ADANIGREEN,EQ,236.437500,236.437500,236.437500,236.437500,248.875000,41858,98.97,1191,
2020-01-16,ADANIGREEN,EQ,224.625000,224.625000,224.625000,224.625000,236.437500,48379,108.67,2210,
2020-01-17,ADANIGREEN,EQ,218.875000,235.812500,215.375000,235.812500,224.625000,5362813,12210.71,40912,
2020-01-20,ADANIGREEN,EQ,247.562500,247.562500,231.250000,247.562500,235.812500,2272491,5537.84,28053,
2020-01-21,ADANIGREEN,EQ,248.750000,258.750000,240.000000,252.812500,247.562500,2805527,7085.35,39015,
2020-01-22,ADANIGREEN,EQ,255.000000,261.187500,243.187500,247.062500,252.812500,1403534,3533.89,21152,
2020-01-23,ADANIGREEN,EQ,249.000000,249.875000,237.500000,240.250000,247.062500,1068954,2583.08,17717,
2020-01-24,ADANIGREEN,EQ,234.375000,243.625000,228.250000,237.812500,240.250000,2014492,4710.20,28679,
2020-01-27,ADANIGREEN,EQ,236.250000,242.625000,233.125000,238.437500,237.812500,705281,1692.42,9913,
2020-01-28,ADANIGREEN,EQ,239.375000,245.625000,232.625000,234.562500,238.437500,765819,1826.68,11900,
2020-01-29,ADANIGREEN,EQ,235.000000,238.750000,231.312500,232.875000,234.562500,505464,1179.78,10351,
2020-01-30,ADANIGREEN,EQ,233.625000,234.875000,222.062500,225.562500,232.875000,819306,1850.60,13500,
2020-01-31,ADANIGREEN,EQ,228.125000,236.812500,221.062500,236.812500,225.562500,689605,1602.73,10219,
2020-02-03,ADANIGREEN,EQ,233.562500,245.187500,232.500000,245.187500,233.562500,936800,2252.51,15053,
2020-02-04,ADANIGREEN,EQ,252.375000,257.437500,237.625000,247.500000,245.187500,3187359,7947.37,57318,
2020-02-05,ADANIGREEN,EQ,245.000000,254.750000,238.500000,241.562500,247.500000,1056650,2586.48,19187,
2020-02-06,ADANIGREEN,EQ,241.250000,253.625000,238.125000,253.625000,241.562500,2168816,5415.43,19713,
2020-02-07,ADANIGREEN,EQ,261.187500,266.250000,257.812500,266.250000,253.625000,2139885,5674.67,13050,
2020-02-10,ADANIGREEN,EQ,274.875000,277.062500,258.750000,266.687500,266.250000,1651045,4426.13,26793,
2020-02-11,ADANIGREEN,EQ,269.875000,271.250000,260.187500,264.062500,266.687500,881794,2346.25,15173,
2020-02-12,ADANIGREEN,EQ,265.125000,266.812500,256.062500,259.562500,264.062500,703666,1831.35,12339,
2020-02-13,ADANIGREEN,EQ,260.000000,261.187500,247.500000,249.937500,259.562500,743726,1875.40,14455,
2020-02-14,ADANIGREEN,EQ,251.250000,262.375000,251.250000,258.500000,249.937500,1179620,3047.83,18610,
