date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ADANIPORTS,EQ,368.000000,379.250000,366.000000,377.650000,366.000000,11377167,42744.59,89107,
2020-01-02,ADANIPORTS,EQ,377.950000,384.700000,376.500000,383.150000,377.650000,5919760,22593.37,54749,
2020-01-03,ADANIPORTS,EQ,382.700000,384.350000,379.200000,382.500000,383.150000,3684824,14076.36,41829,
2020-01-06,ADANIPORTS,EQ,388.000000,388.000000,374.750000,380.200000,382.500000,12482680,47650.71,97444,
2020-01-07,ADANIPORTS,EQ,384.050000,389.750000,382.400000,384.800000,380.200000,8091465,31191.78,58470,
2020-01-08,ADANIPORTS,EQ,379.000000,387.600000,378.250000,385.650000,384.800000,4620991,17729.22,37166,
2020-01-09,ADANIPORTS,EQ,389.150000,394.000000,386.050000,391.800000,385.650000,4186783,16382.84,45704,
2020-01-10,ADANIPORTS,EQ,391.800000,394.300000,390.000000,392.050000,391.800000,2405154,9438.08,26327,
2020-01-13,ADANIPORTS,EQ,391.900000,393.900000,389.300000,390.350000,392.050000,1516112,5931.68,19174,
2020-01-14,ADANIPORTS,EQ,391.000000,392.600000,386.000000,389.200000,390.350000,1963128,7647.22,33582,
2020-01-15,ADANIPORTS,EQ,389.300000,391.400000,386.000000,390.800000,389.200000,1536571,5974.71,24601,
2020-01-16,ADANIPORTS,EQ,392.000000,394.600000,389.800000,390.950000,390.800000,1340762,5256.74,16681,
2020-01-17,ADANIPORTS,EQ,390.900000,392.400000,386.000000,387.600000,390.950000,1644832,6398.91,25587,
2020-01-20,ADANIPORTS,EQ,387.650000,389.200000,378.800000,380.050000,387.600000,1760945,6729.89,27756,
2020-01-21,ADANIPORTS,EQ,378.800000,382.000000,375.300000,379.950000,380.050000,2005178,7592.76,28978,
2020-01-22,ADANIPORTS,EQ,379.950000,385.000000,379.000000,383.600000,379.950000,1817459,6958.98,24026,
2020-01-23,ADANIPORTS,EQ,384.450000,386.750000,380.750000,385.850000,383.600000,1202104,4620.87,22112,
2020-01-24,ADANIPORTS,EQ,383.000000,387.400000,380.300000,384.750000,385.850000,1572385,6040.84,23068,
2020-01-27,ADANIPORTS,EQ,383.700000,386.250000,379.800000,381.250000,384.750000,1076027,4118.76,21136,
2020-01-28,ADANIPORTS,EQ,380.700000,381.500000,370.200000,372.950000,381.250000,2220618,8335.46,42216,
2020-01-29,ADANIPORTS,EQ,377.500000,387.750000,373.750000,383.350000,372.950000,3588224,13772.05,46533,
2020-01-30,ADANIPORTS,EQ,381.000000,383.700000,376.850000,378.000000,383.350000,1526892,5798.86,21621,
2020-01-31,ADANIPORTS,EQ,380.050000,381.550000,368.250000,369.400000,378.000000,2912256,10831.86,41584,
2020-02-03,ADANIPORTS,EQ,364.000000,370.000000,355.500000,367.350000,362.300000,2857926,10429.29,28177,
2020-02-04,ADANIPORTS,EQ,370.100000,376.000000,366.350000,372.500000,367.350000,3061868,11400.64,37727,
2020-02-05,ADANIPORTS,EQ,372.000000,372.500000,361.100000,366.600000,372.500000,3441871,12586.01,36629,
2020-02-06,ADANIPORTS,EQ,370.000000,373.200000,367.650000,370.200000,366.600000,4172547,15470.64,27386,
2020-02-07,ADANIPORTS,EQ,370.200000,373.700000,367.200000,369.550000,370.200000,2197903,8130.02,21700,
2020-02-10,ADANIPORTS,EQ,370.050000,373.450000,366.150000,368.250000,369.550000,1537598,5671.64,19031,
2020-02-11,ADANIPORTS,EQ,370.500000,378.400000,369.050000,374.200000,368.250000,2836917,10629.21,38209,
