date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ADANIPOWER,EQ,7.848715,8.166219,7.816964,8.115418,7.848715,129253207,10382.71,35031,
2020-01-02,ADANIPOWER,EQ,8.128119,8.236070,8.051918,8.185270,8.115418,86584704,7058.18,26941,
2020-01-03,ADANIPOWER,EQ,8.178919,8.248770,7.963016,8.032867,8.185270,63890658,5183.30,18570,
2020-01-06,ADANIPOWER,EQ,8.001117,8.032867,7.556610,7.632811,8.032867,76383688,5891.09,19296,
2020-01-07,ADANIPOWER,EQ,7.664562,7.842365,7.575661,7.747113,7.632811,68534590,5299.84,18340,
2020-01-08,ADANIPOWER,EQ,7.670912,7.689962,7.366108,7.601061,7.747113,87789419,6648.68,21635,
2020-01-09,ADANIPOWER,EQ,7.664562,7.823314,7.632811,7.766163,7.601061,72982753,5641.69,17962,
2020-01-10,ADANIPOWER,EQ,7.778864,7.937616,7.740763,7.772513,7.766163,54418371,4261.94,16153,
2020-01-13,ADANIPOWER,EQ,7.785214,7.963016,7.715363,7.912216,7.772513,89794098,7054.10,15823,
2020-01-14,ADANIPOWER,EQ,7.924916,8.032867,7.886815,7.931266,7.912216,45928676,3658.42,14382,
2020-01-15,ADANIPOWER,EQ,7.899515,8.134469,7.836014,8.039217,7.931266,76852870,6170.29,18975,
2020-01-16,ADANIPOWER,EQ,8.013817,8.286871,7.975716,8.248770,8.039217,68988190,5628.87,17843,
2020-01-17,ADANIPOWER,EQ,8.191620,8.375772,8.153519,8.204320,8.248770,69631172,5745.30,24948,
2020-01-20,ADANIPOWER,EQ,8.204320,8.280521,7.994767,8.045567,8.204320,48782579,3956.37,12128,
2020-01-21,ADANIPOWER,EQ,7.988417,8.070968,7.924916,7.969366,8.045567,36622087,2929.06,11527,
2020-01-22,ADANIPOWER,EQ,7.988417,8.051918,7.905865,7.937616,7.969366,26412457,2105.14,9138,
2020-01-23,ADANIPOWER,EQ,7.950316,8.090018,7.912216,8.045567,7.937616,35220486,2825.22,11974,
2020-01-24,ADANIPOWER,EQ,8.026517,8.185270,7.943966,8.070968,8.045567,42754021,3456.85,15573,
2020-01-27,ADANIPOWER,EQ,8.045567,8.286871,7.963016,8.217020,8.070968,66129294,5389.80,19422,
2020-01-28,ADANIPOWER,EQ,8.210670,8.305921,8.070968,8.102718,8.217020,58616365,4803.92,20371,
2020-01-29,ADANIPOWER,EQ,8.140819,8.267821,8.109068,8.134469,8.102718,46512959,3806.62,12018,
2020-01-30,ADANIPOWER,EQ,8.147169,8.147169,7.899515,7.963016,8.134469,35503379,2843.11,9981,
2020-01-31,ADANIPOWER,EQ,7.975716,8.026517,7.683612,7.753463,7.963016,45306685,3545.63,11499,
2020-02-03,ADANIPOWER,EQ,7.620111,7.626461,7.404208,7.493109,7.601061,49923318,3742.02,12971,
2020-02-04,ADANIPOWER,EQ,7.499459,7.709013,7.499459,7.677262,7.493109,44435650,3398.42,10899,
2020-02-05,ADANIPOWER,EQ,7.696312,7.956666,7.683612,7.874115,7.677262,38943935,3040.53,16839,
2020-02-06,ADANIPOWER,EQ,7.912216,7.918566,7.683612,7.721713,7.874115,82610715,6428.39,32478,
2020-02-07,ADANIPOWER,EQ,7.709013,7.848715,7.645512,7.728063,7.721713,38407124,2976.24,10460,
2020-02-10,ADANIPOWER,EQ,7.747113,7.747113,7.518510,7.607411,7.728063,48962844,3724.80,17927,
2020-02-11,ADANIPOWER,EQ,7.594711,7.747113,7.556610,7.639162,7.607411,45073712,3441.78,17046,
2020-02-12,ADANIPOWER,EQ,7.639162,7.759813,7.594711,7.677262,7.639162,37702544,2890.34,17631,
2020-02-13,ADANIPOWER,EQ,7.696312,7.766163,7.569311,7.632811,7.677262,49581678,3812.99,11298,
2020-02-14,ADANIPOWER,EQ,7.651862,7.683612,7.480409,7.569311,7.632811,58481697,4426.08,10606,
2020-02-17,ADANIPOWER,EQ,7.531210,7.550260,7.181955,7.308957,7.569311,38418762,2845.70,11523,
2020-02-18,ADANIPOWER,EQ,7.124804,7.239106,7.016852,7.207355,7.308957,70995270,5081.90,16258,
2020-02-19,ADANIPOWER,EQ,7.270856,7.505810,7.169255,7.423258,7.207355,56271911,4124.81,11967,
2020-02-20,ADANIPOWER,EQ,7.397858,7.480409,7.264506,7.321657,7.423258,35579709,2623.04,9164,
2020-02-24,ADANIPOWER,EQ,7.239106,7.334357,7.086703,7.118454,7.321657,22497986,1623.75,8385,
2020-02-25,ADANIPOWER,EQ,7.124804,7.251806,7.074003,7.118454,7.118454,34148383,2443.16,8916,
2020-02-26,ADANIPOWER,EQ,7.054953,7.131154,6.832700,6.915251,7.118454,71707851,5004.47,12907,
2020-02-27,ADANIPOWER,EQ,6.921601,6.947001,6.654897,6.705698,6.915251,48286326,3253.59,10466,
2020-02-28,ADANIPOWER,EQ,6.477095,6.565996,5.905586,6.007188,6.705698,100919227,6226.80,23633,
2020-03-02,ADANIPOWER,EQ,6.248491,6.356443,5.899236,5.975437,6.007188,74784680,4623.18,21981,
2020-03-03,ADANIPOWER,EQ,6.102439,6.305642,6.064339,6.210391,5.975437,61215122,3780.24,13967,
2020-03-04,ADANIPOWER,EQ,6.159590,6.210391,5.842085,6.051638,6.210391,74888473,4514.03,14337,
2020-03-05,ADANIPOWER,EQ,6.032588,6.134190,5.886536,5.937337,6.051638,72887644,4372.47,20637,
2020-03-06,ADANIPOWER,EQ,5.461080,5.664283,5.353128,5.600782,5.937337,42228777,2361.55,11002,
2020-03-09,ADANIPOWER,EQ,5.499180,5.524581,5.061024,5.175326,5.600782,54575061,2897.04,13224,
2020-03-11,ADANIPOWER,EQ,5.143575,5.429329,5.086424,5.232476,5.175326,66376590,3518.49,15647,
2020-03-12,ADANIPOWER,EQ,6.426294,6.739565,5.029273,5.130875,6.976635,147655683,8264.65,50808,
2020-03-13,ADANIPOWER,EQ,4.622867,5.367945,3.894724,5.240943,5.130875,122661382,6050.41,45668,
2020-03-16,ADANIPOWER,EQ,4.944606,5.130875,4.572067,4.817604,5.240943,70760522,3482.45,24607,
2020-03-17,ADANIPOWER,EQ,4.826070,5.037740,4.419665,4.546666,4.817604,81660798,3927.78,27691,
2020-03-18,ADANIPOWER,EQ,4.741403,4.876871,4.504332,4.766803,4.546666,80920878,3776.44,23039,
2020-03-19,ADANIPOWER,EQ,4.572067,4.741403,4.064059,4.572067,4.766803,78751307,3572.28,24309,
2020-03-20,ADANIPOWER,EQ,4.826070,4.986939,4.521266,4.919205,4.572067,71473791,3413.98,20974,
2020-03-23,ADANIPOWER,EQ,4.428131,4.707535,4.284196,4.343463,4.919205,27221266,1212.58,15054,
2020-03-24,ADANIPOWER,EQ,4.631334,4.817604,4.343463,4.732936,4.343463,44410737,2035.00,18683,
2020-03-25,ADANIPOWER,EQ,4.732936,4.927672,4.631334,4.834537,4.732936,35731563,1713.54,13037,
2020-03-26,ADANIPOWER,EQ,4.902272,5.249410,4.749869,5.097008,4.834537,69513532,3525.04,23603,
2020-03-27,ADANIPOWER,EQ,5.291744,5.486480,4.605934,4.673668,5.097008,82699763,4117.69,34509,
2020-03-30,ADANIPOWER,EQ,4.648268,4.648268,4.419665,4.538200,4.673668,41710800,1888.73,15592,
2020-03-31,ADANIPOWER,EQ,4.326530,4.792203,4.326530,4.699069,4.538200,51136627,2376.85,15910,
2020-04-01,ADANIPOWER,EQ,4.699069,4.724469,4.495866,4.538200,4.699069,34572954,1578.69,11494,
2020-04-03,ADANIPOWER,EQ,4.563600,4.597467,4.368864,4.529733,4.538200,27995957,1262.01,9365,
2020-04-07,ADANIPOWER,EQ,4.656735,4.927672,4.572067,4.876871,4.529733,47560154,2252.88,15040,
2020-04-08,ADANIPOWER,EQ,4.851471,5.274810,4.656735,4.902272,4.876871,72684356,3619.88,23153,
2020-04-09,ADANIPOWER,EQ,4.944606,5.207076,4.944606,5.147808,4.902272,51341085,2613.05,19263,
2020-04-13,ADANIPOWER,EQ,5.181676,5.300211,4.885338,5.020807,5.147808,53959787,2704.58,19890,
2020-04-15,ADANIPOWER,EQ,5.147808,5.274810,4.919205,4.961539,5.020807,95502743,4825.73,23431,
2020-04-16,ADANIPOWER,EQ,4.961539,5.113941,4.927672,5.054674,4.961539,32185089,1623.35,11576,
2020-04-17,ADANIPOWER,EQ,5.232476,5.300211,5.113941,5.232476,5.054674,72326198,3774.99,18299,
2020-04-20,ADANIPOWER,EQ,5.308678,6.011421,5.224010,5.884419,5.232476,197548291,11431.59,61764,
2020-04-21,ADANIPOWER,EQ,5.757417,5.833619,5.334078,5.401812,5.884419,83438242,4587.10,30587,
