date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,AMBUJACEM,EQ,197.200000,197.750000,195.800000,197.000000,196.250000,1459556,2874.55,9803,
2020-01-02,AMBUJACEM,EQ,197.350000,206.400000,197.200000,205.350000,197.000000,8633553,17655.24,52407,
2020-01-03,AMBUJACEM,EQ,204.950000,205.800000,202.250000,203.400000,205.350000,2007973,4091.78,14470,
2020-01-06,AMBUJACEM,EQ,202.850000,202.850000,196.350000,196.900000,203.400000,2119702,4207.11,15192,
2020-01-07,AMBUJACEM,EQ,198.100000,202.550000,196.700000,199.000000,196.900000,3557312,7082.67,24608,
2020-01-08,AMBUJACEM,EQ,196.000000,204.600000,195.650000,201.650000,199.000000,4943334,9979.37,33909,
2020-01-09,AMBUJACEM,EQ,203.900000,209.300000,203.850000,207.950000,201.650000,5537880,11456.22,58179,
2020-01-10,AMBUJACEM,EQ,208.550000,214.000000,206.800000,211.750000,207.950000,5362463,11339.57,44689,
2020-01-13,AMBUJACEM,EQ,212.600000,214.800000,210.650000,211.500000,211.750000,2628821,5576.27,20328,
2020-01-14,AMBUJACEM,EQ,212.200000,212.450000,208.800000,209.300000,211.500000,3725008,7847.58,26631,
2020-01-15,AMBUJACEM,EQ,209.000000,212.900000,206.650000,212.050000,209.300000,3359831,7054.21,20657,
2020-01-16,AMBUJACEM,EQ,213.500000,214.400000,209.100000,209.750000,212.050000,3126006,6591.36,23505,
2020-01-17,AMBUJACEM,EQ,209.650000,212.400000,208.600000,210.400000,209.750000,1968147,4148.54,11442,
2020-01-20,AMBUJACEM,EQ,211.400000,211.750000,206.650000,207.050000,210.400000,1743715,3633.96,9487,
2020-01-21,AMBUJACEM,EQ,206.000000,209.900000,205.700000,207.600000,207.050000,3142796,6538.28,19722,
2020-01-22,AMBUJACEM,EQ,208.900000,212.200000,208.300000,210.350000,207.600000,3780055,7973.03,29406,
2020-01-23,AMBUJACEM,EQ,210.000000,214.950000,209.450000,213.650000,210.350000,4656562,9894.09,29130,
2020-01-24,AMBUJACEM,EQ,214.100000,216.900000,212.600000,215.950000,213.650000,3540793,7617.27,32606,
2020-01-27,AMBUJACEM,EQ,214.600000,218.900000,214.300000,215.550000,215.950000,2903622,6280.19,32711,
2020-01-28,AMBUJACEM,EQ,215.800000,220.250000,214.050000,216.150000,215.550000,5093967,11105.89,70614,
2020-01-29,AMBUJACEM,EQ,216.750000,218.250000,213.250000,214.050000,216.150000,3410299,7379.34,18535,
2020-01-30,AMBUJACEM,EQ,214.150000,214.200000,208.700000,209.900000,214.050000,2971434,6273.36,21919,
2020-01-31,AMBUJACEM,EQ,210.550000,211.750000,203.500000,204.500000,209.900000,2906515,6009.31,21962,
2020-02-03,AMBUJACEM,EQ,196.050000,202.450000,196.050000,200.750000,195.350000,4031740,8061.21,30424,
2020-02-04,AMBUJACEM,EQ,202.800000,210.000000,202.450000,206.800000,200.750000,3761981,7748.10,28428,
2020-02-05,AMBUJACEM,EQ,206.900000,208.750000,205.200000,206.400000,206.800000,4000586,8283.24,19840,
2020-02-06,AMBUJACEM,EQ,207.250000,209.250000,204.550000,207.500000,206.400000,3569538,7391.72,19303,
2020-02-07,AMBUJACEM,EQ,207.600000,212.000000,207.150000,209.800000,207.500000,1957283,4112.53,20083,
2020-02-10,AMBUJACEM,EQ,209.800000,210.800000,206.150000,207.100000,209.800000,1734578,3601.29,16148,
2020-02-11,AMBUJACEM,EQ,208.100000,213.450000,208.000000,212.000000,207.100000,4444457,9406.00,30814,
2020-02-12,AMBUJACEM,EQ,212.000000,214.000000,210.250000,211.400000,212.000000,3036372,6442.10,18975,
2020-02-13,AMBUJACEM,EQ,210.600000,211.450000,207.900000,208.550000,211.400000,1177002,2464.40,10065,
2020-02-14,AMBUJACEM,EQ,208.400000,212.250000,205.000000,205.650000,208.550000,3183445,6628.51,28279,
2020-02-17,AMBUJACEM,EQ,205.350000,206.350000,202.300000,203.800000,205.650000,1397181,2857.69,13465,
2020-02-18,AMBUJACEM,EQ,203.250000,203.600000,197.750000,200.850000,203.800000,4007197,8032.81,16801,
2020-02-19,AMBUJACEM,EQ,202.250000,206.400000,201.700000,205.800000,200.850000,1630613,3326.99,14219,
2020-02-20,AMBUJACEM,EQ,204.950000,210.250000,200.100000,205.400000,205.800000,3826080,7927.05,28420,
2020-02-24,AMBUJACEM,EQ,206.850000,212.700000,202.000000,209.900000,205.400000,7946307,16654.10,67085,
2020-02-25,AMBUJACEM,EQ,211.000000,214.000000,209.300000,211.600000,209.900000,6147428,13013.42,38191,
2020-02-26,AMBUJACEM,EQ,211.900000,216.050000,210.050000,213.600000,211.600000,6034979,12905.98,54065,
2020-02-27,AMBUJACEM,EQ,213.600000,215.150000,210.500000,211.600000,213.600000,3753324,7984.16,44286,
2020-02-28,AMBUJACEM,EQ,207.750000,209.400000,203.250000,205.050000,211.600000,7650031,15755.12,35084,
2020-03-02,AMBUJACEM,EQ,208.600000,216.550000,199.800000,202.250000,205.050000,5187934,10868.80,32395,
2020-03-03,AMBUJACEM,EQ,203.900000,212.200000,203.650000,211.150000,202.250000,4549626,9497.20,98294,
2020-03-04,AMBUJACEM,EQ,211.350000,213.000000,204.700000,208.100000,211.150000,3541106,7399.60,44205,
2020-03-05,AMBUJACEM,EQ,208.200000,211.900000,203.650000,204.400000,208.100000,2414347,5014.05,20559,
2020-03-06,AMBUJACEM,EQ,198.750000,206.550000,195.400000,205.100000,204.400000,2587514,5249.72,20604,
2020-03-09,AMBUJACEM,EQ,199.800000,203.250000,191.450000,193.700000,205.100000,3910317,7689.62,47277,
2020-03-11,AMBUJACEM,EQ,194.100000,196.450000,189.800000,190.450000,193.700000,3553048,6838.85,40356,
2020-03-12,AMBUJACEM,EQ,183.000000,183.750000,169.100000,175.500000,190.450000,8015858,14031.87,120971,
2020-03-13,AMBUJACEM,EQ,166.000000,190.700000,152.050000,187.750000,175.500000,3970888,7180.65,76455,
2020-03-16,AMBUJACEM,EQ,180.000000,184.050000,172.150000,179.450000,187.750000,5362750,9600.47,53927,
2020-03-17,AMBUJACEM,EQ,180.500000,181.750000,170.100000,171.400000,179.450000,6785874,12015.65,50865,
2020-03-18,AMBUJACEM,EQ,174.400000,174.850000,158.150000,159.650000,171.400000,5655132,9334.55,65894,
2020-03-19,AMBUJACEM,EQ,154.000000,161.150000,149.400000,153.950000,159.650000,11032807,17193.06,77949,
2020-03-20,AMBUJACEM,EQ,153.950000,168.550000,151.400000,160.400000,153.950000,14150719,22722.81,73908,
2020-03-23,AMBUJACEM,EQ,145.000000,150.900000,139.550000,145.850000,160.400000,4517269,6601.78,45098,
2020-03-24,AMBUJACEM,EQ,145.100000,155.800000,140.100000,142.150000,145.850000,3874329,5716.84,42642,
2020-03-25,AMBUJACEM,EQ,139.000000,144.450000,138.000000,139.350000,142.150000,6937627,9761.03,52559,
2020-03-26,AMBUJACEM,EQ,141.250000,146.600000,136.550000,144.050000,139.350000,14408540,20387.87,66317,
2020-03-27,AMBUJACEM,EQ,148.550000,152.000000,141.000000,141.550000,144.050000,7706575,11183.40,59570,
2020-03-30,AMBUJACEM,EQ,140.000000,154.700000,137.400000,148.250000,141.550000,6410821,9212.50,39511,
2020-03-31,AMBUJACEM,EQ,152.000000,157.000000,146.700000,155.700000,148.250000,3948069,6048.49,42874,
2020-04-01,AMBUJACEM,EQ,155.400000,158.400000,150.700000,156.650000,155.700000,2690175,4159.33,28992,
2020-04-03,AMBUJACEM,EQ,156.600000,156.650000,151.550000,153.000000,156.650000,3738943,5750.39,47048,
2020-04-07,AMBUJACEM,EQ,154.000000,160.500000,153.500000,159.000000,153.000000,6642891,10460.56,81347,
2020-04-08,AMBUJACEM,EQ,158.500000,159.500000,148.200000,149.700000,159.000000,10421438,15976.18,84074,
2020-04-09,AMBUJACEM,EQ,151.200000,160.600000,150.750000,158.800000,149.700000,8828432,13827.14,128653,
2020-04-13,AMBUJACEM,EQ,158.950000,172.350000,157.250000,165.000000,158.800000,12551506,20694.12,96135,
2020-04-15,AMBUJACEM,EQ,167.100000,173.950000,167.100000,168.550000,165.000000,9909062,16905.43,112182,
2020-04-16,AMBUJACEM,EQ,167.100000,174.650000,163.850000,169.700000,168.550000,6792496,11576.37,54768,
2020-04-17,AMBUJACEM,EQ,174.000000,175.500000,169.400000,172.950000,169.700000,3706603,6401.17,53998,
2020-04-20,AMBUJACEM,EQ,175.900000,175.900000,169.950000,170.300000,172.950000,2682037,4614.65,39190,
2020-04-21,AMBUJACEM,EQ,167.750000,169.450000,164.100000,167.550000,170.300000,2369603,3969.37,24669,
2020-04-22,AMBUJACEM,EQ,167.400000,177.700000,166.350000,176.500000,167.550000,5333081,9176.24,41565,
2020-04-23,AMBUJACEM,EQ,178.500000,179.500000,170.400000,171.450000,176.500000,4629630,8069.50,38673,
2020-04-24,AMBUJACEM,EQ,169.900000,171.600000,166.200000,167.950000,171.450000,2729060,4608.85,34544,
2020-04-27,AMBUJACEM,EQ,170.400000,174.000000,168.600000,172.300000,167.950000,4140719,7120.21,44562,
2020-04-28,AMBUJACEM,EQ,179.000000,179.000000,166.850000,167.700000,172.300000,13325718,22996.46,85543,
2020-04-29,AMBUJACEM,EQ,166.900000,170.750000,165.650000,169.500000,167.700000,3900474,6605.47,39779,
2020-04-30,AMBUJACEM,EQ,171.200000,174.850000,170.550000,171.650000,169.500000,4691798,8109.05,42385,
2020-05-04,AMBUJACEM,EQ,167.250000,169.800000,161.500000,162.350000,171.650000,4949252,8161.53,64277,
2020-05-05,AMBUJACEM,EQ,165.000000,168.850000,163.750000,164.800000,162.350000,4097025,6816.33,43037,
2020-05-06,AMBUJACEM,EQ,165.600000,170.550000,164.500000,167.850000,164.800000,7032456,11846.52,60382,
2020-05-07,AMBUJACEM,EQ,167.900000,170.800000,166.800000,168.600000,167.850000,4497992,7584.54,53864,
2020-05-08,AMBUJACEM,EQ,170.700000,172.950000,168.750000,169.350000,168.600000,3874980,6596.31,53968,
2020-05-11,AMBUJACEM,EQ,170.150000,174.700000,170.150000,173.950000,169.350000,4258713,7378.35,59815,
2020-05-12,AMBUJACEM,EQ,173.500000,176.300000,170.650000,175.200000,173.950000,3911751,6816.73,38966,
2020-05-13,AMBUJACEM,EQ,182.100000,191.000000,182.000000,183.000000,175.200000,14928663,27856.78,128154,
2020-05-14,AMBUJACEM,EQ,181.200000,184.200000,178.650000,182.500000,183.000000,2893550,5246.25,33321,
2020-05-15,AMBUJACEM,EQ,184.000000,184.700000,179.850000,181.800000,182.500000,6194865,11260.25,64664,
2020-05-18,AMBUJACEM,EQ,182.000000,182.450000,171.000000,172.150000,181.800000,3640919,6362.60,58004,
2020-05-19,AMBUJACEM,EQ,173.900000,176.800000,170.250000,174.600000,172.150000,3512226,6122.16,36355,
2020-05-20,AMBUJACEM,EQ,174.500000,181.550000,172.350000,179.650000,174.600000,2833520,5028.57,35330,
2020-05-21,AMBUJACEM,EQ,180.700000,183.700000,177.500000,181.000000,179.650000,5097416,9225.70,43709,
2020-05-22,AMBUJACEM,EQ,180.000000,187.850000,177.200000,186.950000,181.000000,6953579,12869.89,61803,
2020-05-26,AMBUJACEM,EQ,187.800000,190.000000,185.550000,188.550000,186.950000,5800498,10915.94,73145,
2020-05-27,AMBUJACEM,EQ,189.900000,189.900000,185.100000,187.450000,188.550000,3151133,5899.46,23439,
