date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,APOLLOHOSP,EQ,1440.000000,1442.000000,1422.200000,1426.350000,1442.000000,268255,3833.54,8723,
2020-01-02,APOLLOHOSP,EQ,1428.000000,1509.200000,1428.000000,1494.650000,1426.350000,2000143,29699.65,67435,
2020-01-03,APOLLOHOSP,EQ,1494.650000,1505.000000,1481.550000,1486.100000,1494.650000,629443,9393.64,20969,
2020-01-06,APOLLOHOSP,EQ,1480.000000,1480.000000,1458.150000,1462.500000,1486.100000,378702,5549.12,11908,
2020-01-07,APOLLOHOSP,EQ,1475.000000,1498.950000,1472.550000,1478.700000,1462.500000,365266,5421.75,16282,
2020-01-08,APOLLOHOSP,EQ,1464.000000,1479.600000,1458.000000,1473.650000,1478.700000,190163,2799.22,7029,
2020-01-09,APOLLOHOSP,EQ,1490.000000,1498.700000,1473.000000,1479.600000,1473.650000,254798,3780.66,8768,
2020-01-10,APOLLOHOSP,EQ,1484.000000,1502.000000,1476.000000,1485.900000,1479.600000,364434,5433.61,12668,
2020-01-13,APOLLOHOSP,EQ,1493.300000,1504.000000,1479.450000,1483.450000,1485.900000,374704,5584.83,11062,
2020-01-14,APOLLOHOSP,EQ,1485.100000,1502.000000,1483.900000,1493.300000,1483.450000,308514,4612.24,15016,
2020-01-15,APOLLOHOSP,EQ,1488.300000,1529.000000,1488.000000,1511.950000,1493.300000,932167,14119.07,41892,
2020-01-16,APOLLOHOSP,EQ,1519.700000,1607.000000,1518.050000,1591.550000,1511.950000,2305288,36563.67,70656,
2020-01-17,APOLLOHOSP,EQ,1595.550000,1624.000000,1580.000000,1618.600000,1591.550000,893254,14320.45,32640,
2020-01-20,APOLLOHOSP,EQ,1620.000000,1659.000000,1616.500000,1629.550000,1618.600000,1047368,17179.15,30547,
2020-01-21,APOLLOHOSP,EQ,1629.850000,1642.500000,1621.000000,1626.200000,1629.550000,317357,5179.59,14834,
2020-01-22,APOLLOHOSP,EQ,1643.650000,1664.000000,1626.500000,1634.450000,1626.200000,736367,12079.33,26130,
2020-01-23,APOLLOHOSP,EQ,1638.800000,1699.900000,1631.250000,1686.900000,1634.450000,764590,12736.48,30485,
2020-01-24,APOLLOHOSP,EQ,1690.000000,1697.550000,1649.100000,1668.700000,1686.900000,1023849,17032.91,49149,
2020-01-27,APOLLOHOSP,EQ,1668.000000,1713.000000,1662.000000,1696.050000,1668.700000,791549,13456.68,30929,
2020-01-28,APOLLOHOSP,EQ,1695.900000,1704.800000,1673.800000,1677.750000,1696.050000,681671,11523.42,25790,
