date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,AUBANK,EQ,402.000000,404.925000,396.000000,398.850000,401.550000,179442,716.47,7416,
2020-01-02,AUBANK,EQ,396.750000,400.525000,396.525000,397.950000,398.850000,127214,507.27,3923,
2020-01-03,AUBANK,EQ,398.400000,401.250000,396.000000,398.975000,397.950000,181796,724.15,6087,
2020-01-06,AUBANK,EQ,396.500000,400.075000,393.125000,395.750000,398.975000,226956,897.73,8550,
2020-01-07,AUBANK,EQ,396.000000,404.025000,394.000000,400.350000,395.750000,5693404,22666.61,31900,
2020-01-08,AUBANK,EQ,397.000000,422.975000,395.250000,417.950000,400.350000,4936804,20309.83,53227,
2020-01-09,AUBANK,EQ,421.875000,425.500000,413.175000,418.175000,417.950000,2030328,8546.34,27396,
2020-01-10,AUBANK,EQ,416.950000,420.750000,410.500000,412.325000,418.175000,605170,2525.00,12193,
2020-01-13,AUBANK,EQ,415.000000,421.500000,412.600000,419.250000,412.325000,465756,1953.02,7359,
2020-01-14,AUBANK,EQ,420.500000,425.000000,418.500000,423.800000,419.250000,661510,2785.31,10448,
2020-01-15,AUBANK,EQ,425.025000,432.475000,422.025000,428.725000,423.800000,1044188,4470.65,15762,
2020-01-16,AUBANK,EQ,429.700000,442.350000,429.700000,438.725000,428.725000,1185078,5160.32,13300,
2020-01-17,AUBANK,EQ,441.500000,444.250000,432.775000,438.875000,438.725000,707678,3113.63,16456,
2020-01-20,AUBANK,EQ,442.000000,446.000000,437.500000,442.950000,438.875000,896644,3962.39,9027,
2020-01-21,AUBANK,EQ,442.000000,446.000000,437.750000,444.175000,442.950000,511040,2266.24,7539,
2020-01-22,AUBANK,EQ,446.075000,449.700000,441.125000,443.525000,444.175000,511670,2271.64,12494,
2020-01-23,AUBANK,EQ,455.500000,504.000000,455.500000,487.275000,443.525000,9957038,48352.71,129369,
2020-01-24,AUBANK,EQ,490.000000,548.950000,486.000000,535.350000,487.275000,8376792,43394.49,135331,
2020-01-27,AUBANK,EQ,540.000000,552.500000,499.500000,511.025000,535.350000,5438232,28820.70,118500,
2020-01-28,AUBANK,EQ,504.900000,525.000000,502.500000,521.900000,511.025000,1658978,8567.25,47175,
2020-01-29,AUBANK,EQ,530.000000,534.500000,516.500000,523.325000,521.900000,568136,2979.06,16915,
2020-01-30,AUBANK,EQ,523.975000,538.425000,512.000000,523.825000,523.325000,1204270,6320.76,27951,
2020-01-31,AUBANK,EQ,527.500000,536.950000,520.000000,532.175000,523.825000,843678,4478.39,17165,
2020-02-03,AUBANK,EQ,519.000000,530.000000,495.500000,521.975000,515.450000,821850,4280.26,24723,
2020-02-04,AUBANK,EQ,525.900000,530.700000,522.000000,525.900000,521.975000,521236,2738.38,18530,
2020-02-05,AUBANK,EQ,530.000000,571.375000,525.425000,547.825000,525.900000,2543364,14090.29,61161,
2020-02-06,AUBANK,EQ,552.500000,557.150000,540.000000,546.775000,547.825000,979448,5358.46,30492,
2020-02-07,AUBANK,EQ,543.450000,573.800000,540.275000,564.050000,546.775000,1316716,7421.09,49139,
2020-02-10,AUBANK,EQ,565.000000,569.000000,550.500000,562.875000,564.050000,853378,4800.00,26774,
2020-02-11,AUBANK,EQ,566.500000,589.000000,558.500000,581.450000,562.875000,1712572,9865.09,45042,
2020-02-12,AUBANK,EQ,580.000000,587.500000,566.000000,575.775000,581.450000,854024,4935.21,42063,
2020-02-13,AUBANK,EQ,567.525000,579.000000,550.500000,574.125000,575.775000,1096040,6277.21,35256,
2020-02-14,AUBANK,EQ,580.000000,582.575000,566.675000,573.025000,574.125000,511546,2931.86,19173,
2020-02-17,AUBANK,EQ,579.850000,588.200000,564.500000,570.125000,573.025000,960400,5522.62,38621,
2020-02-18,AUBANK,EQ,569.950000,579.500000,565.000000,574.575000,570.125000,1025902,5884.92,38765,
2020-02-19,AUBANK,EQ,578.550000,602.000000,575.800000,582.850000,574.575000,2536736,14895.37,52253,
2020-02-20,AUBANK,EQ,582.750000,597.100000,580.000000,587.300000,582.850000,1194856,7027.03,34067,
2020-02-24,AUBANK,EQ,585.475000,595.000000,573.150000,579.600000,587.300000,1235304,7237.40,44347,
2020-02-25,AUBANK,EQ,582.475000,586.000000,576.500000,579.050000,579.600000,1687906,9772.58,14567,
2020-02-26,AUBANK,EQ,577.500000,600.500000,509.550000,589.475000,579.050000,1917984,11298.79,43192,
2020-02-27,AUBANK,EQ,590.000000,597.050000,584.475000,589.825000,589.475000,1069068,6316.77,33427,
2020-02-28,AUBANK,EQ,582.475000,590.000000,570.000000,581.450000,589.825000,2358344,13647.42,57317,
2020-03-02,AUBANK,EQ,582.275000,609.000000,570.025000,577.875000,581.450000,2066294,12200.17,56496,
