date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,AXISBANK,EQ,566.175000,569.962500,560.400000,561.525000,565.575000,6556997,36972.21,80824,
2020-01-02,AXISBANK,EQ,562.500000,569.250000,560.700000,567.712500,561.525000,6874728,38867.39,88337,
2020-01-03,AXISBANK,EQ,564.862500,567.187500,555.375000,557.212500,567.712500,11319639,63361.65,139161,
2020-01-06,AXISBANK,EQ,554.587500,554.700000,541.275000,542.437500,557.212500,8474931,46315.02,117943,
2020-01-07,AXISBANK,EQ,546.000000,553.500000,540.787500,544.312500,542.437500,12137813,66309.07,123724,
2020-01-08,AXISBANK,EQ,536.437500,544.312500,531.825000,543.375000,544.312500,11964287,64556.44,139364,
2020-01-09,AXISBANK,EQ,550.162500,558.750000,548.250000,557.137500,543.375000,10079804,55998.31,92453,
2020-01-10,AXISBANK,EQ,557.250000,563.850000,551.100000,555.037500,557.137500,11400653,63475.53,108489,
2020-01-13,AXISBANK,EQ,555.000000,560.062500,551.512500,553.050000,555.037500,8565011,47553.50,91988,
2020-01-14,AXISBANK,EQ,555.000000,563.550000,550.650000,560.925000,553.050000,9650220,53763.79,140321,
2020-01-15,AXISBANK,EQ,560.287500,561.750000,553.500000,559.725000,560.925000,10548881,58768.64,121234,
2020-01-16,AXISBANK,EQ,559.875000,562.800000,551.325000,552.975000,559.725000,8650151,48086.40,83509,
2020-01-17,AXISBANK,EQ,551.137500,556.837500,548.137500,554.925000,552.975000,10238485,56697.34,117330,
2020-01-20,AXISBANK,EQ,557.212500,559.650000,543.750000,545.400000,554.925000,14236495,78216.98,115171,
2020-01-21,AXISBANK,EQ,544.762500,547.200000,537.037500,538.200000,545.400000,10990404,59550.91,104303,
2020-01-22,AXISBANK,EQ,537.750000,542.062500,529.950000,534.450000,538.200000,17761743,94895.38,164845,
2020-01-23,AXISBANK,EQ,543.787500,553.162500,539.550000,542.250000,534.450000,27524343,150121.24,254963,
2020-01-24,AXISBANK,EQ,542.550000,556.275000,540.300000,553.050000,542.250000,12721987,69858.18,116304,
2020-01-27,AXISBANK,EQ,549.337500,561.337500,548.250000,555.187500,553.050000,12227247,68020.81,131972,
2020-01-28,AXISBANK,EQ,553.800000,559.875000,551.250000,552.862500,555.187500,10448983,58118.49,107517,
2020-01-29,AXISBANK,EQ,555.000000,559.125000,550.162500,551.437500,552.862500,10647032,59058.50,120322,
2020-01-30,AXISBANK,EQ,551.812500,552.300000,545.475000,548.175000,551.437500,8055124,44164.43,97869,
2020-01-31,AXISBANK,EQ,551.025000,552.937500,543.900000,546.975000,548.175000,11127759,60956.30,92273,
2020-02-03,AXISBANK,EQ,528.525000,534.600000,521.662500,531.712500,529.087500,15459988,81660.04,420772,
2020-02-04,AXISBANK,EQ,534.337500,540.450000,532.500000,536.250000,531.712500,12871900,69074.08,122548,
2020-02-05,AXISBANK,EQ,539.587500,544.237500,536.400000,543.037500,536.250000,10633468,57449.94,116758,
2020-02-06,AXISBANK,EQ,545.587500,558.750000,542.250000,552.712500,543.037500,12836336,70880.79,166598,
2020-02-07,AXISBANK,EQ,552.525000,561.900000,550.500000,561.112500,552.712500,11251139,62676.98,93643,
2020-02-10,AXISBANK,EQ,559.725000,560.100000,554.250000,555.825000,561.112500,6284452,34974.56,66263,
2020-02-11,AXISBANK,EQ,557.250000,567.825000,556.500000,562.462500,555.825000,10460876,58905.95,108614,
2020-02-12,AXISBANK,EQ,564.000000,570.525000,563.250000,566.437500,562.462500,8253920,46837.09,102021,
2020-02-13,AXISBANK,EQ,563.325000,565.087500,556.725000,560.850000,566.437500,6708941,37542.51,104948,
2020-02-14,AXISBANK,EQ,561.075000,564.412500,549.075000,552.375000,560.850000,8206667,45537.41,84125,
2020-02-17,AXISBANK,EQ,553.050000,557.325000,547.650000,553.800000,552.375000,5700620,31479.81,68454,
2020-02-18,AXISBANK,EQ,553.312500,553.312500,543.525000,550.237500,553.800000,6954003,38103.90,83149,
2020-02-19,AXISBANK,EQ,555.487500,558.825000,551.512500,555.787500,550.237500,5830231,32377.37,85398,
2020-02-20,AXISBANK,EQ,557.062500,565.500000,553.200000,558.225000,555.787500,10039204,56260.55,126586,
2020-02-24,AXISBANK,EQ,553.462500,553.800000,542.250000,544.087500,558.225000,8785449,48217.94,114364,
2020-02-25,AXISBANK,EQ,547.050000,549.000000,541.537500,546.562500,544.087500,7226128,39457.56,86168,
2020-02-26,AXISBANK,EQ,543.975000,551.812500,541.500000,547.050000,546.562500,9515967,52066.73,115827,
2020-02-27,AXISBANK,EQ,546.525000,554.587500,537.412500,551.887500,547.050000,11823104,64599.09,157080,
2020-02-28,AXISBANK,EQ,539.175000,543.525000,518.250000,522.975000,551.887500,21905259,115987.25,184431,
2020-03-02,AXISBANK,EQ,531.975000,534.937500,506.475000,513.150000,522.975000,18472469,96421.90,177926,
2020-03-03,AXISBANK,EQ,517.425000,521.850000,506.250000,515.362500,513.150000,14930860,76781.90,161760,
2020-03-04,AXISBANK,EQ,517.500000,522.000000,501.225000,511.650000,515.362500,19736965,101013.86,229199,
2020-03-05,AXISBANK,EQ,514.875000,520.500000,506.437500,508.425000,511.650000,14010677,72008.58,145360,
2020-03-06,AXISBANK,EQ,487.500000,495.600000,480.787500,493.237500,508.425000,17292313,84742.20,220341,
2020-03-09,AXISBANK,EQ,479.250000,481.387500,461.325000,467.662500,493.237500,19115252,90233.67,182268,
2020-03-11,AXISBANK,EQ,460.237500,475.800000,459.075000,464.512500,467.662500,14695377,68673.67,171462,
2020-03-12,AXISBANK,EQ,444.000000,445.500000,396.112500,407.437500,464.512500,39159504,163543.53,265199,
2020-03-13,AXISBANK,EQ,387.712500,439.237500,338.325000,426.600000,407.437500,34132507,138746.21,305539,
2020-03-16,AXISBANK,EQ,406.762500,408.750000,376.762500,381.450000,426.600000,28724835,112418.83,329445,
2020-03-17,AXISBANK,EQ,386.362500,398.475000,358.087500,366.262500,381.450000,27459235,105422.20,251239,
2020-03-18,AXISBANK,EQ,367.500000,379.537500,294.075000,355.087500,366.262500,48358104,165539.76,495613,
2020-03-19,AXISBANK,EQ,330.787500,348.712500,317.812500,321.187500,355.087500,44325896,146494.92,397399,
2020-03-20,AXISBANK,EQ,323.550000,337.275000,310.650000,321.112500,321.187500,41019173,132259.93,389335,
2020-03-23,AXISBANK,EQ,385.350000,392.000000,302.000000,308.650000,428.150000,37622791,125356.37,563041,
2020-03-24,AXISBANK,EQ,331.950000,337.500000,291.000000,303.150000,308.650000,50683611,157831.35,767331,
2020-03-25,AXISBANK,EQ,293.500000,363.750000,286.000000,326.800000,303.150000,51994332,166172.93,741163,
2020-03-26,AXISBANK,EQ,335.950000,399.000000,332.000000,341.400000,326.800000,62971676,228578.67,746077,
2020-03-27,AXISBANK,EQ,370.000000,409.450000,354.050000,359.750000,341.400000,71043359,269171.74,990737,
2020-03-30,AXISBANK,EQ,345.000000,382.000000,340.350000,368.150000,359.750000,61772934,225069.73,661071,
2020-03-31,AXISBANK,EQ,384.400000,389.800000,372.650000,379.000000,368.150000,34637418,131506.98,380850,
2020-04-01,AXISBANK,EQ,376.250000,379.800000,354.000000,358.650000,379.000000,27745001,101660.36,334884,
2020-04-03,AXISBANK,EQ,360.200000,362.300000,324.000000,325.450000,358.650000,41317685,141761.80,407312,
2020-04-07,AXISBANK,EQ,347.400000,405.750000,342.350000,388.850000,325.450000,48093870,176515.19,522716,
