date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BAJAJ-AUTO,EQ,3183.000000,3193.750000,3142.100000,3150.100000,3185.000000,320021,10143.99,16092,
2020-01-02,BAJAJ-AUTO,EQ,3154.950000,3172.500000,3112.050000,3121.000000,3150.100000,452413,14158.70,25354,
2020-01-03,BAJAJ-AUTO,EQ,3125.500000,3128.250000,3065.000000,3072.050000,3121.000000,424311,13112.63,27302,
2020-01-06,BAJAJ-AUTO,EQ,3070.000000,3071.600000,3028.050000,3037.650000,3072.050000,355754,10813.66,23989,
2020-01-07,BAJAJ-AUTO,EQ,3045.500000,3072.000000,3030.100000,3037.950000,3037.650000,225535,6863.21,15131,
2020-01-08,BAJAJ-AUTO,EQ,3000.000000,3073.400000,3000.000000,3059.250000,3037.950000,393614,12001.00,26250,
2020-01-09,BAJAJ-AUTO,EQ,3076.000000,3110.000000,3066.050000,3085.700000,3059.250000,333029,10294.00,31766,
2020-01-10,BAJAJ-AUTO,EQ,3098.000000,3117.000000,3085.750000,3101.200000,3085.700000,455081,14104.12,28270,
2020-01-13,BAJAJ-AUTO,EQ,3106.000000,3119.950000,3080.200000,3094.050000,3101.200000,154993,4804.16,10523,
2020-01-14,BAJAJ-AUTO,EQ,3091.100000,3118.000000,3074.000000,3101.600000,3094.050000,278534,8636.22,19552,
2020-01-15,BAJAJ-AUTO,EQ,3101.000000,3138.000000,3092.000000,3123.550000,3101.600000,553613,17264.33,21233,
2020-01-16,BAJAJ-AUTO,EQ,3129.800000,3150.000000,3101.500000,3112.100000,3123.550000,287553,8977.15,15600,
2020-01-17,BAJAJ-AUTO,EQ,3112.000000,3138.000000,3098.000000,3118.100000,3112.100000,272072,8494.82,17769,
2020-01-20,BAJAJ-AUTO,EQ,3130.000000,3144.650000,3083.150000,3103.700000,3118.100000,365554,11365.06,21352,
2020-01-21,BAJAJ-AUTO,EQ,3096.000000,3119.000000,3085.500000,3097.050000,3103.700000,215722,6692.27,15113,
2020-01-22,BAJAJ-AUTO,EQ,3105.000000,3110.000000,3070.100000,3076.400000,3097.050000,269339,8303.03,18843,
2020-01-23,BAJAJ-AUTO,EQ,3072.000000,3089.950000,3051.100000,3065.200000,3076.400000,256329,7867.94,16401,
2020-01-24,BAJAJ-AUTO,EQ,3068.000000,3092.950000,3064.000000,3074.150000,3065.200000,209961,6463.56,16960,
2020-01-27,BAJAJ-AUTO,EQ,3069.800000,3122.950000,3044.050000,3082.600000,3074.150000,308445,9516.56,18096,
2020-01-28,BAJAJ-AUTO,EQ,3089.800000,3109.600000,3048.000000,3060.900000,3082.600000,239986,7380.63,26462,
2020-01-29,BAJAJ-AUTO,EQ,3079.000000,3099.000000,3060.000000,3091.850000,3060.900000,243945,7531.36,24785,
2020-01-30,BAJAJ-AUTO,EQ,3108.500000,3185.000000,3041.100000,3145.500000,3091.850000,2400831,75109.32,119163,
2020-01-31,BAJAJ-AUTO,EQ,3150.000000,3239.950000,3150.000000,3180.050000,3145.500000,1141144,36592.57,67911,
2020-02-03,BAJAJ-AUTO,EQ,3143.000000,3315.150000,3115.100000,3284.500000,3143.300000,921166,29854.50,70132,
2020-02-04,BAJAJ-AUTO,EQ,3270.000000,3313.000000,3151.000000,3162.800000,3284.500000,1546450,49821.58,86685,
2020-02-05,BAJAJ-AUTO,EQ,3185.000000,3220.900000,3150.000000,3161.500000,3162.800000,646723,20567.84,40416,
2020-02-06,BAJAJ-AUTO,EQ,3170.000000,3211.000000,3141.400000,3149.800000,3161.500000,514236,16322.48,31289,
2020-02-07,BAJAJ-AUTO,EQ,3164.800000,3189.000000,3106.600000,3134.850000,3149.800000,454698,14312.09,25566,
2020-02-10,BAJAJ-AUTO,EQ,3138.000000,3150.850000,3091.700000,3103.300000,3134.850000,386072,12037.91,19938,
2020-02-11,BAJAJ-AUTO,EQ,3125.000000,3150.000000,3100.000000,3145.450000,3103.300000,274244,8616.75,21710,
2020-02-12,BAJAJ-AUTO,EQ,3164.700000,3184.650000,3136.850000,3146.300000,3145.450000,345354,10918.80,23469,
2020-02-13,BAJAJ-AUTO,EQ,3149.000000,3172.200000,3120.400000,3136.400000,3146.300000,268031,8427.23,16457,
