date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BAJAJFINSV,EQ,706.500000,707.433750,701.396250,703.383750,704.501250,848907,5976.05,7532,
2020-01-02,BAJAJFINSV,EQ,703.387500,714.821250,703.383750,712.920000,703.383750,2105213,14959.89,13307,
2020-01-03,BAJAJFINSV,EQ,709.875000,712.845000,699.300000,700.938750,712.920000,2433053,17144.33,21847,
2020-01-06,BAJAJFINSV,EQ,700.425000,700.425000,676.650000,678.202500,700.938750,3257187,22276.54,29396,
2020-01-07,BAJAJFINSV,EQ,684.375000,694.875000,679.878750,682.173750,678.202500,3235680,22184.27,23159,
2020-01-08,BAJAJFINSV,EQ,672.825000,687.513750,672.120000,685.912500,682.173750,3596240,24523.79,24581,
2020-01-09,BAJAJFINSV,EQ,712.492500,712.492500,690.675000,704.643750,685.912500,2855960,20005.15,26850,
2020-01-10,BAJAJFINSV,EQ,703.136250,707.613750,700.372500,702.918750,704.643750,1858573,13083.62,16472,
2020-01-13,BAJAJFINSV,EQ,704.985000,710.100000,702.375000,709.143750,702.918750,2009507,14212.00,19247,
2020-01-14,BAJAJFINSV,EQ,708.450000,718.485000,705.397500,716.613750,709.143750,2171987,15484.90,18883,
2020-01-15,BAJAJFINSV,EQ,715.488750,721.425000,712.620000,719.186250,716.613750,1829733,13138.48,16401,
2020-01-16,BAJAJFINSV,EQ,719.250000,723.000000,717.378750,721.661250,719.186250,1810427,13043.31,16182,
2020-01-17,BAJAJFINSV,EQ,721.050000,730.522500,720.075000,728.625000,721.661250,3788387,27498.45,24884,
2020-01-20,BAJAJFINSV,EQ,729.375000,732.326250,716.250000,717.956250,728.625000,2455973,17798.66,19202,
2020-01-21,BAJAJFINSV,EQ,718.796250,721.875000,713.115000,715.072500,717.956250,2326760,16703.48,22520,
2020-01-22,BAJAJFINSV,EQ,719.250000,720.000000,712.125000,716.062500,715.072500,1860333,13331.21,12824,
2020-01-23,BAJAJFINSV,EQ,716.062500,719.700000,711.311250,715.065000,716.062500,2417067,17299.72,15995,
2020-01-24,BAJAJFINSV,EQ,713.940000,723.750000,711.007500,722.531250,715.065000,1653040,11885.03,14622,
2020-01-27,BAJAJFINSV,EQ,719.250000,723.667500,715.125000,716.820000,722.531250,1508373,10857.45,18052,
2020-01-28,BAJAJFINSV,EQ,716.820000,728.250000,714.750000,722.347500,716.820000,2539587,18346.98,27397,
2020-01-29,BAJAJFINSV,EQ,723.675000,744.675000,723.675000,742.068750,722.347500,6692173,49225.31,64178,
2020-01-30,BAJAJFINSV,EQ,744.300000,746.250000,720.251250,722.973750,742.068750,5504333,40184.70,48856,
2020-01-31,BAJAJFINSV,EQ,728.100000,728.100000,705.750000,708.105000,722.973750,4393880,31404.61,38729,
2020-02-03,BAJAJFINSV,EQ,671.625000,692.625000,666.375000,681.461250,671.055000,6700680,45617.76,56745,
2020-02-04,BAJAJFINSV,EQ,688.500000,721.867500,687.097500,715.117500,681.461250,6182627,43701.78,53019,
2020-02-05,BAJAJFINSV,EQ,715.500000,726.300000,709.327500,719.355000,715.117500,4327200,31131.32,41358,
2020-02-06,BAJAJFINSV,EQ,720.000000,728.175000,717.000000,721.477500,719.355000,3617907,26130.74,32993,
2020-02-07,BAJAJFINSV,EQ,720.750000,725.523750,717.078750,721.747500,721.477500,1901680,13728.96,24400,
2020-02-10,BAJAJFINSV,EQ,720.375000,724.346250,714.825000,722.025000,721.747500,1913707,13789.86,20391,
2020-02-11,BAJAJFINSV,EQ,723.262500,735.750000,723.262500,729.870000,722.025000,2607720,19080.48,20192,
2020-02-12,BAJAJFINSV,EQ,730.350000,738.071250,726.393750,732.888750,729.870000,2513707,18426.74,22377,
2020-02-13,BAJAJFINSV,EQ,731.850000,734.625000,726.675000,728.790000,732.888750,1821733,13298.08,17452,
2020-02-14,BAJAJFINSV,EQ,730.125000,734.625000,723.978750,726.787500,728.790000,1856493,13569.69,18186,
2020-02-17,BAJAJFINSV,EQ,727.485000,733.893750,713.591250,714.663750,726.787500,2338680,16801.48,23128,
2020-02-18,BAJAJFINSV,EQ,714.525000,717.371250,706.200000,714.712500,714.663750,3551787,25305.54,27598,
2020-02-19,BAJAJFINSV,EQ,718.500000,733.500000,718.500000,731.898750,714.712500,2948427,21470.26,30144,
2020-02-20,BAJAJFINSV,EQ,731.850000,737.066250,727.031250,728.227500,731.898750,2226933,16302.76,22679,
2020-02-24,BAJAJFINSV,EQ,726.000000,726.000000,708.622500,710.017500,728.227500,2657720,18980.34,25476,
