date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BAJAJHLDNG,EQ,3409.500000,3447.100000,3358.000000,3376.700000,3406.600000,12825,434.30,2377,
2020-01-02,BAJAJHLDNG,EQ,3385.000000,3484.400000,3381.550000,3474.200000,3376.700000,25577,878.12,4386,
2020-01-03,BAJAJHLDNG,EQ,3491.000000,3491.000000,3445.000000,3467.550000,3474.200000,17829,617.82,4205,
2020-01-06,BAJAJHLDNG,EQ,3460.000000,3463.750000,3433.050000,3450.050000,3467.550000,17488,603.37,2641,
2020-01-07,BAJAJHLDNG,EQ,3450.050000,3480.850000,3380.050000,3396.650000,3450.050000,31735,1091.82,4857,
2020-01-08,BAJAJHLDNG,EQ,3300.000000,3445.000000,3300.000000,3419.850000,3396.650000,39466,1346.20,2967,
2020-01-09,BAJAJHLDNG,EQ,3448.950000,3449.000000,3396.000000,3418.400000,3419.850000,74890,2558.09,5678,
2020-01-10,BAJAJHLDNG,EQ,3427.950000,3435.000000,3375.000000,3386.450000,3418.400000,20996,713.30,4607,
2020-01-13,BAJAJHLDNG,EQ,3400.000000,3419.950000,3360.000000,3395.950000,3386.450000,86638,2931.54,7485,
2020-01-14,BAJAJHLDNG,EQ,3401.750000,3421.800000,3390.000000,3409.850000,3395.950000,16111,548.98,4895,
2020-01-15,BAJAJHLDNG,EQ,3409.000000,3426.000000,3373.000000,3410.150000,3409.850000,46709,1594.06,4827,
2020-01-16,BAJAJHLDNG,EQ,3420.000000,3420.950000,3381.500000,3395.950000,3410.150000,7275,247.60,1940,
2020-01-17,BAJAJHLDNG,EQ,3416.600000,3419.950000,3375.950000,3386.400000,3395.950000,45682,1548.92,4089,
2020-01-20,BAJAJHLDNG,EQ,3402.500000,3405.000000,3363.050000,3375.750000,3386.400000,21918,740.90,1978,
2020-01-21,BAJAJHLDNG,EQ,3383.000000,3383.000000,3362.000000,3370.250000,3375.750000,44703,1505.88,1427,
2020-01-22,BAJAJHLDNG,EQ,3375.000000,3389.950000,3337.300000,3353.200000,3370.250000,25284,851.89,4030,
2020-01-23,BAJAJHLDNG,EQ,3353.200000,3372.900000,3333.050000,3346.400000,3353.200000,41158,1383.81,4076,
2020-01-24,BAJAJHLDNG,EQ,3346.250000,3359.900000,3328.000000,3338.950000,3346.400000,13340,445.96,2712,
2020-01-27,BAJAJHLDNG,EQ,3330.000000,3372.750000,3290.000000,3302.600000,3338.950000,20718,688.22,2904,
2020-01-28,BAJAJHLDNG,EQ,3308.000000,3358.200000,3260.000000,3264.550000,3302.600000,21040,692.66,6829,
2020-01-29,BAJAJHLDNG,EQ,3279.000000,3428.000000,3260.000000,3417.300000,3264.550000,119568,3966.88,9572,
2020-01-30,BAJAJHLDNG,EQ,3435.000000,3482.800000,3356.500000,3393.850000,3417.300000,48165,1649.37,7330,
2020-01-31,BAJAJHLDNG,EQ,3393.850000,3500.000000,3350.000000,3454.300000,3393.850000,80743,2756.21,8102,
2020-02-03,BAJAJHLDNG,EQ,3525.650000,3625.400000,3501.000000,3600.800000,3525.650000,106272,3794.62,16956,
2020-02-04,BAJAJHLDNG,EQ,3619.000000,3770.000000,3600.000000,3728.350000,3600.800000,581865,21574.55,18645,
2020-02-05,BAJAJHLDNG,EQ,3764.950000,3950.000000,3730.200000,3865.500000,3728.350000,252064,9531.91,16920,
2020-02-06,BAJAJHLDNG,EQ,3872.000000,3909.900000,3761.050000,3783.950000,3865.500000,50109,1910.50,9340,
2020-02-07,BAJAJHLDNG,EQ,3786.000000,3845.000000,3771.000000,3783.000000,3783.950000,19035,723.23,6276,
2020-02-10,BAJAJHLDNG,EQ,3786.050000,3793.000000,3750.000000,3760.000000,3783.000000,37538,1411.76,4657,
2020-02-11,BAJAJHLDNG,EQ,3750.050000,3869.950000,3750.050000,3829.850000,3760.000000,49094,1874.78,8906,
2020-02-12,BAJAJHLDNG,EQ,3829.850000,3867.000000,3775.000000,3806.450000,3829.850000,30355,1159.01,9907,
2020-02-13,BAJAJHLDNG,EQ,3815.000000,3926.000000,3751.000000,3904.900000,3806.450000,155572,5888.93,16403,
2020-02-14,BAJAJHLDNG,EQ,3906.050000,3939.750000,3726.000000,3756.550000,3904.900000,114918,4350.54,13358,
2020-02-17,BAJAJHLDNG,EQ,3766.000000,3770.000000,3680.000000,3718.250000,3756.550000,32564,1211.16,11094,
2020-02-18,BAJAJHLDNG,EQ,3718.250000,3729.000000,3680.300000,3699.500000,3718.250000,17582,650.47,4057,
2020-02-19,BAJAJHLDNG,EQ,3717.950000,3805.500000,3665.550000,3764.000000,3699.500000,65449,2439.27,16226,
2020-02-20,BAJAJHLDNG,EQ,3760.000000,3770.000000,3660.000000,3680.300000,3764.000000,42410,1573.28,4058,
2020-02-24,BAJAJHLDNG,EQ,3691.600000,3740.000000,3660.200000,3695.100000,3680.300000,22169,823.43,5553,
2020-02-25,BAJAJHLDNG,EQ,3713.450000,3750.000000,3625.000000,3642.250000,3695.100000,34366,1267.07,9564,
2020-02-26,BAJAJHLDNG,EQ,3648.000000,3648.000000,3465.000000,3483.000000,3642.250000,53905,1887.10,6462,
2020-02-27,BAJAJHLDNG,EQ,3485.000000,3523.650000,3415.300000,3456.250000,3483.000000,27827,960.30,5167,
2020-02-28,BAJAJHLDNG,EQ,3408.900000,3430.000000,3350.800000,3386.650000,3456.250000,21849,739.59,5244,
2020-03-02,BAJAJHLDNG,EQ,3460.000000,3460.000000,3375.100000,3393.900000,3386.650000,14706,501.67,3635,
2020-03-03,BAJAJHLDNG,EQ,3410.800000,3437.900000,3350.000000,3368.300000,3393.900000,17842,602.49,4631,
2020-03-04,BAJAJHLDNG,EQ,3384.900000,3406.000000,3317.050000,3323.700000,3368.300000,21675,728.97,5164,
2020-03-05,BAJAJHLDNG,EQ,3333.700000,3397.950000,3298.450000,3343.100000,3323.700000,51392,1719.45,7187,
2020-03-06,BAJAJHLDNG,EQ,3225.050000,3339.950000,3121.700000,3156.750000,3343.100000,52501,1675.14,8923,
2020-03-09,BAJAJHLDNG,EQ,3148.000000,3148.000000,2849.100000,2882.800000,3156.750000,90244,2671.44,14079,
2020-03-11,BAJAJHLDNG,EQ,2925.800000,3082.750000,2900.100000,3039.650000,2882.800000,121804,3664.41,17492,
2020-03-12,BAJAJHLDNG,EQ,2856.000000,3009.250000,2840.000000,2910.600000,3039.650000,226971,6584.07,14222,
2020-03-13,BAJAJHLDNG,EQ,2700.100000,3075.000000,2474.900000,2954.450000,2910.600000,53783,1501.95,9654,
2020-03-16,BAJAJHLDNG,EQ,2890.000000,2923.900000,2625.000000,2740.950000,2954.450000,77841,2181.40,13844,
2020-03-17,BAJAJHLDNG,EQ,2752.000000,2778.750000,2649.700000,2657.100000,2740.950000,362881,9652.14,14512,
2020-03-18,BAJAJHLDNG,EQ,2690.000000,2779.950000,2496.650000,2539.050000,2657.100000,172040,4358.69,12395,
2020-03-19,BAJAJHLDNG,EQ,2340.200000,2469.650000,2140.000000,2300.600000,2539.050000,407407,8912.51,18634,
2020-03-20,BAJAJHLDNG,EQ,2301.600000,2419.250000,2210.800000,2281.400000,2300.600000,93449,2175.35,10041,
2020-03-23,BAJAJHLDNG,EQ,2100.000000,2198.900000,1825.150000,1825.150000,2281.400000,119719,2229.82,6395,
2020-03-24,BAJAJHLDNG,EQ,1902.500000,1935.450000,1460.150000,1525.950000,1825.150000,436926,6632.84,32562,
2020-03-25,BAJAJHLDNG,EQ,1525.000000,1678.500000,1514.500000,1594.500000,1525.950000,152057,2446.54,21038,
2020-03-26,BAJAJHLDNG,EQ,1630.000000,1753.950000,1605.000000,1753.950000,1594.500000,63137,1094.93,8083,
2020-03-27,BAJAJHLDNG,EQ,1905.000000,1929.300000,1800.000000,1900.000000,1753.950000,79150,1507.85,9525,
2020-03-30,BAJAJHLDNG,EQ,1810.000000,1899.000000,1770.000000,1841.200000,1900.000000,52153,951.35,9568,
2020-03-31,BAJAJHLDNG,EQ,1873.000000,1905.000000,1779.850000,1798.550000,1841.200000,43449,796.39,7404,
2020-04-01,BAJAJHLDNG,EQ,1819.000000,1819.000000,1725.500000,1754.550000,1798.550000,30051,527.75,8031,
2020-04-03,BAJAJHLDNG,EQ,1780.000000,1930.000000,1700.000000,1924.600000,1754.550000,47263,881.41,11731,
2020-04-07,BAJAJHLDNG,EQ,1980.000000,2020.700000,1932.150000,1978.900000,1924.600000,26403,520.88,5919,
2020-04-08,BAJAJHLDNG,EQ,2027.950000,2073.850000,1925.000000,2024.750000,1978.900000,25453,513.64,6198,
