date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BAJFINANCE,EQ,317.835000,318.900000,316.575000,317.347500,317.606250,5427227,17239.65,22951,
2020-01-02,BAJFINANCE,EQ,318.000000,322.181250,317.625000,318.453750,317.347500,11517920,36870.85,59073,
2020-01-03,BAJFINANCE,EQ,316.500000,317.610000,312.975000,314.508750,318.453750,15691333,49487.34,68524,
2020-01-06,BAJFINANCE,EQ,312.300000,315.300000,298.785000,299.752500,314.508750,38223133,116184.24,146938,
2020-01-07,BAJFINANCE,EQ,304.125000,306.900000,299.715000,300.573750,299.752500,28653893,86684.90,105478,
2020-01-08,BAJFINANCE,EQ,296.250000,304.526250,296.250000,303.746250,300.573750,21741013,65482.99,76621,
2020-01-09,BAJFINANCE,EQ,307.942500,311.100000,306.000000,309.315000,303.746250,18925173,58484.02,82128,
2020-01-10,BAJFINANCE,EQ,309.757500,313.942500,308.850000,310.863750,309.315000,14754987,45936.78,58883,
2020-01-13,BAJFINANCE,EQ,312.600000,313.668750,310.950000,312.337500,310.863750,8602027,26851.33,40230,
2020-01-14,BAJFINANCE,EQ,312.750000,315.180000,311.283750,314.475000,312.337500,9379120,29406.60,48016,
2020-01-15,BAJFINANCE,EQ,314.246250,316.500000,312.753750,315.543750,314.475000,8226347,25904.58,36316,
2020-01-16,BAJFINANCE,EQ,314.250000,317.246250,314.100000,316.518750,315.543750,7716373,24403.35,36690,
2020-01-17,BAJFINANCE,EQ,316.275000,318.150000,315.150000,317.381250,316.518750,8948387,28381.81,51074,
2020-01-20,BAJFINANCE,EQ,317.175000,318.971250,309.386250,311.445000,317.381250,11315187,35506.06,56580,
2020-01-21,BAJFINANCE,EQ,311.246250,313.957500,308.778750,310.395000,311.445000,11972293,37233.94,62449,
2020-01-22,BAJFINANCE,EQ,313.950000,313.987500,309.251250,310.665000,310.395000,10638680,33123.72,42630,
