date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BANKBARODA,EQ,102.250000,102.700000,101.300000,101.900000,101.900000,12896434,13145.09,27102,
2020-01-02,BANKBARODA,EQ,102.100000,104.850000,101.750000,104.450000,101.900000,18704405,19319.88,42432,
2020-01-03,BANKBARODA,EQ,103.950000,103.950000,100.100000,100.850000,104.450000,24439056,24910.66,55406,
2020-01-06,BANKBARODA,EQ,99.950000,99.950000,95.350000,95.800000,100.850000,30549236,29548.53,70780,
2020-01-07,BANKBARODA,EQ,97.600000,98.150000,94.750000,96.150000,95.800000,31124816,30015.34,67721,
2020-01-08,BANKBARODA,EQ,94.000000,95.800000,93.500000,95.300000,96.150000,26770478,25384.88,55321,
2020-01-09,BANKBARODA,EQ,97.250000,98.000000,96.550000,97.300000,95.300000,21511429,20947.33,48279,
2020-01-10,BANKBARODA,EQ,97.750000,98.950000,96.650000,97.050000,97.300000,22583687,22071.00,53013,
2020-01-13,BANKBARODA,EQ,97.400000,98.100000,97.000000,97.550000,97.050000,15182504,14807.28,31193,
2020-01-14,BANKBARODA,EQ,97.900000,98.700000,96.450000,97.800000,97.550000,14721468,14392.29,34354,
2020-01-15,BANKBARODA,EQ,97.600000,98.300000,96.300000,98.000000,97.800000,17552783,17100.37,38423,
2020-01-16,BANKBARODA,EQ,98.000000,99.000000,97.350000,97.650000,98.000000,15395112,15110.12,33619,
2020-01-17,BANKBARODA,EQ,96.000000,98.250000,95.100000,97.350000,97.650000,16846301,16381.14,35375,
2020-01-20,BANKBARODA,EQ,97.850000,97.850000,94.300000,94.700000,97.350000,20296585,19427.22,47021,
2020-01-21,BANKBARODA,EQ,94.700000,95.700000,94.100000,94.750000,94.700000,16440135,15598.98,39772,
2020-01-22,BANKBARODA,EQ,95.500000,95.750000,93.500000,94.300000,94.750000,16534303,15604.13,39152,
2020-01-23,BANKBARODA,EQ,94.200000,96.250000,94.000000,94.900000,94.300000,17790397,16956.14,39161,
