date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BOSCHLTD,EQ,15399.650000,15539.700000,15250.000000,15284.800000,15374.600000,10221,1572.80,3184,
2020-01-02,BOSCHLTD,EQ,15320.950000,15450.000000,15200.000000,15411.850000,15284.800000,12982,1990.71,3988,
2020-01-03,BOSCHLTD,EQ,15385.000000,15463.900000,15130.000000,15172.900000,15411.850000,12150,1853.11,3928,
2020-01-06,BOSCHLTD,EQ,15149.950000,15170.000000,14760.100000,14818.800000,15172.900000,10161,1513.48,3494,
2020-01-07,BOSCHLTD,EQ,14850.050000,14999.950000,14697.800000,14828.000000,14818.800000,12015,1785.25,4027,
2020-01-08,BOSCHLTD,EQ,14742.000000,14745.200000,14505.700000,14527.400000,14828.000000,10878,1587.50,3921,
2020-01-09,BOSCHLTD,EQ,14710.000000,14935.000000,14610.000000,14879.900000,14527.400000,10637,1572.05,4323,
2020-01-10,BOSCHLTD,EQ,14881.000000,15084.500000,14733.500000,14857.100000,14879.900000,12854,1915.69,3933,
2020-01-13,BOSCHLTD,EQ,14925.000000,14940.000000,14752.550000,14791.300000,14857.100000,6553,971.97,2438,
2020-01-14,BOSCHLTD,EQ,14834.000000,15199.000000,14743.550000,15133.300000,14791.300000,16359,2463.62,5743,
2020-01-15,BOSCHLTD,EQ,15130.150000,15250.000000,14802.000000,14959.650000,15133.300000,12863,1919.02,4937,
2020-01-16,BOSCHLTD,EQ,15040.000000,15079.100000,14802.000000,14825.250000,14959.650000,14103,2103.75,4478,
2020-01-17,BOSCHLTD,EQ,14915.000000,15449.950000,14858.700000,15387.150000,14825.250000,33609,5135.65,8590,
2020-01-20,BOSCHLTD,EQ,15480.000000,15550.000000,14920.000000,14970.350000,15387.150000,17559,2667.78,5758,
2020-01-21,BOSCHLTD,EQ,14929.950000,15130.000000,14890.000000,14935.500000,14970.350000,14888,2234.65,4248,
2020-01-22,BOSCHLTD,EQ,14979.950000,15087.850000,14601.000000,14662.550000,14935.500000,15276,2257.46,4626,
2020-01-23,BOSCHLTD,EQ,14709.000000,15200.000000,14652.000000,14973.750000,14662.550000,21615,3226.68,5800,
2020-01-24,BOSCHLTD,EQ,15049.900000,15241.950000,14926.700000,15022.450000,14973.750000,10465,1579.91,3773,
