date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BPCL,EQ,246.000000,246.950000,244.250000,245.825000,245.775000,4766592,11714.58,27812,
2020-01-02,BPCL,EQ,245.600000,245.850000,243.225000,243.775000,245.825000,6424966,15687.41,37044,
2020-01-03,BPCL,EQ,241.950000,243.375000,236.425000,241.750000,243.775000,22655540,54532.23,115581,
2020-01-06,BPCL,EQ,237.500000,240.000000,232.575000,234.575000,241.750000,15332634,36143.13,87316,
2020-01-07,BPCL,EQ,233.950000,237.375000,229.925000,230.500000,234.575000,23454588,54701.00,102152,
2020-01-08,BPCL,EQ,225.000000,232.200000,224.275000,229.950000,230.500000,24743076,56204.31,125543,
2020-01-09,BPCL,EQ,236.075000,237.200000,232.725000,235.275000,229.950000,12999312,30529.63,72429,
2020-01-10,BPCL,EQ,236.900000,237.350000,233.200000,235.125000,235.275000,8708498,20485.59,52559,
2020-01-13,BPCL,EQ,235.500000,238.125000,234.500000,235.375000,235.125000,7338838,17336.08,63579,
2020-01-14,BPCL,EQ,236.950000,239.375000,236.050000,236.675000,235.375000,7216716,17143.16,58729,
2020-01-15,BPCL,EQ,236.250000,236.475000,231.600000,233.975000,236.675000,9956518,23263.04,73439,
2020-01-16,BPCL,EQ,234.000000,234.750000,230.075000,230.900000,233.975000,6370550,14783.35,36396,
2020-01-17,BPCL,EQ,231.000000,232.625000,226.000000,226.950000,230.900000,11132598,25469.25,72875,
2020-01-20,BPCL,EQ,227.475000,233.350000,225.800000,228.575000,226.950000,11681302,26884.93,66156,
2020-01-21,BPCL,EQ,228.800000,233.250000,227.525000,231.925000,228.575000,8398840,19369.24,53623,
2020-01-22,BPCL,EQ,232.600000,233.225000,227.050000,227.725000,231.925000,7460864,17140.11,57996,
2020-01-23,BPCL,EQ,229.750000,235.900000,228.500000,234.500000,227.725000,11131352,25915.08,63045,
2020-01-24,BPCL,EQ,234.625000,236.600000,232.350000,233.050000,234.500000,7871260,18473.85,46520,
2020-01-27,BPCL,EQ,233.250000,235.900000,231.500000,233.875000,233.050000,8828966,20682.56,40353,
2020-01-28,BPCL,EQ,234.550000,241.125000,233.800000,240.475000,233.875000,15217662,36366.82,99810,
2020-01-29,BPCL,EQ,241.975000,243.450000,238.325000,239.525000,240.475000,14264654,34396.42,78973,
2020-01-30,BPCL,EQ,240.025000,242.250000,232.575000,234.825000,239.525000,10891876,25844.84,61298,
2020-01-31,BPCL,EQ,235.000000,236.300000,228.025000,228.475000,234.825000,13892950,32001.80,85472,
2020-02-03,BPCL,EQ,223.125000,231.750000,221.225000,230.150000,221.750000,18802900,42971.23,139973,
2020-02-04,BPCL,EQ,232.500000,240.550000,231.000000,239.250000,230.150000,15683820,36981.06,108529,
2020-02-05,BPCL,EQ,240.000000,253.975000,239.000000,250.850000,239.250000,30234094,75165.49,198766,
2020-02-06,BPCL,EQ,251.650000,255.000000,246.100000,247.525000,250.850000,22467954,56267.28,110973,
2020-02-07,BPCL,EQ,247.400000,247.800000,243.000000,245.700000,247.525000,9022030,22109.95,58655,
2020-02-10,BPCL,EQ,246.000000,247.775000,241.675000,242.725000,245.700000,8848392,21618.92,51575,
2020-02-11,BPCL,EQ,245.400000,246.975000,240.025000,240.500000,242.725000,7943310,19365.13,55023,
2020-02-12,BPCL,EQ,241.500000,242.850000,236.950000,237.375000,240.500000,7549204,18045.94,40963,
2020-02-13,BPCL,EQ,238.850000,239.250000,234.000000,234.500000,237.375000,8083000,19099.70,49208,
2020-02-14,BPCL,EQ,235.500000,242.250000,234.950000,238.225000,234.500000,23043576,55191.64,123779,
2020-02-17,BPCL,EQ,239.225000,239.225000,230.000000,230.825000,238.225000,9025984,21023.36,49885,
2020-02-18,BPCL,EQ,230.875000,236.250000,228.000000,235.375000,230.825000,11940592,27806.19,58625,
2020-02-19,BPCL,EQ,236.750000,240.500000,234.750000,237.775000,235.375000,10786834,25617.32,80298,
2020-02-20,BPCL,EQ,237.425000,240.000000,235.275000,235.875000,237.775000,8752120,20776.72,56196,
2020-02-24,BPCL,EQ,235.500000,237.850000,231.500000,232.325000,235.875000,12382886,29118.37,65359,
2020-02-25,BPCL,EQ,234.900000,235.275000,227.450000,228.375000,232.325000,11044046,25523.27,58236,
2020-02-26,BPCL,EQ,228.800000,229.775000,221.600000,224.400000,228.375000,14491090,32717.15,71413,
2020-02-27,BPCL,EQ,223.425000,224.825000,219.250000,222.025000,224.400000,12178324,27058.48,77816,
2020-02-28,BPCL,EQ,219.450000,219.450000,210.250000,213.175000,222.025000,12199026,26227.90,67659,
2020-03-02,BPCL,EQ,216.000000,220.925000,203.250000,206.175000,213.175000,15624380,33286.30,79514,
2020-03-03,BPCL,EQ,207.550000,213.575000,206.750000,212.500000,206.175000,11415592,23985.41,78776,
2020-03-04,BPCL,EQ,211.050000,214.350000,202.700000,209.350000,212.500000,15457514,32553.29,79179,
2020-03-05,BPCL,EQ,209.325000,214.575000,208.525000,209.200000,209.350000,11450828,24147.16,88699,
