date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,BRITANNIA,EQ,3044.700000,3053.000000,3027.400000,3039.650000,3027.800000,110561,3362.12,6813,
2020-01-02,BRITANNIA,EQ,3047.000000,3065.000000,3043.050000,3053.400000,3039.650000,138428,4227.82,10506,
2020-01-03,BRITANNIA,EQ,3045.000000,3060.000000,3025.650000,3038.800000,3053.400000,168305,5114.70,16811,
2020-01-06,BRITANNIA,EQ,3030.000000,3032.150000,2995.050000,3022.050000,3038.800000,181158,5455.33,20640,
2020-01-07,BRITANNIA,EQ,3033.900000,3054.000000,3028.000000,3036.600000,3022.050000,159307,4843.89,17764,
2020-01-08,BRITANNIA,EQ,3020.000000,3038.700000,2995.000000,3023.600000,3036.600000,194024,5868.25,15951,
2020-01-09,BRITANNIA,EQ,3047.200000,3049.000000,2995.100000,3001.100000,3023.600000,434270,13078.48,34570,
2020-01-10,BRITANNIA,EQ,3014.950000,3015.000000,2978.050000,2989.750000,3001.100000,526254,15761.80,39992,
2020-01-13,BRITANNIA,EQ,2995.000000,3056.250000,2987.300000,3045.100000,2989.750000,420792,12758.37,22588,
2020-01-14,BRITANNIA,EQ,3058.000000,3119.000000,3037.150000,3105.150000,3045.100000,653300,20211.66,33507,
2020-01-15,BRITANNIA,EQ,3120.000000,3133.950000,3092.900000,3114.200000,3105.150000,438959,13658.68,25891,
2020-01-16,BRITANNIA,EQ,3116.000000,3160.000000,3115.000000,3150.250000,3114.200000,768872,24163.27,32613,
2020-01-17,BRITANNIA,EQ,3155.000000,3169.000000,3114.350000,3124.450000,3150.250000,294064,9227.26,30506,
2020-01-20,BRITANNIA,EQ,3143.000000,3143.000000,3104.400000,3110.450000,3124.450000,203111,6335.57,16022,
2020-01-21,BRITANNIA,EQ,3100.000000,3130.000000,3077.250000,3111.250000,3110.450000,220943,6859.76,22663,
2020-01-22,BRITANNIA,EQ,3125.500000,3138.700000,3088.900000,3106.350000,3111.250000,248578,7730.32,21668,
2020-01-23,BRITANNIA,EQ,3103.850000,3122.900000,3068.100000,3112.950000,3106.350000,203032,6293.56,16287,
2020-01-24,BRITANNIA,EQ,3113.150000,3212.950000,3112.050000,3192.500000,3112.950000,580192,18416.78,36417,
2020-01-27,BRITANNIA,EQ,3187.000000,3210.000000,3155.000000,3174.200000,3192.500000,322446,10291.28,19792,
2020-01-28,BRITANNIA,EQ,3182.900000,3209.900000,3136.500000,3181.250000,3174.200000,292577,9317.87,33361,
2020-01-29,BRITANNIA,EQ,3200.000000,3245.500000,3190.050000,3214.200000,3181.250000,434882,14030.66,44335,
2020-01-30,BRITANNIA,EQ,3208.950000,3234.700000,3192.450000,3210.700000,3214.200000,337850,10853.37,36131,
2020-01-31,BRITANNIA,EQ,3242.700000,3274.600000,3186.850000,3200.700000,3210.700000,468850,15183.98,39519,
2020-02-03,BRITANNIA,EQ,3097.600000,3249.000000,3092.350000,3230.050000,3097.600000,657504,21143.16,50502,
2020-02-04,BRITANNIA,EQ,3235.000000,3300.000000,3188.000000,3232.500000,3230.050000,511585,16586.05,47607,
2020-02-05,BRITANNIA,EQ,3269.800000,3318.000000,3243.700000,3255.950000,3232.500000,423733,13898.59,38960,
2020-02-06,BRITANNIA,EQ,3260.350000,3293.000000,3236.350000,3252.200000,3255.950000,410631,13391.63,23811,
2020-02-07,BRITANNIA,EQ,3256.000000,3296.000000,3237.100000,3251.400000,3252.200000,450061,14683.98,29339,
2020-02-10,BRITANNIA,EQ,3270.000000,3280.000000,3125.000000,3155.600000,3251.400000,969115,30723.54,71499,
2020-02-11,BRITANNIA,EQ,3179.950000,3198.800000,3124.200000,3134.700000,3155.600000,507516,15994.09,37010,
2020-02-12,BRITANNIA,EQ,3124.200000,3209.000000,3124.200000,3136.800000,3134.700000,669153,21178.15,39756,
2020-02-13,BRITANNIA,EQ,3132.000000,3143.650000,3105.200000,3135.200000,3136.800000,319421,9973.10,25248,
2020-02-14,BRITANNIA,EQ,3116.000000,3159.000000,3090.300000,3096.650000,3135.200000,270506,8432.84,22403,
2020-02-17,BRITANNIA,EQ,3095.000000,3112.300000,3072.050000,3084.100000,3096.650000,224912,6955.01,33675,
2020-02-18,BRITANNIA,EQ,3080.000000,3080.000000,3020.000000,3066.450000,3084.100000,453173,13802.17,38857,
2020-02-19,BRITANNIA,EQ,3082.100000,3111.000000,3040.000000,3082.250000,3066.450000,462922,14233.28,38284,
2020-02-20,BRITANNIA,EQ,3079.800000,3123.450000,3052.250000,3059.400000,3082.250000,270720,8349.57,16903,
2020-02-24,BRITANNIA,EQ,3059.000000,3065.000000,3005.000000,3036.200000,3059.400000,427352,13002.79,34505,
2020-02-25,BRITANNIA,EQ,3040.000000,3078.000000,3018.000000,3033.550000,3036.200000,350415,10662.99,19502,
2020-02-26,BRITANNIA,EQ,3025.100000,3069.900000,3016.700000,3041.350000,3033.550000,366302,11157.33,23858,
2020-02-27,BRITANNIA,EQ,3036.950000,3100.000000,2960.000000,3026.050000,3041.350000,652385,19603.58,56424,
2020-02-28,BRITANNIA,EQ,2983.000000,3020.000000,2917.000000,2970.200000,3026.050000,619510,18323.26,58671,
2020-03-02,BRITANNIA,EQ,2995.000000,3053.950000,2925.000000,2949.100000,2970.200000,348147,10393.71,29275,
2020-03-03,BRITANNIA,EQ,2970.000000,3045.500000,2965.000000,3026.500000,2949.100000,399770,12028.12,39729,
2020-03-04,BRITANNIA,EQ,3048.000000,3080.000000,3028.000000,3063.050000,3026.500000,368498,11252.49,32046,
2020-03-05,BRITANNIA,EQ,3082.600000,3165.000000,3076.100000,3127.150000,3063.050000,720100,22569.33,58065,
2020-03-06,BRITANNIA,EQ,3084.900000,3100.000000,3013.250000,3081.400000,3127.150000,593374,18163.62,48018,
2020-03-09,BRITANNIA,EQ,3045.000000,3061.800000,2968.500000,2996.500000,3081.400000,607257,18219.50,58705,
2020-03-11,BRITANNIA,EQ,2982.200000,3065.900000,2944.100000,3048.300000,2996.500000,534597,16091.72,46397,
2020-03-12,BRITANNIA,EQ,2945.000000,2968.950000,2785.050000,2810.650000,3048.300000,774263,22076.74,76812,
2020-03-13,BRITANNIA,EQ,2700.000000,3049.900000,2410.000000,2763.600000,2810.650000,1108162,30763.04,101419,
2020-03-16,BRITANNIA,EQ,2704.800000,2744.650000,2602.050000,2709.000000,2763.600000,791034,21314.51,84360,
2020-03-17,BRITANNIA,EQ,2720.000000,2795.750000,2669.050000,2686.000000,2709.000000,567266,15424.60,57590,
2020-03-18,BRITANNIA,EQ,2728.000000,2744.950000,2480.000000,2501.950000,2686.000000,649481,16838.25,72279,
2020-03-19,BRITANNIA,EQ,2389.000000,2404.000000,2260.000000,2318.150000,2501.950000,786857,18327.21,86364,
