date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,CANBK,EQ,44.420000,44.670000,43.960000,44.330000,44.270000,21079405,9339.68,24499,
2020-01-02,CANBK,EQ,44.480000,45.960000,44.190000,45.770000,44.330000,35167265,15881.71,35737,
2020-01-03,CANBK,EQ,45.560000,45.700000,44.130000,44.330000,45.770000,33234705,14853.07,35653,
2020-01-06,CANBK,EQ,44.110000,44.150000,41.120000,41.490000,44.330000,68253435,28705.82,71832,
2020-01-07,CANBK,EQ,42.680000,42.860000,40.940000,41.610000,41.490000,71112745,29732.26,79067,
2020-01-08,CANBK,EQ,40.500000,41.880000,40.090000,41.560000,41.610000,75706970,30913.21,75985,
2020-01-09,CANBK,EQ,42.720000,43.150000,42.150000,42.690000,41.560000,43343815,18503.56,44068,
2020-01-10,CANBK,EQ,42.820000,43.720000,42.440000,42.830000,42.690000,46604810,20069.82,49817,
2020-01-13,CANBK,EQ,43.000000,43.360000,42.720000,43.230000,42.830000,29443200,12687.06,32350,
2020-01-14,CANBK,EQ,43.240000,43.610000,42.820000,43.110000,43.230000,29424470,12727.00,29612,
2020-01-15,CANBK,EQ,42.610000,43.880000,41.810000,43.630000,43.110000,58347755,24984.78,61034,
2020-01-16,CANBK,EQ,43.740000,44.560000,43.100000,43.820000,43.630000,41565620,18243.74,46282,
2020-01-17,CANBK,EQ,43.220000,44.740000,43.160000,44.320000,43.820000,41848320,18504.66,42193,
2020-01-20,CANBK,EQ,44.450000,44.730000,43.330000,43.770000,44.320000,28176560,12347.02,34536,
2020-01-21,CANBK,EQ,43.460000,44.260000,43.200000,43.830000,43.770000,30337915,13299.24,35740,
2020-01-22,CANBK,EQ,44.070000,44.300000,43.320000,43.780000,43.830000,22607940,9896.63,29725,
2020-01-23,CANBK,EQ,43.810000,45.350000,43.420000,44.140000,43.780000,69551335,30855.91,78535,
2020-01-24,CANBK,EQ,44.380000,44.840000,43.500000,43.760000,44.140000,36472495,16081.89,46576,
2020-01-27,CANBK,EQ,43.180000,43.430000,41.790000,42.070000,43.760000,32472815,13877.29,42327,
2020-01-28,CANBK,EQ,42.200000,42.390000,40.530000,40.720000,42.070000,53997130,22346.00,55347,
