date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,CIPLA,EQ,481.000000,481.000000,474.450000,475.900000,478.200000,1316812,6284.56,18642,
2020-01-02,CIPLA,EQ,478.850000,479.900000,472.300000,473.500000,475.900000,1406381,6689.22,23644,
2020-01-03,CIPLA,EQ,475.800000,475.800000,467.250000,469.950000,473.500000,2252752,10615.92,44368,
2020-01-06,CIPLA,EQ,469.800000,469.950000,461.200000,466.750000,469.950000,1501855,6994.42,34773,
2020-01-07,CIPLA,EQ,466.000000,470.000000,463.650000,468.600000,466.750000,2365554,11033.98,32146,
2020-01-08,CIPLA,EQ,467.800000,470.100000,461.600000,464.750000,468.600000,1507276,7021.37,22866,
2020-01-09,CIPLA,EQ,467.500000,473.300000,467.500000,470.100000,464.750000,1700600,8003.67,28983,
2020-01-10,CIPLA,EQ,470.100000,477.000000,469.750000,473.500000,470.100000,1213600,5759.12,21827,
2020-01-13,CIPLA,EQ,474.500000,482.450000,474.500000,477.650000,473.500000,1229969,5880.67,16312,
2020-01-14,CIPLA,EQ,480.600000,485.200000,479.200000,484.250000,477.650000,2160301,10428.24,71746,
2020-01-15,CIPLA,EQ,484.000000,486.850000,479.550000,484.000000,484.250000,1413668,6824.89,28871,
2020-01-16,CIPLA,EQ,484.000000,487.450000,479.000000,480.250000,484.000000,1694372,8172.53,36394,
2020-01-17,CIPLA,EQ,480.000000,482.950000,476.550000,480.300000,480.250000,2039387,9798.64,33972,
2020-01-20,CIPLA,EQ,480.450000,483.150000,476.650000,480.150000,480.300000,1206931,5794.70,34474,
2020-01-21,CIPLA,EQ,478.950000,479.550000,472.200000,473.400000,480.150000,1448808,6894.66,27223,
2020-01-22,CIPLA,EQ,474.500000,480.300000,470.250000,471.600000,473.400000,2380518,11346.04,48713,
2020-01-23,CIPLA,EQ,464.500000,475.850000,459.350000,465.150000,471.600000,5783749,27177.43,76343,
2020-01-24,CIPLA,EQ,465.000000,467.750000,456.850000,458.850000,465.150000,2713370,12538.59,69823,
2020-01-27,CIPLA,EQ,457.500000,466.500000,454.200000,464.450000,458.850000,5849003,27087.43,69918,
2020-01-28,CIPLA,EQ,465.000000,468.000000,458.950000,464.700000,464.450000,3592413,16691.13,101456,
2020-01-29,CIPLA,EQ,464.700000,467.400000,460.350000,461.550000,464.700000,1737293,8058.35,56487,
2020-01-30,CIPLA,EQ,461.000000,461.000000,446.350000,451.000000,461.550000,2766881,12525.87,71068,
2020-01-31,CIPLA,EQ,453.950000,453.950000,442.100000,446.900000,451.000000,2184609,9792.15,92843,
2020-02-03,CIPLA,EQ,444.000000,450.650000,439.400000,444.550000,444.200000,1690394,7506.95,48011,
2020-02-04,CIPLA,EQ,446.700000,452.450000,444.200000,448.450000,444.550000,2030860,9125.99,43211,
2020-02-05,CIPLA,EQ,449.550000,459.150000,437.500000,447.550000,448.450000,3637403,16265.18,60500,
2020-02-06,CIPLA,EQ,462.500000,464.350000,435.350000,439.650000,447.550000,7118843,31761.18,125961,
2020-02-07,CIPLA,EQ,440.000000,445.900000,437.300000,443.200000,439.650000,6386193,28245.49,65124,
2020-02-10,CIPLA,EQ,444.200000,451.000000,442.100000,444.750000,443.200000,3557480,15866.27,34321,
2020-02-11,CIPLA,EQ,447.100000,452.000000,443.350000,450.600000,444.750000,1889638,8479.44,37914,
2020-02-12,CIPLA,EQ,454.950000,454.950000,445.000000,446.800000,450.600000,1683136,7539.17,39748,
2020-02-13,CIPLA,EQ,446.800000,448.900000,440.500000,443.400000,446.800000,2041017,9068.24,59758,
2020-02-14,CIPLA,EQ,444.000000,448.900000,441.500000,447.100000,443.400000,1814780,8084.48,42411,
2020-02-17,CIPLA,EQ,444.500000,445.750000,430.100000,431.900000,447.100000,4581786,19873.96,80822,
2020-02-18,CIPLA,EQ,433.000000,437.650000,428.100000,436.000000,431.900000,2453801,10630.78,33961,
2020-02-19,CIPLA,EQ,437.800000,449.200000,437.400000,447.500000,436.000000,2359566,10501.62,40302,
2020-02-20,CIPLA,EQ,448.000000,448.800000,434.500000,435.750000,447.500000,3048500,13411.89,56814,
2020-02-24,CIPLA,EQ,436.000000,436.700000,426.550000,430.150000,435.750000,2569563,11051.76,70928,
2020-02-25,CIPLA,EQ,430.200000,431.200000,420.000000,425.800000,430.150000,2438218,10365.28,35505,
2020-02-26,CIPLA,EQ,406.000000,425.000000,405.800000,422.200000,425.800000,8068909,33827.87,107455,
2020-02-27,CIPLA,EQ,411.100000,424.000000,409.000000,421.200000,422.200000,5109022,21242.67,89888,
2020-02-28,CIPLA,EQ,413.000000,416.450000,398.050000,402.100000,421.200000,4200936,17122.63,86522,
2020-03-02,CIPLA,EQ,407.000000,411.250000,394.650000,401.950000,402.100000,3460583,14065.23,82668,
2020-03-03,CIPLA,EQ,402.000000,429.200000,402.000000,425.300000,401.950000,5476676,23005.15,93117,
2020-03-04,CIPLA,EQ,425.600000,449.800000,420.000000,447.650000,425.300000,9297945,40869.87,123174,
2020-03-05,CIPLA,EQ,447.850000,472.000000,437.450000,440.600000,447.650000,9637431,43284.15,111026,
2020-03-06,CIPLA,EQ,425.000000,438.150000,423.050000,434.400000,440.600000,2916146,12612.69,50806,
2020-03-09,CIPLA,EQ,425.000000,432.650000,423.500000,426.150000,434.400000,2986596,12774.07,44117,
2020-03-11,CIPLA,EQ,425.000000,426.150000,410.200000,417.100000,426.150000,5314548,22132.76,126683,
2020-03-12,CIPLA,EQ,412.500000,412.500000,390.750000,394.750000,417.100000,5636464,22359.98,94842,
2020-03-13,CIPLA,EQ,388.000000,434.950000,355.300000,425.550000,394.750000,6096909,24967.95,150719,
2020-03-16,CIPLA,EQ,416.000000,423.900000,392.750000,396.400000,425.550000,5394615,21984.21,89810,
2020-03-17,CIPLA,EQ,397.000000,422.000000,390.750000,401.750000,396.400000,2989674,12266.42,83402,
2020-03-18,CIPLA,EQ,411.800000,411.800000,381.700000,386.000000,401.750000,4200582,16727.27,114086,
2020-03-19,CIPLA,EQ,374.800000,390.750000,362.900000,374.700000,386.000000,2926155,11026.02,85136,
2020-03-20,CIPLA,EQ,379.800000,399.800000,372.450000,392.800000,374.700000,4718358,18463.86,138449,
2020-03-23,CIPLA,EQ,370.000000,406.900000,370.000000,375.250000,392.800000,5507004,21232.88,142970,
2020-03-24,CIPLA,EQ,380.000000,409.750000,372.550000,377.450000,375.250000,6652237,26036.01,167567,
2020-03-25,CIPLA,EQ,378.000000,394.900000,374.000000,376.450000,377.450000,6419109,24527.57,177940,
2020-03-26,CIPLA,EQ,383.000000,394.700000,380.500000,386.150000,376.450000,4291225,16602.61,96157,
2020-03-27,CIPLA,EQ,393.000000,411.000000,391.950000,407.650000,386.150000,6471292,26086.94,134530,
2020-03-30,CIPLA,EQ,413.800000,438.700000,407.650000,431.750000,407.650000,9021027,38051.20,235135,
2020-03-31,CIPLA,EQ,446.000000,446.600000,420.000000,422.850000,431.750000,9434756,40815.20,145428,
2020-04-01,CIPLA,EQ,424.900000,430.900000,410.400000,413.750000,422.850000,6329718,26575.44,114574,
2020-04-03,CIPLA,EQ,425.000000,454.700000,416.250000,449.200000,413.750000,17906777,79323.40,276736,
2020-04-07,CIPLA,EQ,479.000000,513.400000,452.000000,492.250000,449.200000,20843854,101553.36,340593,
2020-04-08,CIPLA,EQ,496.950000,530.000000,490.000000,512.750000,492.250000,19456194,100585.32,295878,
2020-04-09,CIPLA,EQ,564.000000,610.000000,564.000000,579.600000,512.750000,27207928,158549.76,389706,
2020-04-13,CIPLA,EQ,605.000000,605.000000,583.000000,592.850000,579.600000,15483866,91654.40,245354,
2020-04-15,CIPLA,EQ,604.450000,614.000000,578.600000,592.350000,592.850000,16213849,97518.36,315659,
2020-04-16,CIPLA,EQ,590.000000,612.800000,582.000000,600.450000,592.350000,12716392,76196.92,203613,
2020-04-17,CIPLA,EQ,615.000000,615.000000,595.000000,598.000000,600.450000,8304296,50057.93,155669,
2020-04-20,CIPLA,EQ,598.000000,599.400000,580.000000,585.400000,598.000000,5856240,34405.09,120517,
2020-04-21,CIPLA,EQ,578.000000,609.800000,570.000000,592.100000,585.400000,14471886,86471.57,234920,
2020-04-22,CIPLA,EQ,594.900000,599.750000,585.000000,587.200000,592.100000,6182389,36615.48,105276,
2020-04-23,CIPLA,EQ,590.000000,603.900000,579.050000,586.700000,587.200000,6277909,37219.88,120788,
2020-04-24,CIPLA,EQ,586.400000,606.000000,583.600000,599.300000,586.700000,11127892,66645.25,185533,
2020-04-27,CIPLA,EQ,600.000000,632.650000,600.000000,608.700000,599.300000,14089884,87046.17,210013,
2020-04-28,CIPLA,EQ,616.800000,621.250000,593.250000,598.600000,608.700000,8193432,49246.79,136856,
2020-04-29,CIPLA,EQ,605.000000,607.900000,590.100000,596.250000,598.600000,6767185,40483.44,111221,
2020-04-30,CIPLA,EQ,607.900000,611.450000,586.100000,589.600000,596.250000,9100084,54277.79,162055,
2020-05-04,CIPLA,EQ,589.000000,616.950000,580.600000,611.850000,589.600000,16816196,102268.96,300922,
2020-05-05,CIPLA,EQ,623.050000,623.050000,595.000000,596.900000,611.850000,9257197,56233.34,141932,
2020-05-06,CIPLA,EQ,597.500000,606.000000,590.000000,591.750000,596.900000,6979140,41564.87,132415,
2020-05-07,CIPLA,EQ,598.000000,601.800000,587.500000,589.550000,591.750000,4620871,27490.63,99690,
2020-05-08,CIPLA,EQ,598.000000,601.200000,589.500000,591.900000,589.550000,5051381,29998.19,90641,
2020-05-11,CIPLA,EQ,600.950000,600.950000,583.450000,586.050000,591.900000,5853898,34576.65,126091,
2020-05-12,CIPLA,EQ,587.000000,593.800000,566.200000,570.150000,586.050000,8868988,51030.89,176690,
2020-05-13,CIPLA,EQ,600.000000,605.000000,568.900000,570.200000,570.150000,10438684,60139.21,174508,
2020-05-14,CIPLA,EQ,571.000000,577.900000,566.100000,569.750000,570.200000,8546052,48817.74,159643,
2020-05-15,CIPLA,EQ,572.000000,585.000000,565.600000,570.300000,569.750000,14388640,82558.22,184285,
2020-05-18,CIPLA,EQ,570.600000,605.000000,570.500000,600.450000,570.300000,22898149,135283.25,365585,
2020-05-19,CIPLA,EQ,600.000000,608.800000,590.200000,594.950000,600.450000,10952723,65649.09,156026,
2020-05-20,CIPLA,EQ,597.000000,624.350000,595.400000,620.650000,594.950000,13441070,82281.27,194557,
2020-05-21,CIPLA,EQ,620.650000,626.850000,612.300000,616.600000,620.650000,7916847,49019.08,115197,
2020-05-22,CIPLA,EQ,616.700000,641.850000,610.100000,639.350000,616.600000,10875625,68287.16,147573,
2020-05-26,CIPLA,EQ,640.000000,646.900000,624.050000,627.700000,639.350000,8859499,56263.61,122726,
2020-05-27,CIPLA,EQ,630.000000,637.800000,625.800000,633.050000,627.700000,7710110,48742.85,121875,
2020-05-28,CIPLA,EQ,634.000000,637.650000,626.050000,628.350000,633.050000,5488725,34655.86,86659,
2020-05-29,CIPLA,EQ,633.000000,650.950000,631.000000,648.150000,628.350000,10580213,68225.05,148409,
2020-06-01,CIPLA,EQ,649.000000,652.600000,634.550000,642.500000,648.150000,7439126,47765.16,165405,
2020-06-02,CIPLA,EQ,644.900000,658.650000,636.000000,637.600000,642.500000,6883613,44508.20,106666,
2020-06-03,CIPLA,EQ,646.850000,649.500000,635.300000,641.200000,637.600000,5044705,32465.27,99708,
2020-06-04,CIPLA,EQ,643.000000,664.800000,642.500000,660.550000,641.200000,10452588,68495.87,185798,
2020-06-05,CIPLA,EQ,665.000000,669.750000,649.000000,650.900000,660.550000,6481383,42627.76,98170,
2020-06-08,CIPLA,EQ,656.700000,657.800000,633.050000,635.100000,650.900000,6263354,40096.25,123250,
2020-06-09,CIPLA,EQ,638.900000,654.300000,637.050000,640.050000,635.100000,8968473,57944.94,133946,
2020-06-10,CIPLA,EQ,646.800000,650.750000,639.800000,642.950000,640.050000,5426109,35045.39,84838,
2020-06-11,CIPLA,EQ,645.650000,646.950000,632.800000,635.000000,642.950000,3172467,20319.59,56954,
2020-06-12,CIPLA,EQ,616.300000,645.000000,616.300000,643.600000,635.000000,5579264,35406.43,90026,
2020-06-15,CIPLA,EQ,643.000000,653.500000,637.000000,643.650000,643.600000,4520269,29179.05,67575,
2020-06-16,CIPLA,EQ,644.500000,650.000000,632.450000,637.800000,643.650000,2927072,18801.93,46067,
2020-06-17,CIPLA,EQ,640.000000,643.800000,635.000000,640.350000,637.800000,2648049,16925.80,46713,
2020-06-18,CIPLA,EQ,641.650000,644.800000,636.400000,642.050000,640.350000,2161531,13855.74,44114,
