date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,COALINDIA,EQ,211.350000,212.600000,208.400000,211.950000,211.350000,6447592,13585.57,48911,
2020-01-02,COALINDIA,EQ,212.500000,212.800000,208.300000,211.100000,211.950000,5958343,12552.16,45875,
2020-01-03,COALINDIA,EQ,210.000000,212.600000,207.700000,211.850000,211.100000,6452638,13580.96,43299,
2020-01-06,COALINDIA,EQ,209.950000,209.950000,203.450000,205.700000,211.850000,6853058,14080.31,54913,
2020-01-07,COALINDIA,EQ,206.500000,208.200000,204.350000,205.700000,205.700000,5243225,10827.65,44407,
2020-01-08,COALINDIA,EQ,203.000000,204.550000,198.200000,200.200000,205.700000,7295998,14709.23,45845,
2020-01-09,COALINDIA,EQ,203.250000,203.700000,197.350000,198.000000,200.200000,10321169,20521.03,60490,
2020-01-10,COALINDIA,EQ,199.150000,206.550000,198.950000,205.300000,198.000000,13533598,27664.54,79389,
2020-01-13,COALINDIA,EQ,205.300000,212.000000,205.000000,211.550000,205.300000,9863555,20731.04,55913,
2020-01-14,COALINDIA,EQ,211.150000,213.500000,209.750000,212.950000,211.550000,5417581,11468.23,31792,
2020-01-15,COALINDIA,EQ,212.600000,214.600000,211.300000,212.450000,212.950000,4863227,10361.04,31945,
2020-01-16,COALINDIA,EQ,212.450000,212.700000,207.100000,210.250000,212.450000,6937929,14589.85,48580,
2020-01-17,COALINDIA,EQ,210.000000,210.550000,206.100000,207.900000,210.250000,5985342,12454.95,41319,
2020-01-20,COALINDIA,EQ,208.000000,209.800000,200.500000,201.150000,207.900000,8110607,16648.09,45643,
2020-01-21,COALINDIA,EQ,201.150000,205.250000,201.150000,202.150000,201.150000,6347967,12927.69,43002,
2020-01-22,COALINDIA,EQ,199.100000,199.400000,190.950000,191.900000,202.150000,19096395,37043.88,105972,
2020-01-23,COALINDIA,EQ,192.050000,195.200000,189.850000,190.750000,191.900000,16369722,31441.31,71162,
2020-01-24,COALINDIA,EQ,193.000000,196.300000,192.150000,193.950000,190.750000,10626281,20634.66,63929,
2020-01-27,COALINDIA,EQ,193.950000,195.000000,192.000000,193.350000,193.950000,7195361,13933.78,33802,
2020-01-28,COALINDIA,EQ,193.900000,194.250000,188.400000,189.150000,193.350000,10274562,19528.90,55958,
2020-01-29,COALINDIA,EQ,191.000000,193.000000,188.000000,191.050000,189.150000,10602818,20307.53,60651,
2020-01-30,COALINDIA,EQ,191.400000,192.350000,187.500000,187.950000,191.050000,10859103,20611.23,55217,
2020-01-31,COALINDIA,EQ,188.800000,189.450000,180.000000,181.700000,187.950000,35281395,64706.59,146426,
2020-02-03,COALINDIA,EQ,174.900000,179.450000,172.150000,178.650000,173.500000,15284598,27094.46,92895,
2020-02-04,COALINDIA,EQ,180.750000,183.000000,179.750000,182.500000,178.650000,10043759,18241.01,61745,
2020-02-05,COALINDIA,EQ,184.000000,184.000000,178.500000,179.250000,182.500000,9468632,17110.12,55574,
2020-02-06,COALINDIA,EQ,180.200000,181.600000,178.250000,179.950000,179.250000,6917941,12435.53,54462,
2020-02-07,COALINDIA,EQ,180.300000,186.050000,178.100000,185.050000,179.950000,13470302,24461.96,71587,
2020-02-10,COALINDIA,EQ,184.900000,185.000000,177.650000,178.850000,185.050000,19665611,35369.56,96003,
2020-02-11,COALINDIA,EQ,180.000000,181.500000,176.250000,179.350000,178.850000,16397703,29300.10,82010,
2020-02-12,COALINDIA,EQ,181.000000,183.400000,178.200000,180.300000,179.350000,14669421,26456.07,83056,
2020-02-13,COALINDIA,EQ,180.300000,180.950000,175.850000,177.800000,180.300000,11781999,20927.99,65495,
2020-02-14,COALINDIA,EQ,178.000000,178.900000,174.200000,174.750000,177.800000,15392705,27055.46,93623,
2020-02-17,COALINDIA,EQ,174.750000,175.200000,166.800000,167.850000,174.750000,15997350,27057.25,97423,
2020-02-18,COALINDIA,EQ,168.100000,173.950000,165.000000,171.850000,167.850000,27643844,46594.67,91485,
2020-02-19,COALINDIA,EQ,176.350000,178.550000,174.250000,177.750000,171.850000,21092109,37250.10,113986,
2020-02-20,COALINDIA,EQ,177.750000,180.250000,175.200000,179.350000,177.750000,16776977,29798.95,88047,
2020-02-24,COALINDIA,EQ,178.750000,178.900000,173.300000,174.850000,179.350000,9952676,17455.45,60533,
2020-02-25,COALINDIA,EQ,176.100000,178.700000,174.200000,175.100000,174.850000,13534936,23923.22,59232,
2020-02-26,COALINDIA,EQ,174.200000,177.750000,172.650000,173.800000,175.100000,10925243,19150.11,77432,
2020-02-27,COALINDIA,EQ,173.750000,174.550000,169.600000,174.100000,173.800000,11500515,19813.53,60532,
2020-02-28,COALINDIA,EQ,171.550000,171.800000,166.750000,168.400000,174.100000,14694382,24859.12,105493,
2020-03-02,COALINDIA,EQ,172.650000,175.000000,168.300000,169.350000,168.400000,11962711,20642.01,63565,
2020-03-03,COALINDIA,EQ,171.350000,179.650000,170.900000,178.200000,169.350000,17015816,29748.05,73868,
2020-03-04,COALINDIA,EQ,178.250000,179.800000,174.100000,178.100000,178.200000,9858330,17485.70,78436,
2020-03-05,COALINDIA,EQ,180.000000,180.200000,172.200000,177.150000,178.100000,12349902,21732.63,61821,
2020-03-06,COALINDIA,EQ,166.700000,173.000000,166.500000,168.750000,177.150000,10629291,18076.43,71770,
2020-03-09,COALINDIA,EQ,165.800000,166.700000,156.950000,157.950000,168.750000,23967961,38796.75,101385,
2020-03-11,COALINDIA,EQ,158.100000,169.900000,157.050000,168.000000,157.950000,28399809,46612.36,148710,
2020-03-12,COALINDIA,EQ,161.000000,163.000000,150.100000,154.550000,168.000000,33250978,51655.47,206701,
2020-03-13,COALINDIA,EQ,146.250000,161.550000,123.650000,154.100000,154.550000,43328031,66152.89,175752,
2020-03-16,COALINDIA,EQ,150.950000,151.350000,143.100000,143.900000,154.100000,23548327,34658.31,92209,
2020-03-17,COALINDIA,EQ,145.200000,155.400000,142.300000,145.900000,143.900000,18990185,28503.83,108984,
2020-03-18,COALINDIA,EQ,151.600000,151.850000,143.000000,145.050000,145.900000,18744151,27413.04,99549,
2020-03-19,COALINDIA,EQ,128.000000,133.500000,122.000000,123.550000,145.050000,28555217,36742.47,184801,
2020-03-20,COALINDIA,EQ,124.500000,135.800000,122.650000,132.800000,123.550000,24023065,31102.64,104020,
2020-03-23,COALINDIA,EQ,122.500000,134.850000,120.050000,127.850000,132.800000,17885210,23083.99,94097,
2020-03-24,COALINDIA,EQ,129.250000,135.000000,125.450000,127.850000,127.850000,9991429,13015.74,62450,
2020-03-25,COALINDIA,EQ,126.000000,129.250000,123.700000,124.500000,127.850000,8344561,10459.75,59668,
2020-03-26,COALINDIA,EQ,126.000000,127.000000,119.200000,123.250000,124.500000,28364155,34914.55,153911,
2020-03-27,COALINDIA,EQ,125.900000,132.950000,125.000000,131.700000,123.250000,18334750,23694.61,116521,
2020-03-30,COALINDIA,EQ,127.550000,134.750000,127.200000,133.150000,131.700000,12357416,16312.53,91151,
2020-03-31,COALINDIA,EQ,135.100000,142.350000,134.250000,140.050000,133.150000,14997627,20857.69,89569,
2020-04-01,COALINDIA,EQ,138.750000,141.250000,137.050000,139.450000,140.050000,8833033,12317.51,62281,
2020-04-03,COALINDIA,EQ,138.600000,139.900000,131.800000,137.750000,139.450000,10937172,14891.28,105935,
2020-04-07,COALINDIA,EQ,140.300000,142.400000,137.150000,140.150000,137.750000,8205546,11510.84,54857,
2020-04-08,COALINDIA,EQ,140.000000,143.400000,137.000000,137.350000,140.150000,7070296,9890.09,55896,
2020-04-09,COALINDIA,EQ,139.200000,141.450000,138.000000,140.800000,137.350000,5078557,7119.57,36981,
2020-04-13,COALINDIA,EQ,140.800000,146.700000,138.350000,145.900000,140.800000,10691857,15409.44,57290,
2020-04-15,COALINDIA,EQ,147.400000,151.600000,146.000000,146.850000,145.900000,10487978,15617.75,85581,
2020-04-16,COALINDIA,EQ,144.600000,150.500000,144.400000,147.400000,146.850000,9736874,14459.38,65846,
2020-04-17,COALINDIA,EQ,151.500000,152.450000,148.300000,148.750000,147.400000,7094930,10627.43,49937,
2020-04-20,COALINDIA,EQ,149.900000,149.900000,143.000000,144.200000,148.750000,7139690,10422.84,61760,
2020-04-21,COALINDIA,EQ,141.000000,141.600000,137.800000,139.000000,144.200000,6501383,9059.78,50407,
2020-04-22,COALINDIA,EQ,138.200000,141.300000,135.000000,140.700000,139.000000,5604353,7754.13,54723,
2020-04-23,COALINDIA,EQ,140.800000,144.750000,140.100000,140.900000,140.700000,7553387,10750.62,57402,
2020-04-24,COALINDIA,EQ,140.600000,143.800000,135.800000,137.000000,140.900000,11701225,16394.72,74521,
2020-04-27,COALINDIA,EQ,139.000000,139.700000,137.500000,138.100000,137.000000,4238903,5866.29,33953,
2020-04-28,COALINDIA,EQ,138.600000,139.550000,134.450000,135.400000,138.100000,7064485,9644.21,58250,
2020-04-29,COALINDIA,EQ,135.500000,140.850000,135.350000,139.850000,135.400000,7399371,10276.91,57807,
2020-04-30,COALINDIA,EQ,141.500000,149.450000,141.350000,148.500000,139.850000,13146077,19184.94,103971,
2020-05-04,COALINDIA,EQ,144.700000,144.700000,140.350000,142.300000,148.500000,8356131,11918.45,58591,
2020-05-05,COALINDIA,EQ,143.900000,147.250000,137.350000,138.000000,142.300000,11879416,16884.30,73467,
