date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,CUMMINSIND,EQ,550.850000,553.950000,548.400000,552.150000,550.850000,148568,819.28,4549,
2020-01-02,CUMMINSIND,EQ,550.100000,571.000000,550.100000,569.050000,552.150000,702328,3956.56,8307,
2020-01-03,CUMMINSIND,EQ,572.500000,589.650000,565.000000,573.000000,569.050000,1823916,10564.30,28675,
2020-01-06,CUMMINSIND,EQ,570.300000,581.700000,562.400000,570.700000,573.000000,880116,5048.22,28223,
2020-01-07,CUMMINSIND,EQ,576.000000,582.850000,570.500000,573.550000,570.700000,620142,3572.19,18212,
2020-01-08,CUMMINSIND,EQ,567.850000,582.700000,564.250000,578.400000,573.550000,574685,3314.01,19821,
2020-01-09,CUMMINSIND,EQ,579.100000,596.700000,579.100000,592.250000,578.400000,788564,4661.65,19141,
2020-01-10,CUMMINSIND,EQ,593.300000,600.900000,584.150000,588.100000,592.250000,603502,3579.93,11079,
2020-01-13,CUMMINSIND,EQ,591.900000,592.400000,586.000000,590.400000,588.100000,242018,1427.93,4791,
2020-01-14,CUMMINSIND,EQ,591.850000,598.800000,589.450000,593.450000,590.400000,298076,1770.08,8064,
2020-01-15,CUMMINSIND,EQ,593.800000,595.000000,577.050000,580.350000,593.450000,541744,3155.50,12689,
2020-01-16,CUMMINSIND,EQ,582.000000,597.250000,582.000000,591.800000,580.350000,749424,4417.06,20648,
2020-01-17,CUMMINSIND,EQ,595.450000,597.100000,577.450000,578.900000,591.800000,470283,2758.36,13508,
2020-01-20,CUMMINSIND,EQ,581.700000,588.900000,573.000000,584.150000,578.900000,425150,2474.22,14987,
2020-01-21,CUMMINSIND,EQ,580.000000,592.000000,578.700000,580.400000,584.150000,361234,2115.25,9740,
2020-01-22,CUMMINSIND,EQ,579.900000,587.650000,579.900000,584.150000,580.400000,215727,1260.12,7569,
2020-01-23,CUMMINSIND,EQ,587.000000,587.000000,568.000000,569.350000,584.150000,608267,3489.04,12420,
2020-01-24,CUMMINSIND,EQ,570.900000,606.000000,570.350000,595.150000,569.350000,1515868,9008.95,29287,
2020-01-27,CUMMINSIND,EQ,594.000000,608.950000,590.150000,605.250000,595.150000,1922343,11617.38,33669,
2020-01-28,CUMMINSIND,EQ,608.400000,614.400000,583.600000,588.350000,605.250000,1051918,6341.09,26087,
2020-01-29,CUMMINSIND,EQ,624.000000,652.800000,594.000000,601.200000,588.350000,18713513,115765.72,313450,
2020-01-30,CUMMINSIND,EQ,597.900000,600.950000,580.100000,584.600000,601.200000,1929888,11376.58,40073,
