date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,DIVISLAB,EQ,1845.000000,1849.600000,1815.900000,1818.850000,1845.800000,157063,2871.57,5547,
2020-01-02,DIVISLAB,EQ,1820.500000,1833.800000,1820.500000,1825.900000,1818.850000,102841,1878.17,6957,
2020-01-03,DIVISLAB,EQ,1817.000000,1847.850000,1817.000000,1834.800000,1825.900000,281177,5163.60,16587,
2020-01-06,DIVISLAB,EQ,1828.300000,1845.000000,1800.000000,1838.350000,1834.800000,500000,9141.73,19639,
2020-01-07,DIVISLAB,EQ,1838.000000,1851.750000,1832.600000,1843.900000,1838.350000,302472,5578.45,14478,
2020-01-08,DIVISLAB,EQ,1822.000000,1846.000000,1822.000000,1833.950000,1843.900000,147762,2712.46,14100,
2020-01-09,DIVISLAB,EQ,1845.000000,1855.000000,1826.650000,1843.400000,1833.950000,221553,4086.79,12432,
2020-01-10,DIVISLAB,EQ,1843.950000,1884.500000,1841.000000,1866.300000,1843.400000,499335,9343.82,24317,
2020-01-13,DIVISLAB,EQ,1870.200000,1881.800000,1860.000000,1878.850000,1866.300000,208532,3905.91,15661,
2020-01-14,DIVISLAB,EQ,1878.500000,1887.000000,1857.000000,1873.650000,1878.850000,328250,6149.77,23517,
2020-01-15,DIVISLAB,EQ,1878.600000,1878.600000,1852.050000,1866.250000,1873.650000,277859,5170.07,24347,
2020-01-16,DIVISLAB,EQ,1870.000000,1902.100000,1869.100000,1899.000000,1866.250000,381703,7221.65,24124,
2020-01-17,DIVISLAB,EQ,1899.450000,1913.850000,1892.050000,1903.350000,1899.000000,362279,6904.23,29293,
2020-01-20,DIVISLAB,EQ,1905.000000,1926.400000,1887.100000,1892.000000,1903.350000,420979,8035.18,23923,
2020-01-21,DIVISLAB,EQ,1892.000000,1900.900000,1868.000000,1870.800000,1892.000000,393410,7397.28,22592,
2020-01-22,DIVISLAB,EQ,1872.100000,1890.650000,1843.950000,1855.150000,1870.800000,460611,8579.69,17818,
2020-01-23,DIVISLAB,EQ,1855.000000,1902.400000,1853.000000,1897.450000,1855.150000,294035,5540.72,17381,
2020-01-24,DIVISLAB,EQ,1896.500000,1914.700000,1885.100000,1910.500000,1897.450000,200949,3831.99,12999,
2020-01-27,DIVISLAB,EQ,1910.000000,1935.000000,1893.700000,1918.350000,1910.500000,434503,8348.01,17637,
2020-01-28,DIVISLAB,EQ,1918.350000,1951.800000,1903.150000,1946.750000,1918.350000,527383,10190.28,25979,
2020-01-29,DIVISLAB,EQ,1956.000000,1994.400000,1936.050000,1961.300000,1946.750000,829522,16348.90,33765,
2020-01-30,DIVISLAB,EQ,1961.500000,1975.000000,1935.750000,1959.150000,1961.300000,350522,6842.17,25166,
2020-01-31,DIVISLAB,EQ,1969.000000,1984.000000,1948.000000,1952.300000,1959.150000,322232,6331.21,16529,
2020-02-03,DIVISLAB,EQ,1994.900000,2022.000000,1962.400000,1972.750000,1986.900000,910769,18188.16,41016,
2020-02-04,DIVISLAB,EQ,1979.000000,1996.950000,1954.200000,1961.300000,1972.750000,565885,11184.13,26295,
2020-02-05,DIVISLAB,EQ,1962.050000,1990.000000,1946.200000,1962.650000,1961.300000,519051,10228.54,24497,
2020-02-06,DIVISLAB,EQ,1950.000000,2079.400000,1930.000000,2023.000000,1962.650000,1730330,35108.24,75407,
2020-02-07,DIVISLAB,EQ,2023.000000,2095.000000,2011.000000,2085.950000,2023.000000,890175,18315.46,32967,
2020-02-10,DIVISLAB,EQ,2085.000000,2112.450000,2076.150000,2088.950000,2085.950000,628865,13174.23,30246,
2020-02-11,DIVISLAB,EQ,2085.000000,2160.000000,2085.000000,2146.900000,2088.950000,1068378,22791.55,47766,
2020-02-12,DIVISLAB,EQ,2159.000000,2179.950000,2112.000000,2121.800000,2146.900000,984894,21123.81,39712,
2020-02-13,DIVISLAB,EQ,2135.050000,2173.800000,2121.800000,2155.800000,2121.800000,591980,12726.70,27305,
2020-02-14,DIVISLAB,EQ,2169.250000,2190.000000,2135.700000,2146.450000,2155.800000,660382,14278.83,26159,
2020-02-17,DIVISLAB,EQ,2158.000000,2170.000000,2133.600000,2154.850000,2146.450000,243414,5239.23,14594,
2020-02-18,DIVISLAB,EQ,2154.850000,2180.200000,2142.500000,2175.250000,2154.850000,532206,11493.01,30144,
2020-02-19,DIVISLAB,EQ,2170.000000,2195.000000,2155.750000,2185.850000,2175.250000,365113,7946.52,24985,
2020-02-20,DIVISLAB,EQ,2199.500000,2236.400000,2156.850000,2169.350000,2185.850000,578488,12701.29,21980,
2020-02-24,DIVISLAB,EQ,2171.900000,2184.800000,2147.300000,2160.450000,2169.350000,419664,9087.81,24394,
2020-02-25,DIVISLAB,EQ,2152.000000,2165.000000,2093.000000,2116.000000,2160.450000,572634,12119.66,40088,
2020-02-26,DIVISLAB,EQ,2116.000000,2162.950000,2091.100000,2142.100000,2116.000000,578955,12403.18,35668,
2020-02-27,DIVISLAB,EQ,2148.000000,2172.000000,2117.050000,2156.550000,2142.100000,569625,12243.82,26124,
2020-02-28,DIVISLAB,EQ,2140.000000,2149.700000,2087.250000,2106.950000,2156.550000,1076121,22761.33,41217,
2020-03-02,DIVISLAB,EQ,2130.000000,2164.900000,2086.000000,2109.250000,2106.950000,557614,11887.83,31517,
2020-03-03,DIVISLAB,EQ,2124.900000,2210.000000,2063.550000,2183.100000,2109.250000,1399046,30097.60,63619,
2020-03-04,DIVISLAB,EQ,2183.000000,2210.900000,2157.750000,2174.800000,2183.100000,634747,13818.98,47408,
2020-03-05,DIVISLAB,EQ,2175.000000,2239.000000,2175.000000,2223.750000,2174.800000,1094422,24309.08,46020,
2020-03-06,DIVISLAB,EQ,2180.000000,2249.000000,2171.450000,2240.050000,2223.750000,968953,21524.90,50936,
2020-03-09,DIVISLAB,EQ,2240.000000,2258.950000,2137.050000,2181.750000,2240.050000,879424,19206.45,47746,
2020-03-11,DIVISLAB,EQ,2180.800000,2194.750000,2125.050000,2149.200000,2181.750000,573239,12352.04,45300,
2020-03-12,DIVISLAB,EQ,2129.000000,2129.000000,1826.850000,1912.850000,2149.200000,1552640,30306.62,79441,
2020-03-13,DIVISLAB,EQ,1800.000000,1993.400000,1626.000000,1962.700000,1912.850000,962602,18523.79,62461,
2020-03-16,DIVISLAB,EQ,1950.000000,1986.000000,1871.550000,1891.900000,1962.700000,682666,13117.85,43712,
2020-03-17,DIVISLAB,EQ,1892.000000,1963.100000,1872.250000,1895.300000,1891.900000,1300859,24961.69,67057,
2020-03-18,DIVISLAB,EQ,1928.000000,1933.950000,1787.650000,1805.250000,1895.300000,1076630,19975.19,75507,
2020-03-19,DIVISLAB,EQ,1720.000000,1946.450000,1631.050000,1870.950000,1805.250000,1743762,31880.59,110741,
2020-03-20,DIVISLAB,EQ,1875.550000,2017.150000,1864.400000,1994.900000,1870.950000,1881347,36787.38,94067,
2020-03-23,DIVISLAB,EQ,1849.950000,1925.000000,1725.550000,1851.750000,1994.900000,1203381,22022.83,50218,
2020-03-24,DIVISLAB,EQ,1925.000000,1975.000000,1860.500000,1919.950000,1851.750000,1286555,24842.55,82652,
2020-03-25,DIVISLAB,EQ,1900.000000,1974.000000,1881.100000,1928.050000,1919.950000,676624,13026.61,67743,
2020-03-26,DIVISLAB,EQ,1937.350000,1980.000000,1874.000000,1883.300000,1928.050000,596440,11449.82,37326,
2020-03-27,DIVISLAB,EQ,1930.000000,1930.000000,1824.750000,1862.550000,1883.300000,538840,10093.19,47593,
2020-03-30,DIVISLAB,EQ,1851.000000,1929.900000,1832.700000,1893.900000,1862.550000,606185,11520.32,44466,
2020-03-31,DIVISLAB,EQ,1943.000000,2035.000000,1895.000000,1989.050000,1893.900000,937729,18429.55,68444,
2020-04-01,DIVISLAB,EQ,2000.000000,2000.400000,1844.250000,1877.000000,1989.050000,1165088,22145.40,68807,
2020-04-03,DIVISLAB,EQ,1910.000000,1940.000000,1822.950000,1901.050000,1877.000000,1219731,23089.93,79829,
2020-04-07,DIVISLAB,EQ,1960.000000,2150.000000,1921.250000,2067.850000,1901.050000,2241715,45767.75,111108,
2020-04-08,DIVISLAB,EQ,2065.000000,2214.600000,2040.100000,2168.950000,2067.850000,1228905,26582.54,63827,
2020-04-09,DIVISLAB,EQ,2225.000000,2467.600000,2200.250000,2310.900000,2168.950000,2527934,58907.31,98602,
2020-04-13,DIVISLAB,EQ,2385.000000,2421.000000,2285.000000,2341.200000,2310.900000,1782628,42296.04,79301,
2020-04-15,DIVISLAB,EQ,2371.000000,2418.000000,2330.000000,2395.450000,2341.200000,1136727,27145.81,74504,
2020-04-16,DIVISLAB,EQ,2395.400000,2448.500000,2353.800000,2393.200000,2395.450000,1350131,32480.40,69302,
2020-04-17,DIVISLAB,EQ,2430.000000,2449.550000,2320.150000,2332.200000,2393.200000,1326980,31282.79,88370,
2020-04-20,DIVISLAB,EQ,2335.000000,2375.000000,2296.050000,2342.550000,2332.200000,817776,19170.40,53150,
2020-04-21,DIVISLAB,EQ,2295.000000,2474.450000,2295.000000,2406.600000,2342.550000,1365316,32947.23,68394,
2020-04-22,DIVISLAB,EQ,2406.950000,2412.950000,2363.650000,2384.500000,2406.600000,596850,14261.55,48200,
2020-04-23,DIVISLAB,EQ,2388.000000,2454.300000,2376.000000,2417.300000,2384.500000,993530,24083.66,56136,
2020-04-24,DIVISLAB,EQ,2410.000000,2460.000000,2390.600000,2425.400000,2417.300000,894214,21766.94,42671,
2020-04-27,DIVISLAB,EQ,2450.000000,2472.400000,2394.200000,2425.850000,2425.400000,924358,22520.65,69375,
2020-04-28,DIVISLAB,EQ,2445.000000,2445.000000,2349.000000,2363.350000,2425.850000,855507,20377.66,65207,
2020-04-29,DIVISLAB,EQ,2388.000000,2409.000000,2352.000000,2369.850000,2363.350000,635110,15113.29,36074,
2020-04-30,DIVISLAB,EQ,2365.000000,2372.700000,2300.700000,2332.900000,2369.850000,843164,19684.01,103742,
2020-05-04,DIVISLAB,EQ,2226.000000,2343.950000,2226.000000,2287.150000,2332.900000,936799,21524.78,79720,
2020-05-05,DIVISLAB,EQ,2273.200000,2326.000000,2273.200000,2284.250000,2287.150000,609756,14031.60,62805,
2020-05-06,DIVISLAB,EQ,2310.000000,2313.850000,2241.700000,2291.350000,2284.250000,762810,17386.34,64800,
2020-05-07,DIVISLAB,EQ,2280.350000,2310.000000,2227.000000,2258.850000,2291.350000,498540,11299.88,45532,
2020-05-08,DIVISLAB,EQ,2271.000000,2314.850000,2253.100000,2300.800000,2258.850000,641799,14733.05,52656,
2020-05-11,DIVISLAB,EQ,2319.000000,2356.000000,2310.050000,2326.900000,2300.800000,654101,15295.06,44365,
2020-05-12,DIVISLAB,EQ,2330.000000,2374.350000,2303.050000,2363.550000,2326.900000,676618,15883.58,43952,
2020-05-13,DIVISLAB,EQ,2388.000000,2396.900000,2314.000000,2339.500000,2363.550000,538170,12558.46,35086,
2020-05-14,DIVISLAB,EQ,2329.000000,2377.900000,2302.000000,2366.600000,2339.500000,413755,9769.38,20255,
2020-05-15,DIVISLAB,EQ,2376.000000,2413.000000,2327.350000,2335.200000,2366.600000,600190,14197.75,38986,
2020-05-18,DIVISLAB,EQ,2342.000000,2379.000000,2318.400000,2330.200000,2335.200000,600640,14090.58,44792,
2020-05-19,DIVISLAB,EQ,2350.000000,2358.000000,2307.800000,2321.750000,2330.200000,322942,7539.26,17822,
2020-05-20,DIVISLAB,EQ,2325.000000,2376.700000,2311.100000,2372.700000,2321.750000,601003,14097.55,39340,
2020-05-21,DIVISLAB,EQ,2375.000000,2390.500000,2333.300000,2357.350000,2372.700000,317110,7474.16,25829,
2020-05-22,DIVISLAB,EQ,2351.000000,2375.150000,2305.000000,2320.000000,2357.350000,479501,11207.17,36251,
2020-05-26,DIVISLAB,EQ,2339.950000,2344.900000,2287.400000,2295.700000,2320.000000,404978,9340.18,34890,
2020-05-27,DIVISLAB,EQ,2305.000000,2320.000000,2260.000000,2290.400000,2295.700000,720221,16483.50,45448,
2020-05-28,DIVISLAB,EQ,2295.500000,2300.000000,2255.350000,2285.100000,2290.400000,392876,8931.62,21451,
2020-05-29,DIVISLAB,EQ,2285.000000,2408.100000,2262.300000,2390.100000,2285.100000,1000266,23607.20,57338,
2020-06-01,DIVISLAB,EQ,2402.100000,2492.900000,2360.000000,2480.050000,2390.100000,1128386,27429.67,55462,
2020-06-02,DIVISLAB,EQ,2500.000000,2537.950000,2400.000000,2411.000000,2480.050000,1305088,32217.93,73028,
2020-06-03,DIVISLAB,EQ,2420.000000,2442.000000,2367.200000,2382.200000,2411.000000,888450,21309.75,59754,
2020-06-04,DIVISLAB,EQ,2392.000000,2439.000000,2385.000000,2421.150000,2382.200000,704299,17037.41,44439,
2020-06-05,DIVISLAB,EQ,2429.450000,2476.000000,2415.750000,2460.050000,2421.150000,770517,18881.17,42148,
2020-06-08,DIVISLAB,EQ,2472.000000,2472.000000,2337.000000,2413.050000,2460.050000,1943121,46269.60,99452,
2020-06-09,DIVISLAB,EQ,2400.000000,2456.900000,2400.000000,2421.800000,2413.050000,1215393,29536.90,61299,
2020-06-10,DIVISLAB,EQ,2412.000000,2444.000000,2376.000000,2394.650000,2421.800000,702973,16912.62,35141,
2020-06-11,DIVISLAB,EQ,2394.650000,2417.350000,2347.000000,2356.300000,2394.650000,470945,11219.37,27820,
2020-06-12,DIVISLAB,EQ,2310.000000,2400.300000,2302.900000,2395.100000,2356.300000,589371,13909.91,37165,
2020-06-15,DIVISLAB,EQ,2408.950000,2449.600000,2322.450000,2335.050000,2395.100000,1261594,29942.26,63046,
2020-06-16,DIVISLAB,EQ,2352.000000,2365.000000,2285.000000,2320.350000,2335.050000,660665,15365.29,33260,
2020-06-17,DIVISLAB,EQ,2329.050000,2337.850000,2292.300000,2300.100000,2320.350000,699526,16143.83,51653,
2020-06-18,DIVISLAB,EQ,2305.900000,2332.000000,2296.550000,2310.450000,2300.100000,304466,7042.52,15619,
2020-06-19,DIVISLAB,EQ,2318.700000,2330.000000,2286.000000,2304.750000,2310.450000,728257,16782.71,30555,
2020-06-22,DIVISLAB,EQ,2335.000000,2369.000000,2317.000000,2349.250000,2304.750000,445250,10434.07,32337,
2020-06-23,DIVISLAB,EQ,2360.000000,2401.050000,2322.000000,2380.050000,2349.250000,838036,19815.73,52063,
2020-06-24,DIVISLAB,EQ,2395.000000,2412.000000,2331.500000,2341.350000,2380.050000,501602,11912.18,41102,
2020-06-25,DIVISLAB,EQ,2340.550000,2378.000000,2325.350000,2330.450000,2341.350000,316335,7421.08,39300,
2020-06-26,DIVISLAB,EQ,2344.000000,2381.900000,2332.550000,2350.750000,2330.450000,497120,11706.19,56011,
2020-06-29,DIVISLAB,EQ,2359.550000,2368.000000,2308.100000,2316.600000,2350.750000,519075,12084.90,33091,
2020-06-30,DIVISLAB,EQ,2334.950000,2334.950000,2267.000000,2278.900000,2316.600000,684514,15726.88,50056,
2020-07-01,DIVISLAB,EQ,2284.000000,2284.000000,2233.000000,2241.250000,2278.900000,788451,17732.02,55047,
