date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,DLF,EQ,231.400000,232.150000,227.100000,227.550000,230.900000,3761160,8605.82,22409,
2020-01-02,DLF,EQ,227.500000,234.400000,226.500000,233.750000,227.550000,4513308,10429.20,26456,
2020-01-03,DLF,EQ,232.650000,233.700000,227.050000,228.600000,233.750000,4289982,9865.59,32321,
2020-01-06,DLF,EQ,227.000000,227.550000,220.150000,220.950000,228.600000,7552620,16818.16,51288,
2020-01-07,DLF,EQ,223.000000,227.450000,222.500000,225.500000,220.950000,4646862,10456.83,34875,
2020-01-08,DLF,EQ,217.300000,228.300000,217.300000,227.650000,225.500000,6320990,14140.51,36825,
2020-01-09,DLF,EQ,230.000000,240.500000,229.350000,238.250000,227.650000,9195030,21649.25,53440,
2020-01-10,DLF,EQ,238.850000,245.000000,236.000000,244.200000,238.250000,14793061,35680.49,59986,
2020-01-13,DLF,EQ,244.350000,253.750000,244.350000,252.800000,244.200000,14466469,36093.77,74297,
2020-01-14,DLF,EQ,252.100000,257.600000,250.550000,254.550000,252.800000,6843491,17334.47,41679,
2020-01-15,DLF,EQ,252.500000,258.000000,252.500000,255.900000,254.550000,7020963,17935.72,40304,
2020-01-16,DLF,EQ,255.700000,259.650000,254.650000,258.150000,255.900000,5235129,13449.61,27704,
2020-01-17,DLF,EQ,257.000000,262.000000,256.900000,261.250000,258.150000,5766591,14995.38,30688,
2020-01-20,DLF,EQ,261.950000,264.000000,257.350000,258.950000,261.250000,6096170,15874.69,34896,
2020-01-21,DLF,EQ,258.000000,258.850000,255.000000,257.100000,258.950000,5387621,13833.23,90857,
2020-01-22,DLF,EQ,258.400000,261.250000,255.000000,258.100000,257.100000,5476635,14124.96,39791,
2020-01-23,DLF,EQ,258.100000,262.000000,257.100000,260.700000,258.100000,5101631,13269.28,30954,
2020-01-24,DLF,EQ,262.000000,265.900000,261.100000,262.850000,260.700000,7257409,19153.93,40109,
2020-01-27,DLF,EQ,261.500000,264.000000,255.800000,257.100000,262.850000,5577299,14542.08,27415,
2020-01-28,DLF,EQ,256.000000,261.250000,255.300000,257.650000,257.100000,4763857,12310.57,29787,
2020-01-29,DLF,EQ,259.000000,261.800000,256.650000,258.600000,257.650000,4977662,12896.73,29042,
2020-01-30,DLF,EQ,258.600000,258.850000,252.050000,254.650000,258.600000,5549648,14170.29,43434,
2020-01-31,DLF,EQ,257.800000,262.800000,254.300000,260.450000,254.650000,10810838,27928.40,94404,
2020-02-03,DLF,EQ,230.000000,233.700000,217.850000,230.850000,228.900000,20842165,47240.30,141119,
2020-02-04,DLF,EQ,231.400000,247.750000,230.800000,245.250000,230.850000,15797056,38021.61,81185,
2020-02-05,DLF,EQ,250.150000,255.800000,245.650000,253.450000,245.250000,12352880,31093.83,99057,
2020-02-06,DLF,EQ,247.000000,254.700000,243.400000,246.300000,253.450000,17929026,44584.96,153594,
2020-02-07,DLF,EQ,246.000000,246.900000,234.750000,235.800000,246.300000,14050194,33623.17,81212,
2020-02-10,DLF,EQ,235.300000,236.600000,231.150000,233.800000,235.800000,8120421,18988.93,57683,
2020-02-11,DLF,EQ,236.000000,237.800000,232.600000,233.850000,233.800000,5475597,12865.57,43148,
2020-02-12,DLF,EQ,233.900000,235.750000,226.800000,230.850000,233.850000,6806019,15663.49,53867,
2020-02-13,DLF,EQ,230.550000,232.600000,227.450000,231.350000,230.850000,6913597,15897.19,41751,
2020-02-14,DLF,EQ,232.400000,234.450000,224.450000,226.200000,231.350000,6757171,15534.00,51765,
2020-02-17,DLF,EQ,228.400000,229.800000,217.850000,219.400000,226.200000,10788768,24039.89,59075,
2020-02-18,DLF,EQ,217.200000,219.350000,216.550000,217.950000,219.400000,6678150,14556.48,44822,
2020-02-19,DLF,EQ,220.700000,228.650000,218.300000,226.900000,217.950000,7405952,16497.03,55270,
2020-02-20,DLF,EQ,226.900000,228.350000,219.000000,220.100000,226.900000,7654026,17115.32,46585,
2020-02-24,DLF,EQ,215.000000,219.000000,211.250000,212.500000,220.100000,7761069,16666.77,44058,
2020-02-25,DLF,EQ,213.000000,219.500000,213.000000,216.750000,212.500000,8778643,19039.47,81077,
2020-02-26,DLF,EQ,214.850000,217.700000,210.600000,212.450000,216.750000,6037598,12956.20,39204,
2020-02-27,DLF,EQ,212.000000,212.800000,204.300000,208.700000,212.450000,8839033,18390.40,54641,
2020-02-28,DLF,EQ,203.500000,204.900000,193.150000,201.700000,208.700000,15083273,30148.28,70246,
2020-03-02,DLF,EQ,206.000000,213.400000,199.800000,203.850000,201.700000,10400591,21652.59,82929,
2020-03-03,DLF,EQ,205.000000,212.050000,203.400000,206.800000,203.850000,11084288,23009.39,93385,
2020-03-04,DLF,EQ,208.050000,210.100000,198.500000,203.950000,206.800000,9357919,19070.96,74575,
2020-03-05,DLF,EQ,205.800000,207.350000,200.400000,202.600000,203.950000,8576035,17476.87,99588,
2020-03-06,DLF,EQ,195.000000,196.100000,187.850000,194.450000,202.600000,10991688,21097.24,79967,
2020-03-09,DLF,EQ,188.000000,189.000000,178.650000,182.350000,194.450000,12053473,22097.17,68471,
2020-03-11,DLF,EQ,182.350000,184.800000,177.000000,178.450000,182.350000,9238369,16748.40,50473,
2020-03-12,DLF,EQ,168.000000,169.000000,154.500000,156.900000,178.450000,14049953,22453.30,75102,
2020-03-13,DLF,EQ,145.050000,171.950000,142.000000,166.750000,156.900000,11231755,18047.20,63953,
2020-03-16,DLF,EQ,155.250000,157.000000,147.600000,149.000000,166.750000,7065375,10753.42,47680,
2020-03-17,DLF,EQ,150.000000,155.000000,143.900000,144.600000,149.000000,8919578,13263.75,68631,
2020-03-18,DLF,EQ,149.900000,149.900000,138.000000,140.150000,144.600000,9347932,13301.29,97498,
2020-03-19,DLF,EQ,132.650000,140.350000,125.500000,128.450000,140.150000,10873570,14510.46,62603,
2020-03-20,DLF,EQ,129.000000,141.750000,121.350000,139.800000,128.450000,18143402,23947.57,131357,
2020-03-23,DLF,EQ,125.850000,134.200000,123.800000,126.150000,139.800000,6918861,8866.61,41945,
2020-03-24,DLF,EQ,126.000000,133.050000,117.700000,120.800000,126.150000,13129144,16183.65,113146,
2020-03-25,DLF,EQ,120.000000,127.400000,114.550000,123.800000,120.800000,14618656,17600.94,102166,
2020-03-26,DLF,EQ,126.100000,147.000000,121.650000,138.150000,123.800000,16809428,23063.51,144666,
2020-03-27,DLF,EQ,142.000000,158.850000,136.800000,138.750000,138.150000,14470204,20855.66,138177,
2020-03-30,DLF,EQ,134.000000,135.500000,128.800000,130.750000,138.750000,7737955,10263.95,57257,
2020-03-31,DLF,EQ,137.000000,138.900000,130.350000,137.450000,130.750000,8327716,11233.72,73222,
2020-04-01,DLF,EQ,135.950000,136.950000,130.300000,132.550000,137.450000,5567170,7418.15,45675,
2020-04-03,DLF,EQ,133.550000,136.000000,130.350000,132.100000,132.550000,6553107,8708.93,42209,
2020-04-07,DLF,EQ,137.700000,142.900000,135.100000,141.550000,132.100000,6419110,8955.03,48716,
2020-04-08,DLF,EQ,137.000000,146.800000,136.850000,138.000000,141.550000,7944486,11258.89,60975,
2020-04-09,DLF,EQ,142.100000,151.800000,140.700000,149.100000,138.000000,7216451,10516.90,47583,
2020-04-13,DLF,EQ,148.400000,148.900000,134.600000,139.750000,149.100000,12595353,17521.78,92891,
2020-04-15,DLF,EQ,138.950000,144.650000,137.800000,140.300000,139.750000,9821552,13891.55,62827,
2020-04-16,DLF,EQ,138.000000,143.350000,132.700000,134.000000,140.300000,13414652,18445.19,73388,
2020-04-17,DLF,EQ,139.900000,145.300000,135.800000,136.900000,134.000000,30164652,41798.57,134355,
2020-04-20,DLF,EQ,138.200000,139.450000,131.300000,134.400000,136.900000,18161265,24469.68,94559,
2020-04-21,DLF,EQ,131.400000,133.700000,129.150000,132.650000,134.400000,12612460,16586.38,62120,
2020-04-22,DLF,EQ,132.950000,135.200000,129.800000,133.550000,132.650000,11250707,14922.05,60899,
2020-04-23,DLF,EQ,134.400000,138.500000,133.000000,137.000000,133.550000,10333997,14122.13,75120,
2020-04-24,DLF,EQ,135.000000,135.000000,127.600000,128.200000,137.000000,12295346,15999.04,71241,
2020-04-27,DLF,EQ,131.000000,133.700000,129.700000,133.000000,128.200000,6956597,9181.72,42998,
2020-04-28,DLF,EQ,135.000000,138.650000,133.900000,138.000000,133.000000,10118659,13870.79,61507,
2020-04-29,DLF,EQ,138.500000,142.500000,137.500000,141.650000,138.000000,7030077,9893.73,48051,
2020-04-30,DLF,EQ,143.650000,152.250000,142.250000,146.850000,141.650000,12818946,19008.24,62286,
2020-05-04,DLF,EQ,141.250000,141.250000,131.100000,133.050000,146.850000,7768173,10503.13,49078,
2020-05-05,DLF,EQ,135.650000,136.250000,126.100000,126.800000,133.050000,9178838,12009.64,52952,
2020-05-06,DLF,EQ,127.900000,131.200000,125.000000,129.900000,126.800000,8703337,11227.63,54276,
2020-05-07,DLF,EQ,131.000000,133.350000,128.600000,129.150000,129.900000,5890404,7705.65,34160,
2020-05-08,DLF,EQ,132.900000,132.900000,129.350000,130.150000,129.150000,5882098,7703.39,36796,
2020-05-11,DLF,EQ,133.000000,135.400000,131.100000,133.350000,130.150000,6546304,8731.73,34269,
2020-05-12,DLF,EQ,131.750000,137.850000,130.150000,136.950000,133.350000,7708941,10296.76,47058,
2020-05-13,DLF,EQ,143.500000,146.500000,139.600000,141.100000,136.950000,11157101,15931.36,80456,
2020-05-14,DLF,EQ,139.850000,140.000000,135.000000,137.050000,141.100000,8704139,11911.44,55169,
2020-05-15,DLF,EQ,139.000000,140.500000,136.650000,138.800000,137.050000,8090978,11208.09,50310,
2020-05-18,DLF,EQ,138.500000,138.800000,129.700000,132.450000,138.800000,7009940,9307.88,36961,
2020-05-19,DLF,EQ,134.500000,135.450000,130.400000,131.450000,132.450000,6068689,8056.23,32083,
2020-05-20,DLF,EQ,132.050000,141.800000,130.750000,139.250000,131.450000,11788743,16090.63,61094,
2020-05-21,DLF,EQ,139.000000,141.000000,136.600000,138.600000,139.250000,5864536,8150.53,40036,
2020-05-22,DLF,EQ,137.500000,140.000000,133.850000,135.150000,138.600000,6331378,8644.58,29525,
2020-05-26,DLF,EQ,135.750000,137.850000,134.550000,136.750000,135.150000,4595672,6259.05,25508,
2020-05-27,DLF,EQ,137.500000,138.200000,134.800000,137.650000,136.750000,4864921,6638.92,30495,
2020-05-28,DLF,EQ,136.850000,145.950000,136.700000,144.050000,137.650000,8686378,12327.43,45235,
2020-05-29,DLF,EQ,140.000000,152.850000,140.000000,150.650000,144.050000,15478799,22791.98,97074,
2020-06-01,DLF,EQ,153.000000,158.550000,150.800000,152.200000,150.650000,13138735,20378.27,115948,
2020-06-02,DLF,EQ,153.000000,158.850000,150.400000,157.200000,152.200000,10651414,16385.82,84021,
2020-06-03,DLF,EQ,158.050000,163.050000,154.700000,156.000000,157.200000,16147229,25582.69,134373,
2020-06-04,DLF,EQ,153.050000,158.300000,152.650000,156.350000,156.000000,11047021,17204.45,91555,
2020-06-05,DLF,EQ,153.000000,158.300000,148.800000,157.200000,156.350000,24856656,38243.74,147412,
2020-06-08,DLF,EQ,162.000000,163.550000,152.100000,152.950000,157.200000,13212637,20845.33,85587,
2020-06-09,DLF,EQ,154.000000,158.300000,151.950000,153.350000,152.950000,10649535,16498.05,60797,
2020-06-10,DLF,EQ,154.000000,158.550000,153.350000,156.800000,153.350000,7195413,11218.35,49877,
2020-06-11,DLF,EQ,156.750000,161.000000,149.600000,150.750000,156.800000,13544700,20979.21,90420,
2020-06-12,DLF,EQ,145.000000,154.850000,143.800000,154.050000,150.750000,11237376,16825.39,50717,
2020-06-15,DLF,EQ,153.350000,154.400000,145.200000,145.900000,154.050000,11614920,17302.45,68268,
2020-06-16,DLF,EQ,150.000000,151.400000,143.700000,146.600000,145.900000,8630991,12778.65,46678,
2020-06-17,DLF,EQ,146.300000,152.000000,144.950000,150.050000,146.600000,7838504,11714.33,54744,
2020-06-18,DLF,EQ,149.450000,150.200000,146.000000,147.700000,150.050000,6470562,9542.95,45743,
2020-06-19,DLF,EQ,148.500000,162.450000,148.500000,161.800000,147.700000,22606656,35576.75,116845,
2020-06-22,DLF,EQ,164.500000,164.500000,158.300000,159.950000,161.800000,12877819,20709.06,95327,
2020-06-23,DLF,EQ,162.000000,170.250000,159.500000,168.650000,159.950000,16147689,26775.60,86383,
2020-06-24,DLF,EQ,168.650000,171.250000,158.850000,160.050000,168.650000,13866743,23010.30,86033,
2020-06-25,DLF,EQ,159.800000,161.400000,156.550000,157.250000,160.050000,10615968,16837.83,62727,
2020-06-26,DLF,EQ,159.150000,159.150000,152.350000,154.400000,157.250000,10524946,16308.90,55834,
2020-06-29,DLF,EQ,154.200000,155.300000,149.700000,151.500000,154.400000,5370205,8142.99,34511,
2020-06-30,DLF,EQ,153.000000,154.400000,147.200000,148.050000,151.500000,6991814,10507.87,38621,
2020-07-01,DLF,EQ,148.450000,152.500000,147.900000,150.250000,148.050000,7325712,10993.15,37973,
2020-07-02,DLF,EQ,151.200000,154.100000,150.000000,152.850000,150.250000,5754433,8756.03,41425,
2020-07-03,DLF,EQ,154.000000,154.750000,149.500000,151.250000,152.850000,6698888,10163.25,34590,
2020-07-06,DLF,EQ,153.000000,156.000000,152.250000,154.850000,151.250000,5813548,8937.47,33528,
2020-07-07,DLF,EQ,154.050000,155.250000,150.000000,153.050000,154.850000,7492628,11443.37,53550,
2020-07-08,DLF,EQ,152.500000,154.500000,145.600000,146.400000,153.050000,12826654,19209.52,91652,
2020-07-09,DLF,EQ,148.900000,151.000000,144.600000,146.000000,146.400000,19957900,29289.30,161704,
2020-07-10,DLF,EQ,145.500000,149.450000,144.650000,147.750000,146.000000,15581405,22941.52,91239,
2020-07-13,DLF,EQ,148.850000,149.200000,141.650000,142.900000,147.750000,13687808,19737.88,67658,
2020-07-14,DLF,EQ,144.000000,144.950000,139.300000,139.900000,142.900000,13082474,18528.93,72215,
2020-07-15,DLF,EQ,141.000000,142.600000,136.500000,137.100000,139.900000,13326740,18523.28,73084,
2020-07-16,DLF,EQ,137.300000,140.250000,134.500000,138.550000,137.100000,13656677,18758.58,68332,
