date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,DMART,EQ,1849.700000,1867.000000,1820.000000,1828.500000,1838.350000,429407,7909.88,18482,
2020-01-02,DMART,EQ,1831.000000,1854.850000,1815.000000,1824.200000,1828.500000,459356,8427.26,26025,
2020-01-03,DMART,EQ,1827.000000,1853.000000,1827.000000,1843.550000,1824.200000,394268,7261.46,26515,
2020-01-06,DMART,EQ,1827.000000,1829.000000,1780.000000,1789.900000,1843.550000,398623,7177.97,25358,
2020-01-07,DMART,EQ,1805.000000,1837.500000,1805.000000,1815.750000,1789.900000,459172,8363.57,39558,
2020-01-08,DMART,EQ,1793.000000,1837.050000,1785.100000,1829.050000,1815.750000,352087,6397.77,28612,
2020-01-09,DMART,EQ,1850.000000,1904.000000,1826.600000,1880.550000,1829.050000,1572364,29386.30,61358,
2020-01-10,DMART,EQ,1886.000000,1897.900000,1865.100000,1876.950000,1880.550000,697206,13138.93,46291,
2020-01-13,DMART,EQ,1925.000000,1940.150000,1880.000000,1914.650000,1876.950000,2138099,40817.89,90914,
2020-01-14,DMART,EQ,1902.000000,1940.000000,1892.150000,1930.750000,1914.650000,1407288,27090.99,67768,
2020-01-15,DMART,EQ,1938.000000,1946.000000,1920.050000,1933.550000,1930.750000,551142,10644.74,32613,
2020-01-16,DMART,EQ,1938.700000,1951.450000,1922.000000,1946.050000,1933.550000,521815,10127.87,22111,
2020-01-17,DMART,EQ,1948.000000,2000.000000,1932.400000,1990.550000,1946.050000,887334,17531.48,36370,
2020-01-20,DMART,EQ,2000.000000,2004.450000,1927.000000,1936.650000,1990.550000,467366,9192.06,21887,
2020-01-21,DMART,EQ,1930.000000,1959.550000,1901.900000,1912.350000,1936.650000,321554,6215.09,18327,
2020-01-22,DMART,EQ,1930.000000,1932.000000,1907.600000,1914.700000,1912.350000,283551,5435.13,31359,
2020-01-23,DMART,EQ,1920.000000,1929.050000,1910.100000,1924.700000,1914.700000,203734,3912.65,13214,
2020-01-24,DMART,EQ,1927.050000,1961.100000,1918.150000,1948.600000,1924.700000,404536,7873.19,22581,
2020-01-27,DMART,EQ,1945.500000,1961.500000,1928.100000,1951.500000,1948.600000,306182,5959.60,14705,
2020-01-28,DMART,EQ,1944.700000,1958.000000,1922.200000,1930.450000,1951.500000,198741,3854.87,20208,
2020-01-29,DMART,EQ,1932.000000,1984.250000,1928.000000,1974.650000,1930.450000,481606,9463.82,32525,
2020-01-30,DMART,EQ,1977.800000,2064.000000,1977.800000,2051.300000,1974.650000,1640477,33255.79,71002,
2020-01-31,DMART,EQ,2064.050000,2145.050000,2061.000000,2133.950000,2051.300000,1572997,33236.98,76545,
2020-02-03,DMART,EQ,2084.000000,2157.700000,2081.000000,2131.650000,2072.050000,730661,15602.19,58450,
2020-02-04,DMART,EQ,2145.000000,2172.900000,2112.000000,2155.300000,2131.650000,601931,12886.64,34077,
2020-02-05,DMART,EQ,2160.000000,2274.000000,2160.000000,2248.900000,2155.300000,1100397,24528.55,54884,
2020-02-06,DMART,EQ,2255.000000,2360.000000,2255.000000,2294.350000,2248.900000,1760624,40898.90,83237,
2020-02-07,DMART,EQ,2295.000000,2330.000000,2270.000000,2287.200000,2294.350000,917281,21037.98,81688,
2020-02-10,DMART,EQ,2287.200000,2537.450000,2287.200000,2483.650000,2287.200000,2504235,60758.88,95386,
2020-02-11,DMART,EQ,2480.000000,2480.000000,2381.000000,2394.500000,2483.650000,1890047,45635.00,90400,
2020-02-12,DMART,EQ,2390.000000,2526.000000,2380.000000,2482.150000,2394.500000,2099102,52216.98,104563,
2020-02-13,DMART,EQ,2478.000000,2560.000000,2442.800000,2544.150000,2482.150000,2369901,59741.50,121230,
2020-02-14,DMART,EQ,2440.000000,2499.000000,2373.000000,2408.350000,2544.150000,4717819,114834.92,180133,
2020-02-17,DMART,EQ,2354.500000,2379.300000,2330.050000,2339.450000,2408.350000,3097697,72934.31,120935,
2020-02-18,DMART,EQ,2334.950000,2384.600000,2305.050000,2364.900000,2339.450000,2017080,47334.26,99027,
2020-02-19,DMART,EQ,2385.000000,2437.000000,2372.100000,2424.500000,2364.900000,1759543,42393.69,82230,
2020-02-20,DMART,EQ,2433.000000,2485.000000,2430.000000,2462.650000,2424.500000,1359803,33516.70,51278,
2020-02-24,DMART,EQ,2448.800000,2448.800000,2370.000000,2389.700000,2462.650000,651480,15714.14,46383,
2020-02-25,DMART,EQ,2399.000000,2429.000000,2308.000000,2331.750000,2389.700000,1007451,23764.59,68202,
2020-02-26,DMART,EQ,2326.850000,2419.000000,2305.050000,2358.400000,2331.750000,1302206,30846.02,81536,
2020-02-27,DMART,EQ,2347.300000,2370.000000,2310.000000,2319.700000,2358.400000,727447,17012.40,63589,
2020-02-28,DMART,EQ,2279.900000,2377.350000,2180.000000,2323.950000,2319.700000,1813565,41293.71,121692,
2020-03-02,DMART,EQ,2335.000000,2340.000000,2220.000000,2228.950000,2323.950000,2050214,46179.92,140583,
2020-03-03,DMART,EQ,2228.000000,2274.000000,2172.950000,2233.050000,2228.950000,1252459,27904.34,103367,
2020-05-27,DMART,EQ,2222.200000,2275.000000,2176.000000,2200.200000,2283.250000,751860,16617.35,93807,
2020-05-28,DMART,EQ,2210.000000,2310.200000,2205.000000,2308.450000,2200.200000,927241,21125.25,80543,
2020-05-29,DMART,EQ,2330.000000,2358.000000,2229.000000,2269.350000,2308.450000,3799435,86582.41,176493,
