date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,DRREDDY,EQ,576.000000,577.700000,572.040000,575.880000,574.910000,773895,4450.88,7138,
2020-01-02,DRREDDY,EQ,576.760000,578.480000,572.040000,572.980000,575.880000,1494155,8577.69,19727,
2020-01-03,DRREDDY,EQ,572.980000,579.400000,570.410000,576.780000,572.980000,1723390,9930.29,23970,
2020-01-06,DRREDDY,EQ,574.200000,579.560000,570.840000,575.770000,576.780000,1788685,10280.30,22787,
2020-01-07,DRREDDY,EQ,578.000000,582.000000,574.210000,576.840000,575.770000,1788175,10356.60,21604,
2020-01-08,DRREDDY,EQ,575.000000,581.000000,573.200000,579.450000,576.840000,1395115,8074.85,21788,
2020-01-09,DRREDDY,EQ,582.320000,587.320000,580.200000,584.100000,579.450000,1877480,10969.36,29664,
2020-01-10,DRREDDY,EQ,586.000000,601.600000,585.030000,586.600000,584.100000,5635735,33382.58,57640,
2020-01-13,DRREDDY,EQ,586.580000,593.300000,583.140000,590.940000,586.600000,2209320,13046.89,24760,
2020-01-14,DRREDDY,EQ,590.960000,593.760000,586.400000,589.560000,590.940000,1785850,10522.85,33063,
2020-01-15,DRREDDY,EQ,589.230000,589.300000,580.000000,583.730000,589.560000,1924335,11219.38,33128,
2020-01-16,DRREDDY,EQ,585.600000,590.300000,584.330000,587.490000,583.730000,1917310,11269.80,29472,
2020-01-17,DRREDDY,EQ,588.880000,609.800000,588.000000,606.870000,587.490000,5585585,33554.53,61079,
2020-01-20,DRREDDY,EQ,608.600000,616.000000,606.410000,611.920000,606.870000,4373565,26756.75,52713,
2020-01-21,DRREDDY,EQ,611.110000,615.960000,607.170000,612.090000,611.920000,2853930,17474.85,26841,
2020-01-22,DRREDDY,EQ,612.110000,621.010000,609.480000,612.410000,612.090000,2798990,17254.74,37334,
2020-01-23,DRREDDY,EQ,611.060000,615.740000,604.800000,607.630000,612.410000,2130840,12991.04,34732,
2020-01-24,DRREDDY,EQ,608.800000,609.410000,605.040000,606.280000,607.630000,1363645,8280.19,19235,
2020-01-27,DRREDDY,EQ,605.800000,641.800000,599.500000,637.750000,606.280000,20699040,130013.46,193880,
2020-01-28,DRREDDY,EQ,638.000000,649.990000,631.550000,637.830000,637.750000,11511345,73972.34,114855,
2020-01-29,DRREDDY,EQ,637.830000,640.370000,619.840000,629.650000,637.830000,6946015,43881.32,75148,
2020-01-30,DRREDDY,EQ,630.460000,634.000000,623.710000,630.970000,629.650000,3366300,21177.38,47764,
2020-01-31,DRREDDY,EQ,631.050000,638.370000,620.420000,622.900000,630.970000,3341175,21019.70,44460,
2020-02-03,DRREDDY,EQ,624.800000,634.600000,623.430000,628.830000,624.610000,2576210,16220.88,38130,
2020-02-04,DRREDDY,EQ,630.800000,655.520000,630.410000,648.370000,628.830000,5149785,33211.47,69865,
2020-02-05,DRREDDY,EQ,647.000000,650.000000,624.340000,626.670000,648.370000,4781145,30261.71,71527,
2020-02-06,DRREDDY,EQ,633.520000,635.360000,627.320000,631.790000,626.670000,2462660,15550.98,32435,
2020-02-07,DRREDDY,EQ,631.970000,637.000000,627.400000,633.340000,631.790000,2676165,16958.36,36690,
2020-02-10,DRREDDY,EQ,633.290000,634.650000,622.600000,629.820000,633.340000,1477975,9290.20,19929,
2020-02-11,DRREDDY,EQ,631.980000,641.190000,627.000000,638.240000,629.820000,3060520,19481.23,31726,
2020-02-12,DRREDDY,EQ,634.430000,642.720000,632.810000,639.140000,638.240000,2843165,18128.99,53036,
2020-02-13,DRREDDY,EQ,644.550000,667.380000,639.420000,664.920000,639.140000,8584320,56326.87,73213,
