date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,EICHERMOT,EQ,2251.525000,2259.475000,2200.100000,2207.580000,2251.525000,1086480,24135.80,24089,
2020-01-02,EICHERMOT,EQ,2209.000000,2234.185000,2147.110000,2160.085000,2207.580000,2285820,49789.65,49509,
2020-01-03,EICHERMOT,EQ,2165.000000,2166.595000,2111.000000,2118.925000,2160.085000,1572970,33411.85,39542,
2020-01-06,EICHERMOT,EQ,2110.000000,2110.000000,2073.950000,2086.045000,2118.925000,1258710,26319.51,32455,
2020-01-07,EICHERMOT,EQ,2095.000000,2134.980000,2071.380000,2080.380000,2086.045000,1371520,28665.87,33833,
2020-01-08,EICHERMOT,EQ,2070.000000,2070.000000,1980.010000,1989.220000,2080.380000,2892860,58282.90,63714,
2020-01-09,EICHERMOT,EQ,2023.800000,2050.000000,1986.000000,2032.890000,1989.220000,2592870,52298.00,67037,
2020-01-10,EICHERMOT,EQ,2033.000000,2074.000000,2025.020000,2043.275000,2032.890000,2169260,44482.15,46942,
2020-01-13,EICHERMOT,EQ,2060.000000,2060.010000,2006.320000,2028.000000,2043.275000,1320920,26747.35,34819,
2020-01-14,EICHERMOT,EQ,2027.000000,2057.930000,2025.500000,2048.970000,2028.000000,1162260,23779.84,29367,
2020-01-15,EICHERMOT,EQ,2044.000000,2065.000000,2030.000000,2062.480000,2048.970000,1079560,22134.50,28993,
2020-01-16,EICHERMOT,EQ,2069.900000,2160.000000,2065.000000,2153.625000,2062.480000,2921950,62266.44,67657,
2020-01-17,EICHERMOT,EQ,2150.905000,2177.000000,2110.355000,2129.220000,2153.625000,1834850,39344.96,40136,
2020-01-20,EICHERMOT,EQ,2138.000000,2154.990000,2100.500000,2136.510000,2129.220000,1005930,21414.53,28635,
2020-01-21,EICHERMOT,EQ,2135.800000,2147.500000,2097.030000,2105.655000,2136.510000,1032360,21858.30,24458,
2020-01-22,EICHERMOT,EQ,2116.000000,2128.000000,2094.400000,2110.000000,2105.655000,786810,16612.09,22313,
2020-01-23,EICHERMOT,EQ,2107.000000,2119.600000,2078.050000,2091.575000,2110.000000,1059580,22173.00,23020,
2020-01-24,EICHERMOT,EQ,2098.000000,2117.500000,2080.000000,2093.080000,2091.575000,770750,16206.17,18834,
2020-01-27,EICHERMOT,EQ,2085.000000,2116.080000,2077.500000,2109.520000,2093.080000,971080,20438.65,20882,
2020-01-28,EICHERMOT,EQ,2122.700000,2122.700000,2087.500000,2108.665000,2109.520000,972770,20504.22,31697,
2020-01-29,EICHERMOT,EQ,2123.600000,2123.600000,2010.000000,2019.225000,2108.665000,2869250,58692.46,63311,
2020-01-30,EICHERMOT,EQ,2020.000000,2058.000000,2020.000000,2034.030000,2019.225000,1385590,28264.80,33188,
2020-01-31,EICHERMOT,EQ,2045.000000,2064.170000,2021.100000,2028.930000,2034.030000,1021230,20808.28,23667,
2020-02-03,EICHERMOT,EQ,1954.730000,2037.560000,1951.165000,1988.345000,2005.925000,1486370,29594.34,41404,
2020-02-04,EICHERMOT,EQ,2000.000000,2013.995000,1945.000000,1951.265000,1988.345000,1500920,29546.38,38791,
2020-02-05,EICHERMOT,EQ,1971.200000,1980.000000,1935.610000,1948.705000,1951.265000,1283330,25117.57,29504,
2020-02-06,EICHERMOT,EQ,1962.500000,2064.160000,1926.100000,2039.120000,1948.705000,3945750,79125.29,88628,
2020-02-07,EICHERMOT,EQ,2050.000000,2051.695000,1966.670000,1973.630000,2039.120000,2224150,44167.25,60419,
2020-02-10,EICHERMOT,EQ,1985.500000,1985.500000,1879.000000,1905.725000,1973.630000,2437470,46598.14,58239,
2020-02-11,EICHERMOT,EQ,1925.000000,1936.895000,1894.500000,1900.925000,1905.725000,1295530,24837.23,29666,
2020-02-12,EICHERMOT,EQ,1900.000000,1936.000000,1892.580000,1927.785000,1900.925000,1528370,29268.38,29763,
2020-02-13,EICHERMOT,EQ,1927.100000,1949.000000,1917.080000,1935.530000,1927.785000,919630,17797.94,21197,
2020-02-14,EICHERMOT,EQ,1927.000000,1935.000000,1850.500000,1870.355000,1935.530000,2318720,43680.59,51406,
2020-02-17,EICHERMOT,EQ,1890.000000,1894.875000,1845.010000,1853.590000,1870.355000,1292680,24137.59,30268,
2020-02-18,EICHERMOT,EQ,1850.000000,1879.195000,1833.960000,1876.035000,1853.590000,1806500,33590.53,35820,
2020-02-19,EICHERMOT,EQ,1890.500000,1903.895000,1871.060000,1887.520000,1876.035000,1322670,24937.70,23882,
2020-02-20,EICHERMOT,EQ,1886.990000,1903.000000,1854.450000,1884.865000,1887.520000,1249820,23588.54,25114,
2020-02-24,EICHERMOT,EQ,1870.000000,1870.000000,1780.010000,1794.995000,1884.865000,1928210,35197.92,44028,
2020-02-25,EICHERMOT,EQ,1813.500000,1823.000000,1732.100000,1753.230000,1794.995000,2568310,45132.20,56676,
2020-02-26,EICHERMOT,EQ,1743.000000,1760.000000,1703.540000,1715.695000,1753.230000,2151130,37183.39,54182,
2020-02-27,EICHERMOT,EQ,1716.780000,1724.800000,1690.610000,1705.340000,1715.695000,2554810,43544.41,56698,
2020-02-28,EICHERMOT,EQ,1669.700000,1684.800000,1631.705000,1660.235000,1705.340000,3264550,53958.35,65354,
2020-03-02,EICHERMOT,EQ,1666.600000,1778.290000,1664.300000,1701.340000,1660.235000,3483700,60235.39,74505,
2020-03-03,EICHERMOT,EQ,1750.000000,1804.100000,1740.000000,1788.845000,1701.340000,2747400,48613.58,68868,
2020-03-04,EICHERMOT,EQ,1795.400000,1828.000000,1687.000000,1725.420000,1788.845000,4186090,72425.74,79891,
2020-03-05,EICHERMOT,EQ,1745.000000,1788.800000,1716.180000,1777.535000,1725.420000,2313750,40782.53,52927,
2020-03-06,EICHERMOT,EQ,1735.000000,1787.150000,1682.200000,1774.355000,1777.535000,1707910,29823.37,47537,
2020-03-09,EICHERMOT,EQ,1709.900000,1799.900000,1704.515000,1788.580000,1774.355000,1932260,33999.52,52153,
2020-03-11,EICHERMOT,EQ,1788.580000,1826.695000,1751.700000,1775.360000,1788.580000,2219100,39565.69,60073,
2020-03-12,EICHERMOT,EQ,1699.980000,1728.150000,1670.000000,1687.775000,1775.360000,3635550,61464.98,61332,
2020-03-13,EICHERMOT,EQ,1590.000000,1852.865000,1520.200000,1767.215000,1687.775000,2794030,47714.16,77651,
2020-03-16,EICHERMOT,EQ,1687.490000,1735.675000,1636.000000,1649.370000,1767.215000,1924980,32557.65,55925,
2020-03-17,EICHERMOT,EQ,1671.000000,1746.000000,1660.005000,1706.110000,1649.370000,1675380,28674.57,47231,
2020-03-18,EICHERMOT,EQ,1711.010000,1745.000000,1582.815000,1595.415000,1706.110000,1589210,26062.42,49642,
2020-03-19,EICHERMOT,EQ,1515.000000,1607.000000,1485.305000,1504.645000,1595.415000,1611820,24805.73,45060,
2020-03-20,EICHERMOT,EQ,1539.450000,1599.900000,1446.565000,1567.845000,1504.645000,2113350,31994.64,62516,
2020-03-23,EICHERMOT,EQ,1435.100000,1724.000000,1332.670000,1370.590000,1567.845000,1443380,20617.84,48503,
2020-03-24,EICHERMOT,EQ,1400.000000,1455.500000,1388.000000,1420.850000,1370.590000,1127010,16032.07,42138,
2020-03-25,EICHERMOT,EQ,1370.500000,1480.000000,1370.500000,1451.660000,1420.850000,761180,10972.62,26207,
2020-03-26,EICHERMOT,EQ,1463.000000,1516.600000,1450.000000,1475.795000,1451.660000,2048930,30269.09,55310,
2020-03-27,EICHERMOT,EQ,1524.300000,1539.600000,1400.000000,1431.980000,1475.795000,1106350,16183.11,41170,
2020-03-30,EICHERMOT,EQ,1409.800000,1409.800000,1310.000000,1333.310000,1431.980000,2263090,30288.79,62675,
2020-03-31,EICHERMOT,EQ,1365.900000,1367.615000,1295.000000,1309.590000,1333.310000,1672660,22191.37,49631,
2020-04-01,EICHERMOT,EQ,1309.590000,1331.900000,1272.500000,1300.160000,1309.590000,1387220,18030.47,44298,
2020-04-03,EICHERMOT,EQ,1306.000000,1309.990000,1260.000000,1268.005000,1300.160000,1806980,23180.19,48111,
2020-04-07,EICHERMOT,EQ,1307.080000,1321.200000,1245.010000,1309.605000,1268.005000,2405650,30998.68,65331,
2020-04-08,EICHERMOT,EQ,1300.000000,1365.000000,1280.000000,1315.850000,1309.605000,2799990,37010.81,80188,
2020-04-09,EICHERMOT,EQ,1340.000000,1404.615000,1316.260000,1374.230000,1315.850000,3618810,49526.84,90990,
2020-04-13,EICHERMOT,EQ,1373.000000,1373.000000,1330.500000,1340.055000,1374.230000,1266220,17004.22,30734,
2020-04-15,EICHERMOT,EQ,1360.000000,1387.195000,1312.270000,1331.490000,1340.055000,2755940,37371.15,62451,
2020-04-16,EICHERMOT,EQ,1331.500000,1353.385000,1304.200000,1337.135000,1331.490000,2501470,33311.97,49069,
2020-04-17,EICHERMOT,EQ,1376.000000,1497.795000,1361.900000,1477.035000,1337.135000,5656840,80999.18,134864,
2020-04-20,EICHERMOT,EQ,1477.035000,1480.035000,1406.030000,1421.445000,1477.035000,2999770,43122.92,71793,
2020-04-21,EICHERMOT,EQ,1395.515000,1398.500000,1345.000000,1349.500000,1421.445000,1656600,22467.84,40107,
2020-04-22,EICHERMOT,EQ,1349.500000,1394.495000,1320.000000,1370.330000,1349.500000,2765770,37800.47,67303,
2020-04-23,EICHERMOT,EQ,1380.000000,1425.000000,1371.000000,1406.835000,1370.330000,2072690,28978.43,52248,
2020-04-24,EICHERMOT,EQ,1406.800000,1409.100000,1350.510000,1358.920000,1406.835000,1799440,24860.06,49183,
2020-04-27,EICHERMOT,EQ,1390.200000,1420.000000,1381.490000,1399.950000,1358.920000,1836170,25833.57,49290,
2020-04-28,EICHERMOT,EQ,1411.000000,1438.500000,1410.050000,1432.685000,1399.950000,1846940,26378.11,49505,
2020-04-29,EICHERMOT,EQ,1440.990000,1445.000000,1412.555000,1431.575000,1432.685000,1477410,21089.30,34199,
2020-04-30,EICHERMOT,EQ,1458.020000,1490.000000,1440.200000,1470.795000,1431.575000,3472440,50869.58,72009,
2020-05-04,EICHERMOT,EQ,1439.000000,1439.000000,1361.435000,1374.880000,1470.795000,1924470,26797.01,51324,
2020-05-05,EICHERMOT,EQ,1400.000000,1416.290000,1366.600000,1381.095000,1374.880000,1524900,21208.15,35815,
2020-05-06,EICHERMOT,EQ,1382.500000,1417.540000,1360.000000,1385.995000,1381.095000,1871270,25978.19,45080,
2020-05-07,EICHERMOT,EQ,1385.995000,1410.500000,1371.290000,1401.050000,1385.995000,1270500,17722.17,31397,
2020-05-08,EICHERMOT,EQ,1423.080000,1433.080000,1357.100000,1385.885000,1401.050000,1643340,23044.31,39241,
2020-05-11,EICHERMOT,EQ,1405.995000,1455.000000,1400.000000,1428.895000,1385.885000,1958250,28011.28,44251,
2020-05-12,EICHERMOT,EQ,1424.000000,1426.945000,1378.900000,1416.705000,1428.895000,1479050,20727.77,33500,
2020-05-13,EICHERMOT,EQ,1497.000000,1497.000000,1418.470000,1427.165000,1416.705000,2529670,36303.61,55638,
2020-05-14,EICHERMOT,EQ,1412.000000,1427.015000,1398.000000,1403.185000,1427.165000,1481780,20914.11,35053,
2020-05-15,EICHERMOT,EQ,1408.000000,1419.900000,1365.000000,1409.960000,1403.185000,2350250,32819.43,53635,
2020-05-18,EICHERMOT,EQ,1405.020000,1405.020000,1285.545000,1298.820000,1409.960000,2752730,36841.92,70193,
2020-05-19,EICHERMOT,EQ,1330.000000,1334.630000,1287.505000,1296.620000,1298.820000,2506970,32743.42,63068,
2020-05-20,EICHERMOT,EQ,1296.620000,1380.000000,1286.800000,1367.510000,1296.620000,2665490,35317.73,62919,
2020-05-21,EICHERMOT,EQ,1347.700000,1419.900000,1335.610000,1408.760000,1367.510000,3222040,45006.54,74708,
2020-05-22,EICHERMOT,EQ,1390.100000,1409.795000,1370.000000,1392.240000,1408.760000,1836990,25518.37,43006,
2020-05-26,EICHERMOT,EQ,1410.500000,1487.500000,1406.500000,1480.510000,1392.240000,3191350,46504.56,72535,
2020-05-27,EICHERMOT,EQ,1488.000000,1512.000000,1450.500000,1496.695000,1480.510000,3017880,44731.34,69308,
2020-05-28,EICHERMOT,EQ,1512.000000,1643.000000,1504.800000,1623.650000,1496.695000,8154270,130738.66,150156,
2020-05-29,EICHERMOT,EQ,1590.300000,1699.695000,1580.100000,1654.845000,1623.650000,8504070,140835.34,155793,
2020-06-01,EICHERMOT,EQ,1690.000000,1738.000000,1680.130000,1698.575000,1654.845000,4643140,79545.02,88450,
2020-06-02,EICHERMOT,EQ,1720.000000,1750.000000,1700.000000,1739.625000,1698.575000,3968190,68374.65,71785,
2020-06-03,EICHERMOT,EQ,1790.000000,1790.000000,1740.005000,1754.285000,1739.625000,2850940,50166.07,61183,
2020-06-04,EICHERMOT,EQ,1747.500000,1770.000000,1705.480000,1727.295000,1754.285000,3037860,52732.83,63294,
2020-06-05,EICHERMOT,EQ,1745.000000,1762.000000,1731.010000,1749.535000,1727.295000,1950710,34024.50,36588,
2020-06-08,EICHERMOT,EQ,1785.000000,1786.545000,1679.000000,1689.485000,1749.535000,2735380,47163.83,56158,
2020-06-09,EICHERMOT,EQ,1695.000000,1734.810000,1665.280000,1702.685000,1689.485000,3252750,55253.14,72951,
2020-06-10,EICHERMOT,EQ,1702.685000,1726.960000,1692.710000,1709.005000,1702.685000,1626490,27866.72,37291,
2020-06-11,EICHERMOT,EQ,1709.005000,1725.000000,1628.675000,1644.280000,1709.005000,2190100,36955.09,44253,
2020-06-12,EICHERMOT,EQ,1560.000000,1698.975000,1559.110000,1685.730000,1644.280000,3796680,62016.24,86065,
2020-06-15,EICHERMOT,EQ,1659.995000,1735.100000,1627.610000,1648.195000,1685.730000,5365180,89912.96,117869,
2020-06-16,EICHERMOT,EQ,1700.000000,1700.000000,1638.210000,1670.905000,1648.195000,3577860,59802.22,79588,
2020-06-17,EICHERMOT,EQ,1680.000000,1696.000000,1655.000000,1679.685000,1670.905000,2522120,42221.98,51446,
2020-06-18,EICHERMOT,EQ,1678.850000,1718.000000,1661.010000,1711.605000,1679.685000,2089530,35423.05,47930,
2020-06-19,EICHERMOT,EQ,1720.000000,1755.000000,1688.000000,1734.935000,1711.605000,3119320,53851.17,59262,
2020-06-22,EICHERMOT,EQ,1734.935000,1779.475000,1721.725000,1758.895000,1734.935000,2342470,41208.87,56936,
2020-06-23,EICHERMOT,EQ,1761.000000,1800.000000,1761.000000,1789.115000,1758.895000,2064180,36861.36,42137,
2020-06-24,EICHERMOT,EQ,1810.000000,1849.000000,1785.005000,1843.685000,1789.115000,3383920,61662.75,65707,
2020-06-25,EICHERMOT,EQ,1837.495000,1837.495000,1792.000000,1809.070000,1843.685000,2768290,50023.30,54341,
2020-06-26,EICHERMOT,EQ,1829.000000,1855.110000,1809.700000,1847.340000,1809.070000,2248860,41184.17,48605,
2020-06-29,EICHERMOT,EQ,1837.745000,1847.000000,1802.000000,1811.350000,1847.340000,1948420,35455.08,41443,
2020-06-30,EICHERMOT,EQ,1825.000000,1853.000000,1820.100000,1833.430000,1811.350000,2009460,36897.40,49425,
2020-07-01,EICHERMOT,EQ,1854.000000,1864.955000,1830.100000,1840.195000,1833.430000,2334860,43078.92,54545,
2020-07-02,EICHERMOT,EQ,1840.195000,1854.895000,1797.000000,1835.360000,1840.195000,2765680,50483.72,52803,
2020-07-03,EICHERMOT,EQ,1835.360000,1924.900000,1835.360000,1898.350000,1835.360000,2507160,46996.72,53596,
2020-07-06,EICHERMOT,EQ,1967.000000,1967.000000,1907.180000,1925.095000,1898.350000,2833940,54611.49,58050,
2020-07-07,EICHERMOT,EQ,1925.095000,2005.550000,1925.000000,1993.065000,1925.095000,2872800,56325.81,58120,
2020-07-08,EICHERMOT,EQ,1993.065000,2010.000000,1931.135000,1939.170000,1993.065000,3568650,70114.41,61479,
2020-07-09,EICHERMOT,EQ,1957.000000,1965.000000,1929.865000,1948.325000,1939.170000,2742010,53332.49,45903,
2020-07-10,EICHERMOT,EQ,1950.000000,1974.500000,1935.000000,1944.785000,1948.325000,2044230,39951.41,39497,
2020-07-13,EICHERMOT,EQ,1961.000000,1972.900000,1945.000000,1965.500000,1944.785000,1331830,26117.41,28736,
2020-07-14,EICHERMOT,EQ,1965.500000,1965.960000,1869.455000,1885.015000,1965.500000,2475070,47214.08,60920,
2020-07-15,EICHERMOT,EQ,1901.000000,1919.900000,1846.500000,1856.255000,1885.015000,2823600,52887.54,64078,
2020-07-16,EICHERMOT,EQ,1860.000000,1903.900000,1832.500000,1863.955000,1856.255000,2654550,49513.62,61510,
2020-07-17,EICHERMOT,EQ,1871.000000,1912.300000,1865.145000,1881.080000,1863.955000,1672170,31602.17,37558,
2020-07-20,EICHERMOT,EQ,1895.000000,1928.000000,1876.700000,1918.765000,1881.080000,1604480,30548.73,35749,
2020-07-21,EICHERMOT,EQ,1929.205000,2028.700000,1929.205000,2011.665000,1918.765000,3687070,73464.95,75545,
