date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2025-07-03,ENRIN,EQ,2948.000000,2971.700000,2881.000000,2922.300000,2951.100000,650654,19033.92,27663,
2025-07-04,ENRIN,EQ,2935.000000,2978.800000,2880.000000,2894.000000,2922.300000,654426,19114.56,45918,
2025-07-07,ENRIN,EQ,2908.000000,3068.700000,2892.300000,3000.100000,2894.000000,1958335,58578.94,75001,
2025-07-08,ENRIN,EQ,3030.000000,3106.500000,3022.100000,3046.900000,3000.100000,1519432,46506.29,122845,
2025-07-09,ENRIN,EQ,3068.700000,3160.000000,3055.600000,3126.500000,3046.900000,1519442,47286.85,72602,
2025-07-10,ENRIN,EQ,3145.000000,3230.000000,3099.800000,3140.300000,3126.500000,821004,25900.86,63577,
2025-07-11,ENRIN,EQ,3144.700000,3197.000000,3099.000000,3176.700000,3140.300000,1046411,33026.84,60494,
2025-07-14,ENRIN,EQ,3176.700000,3183.000000,3043.500000,3076.100000,3176.700000,894477,27626.91,73874,
2025-07-15,ENRIN,EQ,3072.000000,3073.100000,2966.100000,3053.700000,3076.100000,884299,26717.66,54761,
2025-07-16,ENRIN,EQ,3051.900000,3130.000000,3005.000000,3086.300000,3053.700000,767166,23376.98,35857,
2025-07-17,ENRIN,EQ,3130.000000,3184.000000,3030.400000,3054.200000,3086.300000,758679,23548.14,45351,
2025-07-18,ENRIN,EQ,3060.400000,3082.800000,2990.000000,3037.500000,3054.200000,505495,15337.39,46909,
2025-07-21,ENRIN,EQ,3034.000000,3088.000000,2995.600000,3057.900000,3037.500000,364458,11131.26,31982,
2025-07-22,ENRIN,EQ,3064.000000,3131.900000,3030.000000,3042.400000,3057.900000,401792,12372.79,33217,
2025-07-23,ENRIN,EQ,3045.000000,3074.100000,2976.000000,3010.600000,3042.400000,461601,13880.70,35541,
2025-07-24,ENRIN,EQ,3012.000000,3030.000000,2980.000000,3005.300000,3010.600000,485288,14577.88,27964,
2025-07-25,ENRIN,EQ,3003.000000,3015.500000,2958.000000,2977.500000,3005.300000,343613,10241.41,23850,
2025-07-28,ENRIN,EQ,2976.800000,3050.000000,2930.000000,3017.200000,2977.500000,753781,22554.02,46968,
2025-07-29,ENRIN,EQ,2991.000000,3045.000000,2962.000000,3034.500000,3017.200000,623985,18735.59,39152,
2025-07-30,ENRIN,EQ,3036.900000,3275.000000,3036.900000,3226.900000,3034.500000,1303514,41663.37,105279,
2025-07-31,ENRIN,EQ,3193.000000,3277.100000,3180.000000,3237.900000,3226.900000,566282,18379.06,44320,
2025-08-01,ENRIN,EQ,3232.000000,3247.900000,3145.000000,3168.800000,3237.900000,439298,13993.73,34892,
2025-08-04,ENRIN,EQ,3170.000000,3249.800000,3116.600000,3233.600000,3168.800000,861099,27423.01,50876,
2025-08-05,ENRIN,EQ,3370.000000,3419.000000,3240.100000,3259.900000,3233.600000,1643505,54782.24,111058,
2025-08-06,ENRIN,EQ,3275.000000,3289.000000,3141.000000,3161.800000,3259.900000,628232,19913.87,44018,
2025-08-07,ENRIN,EQ,3161.800000,3199.000000,3117.500000,3175.300000,3161.800000,576167,18202.49,34746,
2025-08-08,ENRIN,EQ,3200.000000,3209.500000,3074.700000,3083.900000,3175.300000,569835,17719.27,36637,
2025-08-11,ENRIN,EQ,3090.000000,3164.900000,3040.800000,3112.600000,3083.900000,1120311,34867.42,55522,
2025-08-12,ENRIN,EQ,3124.000000,3218.100000,3116.000000,3147.100000,3112.600000,676128,21414.54,40670,
2025-08-13,ENRIN,EQ,3190.000000,3203.100000,3145.500000,3162.400000,3147.100000,435126,13812.77,44732,
2025-08-14,ENRIN,EQ,3173.900000,3207.000000,3155.800000,3173.300000,3162.400000,291868,9287.84,31519,
2025-08-18,ENRIN,EQ,3151.000000,3258.000000,3142.500000,3168.100000,3173.300000,1013198,32418.79,55398,
2025-08-19,ENRIN,EQ,3175.000000,3209.100000,3156.000000,3195.200000,3168.100000,316378,10053.96,28414,
2025-08-20,ENRIN,EQ,3205.000000,3330.700000,3190.000000,3295.000000,3195.200000,824347,27026.74,61132,
2025-08-21,ENRIN,EQ,3305.000000,3388.000000,3280.000000,3297.500000,3295.000000,618164,20624.87,51177,
2025-08-22,ENRIN,EQ,3305.500000,3394.000000,3304.100000,3374.000000,3297.500000,572409,19290.23,52757,
2025-08-25,ENRIN,EQ,3399.000000,3415.500000,3356.700000,3382.700000,3374.000000,417287,14153.85,38549,
2025-08-26,ENRIN,EQ,3378.900000,3409.400000,3325.000000,3337.000000,3382.700000,323462,10897.84,26263,
2025-08-28,ENRIN,EQ,3339.900000,3437.900000,3321.100000,3379.000000,3337.000000,736641,24904.49,79105,
2025-08-29,ENRIN,EQ,3439.900000,3439.900000,3356.500000,3374.900000,3379.000000,265904,8996.62,18067,
2025-09-01,ENRIN,EQ,3375.000000,3580.000000,3375.000000,3492.300000,3374.900000,720880,25165.56,47724,
2025-09-02,ENRIN,EQ,3510.000000,3595.500000,3510.000000,3525.500000,3492.300000,446967,15849.04,45730,
2025-09-03,ENRIN,EQ,3531.000000,3588.000000,3425.000000,3437.100000,3525.500000,319732,11187.20,39770,
2025-09-04,ENRIN,EQ,3470.000000,3470.900000,3361.200000,3389.300000,3437.100000,314128,10696.92,38475,
2025-09-05,ENRIN,EQ,3399.000000,3475.900000,3385.300000,3425.800000,3389.300000,194795,6689.48,21064,
2025-09-08,ENRIN,EQ,3425.800000,3529.000000,3418.000000,3501.900000,3425.800000,220861,7685.77,18002,
2025-09-09,ENRIN,EQ,3499.100000,3517.000000,3430.000000,3458.200000,3501.900000,284896,9875.77,29437,
2025-09-10,ENRIN,EQ,3470.000000,3482.500000,3335.000000,3383.100000,3458.200000,706150,23876.91,64406,
2025-09-11,ENRIN,EQ,3391.700000,3464.500000,3340.600000,3358.100000,3383.100000,418414,14138.04,39049,
2025-09-12,ENRIN,EQ,3375.000000,3429.000000,3352.100000,3386.400000,3358.100000,381267,12938.60,45632,
2025-09-15,ENRIN,EQ,3400.000000,3449.000000,3393.000000,3402.400000,3386.400000,440197,15003.17,22675,
2025-09-16,ENRIN,EQ,3415.000000,3483.900000,3414.900000,3460.900000,3402.400000,294625,10195.92,25173,
2025-09-17,ENRIN,EQ,3462.900000,3526.000000,3425.000000,3499.600000,3460.900000,551483,19278.83,40691,
2025-09-18,ENRIN,EQ,3509.900000,3540.000000,3468.700000,3474.800000,3499.600000,435534,15206.56,33651,
2025-09-19,ENRIN,EQ,3470.000000,3475.100000,3411.000000,3435.600000,3474.800000,584304,20082.24,50596,
2025-09-22,ENRIN,EQ,3433.000000,3566.500000,3432.900000,3528.600000,3435.600000,792460,27791.29,61249,
2025-09-23,ENRIN,EQ,3566.000000,3625.000000,3515.900000,3606.500000,3528.600000,839211,30014.19,67436,
2025-09-24,ENRIN,EQ,3610.000000,3610.100000,3469.900000,3510.200000,3606.500000,698304,24437.41,70296,
2025-09-25,ENRIN,EQ,3499.100000,3557.000000,3472.000000,3527.800000,3510.200000,487362,17163.03,33206,
2025-09-26,ENRIN,EQ,3516.000000,3608.100000,3476.000000,3516.200000,3527.800000,616010,21791.19,64397,
2025-09-29,ENRIN,EQ,3515.500000,3573.700000,3460.800000,3510.600000,3516.200000,2644655,92725.67,97521,
2025-09-30,ENRIN,EQ,3485.100000,3514.800000,3403.000000,3432.800000,3510.600000,432263,14900.32,39453,
2025-10-01,ENRIN,EQ,3430.000000,3446.900000,3384.900000,3399.200000,3432.800000,271735,9264.66,24438,
2025-10-03,ENRIN,EQ,3398.000000,3435.000000,3345.100000,3357.700000,3399.200000,363956,12328.35,31717,
2025-10-06,ENRIN,EQ,3351.700000,3369.800000,3227.000000,3236.400000,3357.700000,682384,22301.45,65581,
