date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,FEDERALBNK,EQ,66.187500,66.937500,66.000000,66.562500,65.962500,7854093,5222.33,33326,
2020-01-02,FEDERALBNK,EQ,66.412500,69.600000,66.412500,69.187500,66.562500,17671593,12056.65,64431,
2020-01-03,FEDERALBNK,EQ,69.000000,69.375000,67.875000,68.212500,69.187500,12558127,8601.88,40792,
2020-01-06,FEDERALBNK,EQ,67.800000,67.800000,65.137500,65.325000,68.212500,9745044,6428.96,25687,
2020-01-07,FEDERALBNK,EQ,65.850000,66.675000,64.912500,65.512500,65.325000,12380852,8123.05,33041,
2020-01-08,FEDERALBNK,EQ,64.800000,65.475000,64.200000,65.212500,65.512500,9987892,6478.26,26090,
2020-01-09,FEDERALBNK,EQ,65.962500,68.100000,65.662500,67.237500,65.212500,13319869,8964.33,30242,
2020-01-10,FEDERALBNK,EQ,67.462500,67.800000,66.337500,66.600000,67.237500,10575953,7089.84,22737,
2020-01-13,FEDERALBNK,EQ,66.975000,67.837500,66.937500,67.537500,66.600000,7983084,5390.36,16773,
2020-01-14,FEDERALBNK,EQ,67.500000,68.812500,67.200000,68.400000,67.537500,10557495,7170.43,20570,
2020-01-15,FEDERALBNK,EQ,68.400000,68.775000,67.650000,68.287500,68.400000,9796739,6678.94,25341,
2020-01-16,FEDERALBNK,EQ,68.250000,70.612500,68.062500,69.712500,68.287500,22245024,15550.36,45874,
2020-01-17,FEDERALBNK,EQ,69.525000,70.050000,68.550000,68.700000,69.712500,9873533,6826.76,24840,
2020-01-20,FEDERALBNK,EQ,69.300000,70.875000,66.037500,70.312500,68.700000,57790068,39687.43,121522,
2020-01-21,FEDERALBNK,EQ,70.500000,72.300000,70.125000,70.950000,70.312500,40602177,28883.56,75966,
2020-01-22,FEDERALBNK,EQ,71.362500,71.737500,69.975000,70.312500,70.950000,18071360,12789.92,38637,
2020-01-23,FEDERALBNK,EQ,70.125000,71.925000,69.975000,70.875000,70.312500,15953503,11360.03,47683,
2020-01-24,FEDERALBNK,EQ,70.875000,72.712500,70.650000,72.000000,70.875000,13206969,9511.66,36730,
2020-01-27,FEDERALBNK,EQ,72.000000,72.637500,70.987500,71.737500,72.000000,11814464,8504.55,29294,
2020-01-28,FEDERALBNK,EQ,71.887500,72.187500,70.987500,71.475000,71.737500,7055964,5051.19,16319,
2020-01-29,FEDERALBNK,EQ,71.925000,72.262500,70.912500,71.137500,71.475000,8422375,6033.00,24089,
2020-01-30,FEDERALBNK,EQ,71.025000,71.100000,68.325000,69.750000,71.137500,11154913,7809.93,33625,
2020-01-31,FEDERALBNK,EQ,70.275000,70.350000,68.100000,68.512500,69.750000,13694152,9457.53,28114,
2020-02-03,FEDERALBNK,EQ,66.262500,67.350000,65.287500,66.300000,66.187500,11064853,7350.24,22904,
2020-02-04,FEDERALBNK,EQ,66.825000,67.725000,65.812500,67.312500,66.300000,13713545,9164.77,22414,
2020-02-05,FEDERALBNK,EQ,67.687500,68.250000,66.900000,68.137500,67.312500,9843465,6651.51,18829,
2020-02-06,FEDERALBNK,EQ,68.550000,70.275000,67.875000,69.375000,68.137500,16766563,11604.43,26845,
2020-02-07,FEDERALBNK,EQ,69.750000,70.087500,68.212500,68.437500,69.375000,15345355,10567.29,46047,
2020-02-10,FEDERALBNK,EQ,68.662500,68.662500,67.500000,67.537500,68.437500,7486565,5091.69,14104,
2020-02-11,FEDERALBNK,EQ,67.725000,68.550000,67.500000,67.837500,67.537500,6917443,4695.49,21284,
2020-02-12,FEDERALBNK,EQ,68.475000,68.475000,67.125000,67.800000,67.837500,6286615,4258.92,15770,
2020-02-13,FEDERALBNK,EQ,67.800000,67.800000,66.675000,66.900000,67.800000,7377532,4943.49,19199,
2020-02-14,FEDERALBNK,EQ,67.162500,67.462500,65.062500,65.362500,66.900000,9730463,6437.58,19978,
2020-02-17,FEDERALBNK,EQ,65.362500,65.550000,63.000000,63.337500,65.362500,11453777,7324.52,29328,
2020-02-18,FEDERALBNK,EQ,63.300000,63.300000,60.750000,61.387500,63.337500,16199660,9958.70,34409,
2020-02-19,FEDERALBNK,EQ,62.175000,64.050000,62.025000,63.337500,61.387500,16761323,10603.94,44673,
2020-02-20,FEDERALBNK,EQ,63.937500,66.000000,63.750000,65.625000,63.337500,16262716,10601.47,40314,
2020-02-24,FEDERALBNK,EQ,65.175000,65.475000,64.275000,64.987500,65.625000,7239873,4708.63,17329,
2020-02-25,FEDERALBNK,EQ,65.250000,66.000000,64.500000,64.800000,64.987500,6560073,4273.78,17831,
2020-02-26,FEDERALBNK,EQ,64.312500,64.575000,63.450000,63.787500,64.800000,5548208,3555.70,15017,
2020-02-27,FEDERALBNK,EQ,63.975000,67.275000,63.487500,66.637500,63.787500,27031537,17735.51,57865,
2020-02-28,FEDERALBNK,EQ,64.462500,65.362500,63.825000,64.425000,66.637500,17813215,11493.74,40102,
2020-03-02,FEDERALBNK,EQ,65.962500,66.150000,61.237500,62.100000,64.425000,17178432,10936.58,42792,
2020-03-03,FEDERALBNK,EQ,62.662500,64.125000,61.875000,63.375000,62.100000,11571637,7298.17,26594,
2020-03-04,FEDERALBNK,EQ,63.300000,63.562500,61.575000,62.587500,63.375000,10520019,6591.34,29696,
2020-03-05,FEDERALBNK,EQ,63.600000,63.712500,62.250000,62.400000,62.587500,12251327,7708.46,32728,
2020-03-06,FEDERALBNK,EQ,59.025000,60.937500,57.225000,60.037500,62.400000,13806237,8265.71,55702,
2020-03-09,FEDERALBNK,EQ,58.125000,58.950000,52.312500,54.637500,60.037500,35910804,19731.49,71126,
2020-03-11,FEDERALBNK,EQ,54.675000,56.400000,53.250000,53.512500,54.637500,28284909,15420.62,59471,
2020-03-12,FEDERALBNK,EQ,51.000000,51.337500,46.837500,47.325000,53.512500,38696852,18780.70,68960,
2020-03-13,FEDERALBNK,EQ,42.600000,51.937500,40.237500,51.375000,47.325000,30136160,14250.78,57223,
2020-03-16,FEDERALBNK,EQ,48.525000,49.650000,46.875000,47.325000,51.375000,22968175,11033.67,57019,
2020-03-17,FEDERALBNK,EQ,47.287500,48.000000,42.750000,43.725000,47.325000,21294757,9676.58,62507,
2020-03-18,FEDERALBNK,EQ,43.725000,44.662500,37.650000,40.687500,43.725000,40094611,16142.84,77418,
