date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,GAIL,EQ,80.933333,81.200000,79.833333,80.800000,80.700000,7056748,5677.90,26255,
2020-01-02,GAIL,EQ,81.000000,82.633333,80.433333,82.366667,80.800000,10121876,8273.16,34471,
2020-01-03,GAIL,EQ,82.466667,85.866667,82.466667,83.766667,82.366667,32438228,27361.98,86172,
2020-01-06,GAIL,EQ,83.333333,84.166667,81.900000,82.900000,83.766667,11579768,9572.76,38654,
2020-01-07,GAIL,EQ,83.266667,84.033333,82.566667,82.966667,82.900000,13948004,11621.58,43688,
2020-01-08,GAIL,EQ,82.066667,83.000000,81.833333,82.600000,82.966667,5186144,4274.30,20471,
2020-01-09,GAIL,EQ,82.933333,83.600000,82.133333,82.466667,82.600000,6215268,5134.88,27825,
2020-01-10,GAIL,EQ,83.400000,85.166667,82.833333,83.566667,82.466667,17004742,14311.57,68109,
2020-01-13,GAIL,EQ,83.933333,86.266667,83.266667,85.933333,83.566667,16119542,13675.79,69790,
2020-01-14,GAIL,EQ,86.333333,88.533333,85.633333,86.700000,85.933333,28891929,25143.13,86099,
2020-01-15,GAIL,EQ,86.900000,88.033333,85.833333,87.766667,86.700000,19602404,17021.42,71515,
2020-01-16,GAIL,EQ,88.633333,88.900000,85.566667,85.833333,87.766667,22273792,19356.25,66301,
2020-01-17,GAIL,EQ,84.600000,84.933333,81.833333,84.233333,85.833333,25057450,21066.23,102742,
2020-01-20,GAIL,EQ,84.000000,86.033333,83.033333,85.200000,84.233333,20108096,17056.53,71786,
2020-01-21,GAIL,EQ,85.566667,86.366667,84.200000,84.500000,85.200000,15138525,12917.93,61759,
2020-01-22,GAIL,EQ,84.800000,85.266667,83.666667,83.933333,84.500000,8672330,7303.73,53536,
2020-01-23,GAIL,EQ,83.800000,87.133333,83.466667,86.433333,83.933333,20400712,17490.01,56848,
2020-01-24,GAIL,EQ,86.566667,87.800000,86.100000,86.333333,86.433333,15677772,13633.66,54500,
2020-01-27,GAIL,EQ,86.000000,86.333333,84.066667,84.500000,86.333333,8267968,7025.68,31089,
2020-01-28,GAIL,EQ,84.666667,84.966667,83.466667,84.100000,84.500000,9915030,8361.89,33774,
2020-01-29,GAIL,EQ,85.133333,85.900000,83.733333,84.166667,84.100000,16726581,14153.51,49865,
2020-01-30,GAIL,EQ,84.166667,84.500000,82.000000,82.233333,84.166667,11245056,9340.92,39463,
2020-01-31,GAIL,EQ,82.700000,82.933333,79.600000,80.300000,82.233333,23087168,18621.67,54824,
2020-02-03,GAIL,EQ,76.733333,79.666667,76.000000,76.333333,78.466667,15581640,12130.24,51897,
2020-02-04,GAIL,EQ,76.800000,79.500000,76.800000,79.266667,76.333333,17569478,13775.33,57219,
2020-02-05,GAIL,EQ,79.533333,81.000000,78.666667,80.633333,79.266667,17716976,14209.23,67358,
2020-02-06,GAIL,EQ,80.966667,82.933333,80.933333,82.466667,80.633333,12319880,10097.08,44815,
2020-02-07,GAIL,EQ,82.666667,83.066667,81.433333,82.000000,82.466667,13819024,11354.11,41802,
2020-02-10,GAIL,EQ,82.733333,82.900000,79.500000,81.200000,82.000000,29291102,23700.30,70207,
2020-02-11,GAIL,EQ,82.300000,86.566667,82.133333,86.100000,81.200000,46583601,39705.42,139720,
2020-02-12,GAIL,EQ,86.466667,87.333333,85.000000,86.900000,86.100000,22001942,18969.59,58880,
2020-02-13,GAIL,EQ,86.666667,88.333333,86.266667,86.866667,86.900000,37031706,32374.63,71701,
2020-02-14,GAIL,EQ,86.666667,87.666667,81.300000,81.700000,86.866667,43080926,36098.21,93353,
2020-02-17,GAIL,EQ,81.333333,81.333333,78.100000,78.666667,81.700000,29110592,23058.97,75114,
2020-02-18,GAIL,EQ,78.666667,79.833333,77.833333,79.633333,78.666667,22491146,17787.70,83031,
2020-02-19,GAIL,EQ,80.000000,80.600000,79.166667,79.900000,79.633333,9190996,7344.69,34237,
2020-02-20,GAIL,EQ,79.266667,80.666667,79.000000,79.533333,79.900000,10894106,8702.84,56231,
2020-02-24,GAIL,EQ,79.000000,79.533333,77.533333,77.866667,79.533333,9320361,7308.89,47785,
2020-02-25,GAIL,EQ,78.933333,79.066667,75.633333,76.000000,77.866667,17133309,13136.87,77124,
2020-02-26,GAIL,EQ,76.000000,76.066667,71.733333,72.033333,76.000000,27109258,19867.48,91833,
2020-02-27,GAIL,EQ,72.000000,72.300000,70.100000,71.566667,72.033333,22617384,16088.28,90768,
2020-02-28,GAIL,EQ,68.000000,72.333333,68.000000,69.600000,71.566667,39729069,28103.69,108859,
2020-03-02,GAIL,EQ,70.666667,71.566667,65.800000,66.433333,69.600000,29282288,20091.90,96557,
2020-03-03,GAIL,EQ,67.266667,69.200000,66.333333,68.800000,66.433333,23760411,16089.60,72925,
2020-03-04,GAIL,EQ,69.300000,71.266667,68.266667,70.700000,68.800000,30859263,21633.69,91109,
2020-03-05,GAIL,EQ,73.233333,74.166667,70.600000,71.200000,70.700000,28873006,20708.82,69783,
2020-03-06,GAIL,EQ,69.333333,72.466667,68.033333,71.866667,71.200000,23193444,16484.01,66461,
2020-03-09,GAIL,EQ,69.066667,69.900000,66.333333,66.966667,71.866667,25372218,17114.40,84744,
2020-03-11,GAIL,EQ,64.433333,65.033333,60.000000,60.333333,66.966667,74195762,45893.50,199566,
2020-03-12,GAIL,EQ,56.666667,59.200000,52.733333,53.300000,60.333333,53212602,29235.75,137300,
2020-03-13,GAIL,EQ,50.000000,61.100000,43.333333,56.366667,53.300000,43752004,23273.58,133092,
2020-03-16,GAIL,EQ,54.666667,55.066667,51.666667,52.100000,56.366667,23089646,12302.20,111109,
2020-03-17,GAIL,EQ,52.333333,54.000000,48.633333,49.766667,52.100000,23816204,12343.15,93855,
2020-03-18,GAIL,EQ,49.766667,50.800000,46.166667,47.233333,49.766667,45697370,21789.17,213459,
2020-03-19,GAIL,EQ,45.633333,48.166667,43.733333,46.266667,47.233333,38061536,17577.73,108349,
2020-03-20,GAIL,EQ,47.333333,54.933333,46.866667,53.866667,46.266667,51611452,26648.68,153256,
2020-03-23,GAIL,EQ,49.333333,54.666667,48.500000,52.000000,53.866667,21546234,11055.84,88054,
2020-03-24,GAIL,EQ,54.000000,55.000000,50.100000,50.966667,52.000000,18324644,9537.45,74431,
2020-03-25,GAIL,EQ,51.933333,52.800000,49.433333,50.366667,50.966667,20579260,10431.20,70697,
