date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,GODREJCP,EQ,856.125000,867.375000,854.500000,864.187500,855.687500,223910,1924.61,5933,
2020-01-02,GODREJCP,EQ,863.750000,867.375000,849.000000,854.625000,864.187500,401039,3430.24,15660,
2020-01-03,GODREJCP,EQ,853.500000,863.812500,852.750000,861.187500,854.625000,708363,6090.12,42342,
2020-01-06,GODREJCP,EQ,860.000000,879.375000,847.937500,871.750000,861.187500,1320398,11441.52,54098,
2020-01-07,GODREJCP,EQ,876.125000,895.000000,876.125000,885.750000,871.750000,1262477,11184.70,57999,
2020-01-08,GODREJCP,EQ,880.312500,892.437500,876.687500,890.187500,885.750000,507947,4503.10,37605,
2020-01-09,GODREJCP,EQ,892.062500,906.625000,890.187500,905.500000,890.187500,540878,4866.96,36776,
2020-01-10,GODREJCP,EQ,906.125000,927.500000,901.812500,922.812500,905.500000,994674,9131.46,40585,
2020-01-13,GODREJCP,EQ,927.812500,937.500000,917.875000,928.500000,922.812500,826091,7669.88,32219,
2020-01-14,GODREJCP,EQ,928.500000,943.750000,921.375000,939.687500,928.500000,836686,7810.90,45150,
2020-01-15,GODREJCP,EQ,939.687500,955.937500,936.250000,953.062500,939.687500,784262,7406.99,31391,
2020-01-16,GODREJCP,EQ,951.187500,965.000000,926.500000,933.437500,953.062500,696472,6559.12,44020,
2020-01-17,GODREJCP,EQ,932.500000,938.750000,926.125000,929.625000,933.437500,427621,3981.30,26433,
2020-01-20,GODREJCP,EQ,934.250000,941.937500,923.812500,935.687500,929.625000,1067385,9965.65,16844,
2020-01-21,GODREJCP,EQ,937.375000,937.375000,912.250000,914.437500,935.687500,488945,4492.65,24988,
2020-01-22,GODREJCP,EQ,915.687500,917.500000,902.750000,907.625000,914.437500,390320,3551.54,29126,
2020-01-23,GODREJCP,EQ,911.750000,928.750000,905.000000,926.312500,907.625000,606358,5555.33,33299,
2020-01-24,GODREJCP,EQ,925.000000,938.750000,916.875000,936.687500,926.312500,327361,3053.39,17439,
2020-01-27,GODREJCP,EQ,935.000000,940.687500,918.750000,922.187500,936.687500,216323,2015.89,13584,
2020-01-28,GODREJCP,EQ,919.375000,927.000000,909.250000,920.500000,922.187500,378948,3483.59,28431,
2020-01-29,GODREJCP,EQ,927.125000,942.500000,899.062500,926.062500,920.500000,1260210,11659.95,51434,
2020-01-30,GODREJCP,EQ,905.000000,913.500000,847.000000,854.375000,926.062500,2313949,20088.82,82151,
2020-01-31,GODREJCP,EQ,856.062500,858.187500,839.562500,840.812500,854.375000,1487399,12586.02,43726,
2020-02-03,GODREJCP,EQ,826.875000,844.187500,820.000000,834.125000,830.687500,1457634,12200.70,28127,
2020-02-04,GODREJCP,EQ,838.250000,845.750000,813.750000,818.187500,834.125000,1670466,13772.26,43685,
2020-02-05,GODREJCP,EQ,822.500000,829.812500,811.937500,826.687500,818.187500,1128148,9281.32,23994,
2020-02-06,GODREJCP,EQ,830.500000,831.250000,809.812500,814.937500,826.687500,1078678,8817.40,25235,
2020-02-07,GODREJCP,EQ,813.062500,821.187500,806.875000,808.500000,814.937500,1352539,10985.44,29692,
2020-02-10,GODREJCP,EQ,813.062500,813.062500,786.312500,788.562500,808.500000,1163666,9237.34,37373,
2020-02-11,GODREJCP,EQ,791.250000,795.250000,768.125000,769.625000,788.562500,1672280,13017.81,39499,
2020-02-12,GODREJCP,EQ,776.125000,807.437500,772.812500,802.687500,769.625000,3928682,31195.02,66811,
2020-02-13,GODREJCP,EQ,803.687500,811.125000,791.375000,795.437500,802.687500,1237925,9878.43,27213,
2020-02-14,GODREJCP,EQ,796.250000,799.312500,778.000000,782.625000,795.437500,862737,6774.25,30946,
2020-02-17,GODREJCP,EQ,782.625000,788.687500,772.562500,782.187500,782.625000,805158,6309.70,24811,
2020-02-18,GODREJCP,EQ,782.500000,783.375000,766.250000,775.937500,782.187500,794746,6148.32,24474,
2020-02-19,GODREJCP,EQ,778.000000,782.000000,767.812500,778.250000,775.937500,1773034,13726.23,34126,
2020-02-20,GODREJCP,EQ,778.250000,797.375000,778.250000,788.812500,778.250000,1132718,8953.33,57081,
2020-02-24,GODREJCP,EQ,786.250000,792.500000,766.250000,768.562500,788.812500,722247,5627.28,28594,
2020-02-25,GODREJCP,EQ,773.250000,778.125000,760.375000,769.687500,768.562500,591826,4559.61,28755,
2020-02-26,GODREJCP,EQ,762.750000,765.937500,748.750000,751.562500,769.687500,871416,6590.98,26228,
2020-02-27,GODREJCP,EQ,752.500000,756.500000,736.187500,743.375000,751.562500,743889,5529.34,33339,
2020-02-28,GODREJCP,EQ,735.000000,741.625000,695.500000,700.625000,743.375000,1743163,12369.47,61442,
2020-03-02,GODREJCP,EQ,717.500000,764.125000,717.250000,733.937500,700.625000,2109997,15674.71,71091,
2020-03-03,GODREJCP,EQ,743.437500,782.187500,742.000000,773.375000,733.937500,1860209,14227.20,61169,
2020-03-04,GODREJCP,EQ,779.750000,795.812500,768.750000,789.687500,773.375000,2372514,18652.02,110868,
2020-03-05,GODREJCP,EQ,797.625000,818.562500,795.062500,813.312500,789.687500,2328938,18874.41,75761,
2020-03-06,GODREJCP,EQ,786.125000,806.875000,778.562500,798.625000,813.312500,1650487,13149.55,89104,
2020-03-09,GODREJCP,EQ,785.125000,786.250000,759.187500,767.250000,798.625000,1345645,10389.77,50555,
2020-03-11,GODREJCP,EQ,759.875000,787.562500,752.750000,759.250000,767.250000,1845762,14216.11,120205,
2020-03-12,GODREJCP,EQ,743.750000,743.750000,679.312500,700.250000,759.250000,3057229,21671.65,70058,
2020-03-13,GODREJCP,EQ,677.500000,693.437500,621.875000,685.312500,700.250000,3112582,20869.91,107564,
2020-03-16,GODREJCP,EQ,675.000000,686.375000,626.937500,636.312500,685.312500,2215690,14619.09,61061,
2020-03-17,GODREJCP,EQ,632.500000,675.875000,620.625000,654.687500,636.312500,3473869,22490.16,129433,
2020-03-18,GODREJCP,EQ,678.500000,678.500000,640.500000,652.000000,654.687500,1347224,8802.35,64642,
2020-03-19,GODREJCP,EQ,637.500000,639.937500,595.312500,603.812500,652.000000,2148677,13327.30,72902,
2020-03-20,GODREJCP,EQ,610.250000,637.250000,594.437500,623.875000,603.812500,1808448,11204.52,79934,
2020-03-23,GODREJCP,EQ,594.812500,608.312500,531.375000,542.562500,623.875000,958209,5394.39,48277,
2020-03-24,GODREJCP,EQ,562.500000,623.750000,542.500000,555.562500,542.562500,1501562,8642.27,48878,
2020-03-25,GODREJCP,EQ,562.500000,597.500000,547.875000,588.125000,555.562500,1873058,10673.49,71838,
2020-03-26,GODREJCP,EQ,599.000000,641.812500,593.750000,625.687500,588.125000,2862388,17918.89,72903,
2020-03-27,GODREJCP,EQ,631.250000,646.625000,600.750000,624.312500,625.687500,2063427,12974.52,86432,
2020-03-30,GODREJCP,EQ,612.437500,627.812500,599.000000,616.375000,624.312500,1422724,8778.74,82117,
2020-03-31,GODREJCP,EQ,625.000000,660.000000,622.937500,651.062500,616.375000,1815212,11694.63,54309,
2020-04-01,GODREJCP,EQ,668.750000,706.625000,656.625000,685.937500,651.062500,2381522,16423.63,91065,
2020-04-03,GODREJCP,EQ,689.125000,697.687500,656.500000,664.312500,685.937500,1367506,9227.53,59923,
2020-04-07,GODREJCP,EQ,686.250000,712.500000,676.312500,698.562500,664.312500,1574367,11001.65,97141,
2020-04-08,GODREJCP,EQ,707.812500,786.187500,701.937500,750.000000,698.562500,2021558,15089.40,98052,
2020-04-09,GODREJCP,EQ,771.250000,799.750000,733.750000,743.875000,750.000000,1434230,10924.17,53641,
2020-04-13,GODREJCP,EQ,706.250000,709.375000,678.812500,696.187500,743.875000,2715688,18906.12,94797,
2020-04-15,GODREJCP,EQ,706.687500,748.625000,703.562500,714.562500,696.187500,2222716,16049.92,113160,
2020-04-16,GODREJCP,EQ,713.625000,729.062500,703.125000,705.500000,714.562500,1414695,10107.03,63897,
2020-04-17,GODREJCP,EQ,723.500000,723.500000,681.562500,690.937500,705.500000,1811614,12603.50,78634,
2020-04-20,GODREJCP,EQ,698.750000,699.312500,668.750000,672.062500,690.937500,1204745,8183.95,44574,
2020-04-21,GODREJCP,EQ,662.500000,671.750000,648.250000,662.250000,672.062500,1842201,12195.62,61582,
2020-04-22,GODREJCP,EQ,657.812500,667.500000,644.187500,663.937500,662.250000,1526046,10042.29,54254,
2020-04-23,GODREJCP,EQ,668.750000,688.500000,668.750000,674.312500,663.937500,1749290,11872.72,62452,
2020-04-24,GODREJCP,EQ,671.187500,683.875000,662.562500,668.000000,674.312500,1123972,7577.48,46314,
2020-04-27,GODREJCP,EQ,671.250000,680.000000,658.750000,671.187500,668.000000,1211122,8122.17,42028,
2020-04-28,GODREJCP,EQ,675.000000,678.437500,658.562500,667.250000,671.187500,1083030,7211.35,42775,
2020-04-29,GODREJCP,EQ,670.625000,674.812500,662.625000,670.562500,667.250000,725227,4864.44,31552,
2020-04-30,GODREJCP,EQ,675.687500,683.625000,660.000000,679.000000,670.562500,2233756,15083.34,51072,
2020-05-04,GODREJCP,EQ,662.500000,671.812500,652.875000,657.875000,679.000000,2352192,15493.50,59061,
2020-05-05,GODREJCP,EQ,665.000000,666.437500,633.937500,642.875000,657.875000,1905485,12316.15,94595,
2020-05-06,GODREJCP,EQ,642.187500,642.187500,618.875000,634.000000,642.875000,1652094,10427.60,65904,
2020-05-07,GODREJCP,EQ,631.250000,631.875000,605.062500,607.875000,634.000000,1811012,11081.17,88449,
