date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,GRASIM,EQ,746.800000,747.400000,738.600000,742.500000,743.650000,685313,5090.74,11402,
2020-01-02,GRASIM,EQ,742.000000,768.500000,741.000000,766.350000,742.500000,2413731,18321.55,35565,
2020-01-03,GRASIM,EQ,769.950000,769.950000,751.500000,756.650000,766.350000,1411458,10721.52,24417,
2020-01-06,GRASIM,EQ,755.400000,755.800000,735.000000,737.000000,756.650000,957541,7104.66,18763,
2020-01-07,GRASIM,EQ,738.200000,756.000000,735.500000,742.300000,737.000000,1104012,8210.25,19977,
2020-01-08,GRASIM,EQ,735.400000,749.900000,733.600000,742.650000,742.300000,1312487,9760.18,20705,
2020-01-09,GRASIM,EQ,752.950000,761.300000,750.050000,757.300000,742.650000,1471931,11133.76,27280,
2020-01-10,GRASIM,EQ,756.800000,766.500000,751.000000,756.250000,757.300000,1261460,9566.53,22582,
2020-01-13,GRASIM,EQ,757.000000,765.000000,757.000000,759.600000,756.250000,832679,6341.52,13743,
2020-01-14,GRASIM,EQ,762.800000,767.900000,753.100000,759.900000,759.600000,1186220,9022.35,24735,
2020-01-15,GRASIM,EQ,758.000000,769.000000,747.500000,766.400000,759.900000,1516061,11472.34,22328,
2020-01-16,GRASIM,EQ,767.350000,771.000000,753.100000,756.050000,766.400000,1037376,7892.99,20850,
2020-01-17,GRASIM,EQ,715.000000,772.000000,711.000000,768.250000,756.050000,4918914,37246.49,77808,
2020-01-20,GRASIM,EQ,767.600000,777.500000,762.450000,772.800000,768.250000,1575278,12147.53,27949,
2020-01-21,GRASIM,EQ,779.000000,781.100000,763.450000,771.650000,772.800000,1661273,12797.71,26036,
2020-01-22,GRASIM,EQ,770.850000,799.000000,767.100000,792.900000,771.650000,3081732,24264.30,48288,
2020-01-23,GRASIM,EQ,785.000000,811.950000,783.000000,808.900000,792.900000,2587185,20773.44,42901,
2020-01-24,GRASIM,EQ,808.000000,824.400000,795.950000,822.000000,808.900000,1925862,15719.67,33434,
