date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HAL,EQ,367.500000,367.575000,365.000000,365.100000,365.200000,6386,23.34,603,
2020-01-02,HAL,EQ,367.475000,374.625000,364.675000,367.625000,365.100000,26118,96.26,1429,
2020-01-03,HAL,EQ,368.900000,378.450000,361.750000,368.450000,367.625000,277418,1016.12,5367,
2020-01-06,HAL,EQ,365.550000,369.725000,360.850000,364.750000,368.450000,23622,86.31,1419,
2020-01-07,HAL,EQ,362.600000,369.725000,362.500000,367.450000,364.750000,15998,58.54,1116,
2020-01-08,HAL,EQ,361.900000,373.500000,361.000000,367.775000,367.450000,15860,58.37,738,
2020-01-09,HAL,EQ,368.000000,371.500000,365.950000,367.625000,367.775000,17620,64.89,1040,
2020-01-10,HAL,EQ,365.900000,374.550000,365.900000,368.225000,367.625000,20532,76.26,1308,
2020-01-13,HAL,EQ,379.750000,404.025000,375.625000,401.725000,368.225000,409102,1619.69,17391,
2020-01-14,HAL,EQ,402.500000,433.500000,402.000000,429.400000,401.725000,577164,2459.30,17096,
2020-01-15,HAL,EQ,427.500000,432.450000,416.250000,426.200000,429.400000,190884,810.80,6116,
2020-01-16,HAL,EQ,428.300000,433.625000,420.550000,422.225000,426.200000,58406,249.23,2166,
2020-01-17,HAL,EQ,421.000000,422.000000,410.500000,412.000000,422.225000,33206,138.01,1971,
2020-01-20,HAL,EQ,405.075000,412.500000,400.475000,402.850000,412.000000,39608,159.88,1884,
2020-01-21,HAL,EQ,403.000000,443.500000,400.525000,437.425000,402.850000,362190,1557.20,11524,
2020-01-22,HAL,EQ,434.550000,447.950000,425.700000,428.675000,437.425000,163582,716.61,6101,
2020-01-23,HAL,EQ,430.500000,438.650000,423.800000,426.925000,428.675000,61268,263.74,2862,
2020-01-24,HAL,EQ,427.500000,434.500000,425.000000,426.425000,426.925000,36982,158.56,1751,
2020-01-27,HAL,EQ,427.350000,429.500000,413.200000,417.725000,426.425000,34524,146.10,1752,
2020-01-28,HAL,EQ,418.625000,436.350000,415.000000,416.075000,417.725000,23074,96.82,1352,
