date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HCLTECH,EQ,569.400000,572.900000,566.850000,571.950000,568.100000,918373,5239.18,17539,
2020-01-02,HCLTECH,EQ,572.550000,575.000000,570.500000,573.550000,571.950000,1075642,6166.04,52734,
2020-01-03,HCLTECH,EQ,574.000000,588.500000,572.850000,585.050000,573.550000,3269446,19098.27,77707,
2020-01-06,HCLTECH,EQ,585.000000,592.200000,579.450000,582.000000,585.050000,3589985,20973.35,60726,
2020-01-07,HCLTECH,EQ,582.000000,587.750000,579.050000,584.250000,582.000000,3179728,18584.22,90166,
2020-01-08,HCLTECH,EQ,583.000000,593.000000,578.000000,585.750000,584.250000,3593096,21097.69,100124,
2020-01-09,HCLTECH,EQ,586.000000,588.150000,579.250000,580.300000,585.750000,2313648,13465.26,55170,
2020-01-10,HCLTECH,EQ,582.000000,589.800000,577.400000,580.350000,580.300000,2049636,11953.17,77150,
2020-01-13,HCLTECH,EQ,583.950000,590.000000,581.000000,586.500000,580.350000,4096054,23959.27,88858,
2020-01-14,HCLTECH,EQ,587.200000,597.400000,587.150000,594.300000,586.500000,3395378,20112.60,100342,
2020-01-15,HCLTECH,EQ,597.000000,598.300000,591.700000,595.750000,594.300000,2348102,13971.01,47737,
2020-01-16,HCLTECH,EQ,597.000000,598.300000,586.750000,593.250000,595.750000,2107442,12500.64,58134,
2020-01-17,HCLTECH,EQ,585.000000,602.000000,585.000000,598.800000,593.250000,4555694,27091.00,69220,
2020-01-20,HCLTECH,EQ,618.000000,618.000000,584.100000,589.250000,598.800000,10272118,61100.78,124801,
2020-01-21,HCLTECH,EQ,589.300000,593.250000,582.350000,584.050000,589.250000,2640668,15521.60,74242,
2020-01-22,HCLTECH,EQ,585.200000,595.000000,581.500000,590.650000,584.050000,4402650,26033.84,111318,
2020-01-23,HCLTECH,EQ,590.100000,599.950000,587.000000,598.950000,590.650000,6089397,36326.10,97913,
2020-01-24,HCLTECH,EQ,599.000000,609.000000,595.500000,607.700000,598.950000,3551260,21505.53,79737,
2020-01-27,HCLTECH,EQ,607.700000,608.000000,601.750000,604.350000,607.700000,2450421,14825.92,34778,
2020-01-28,HCLTECH,EQ,607.300000,607.350000,592.600000,601.450000,604.350000,5330709,31899.58,122378,
2020-01-29,HCLTECH,EQ,605.000000,611.500000,602.200000,608.850000,601.450000,4281329,26052.96,81339,
2020-01-30,HCLTECH,EQ,612.000000,613.850000,603.650000,607.850000,608.850000,3334901,20265.95,99651,
2020-01-31,HCLTECH,EQ,607.850000,608.900000,589.600000,591.400000,607.850000,3590768,21366.95,100805,
2020-02-03,HCLTECH,EQ,591.400000,593.650000,577.500000,579.100000,590.900000,4024193,23499.22,105851,
2020-02-04,HCLTECH,EQ,583.000000,589.250000,582.500000,586.500000,579.100000,3246094,19044.23,70121,
2020-02-05,HCLTECH,EQ,589.400000,598.500000,586.000000,595.600000,586.500000,3006324,17867.64,109513,
2020-02-06,HCLTECH,EQ,598.950000,613.000000,598.000000,599.700000,595.600000,4704968,28398.97,81356,
2020-02-07,HCLTECH,EQ,601.650000,609.200000,599.150000,607.700000,599.700000,2865379,17338.39,57503,
2020-02-10,HCLTECH,EQ,608.900000,611.550000,601.650000,604.900000,607.700000,2286213,13847.67,34996,
2020-02-11,HCLTECH,EQ,606.000000,613.750000,605.700000,610.650000,604.900000,2458748,15017.68,118909,
2020-02-12,HCLTECH,EQ,613.000000,620.500000,610.300000,614.100000,610.650000,4873027,29960.58,108142,
2020-02-13,HCLTECH,EQ,612.000000,613.950000,604.050000,612.450000,614.100000,2090363,12712.61,44088,
2020-02-14,HCLTECH,EQ,612.450000,623.250000,612.250000,621.650000,612.450000,3650630,22627.32,101590,
2020-02-17,HCLTECH,EQ,623.000000,623.500000,612.350000,613.450000,621.650000,2190578,13483.69,73941,
2020-02-18,HCLTECH,EQ,613.450000,615.800000,605.150000,607.050000,613.450000,5237465,31849.54,71859,
2020-02-19,HCLTECH,EQ,614.450000,618.250000,604.000000,605.750000,607.050000,3799862,23182.83,73152,
2020-02-20,HCLTECH,EQ,611.000000,612.950000,605.150000,608.050000,605.750000,4820313,29329.94,115488,
2020-02-24,HCLTECH,EQ,608.000000,609.000000,591.500000,595.150000,608.050000,4070143,24522.04,105019,
2020-02-25,HCLTECH,EQ,595.500000,595.700000,575.000000,582.450000,595.150000,5525575,32160.91,115367,
2020-02-26,HCLTECH,EQ,576.900000,589.050000,575.500000,583.600000,582.450000,5460070,31827.73,100228,
2020-02-27,HCLTECH,EQ,582.100000,582.400000,568.000000,573.050000,583.600000,4078174,23373.42,97257,
2020-02-28,HCLTECH,EQ,560.000000,564.000000,531.200000,534.350000,573.050000,7894806,43180.41,161062,
2020-03-02,HCLTECH,EQ,541.050000,565.850000,537.850000,549.700000,534.350000,8175982,45290.88,166431,
2020-03-03,HCLTECH,EQ,556.000000,568.750000,555.000000,565.050000,549.700000,4682284,26303.02,131005,
2020-03-04,HCLTECH,EQ,569.000000,575.400000,561.000000,563.100000,565.050000,5175180,29326.10,104336,
2020-03-05,HCLTECH,EQ,568.000000,581.900000,563.150000,576.400000,563.100000,6061347,35055.72,89062,
2020-03-06,HCLTECH,EQ,570.000000,573.950000,559.550000,566.200000,576.400000,3288548,18563.40,72399,
2020-03-09,HCLTECH,EQ,555.000000,558.000000,536.450000,540.450000,566.200000,3699831,20092.19,82357,
2020-03-11,HCLTECH,EQ,526.750000,542.650000,514.000000,536.800000,540.450000,4850036,25889.47,105339,
2020-03-12,HCLTECH,EQ,521.000000,527.800000,486.350000,493.350000,536.800000,5321420,26932.44,161096,
2020-03-13,HCLTECH,EQ,460.000000,517.250000,395.950000,492.900000,493.350000,6859998,32908.08,117288,
2020-03-16,HCLTECH,EQ,469.000000,479.800000,446.850000,450.700000,492.900000,5281596,24514.13,126930,
2020-03-17,HCLTECH,EQ,450.000000,478.600000,443.350000,450.650000,450.700000,5148569,23652.24,99381,
2020-03-18,HCLTECH,EQ,455.000000,464.800000,429.050000,434.250000,450.650000,4936460,21838.61,123650,
2020-03-19,HCLTECH,EQ,418.900000,434.600000,375.250000,413.450000,434.250000,9270054,38286.25,184203,
2020-03-20,HCLTECH,EQ,413.500000,461.950000,411.850000,444.900000,413.450000,11916337,52659.92,199014,
2020-03-23,HCLTECH,EQ,415.000000,444.000000,400.450000,417.150000,444.900000,9525670,39604.74,111898,
2020-03-24,HCLTECH,EQ,413.000000,458.850000,411.850000,442.050000,417.150000,9915954,43855.61,142298,
2020-03-25,HCLTECH,EQ,432.000000,468.000000,417.750000,457.600000,442.050000,11976272,53308.65,109934,
2020-03-26,HCLTECH,EQ,461.100000,466.750000,441.100000,447.700000,457.600000,9504717,42902.99,113214,
2020-03-27,HCLTECH,EQ,450.250000,457.450000,420.500000,430.650000,447.700000,9151132,39464.09,145850,
2020-03-30,HCLTECH,EQ,410.000000,438.650000,410.000000,419.000000,430.650000,6325701,26985.81,114637,
2020-03-31,HCLTECH,EQ,433.200000,449.400000,425.300000,436.400000,419.000000,6381824,28021.05,118664,
2020-04-01,HCLTECH,EQ,433.000000,433.200000,408.200000,413.550000,436.400000,8136746,34319.94,112951,
2020-04-03,HCLTECH,EQ,418.900000,428.600000,399.300000,405.800000,413.550000,8166456,33930.15,157013,
2020-04-07,HCLTECH,EQ,425.000000,457.950000,425.000000,451.150000,405.800000,5972948,26471.66,120075,
2020-04-08,HCLTECH,EQ,451.000000,476.800000,449.000000,463.100000,451.150000,7991062,37345.14,111912,
2020-04-09,HCLTECH,EQ,480.700000,481.000000,462.000000,469.050000,463.100000,5069246,23805.16,85608,
2020-04-13,HCLTECH,EQ,470.000000,471.000000,454.000000,458.250000,469.050000,2236731,10258.50,54865,
2020-04-15,HCLTECH,EQ,470.000000,482.000000,462.700000,478.750000,458.250000,6333192,29958.60,124242,
2020-04-16,HCLTECH,EQ,473.000000,476.000000,456.700000,459.750000,478.750000,10484847,48753.03,225515,
2020-04-17,HCLTECH,EQ,470.000000,475.000000,453.650000,455.250000,459.750000,4706460,21678.02,119829,
2020-04-20,HCLTECH,EQ,458.000000,473.600000,453.500000,470.000000,455.250000,4801120,22439.79,115539,
2020-04-21,HCLTECH,EQ,458.000000,464.950000,447.850000,455.700000,470.000000,3405204,15501.99,60418,
2020-04-22,HCLTECH,EQ,453.000000,469.450000,450.000000,462.400000,455.700000,3768051,17389.02,71852,
2020-04-23,HCLTECH,EQ,465.000000,480.750000,462.400000,477.700000,462.400000,3054988,14472.13,61297,
2020-04-24,HCLTECH,EQ,480.000000,496.900000,465.150000,468.100000,477.700000,6738441,32316.12,104786,
2020-04-27,HCLTECH,EQ,473.100000,485.700000,467.250000,483.100000,468.100000,2914600,13946.16,66778,
2020-04-28,HCLTECH,EQ,489.000000,489.000000,469.450000,471.100000,483.100000,4262239,20198.52,58064,
2020-04-29,HCLTECH,EQ,474.800000,501.000000,470.200000,491.750000,471.100000,3849156,18541.21,74523,
2020-04-30,HCLTECH,EQ,506.500000,565.500000,501.000000,543.550000,491.750000,8035698,42389.30,142686,
2020-05-04,HCLTECH,EQ,527.500000,527.500000,508.200000,514.250000,543.550000,7032553,36144.83,143067,
