date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HDFCAMC,EQ,1599.025000,1607.475000,1584.250000,1588.700000,1599.850000,435310,6939.18,18149,
2020-01-02,HDFCAMC,EQ,1585.625000,1606.000000,1580.325000,1585.900000,1588.700000,644782,10254.92,26019,
2020-01-03,HDFCAMC,EQ,1585.000000,1609.225000,1582.600000,1595.150000,1585.900000,684400,10932.53,25517,
2020-01-06,HDFCAMC,EQ,1581.400000,1583.975000,1518.025000,1531.825000,1595.150000,1206376,18582.87,59791,
2020-01-07,HDFCAMC,EQ,1541.000000,1575.000000,1538.000000,1547.475000,1531.825000,764634,11899.37,30651,
2020-01-08,HDFCAMC,EQ,1512.600000,1554.500000,1501.125000,1550.700000,1547.475000,745164,11444.94,31006,
2020-01-09,HDFCAMC,EQ,1574.225000,1587.500000,1557.500000,1565.725000,1550.700000,567604,8922.29,35416,
2020-01-10,HDFCAMC,EQ,1563.000000,1567.500000,1535.500000,1539.700000,1565.725000,728918,11268.03,43872,
2020-01-13,HDFCAMC,EQ,1545.000000,1555.000000,1527.500000,1531.050000,1539.700000,643896,9892.01,25226,
2020-01-14,HDFCAMC,EQ,1537.500000,1577.000000,1531.825000,1571.050000,1531.050000,933256,14571.52,39713,
2020-01-15,HDFCAMC,EQ,1577.000000,1605.500000,1572.525000,1602.075000,1571.050000,733022,11675.36,26759,
2020-01-16,HDFCAMC,EQ,1611.000000,1629.875000,1608.800000,1622.400000,1602.075000,742112,12028.47,31118,
2020-01-17,HDFCAMC,EQ,1628.950000,1635.200000,1620.525000,1631.625000,1622.400000,486016,7928.99,18249,
2020-01-20,HDFCAMC,EQ,1639.800000,1642.500000,1601.700000,1622.500000,1631.625000,520502,8467.17,21196,
2020-01-21,HDFCAMC,EQ,1614.000000,1620.000000,1586.000000,1589.725000,1622.500000,724472,11617.22,33178,
2020-01-22,HDFCAMC,EQ,1605.000000,1631.000000,1570.000000,1588.875000,1589.725000,1320400,21104.86,65013,
2020-01-23,HDFCAMC,EQ,1585.700000,1620.000000,1585.700000,1611.675000,1588.875000,871544,13960.24,29046,
2020-01-24,HDFCAMC,EQ,1612.500000,1622.175000,1597.000000,1604.750000,1611.675000,1010980,16223.27,18586,
2020-01-27,HDFCAMC,EQ,1599.450000,1602.000000,1581.400000,1589.775000,1604.750000,345716,5502.15,16647,
2020-01-28,HDFCAMC,EQ,1595.000000,1609.900000,1589.000000,1596.500000,1589.775000,524968,8386.64,32596,
2020-01-29,HDFCAMC,EQ,1599.850000,1602.500000,1581.500000,1588.825000,1596.500000,266558,4248.41,12650,
2020-01-30,HDFCAMC,EQ,1590.500000,1600.500000,1577.425000,1594.800000,1588.825000,449614,7144.58,24085,
2020-01-31,HDFCAMC,EQ,1590.000000,1597.000000,1580.000000,1587.100000,1594.800000,392250,6226.18,21282,
2020-02-03,HDFCAMC,EQ,1500.000000,1545.975000,1496.250000,1537.600000,1527.450000,635012,9714.03,31434,
2020-02-04,HDFCAMC,EQ,1545.300000,1605.800000,1545.300000,1592.950000,1537.600000,748718,11812.03,35481,
2020-02-05,HDFCAMC,EQ,1602.400000,1615.000000,1587.500000,1594.900000,1592.950000,724240,11590.14,36301,
2020-02-06,HDFCAMC,EQ,1602.500000,1667.500000,1582.800000,1659.050000,1594.900000,1932304,31597.73,57492,
2020-02-07,HDFCAMC,EQ,1672.500000,1689.100000,1646.575000,1656.950000,1659.050000,1194750,19983.03,56392,
2020-02-10,HDFCAMC,EQ,1660.000000,1668.950000,1639.375000,1651.250000,1656.950000,546502,9033.70,22144,
2020-02-11,HDFCAMC,EQ,1665.000000,1709.000000,1657.775000,1662.075000,1651.250000,1194614,20132.91,48589,
2020-02-12,HDFCAMC,EQ,1668.400000,1691.675000,1665.000000,1678.950000,1662.075000,614000,10310.67,29777,
2020-02-13,HDFCAMC,EQ,1680.000000,1684.975000,1659.000000,1673.325000,1678.950000,413392,6902.88,16452,
2020-02-14,HDFCAMC,EQ,1681.700000,1689.000000,1659.000000,1663.500000,1673.325000,414046,6944.30,18161,
2020-02-17,HDFCAMC,EQ,1663.500000,1667.825000,1604.375000,1622.150000,1663.500000,344906,5617.37,19995,
2020-02-18,HDFCAMC,EQ,1622.500000,1623.000000,1591.000000,1610.325000,1622.150000,397028,6379.96,17673,
2020-02-19,HDFCAMC,EQ,1618.000000,1687.500000,1618.000000,1679.150000,1610.325000,1007270,16786.13,41422,
2020-02-20,HDFCAMC,EQ,1686.000000,1723.300000,1672.500000,1691.900000,1679.150000,986198,16806.01,42826,
2020-02-24,HDFCAMC,EQ,1680.000000,1694.975000,1631.050000,1639.125000,1691.900000,550278,9158.58,26595,
2020-02-25,HDFCAMC,EQ,1649.000000,1672.500000,1626.150000,1632.250000,1639.125000,442664,7294.15,24838,
2020-02-26,HDFCAMC,EQ,1625.000000,1657.500000,1612.500000,1636.875000,1632.250000,791892,12968.16,33015,
2020-02-27,HDFCAMC,EQ,1631.500000,1632.500000,1593.500000,1623.325000,1636.875000,556550,8998.12,35915,
2020-02-28,HDFCAMC,EQ,1575.000000,1589.475000,1550.000000,1570.700000,1623.325000,827372,12996.63,41156,
2020-03-02,HDFCAMC,EQ,1605.000000,1610.000000,1509.525000,1525.650000,1570.700000,887300,13825.03,43553,
2020-03-03,HDFCAMC,EQ,1528.000000,1551.000000,1513.425000,1531.050000,1525.650000,571364,8756.98,37423,
2020-03-04,HDFCAMC,EQ,1540.000000,1540.000000,1497.500000,1508.625000,1531.050000,632772,9580.84,30836,
2020-03-05,HDFCAMC,EQ,1515.000000,1546.200000,1508.850000,1525.875000,1508.625000,540190,8246.46,28124,
2020-03-06,HDFCAMC,EQ,1450.000000,1499.500000,1435.000000,1486.700000,1525.875000,753686,11133.07,51394,
2020-03-09,HDFCAMC,EQ,1450.000000,1469.950000,1388.375000,1424.375000,1486.700000,934292,13309.53,49723,
2020-03-11,HDFCAMC,EQ,1430.050000,1481.225000,1413.000000,1460.975000,1424.375000,770736,11213.18,53998,
2020-03-12,HDFCAMC,EQ,1410.000000,1410.000000,1217.750000,1238.650000,1460.975000,1568250,20447.98,83727,
2020-03-13,HDFCAMC,EQ,1083.000000,1399.500000,1001.050000,1340.475000,1238.650000,2160674,27515.31,103833,
2020-03-16,HDFCAMC,EQ,1275.000000,1340.000000,1213.150000,1258.675000,1340.475000,975610,12508.67,63045,
2020-03-17,HDFCAMC,EQ,1277.500000,1312.000000,1205.000000,1221.000000,1258.675000,989384,12456.69,57037,
2020-03-18,HDFCAMC,EQ,1214.975000,1250.000000,1105.775000,1152.850000,1221.000000,1975976,22578.54,81982,
2020-03-19,HDFCAMC,EQ,1094.525000,1160.000000,1035.000000,1149.725000,1152.850000,1509514,16936.23,92667,
2020-03-20,HDFCAMC,EQ,1156.500000,1266.500000,1136.150000,1211.850000,1149.725000,1424386,17319.36,77667,
2020-03-23,HDFCAMC,EQ,1025.000000,1150.000000,1025.000000,1055.825000,1211.850000,1199498,12981.71,97641,
2020-03-24,HDFCAMC,EQ,1095.450000,1126.975000,1000.000000,1013.075000,1055.825000,1274186,13160.90,75226,
2020-03-25,HDFCAMC,EQ,1013.000000,1065.000000,981.000000,1019.475000,1013.075000,1324476,13496.13,63991,
2020-03-26,HDFCAMC,EQ,1044.500000,1125.000000,1025.000000,1072.525000,1019.475000,1637880,17609.95,73943,
2020-03-27,HDFCAMC,EQ,1122.525000,1124.975000,1035.000000,1041.725000,1072.525000,1353740,14620.70,77618,
2020-03-30,HDFCAMC,EQ,1005.000000,1041.375000,985.000000,1024.550000,1041.725000,885944,9074.72,42060,
2020-03-31,HDFCAMC,EQ,1052.500000,1069.000000,1025.725000,1056.400000,1024.550000,931970,9724.94,60042,
2020-04-01,HDFCAMC,EQ,1062.500000,1110.000000,1057.500000,1092.875000,1056.400000,837378,9057.24,65544,
2020-04-03,HDFCAMC,EQ,1095.000000,1112.000000,1067.500000,1088.575000,1092.875000,1040514,11344.44,85741,
2020-04-07,HDFCAMC,EQ,1125.000000,1127.500000,1090.825000,1121.525000,1088.575000,1353690,15031.35,84888,
2020-04-08,HDFCAMC,EQ,1109.500000,1220.000000,1107.025000,1159.375000,1121.525000,1202072,14134.36,63569,
2020-04-09,HDFCAMC,EQ,1185.000000,1242.500000,1176.600000,1223.625000,1159.375000,737936,9011.94,53754,
2020-04-13,HDFCAMC,EQ,1225.000000,1292.000000,1181.000000,1272.775000,1223.625000,1038662,12982.32,49624,
2020-04-15,HDFCAMC,EQ,1292.700000,1354.750000,1292.700000,1308.050000,1272.775000,1186810,15707.69,94250,
2020-04-16,HDFCAMC,EQ,1315.000000,1340.000000,1281.075000,1300.250000,1308.050000,778280,10247.16,47426,
2020-04-17,HDFCAMC,EQ,1339.500000,1365.000000,1325.000000,1338.475000,1300.250000,613492,8230.47,43039,
2020-04-20,HDFCAMC,EQ,1350.000000,1410.000000,1350.000000,1396.425000,1338.475000,728470,10048.56,46262,
2020-04-21,HDFCAMC,EQ,1357.500000,1365.000000,1305.000000,1313.200000,1396.425000,959788,12742.68,64519,
2020-04-22,HDFCAMC,EQ,1299.000000,1323.000000,1287.500000,1313.125000,1313.200000,813344,10649.94,37944,
2020-04-23,HDFCAMC,EQ,1313.450000,1335.575000,1287.750000,1295.600000,1313.125000,592260,7791.00,53188,
2020-04-24,HDFCAMC,EQ,1255.500000,1259.500000,1181.275000,1213.875000,1295.600000,1245564,15150.40,69102,
2020-04-27,HDFCAMC,EQ,1208.000000,1310.075000,1050.000000,1276.725000,1213.875000,2263056,28380.87,87103,
2020-04-28,HDFCAMC,EQ,1292.500000,1319.000000,1241.800000,1248.325000,1276.725000,829104,10498.04,40616,
2020-04-29,HDFCAMC,EQ,1257.000000,1274.675000,1230.000000,1255.750000,1248.325000,833948,10478.44,48159,
2020-04-30,HDFCAMC,EQ,1277.500000,1287.950000,1253.000000,1265.375000,1255.750000,919808,11700.74,44056,
2020-05-04,HDFCAMC,EQ,1207.500000,1287.000000,1205.025000,1277.400000,1265.375000,1297212,16330.47,64659,
2020-05-05,HDFCAMC,EQ,1299.500000,1299.500000,1255.500000,1264.175000,1277.400000,515086,6575.87,28712,
2020-05-06,HDFCAMC,EQ,1272.475000,1300.000000,1251.500000,1295.775000,1264.175000,463972,5972.99,35683,
2020-05-07,HDFCAMC,EQ,1285.025000,1327.500000,1285.025000,1318.175000,1295.775000,471472,6214.74,21481,
2020-05-08,HDFCAMC,EQ,1325.100000,1350.000000,1279.250000,1309.625000,1318.175000,793122,10513.89,37066,
2020-05-11,HDFCAMC,EQ,1262.500000,1322.975000,1250.650000,1271.375000,1309.625000,934448,12015.33,41824,
2020-05-12,HDFCAMC,EQ,1279.000000,1279.975000,1237.025000,1266.425000,1271.375000,537930,6755.05,27802,
2020-05-13,HDFCAMC,EQ,1303.000000,1330.000000,1265.000000,1273.825000,1266.425000,444760,5726.31,21641,
2020-05-14,HDFCAMC,EQ,1274.900000,1274.900000,1245.225000,1250.625000,1273.825000,300166,3780.82,20826,
2020-05-15,HDFCAMC,EQ,1250.500000,1279.475000,1228.000000,1263.900000,1250.625000,583156,7324.39,33638,
2020-05-18,HDFCAMC,EQ,1265.000000,1280.000000,1236.000000,1244.050000,1263.900000,501606,6304.75,27459,
