date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HDFCBANK,EQ,638.050000,640.000000,635.300000,639.300000,636.050000,3673698,23450.01,46625,
2020-01-02,HDFCBANK,EQ,639.500000,644.000000,639.500000,643.375000,639.300000,6137166,39417.92,104570,
2020-01-03,HDFCBANK,EQ,641.100000,642.500000,631.800000,634.200000,643.375000,10855550,68958.86,157066,
2020-01-06,HDFCBANK,EQ,630.000000,630.900000,618.000000,620.475000,634.200000,10890186,67913.48,155007,
2020-01-07,HDFCBANK,EQ,629.450000,635.725000,626.125000,630.300000,620.475000,14724494,92873.02,189026,
2020-01-08,HDFCBANK,EQ,623.475000,631.075000,620.025000,628.650000,630.300000,11332110,71036.12,141795,
2020-01-09,HDFCBANK,EQ,632.500000,637.900000,631.550000,635.700000,628.650000,9546316,60679.65,125829,
2020-01-10,HDFCBANK,EQ,642.050000,643.450000,637.550000,641.350000,635.700000,9214580,59070.37,123583,
2020-01-13,HDFCBANK,EQ,641.350000,648.250000,638.000000,643.000000,641.350000,7451568,48037.56,107121,
2020-01-14,HDFCBANK,EQ,644.500000,646.275000,638.750000,644.750000,643.000000,7886290,50662.04,91722,
2020-01-15,HDFCBANK,EQ,643.200000,643.975000,637.050000,642.125000,644.750000,11787448,75476.49,105548,
2020-01-16,HDFCBANK,EQ,641.025000,645.500000,639.675000,643.825000,642.125000,7150400,45952.67,93131,
2020-01-17,HDFCBANK,EQ,640.875000,642.450000,635.950000,639.075000,643.825000,16918814,108059.02,136379,
2020-01-20,HDFCBANK,EQ,652.425000,652.425000,626.250000,627.450000,639.075000,22178450,140278.28,245672,
2020-01-21,HDFCBANK,EQ,625.000000,625.000000,619.200000,622.175000,627.450000,14984804,93216.21,216589,
2020-01-22,HDFCBANK,EQ,624.025000,627.500000,617.200000,620.425000,622.175000,18368310,114192.77,146555,
2020-01-23,HDFCBANK,EQ,620.000000,623.425000,615.500000,622.425000,620.425000,11508920,71409.06,176401,
2020-01-24,HDFCBANK,EQ,623.000000,627.000000,619.550000,622.275000,622.425000,11831756,73787.71,138884,
2020-01-27,HDFCBANK,EQ,617.500000,617.500000,605.875000,606.600000,622.275000,18888552,115311.93,268331,
2020-01-28,HDFCBANK,EQ,609.400000,613.900000,606.625000,611.600000,606.600000,13412158,81905.99,219199,
2020-01-29,HDFCBANK,EQ,612.650000,621.000000,611.125000,617.925000,611.600000,13788350,85143.72,155174,
2020-01-30,HDFCBANK,EQ,619.475000,619.475000,608.600000,613.025000,617.925000,12111984,74170.91,195593,
2020-01-31,HDFCBANK,EQ,615.725000,618.900000,610.125000,613.150000,613.025000,11178268,68760.01,169641,
2020-02-03,HDFCBANK,EQ,598.500000,598.975000,588.850000,596.400000,599.350000,13077010,77720.96,251382,
2020-02-04,HDFCBANK,EQ,599.000000,617.000000,599.000000,614.900000,596.400000,20897704,127685.29,173447,
2020-02-05,HDFCBANK,EQ,617.450000,624.000000,613.650000,622.325000,614.900000,18020682,111495.65,150882,
2020-02-06,HDFCBANK,EQ,622.325000,624.350000,618.600000,619.900000,622.325000,11827550,73449.82,126190,
2020-02-07,HDFCBANK,EQ,623.000000,623.500000,615.800000,621.100000,619.900000,6815448,42194.87,81299,
2020-02-10,HDFCBANK,EQ,621.475000,621.475000,613.025000,620.150000,621.100000,9219834,56963.88,105140,
2020-02-11,HDFCBANK,EQ,621.650000,627.500000,619.025000,620.300000,620.150000,11613520,72398.73,98063,
2020-02-12,HDFCBANK,EQ,622.600000,626.450000,622.025000,624.500000,620.300000,6297930,39343.83,87413,
2020-02-13,HDFCBANK,EQ,629.950000,629.950000,616.800000,620.700000,624.500000,9112140,56584.32,97099,
2020-02-14,HDFCBANK,EQ,621.600000,624.200000,607.500000,609.675000,620.700000,14688858,90173.59,167779,
2020-02-17,HDFCBANK,EQ,612.500000,616.500000,607.225000,608.575000,609.675000,10152690,62005.35,157333,
2020-02-18,HDFCBANK,EQ,608.450000,609.250000,601.750000,606.625000,608.575000,10529116,63678.73,119172,
2020-02-19,HDFCBANK,EQ,611.250000,615.000000,606.950000,613.600000,606.625000,10012268,61159.09,101692,
2020-02-20,HDFCBANK,EQ,615.000000,615.000000,607.050000,608.550000,613.600000,11123414,67929.70,146273,
2020-02-24,HDFCBANK,EQ,604.475000,607.375000,600.000000,604.975000,608.550000,16568084,99877.54,199969,
2020-02-25,HDFCBANK,EQ,602.000000,604.500000,599.000000,600.150000,604.975000,13886680,83394.58,193249,
2020-02-26,HDFCBANK,EQ,598.750000,602.350000,592.825000,599.625000,600.150000,13814786,82549.56,191519,
