date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HDFCLIFE,EQ,623.000000,626.000000,616.350000,621.450000,626.050000,1749377,10853.34,69565,
2020-01-02,HDFCLIFE,EQ,622.700000,638.800000,618.400000,634.250000,621.450000,1973981,12465.91,48203,
2020-01-03,HDFCLIFE,EQ,631.000000,637.450000,626.400000,630.700000,634.250000,2401828,15157.53,40553,
2020-01-06,HDFCLIFE,EQ,627.400000,627.400000,611.500000,619.550000,630.700000,4175516,25930.94,63567,
2020-01-07,HDFCLIFE,EQ,623.600000,643.700000,623.600000,629.950000,619.550000,2827658,17879.71,46697,
2020-01-08,HDFCLIFE,EQ,622.000000,631.800000,618.500000,628.850000,629.950000,2248332,14037.14,36564,
2020-01-09,HDFCLIFE,EQ,635.000000,636.500000,627.800000,631.500000,628.850000,1338705,8461.78,41299,
2020-01-10,HDFCLIFE,EQ,632.400000,634.000000,618.750000,623.100000,631.500000,2181852,13641.13,49891,
2020-01-13,HDFCLIFE,EQ,627.900000,633.050000,623.600000,625.400000,623.100000,1161466,7280.99,58017,
2020-01-14,HDFCLIFE,EQ,626.500000,627.000000,612.750000,614.250000,625.400000,2109229,13070.54,63246,
2020-01-15,HDFCLIFE,EQ,614.000000,620.500000,612.750000,616.550000,614.250000,1621297,9993.64,55931,
2020-01-16,HDFCLIFE,EQ,624.000000,625.000000,605.800000,607.500000,616.550000,3196222,19572.47,77222,
2020-01-17,HDFCLIFE,EQ,607.500000,611.550000,601.700000,607.650000,607.500000,2313300,14045.65,57721,
2020-01-20,HDFCLIFE,EQ,611.000000,612.450000,597.100000,598.250000,607.650000,1870028,11261.91,49916,
2020-01-21,HDFCLIFE,EQ,595.700000,609.700000,594.150000,602.000000,598.250000,1597879,9653.98,44659,
2020-01-22,HDFCLIFE,EQ,604.900000,616.500000,602.650000,612.750000,602.000000,2066862,12644.18,52811,
2020-01-23,HDFCLIFE,EQ,614.300000,621.900000,611.500000,616.000000,612.750000,1685313,10411.06,40823,
2020-01-24,HDFCLIFE,EQ,607.900000,611.250000,602.800000,607.250000,616.000000,2188192,13272.76,55472,
2020-01-27,HDFCLIFE,EQ,604.800000,605.700000,598.100000,599.700000,607.250000,1531808,9215.20,40945,
2020-01-28,HDFCLIFE,EQ,601.000000,611.900000,599.000000,603.750000,599.700000,1651481,10023.84,44253,
2020-01-29,HDFCLIFE,EQ,605.950000,611.000000,602.250000,605.050000,603.750000,1324538,8032.84,48342,
2020-01-30,HDFCLIFE,EQ,605.900000,608.550000,597.150000,600.450000,605.050000,1060111,6392.28,44703,
2020-01-31,HDFCLIFE,EQ,603.100000,604.450000,597.300000,599.200000,600.450000,1260667,7571.90,53041,
2020-02-03,HDFCLIFE,EQ,553.000000,573.000000,527.500000,565.300000,562.400000,9688974,54075.30,173075,
2020-02-04,HDFCLIFE,EQ,568.000000,578.450000,555.550000,573.100000,565.300000,3116053,17699.69,85003,
2020-02-05,HDFCLIFE,EQ,574.400000,586.350000,565.000000,583.450000,573.100000,2739852,15853.63,65615,
2020-02-06,HDFCLIFE,EQ,587.000000,598.700000,587.000000,593.650000,583.450000,2299958,13645.70,47448,
2020-02-07,HDFCLIFE,EQ,593.500000,600.000000,589.000000,595.700000,593.650000,1185529,7065.81,62511,
2020-02-10,HDFCLIFE,EQ,596.000000,598.900000,584.500000,588.050000,595.700000,1366499,8080.03,43003,
2020-02-11,HDFCLIFE,EQ,589.750000,594.500000,575.800000,583.500000,588.050000,1545054,9034.41,43482,
2020-02-12,HDFCLIFE,EQ,585.600000,594.700000,563.600000,578.350000,583.500000,3303107,19058.83,86165,
2020-02-13,HDFCLIFE,EQ,576.500000,582.250000,568.500000,577.200000,578.350000,2107487,12110.30,68550,
2020-02-14,HDFCLIFE,EQ,578.900000,581.500000,572.000000,573.950000,577.200000,2332181,13478.89,46702,
2020-02-17,HDFCLIFE,EQ,574.900000,575.000000,564.050000,565.900000,573.950000,918309,5236.11,28081,
2020-02-18,HDFCLIFE,EQ,564.800000,565.350000,556.000000,562.600000,565.900000,1231246,6908.79,74693,
