date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HINDALCO,EQ,216.150000,217.450000,213.200000,214.300000,216.150000,5085208,10929.35,32236,
2020-01-02,HINDALCO,EQ,216.000000,221.200000,216.000000,220.150000,214.300000,15238841,33254.10,143217,
2020-01-03,HINDALCO,EQ,219.300000,219.950000,216.050000,216.450000,220.150000,8658243,18829.84,66849,
2020-01-06,HINDALCO,EQ,215.000000,215.650000,208.050000,209.300000,216.450000,7798846,16444.74,60487,
2020-01-07,HINDALCO,EQ,210.550000,213.200000,207.700000,208.850000,209.300000,12767569,26866.92,67553,
2020-01-08,HINDALCO,EQ,206.000000,208.650000,204.500000,207.400000,208.850000,12470053,25758.78,65064,
2020-01-09,HINDALCO,EQ,211.500000,211.950000,208.900000,210.750000,207.400000,8676205,18263.82,66672,
2020-01-10,HINDALCO,EQ,212.300000,214.200000,210.200000,211.500000,210.750000,7800086,16549.64,50669,
2020-01-13,HINDALCO,EQ,212.800000,213.000000,209.500000,211.200000,211.500000,6614653,13975.74,37968,
2020-01-14,HINDALCO,EQ,212.500000,214.750000,210.800000,211.950000,211.200000,7981507,16960.01,38799,
2020-01-15,HINDALCO,EQ,211.100000,215.000000,210.000000,213.650000,211.950000,9564560,20394.14,54188,
2020-01-16,HINDALCO,EQ,214.000000,214.750000,209.000000,209.650000,213.650000,6986058,14705.61,33488,
2020-01-17,HINDALCO,EQ,209.500000,212.000000,208.150000,210.050000,209.650000,8678002,18251.31,65564,
2020-01-20,HINDALCO,EQ,210.100000,210.800000,206.750000,207.300000,210.050000,3977566,8277.90,42456,
2020-01-21,HINDALCO,EQ,206.000000,208.500000,204.650000,205.150000,207.300000,4479791,9239.80,38494,
2020-01-22,HINDALCO,EQ,205.600000,207.800000,203.000000,203.600000,205.150000,6268889,12873.72,46260,
2020-01-23,HINDALCO,EQ,203.600000,205.350000,202.750000,204.600000,203.600000,5560681,11346.82,37066,
2020-01-24,HINDALCO,EQ,204.500000,207.700000,202.250000,205.400000,204.600000,5749852,11819.29,35101,
2020-01-27,HINDALCO,EQ,203.550000,203.550000,197.400000,198.250000,205.400000,7942736,15867.84,65835,
2020-01-28,HINDALCO,EQ,199.400000,199.400000,194.200000,196.000000,198.250000,6308211,12388.38,53007,
2020-01-29,HINDALCO,EQ,197.650000,200.400000,197.100000,197.750000,196.000000,8978837,17853.90,75257,
2020-01-30,HINDALCO,EQ,197.300000,197.750000,192.700000,193.450000,197.750000,8588693,16777.45,81727,
2020-01-31,HINDALCO,EQ,194.800000,195.150000,188.250000,189.350000,193.450000,6008376,11497.99,41427,
2020-02-03,HINDALCO,EQ,183.900000,185.600000,180.300000,181.800000,184.400000,7678833,14005.19,39146,
2020-02-04,HINDALCO,EQ,183.000000,190.350000,183.000000,189.250000,181.800000,9235507,17323.06,50911,
2020-02-05,HINDALCO,EQ,190.100000,197.550000,188.300000,196.300000,189.250000,7411014,14303.27,40302,
