date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,HINDZINC,EQ,263.500000,264.375000,262.000000,262.625000,262.062500,71033,186.77,1917,
2020-01-02,HINDZINC,EQ,264.250000,268.687500,263.187500,267.687500,262.625000,439866,1175.35,11848,
2020-01-03,HINDZINC,EQ,267.500000,271.125000,266.375000,269.062500,267.687500,653574,1760.96,15442,
2020-01-06,HINDZINC,EQ,270.500000,270.500000,262.500000,264.812500,269.062500,257629,682.22,5142,
2020-01-07,HINDZINC,EQ,265.750000,269.500000,262.750000,266.312500,264.812500,207413,553.20,4442,
2020-01-08,HINDZINC,EQ,263.750000,265.250000,261.875000,263.750000,266.312500,289674,763.80,8117,
2020-01-09,HINDZINC,EQ,269.125000,269.125000,264.187500,266.562500,263.750000,304050,808.71,8456,
2020-01-10,HINDZINC,EQ,268.750000,280.562500,266.250000,273.875000,266.562500,1765655,4848.98,19259,
2020-01-13,HINDZINC,EQ,274.562500,277.500000,267.750000,269.750000,273.875000,438258,1191.87,8145,
2020-01-14,HINDZINC,EQ,270.000000,273.375000,266.562500,267.562500,269.750000,1663380,4511.93,13134,
2020-01-15,HINDZINC,EQ,267.500000,273.625000,266.875000,269.187500,267.562500,543991,1469.19,13879,
2020-01-16,HINDZINC,EQ,271.250000,273.125000,268.937500,269.687500,269.187500,333983,903.35,14839,
2020-01-17,HINDZINC,EQ,271.250000,274.500000,270.437500,271.187500,269.687500,1019603,2769.91,23236,
2020-01-20,HINDZINC,EQ,273.437500,280.000000,268.187500,270.437500,271.187500,1355293,3706.08,20441,
2020-01-21,HINDZINC,EQ,267.500000,271.000000,264.562500,265.500000,270.437500,439424,1170.82,10203,
2020-01-22,HINDZINC,EQ,266.250000,268.375000,259.625000,261.500000,265.500000,460919,1208.54,13481,
2020-01-23,HINDZINC,EQ,262.812500,263.375000,259.375000,260.812500,261.500000,377628,986.39,13440,
2020-01-24,HINDZINC,EQ,262.375000,262.375000,259.375000,259.812500,260.812500,446418,1161.93,12680,
2020-01-27,HINDZINC,EQ,259.937500,260.125000,250.000000,251.250000,259.812500,738254,1885.19,20025,
2020-01-28,HINDZINC,EQ,251.437500,254.250000,246.562500,248.437500,251.250000,489626,1220.71,14996,
2020-01-29,HINDZINC,EQ,250.000000,253.437500,247.500000,248.187500,248.437500,473521,1184.59,7664,
2020-01-30,HINDZINC,EQ,249.687500,249.687500,241.875000,243.375000,248.187500,551340,1356.65,14173,
2020-01-31,HINDZINC,EQ,243.937500,245.875000,242.062500,242.625000,243.375000,579989,1414.57,9852,
2020-02-03,HINDZINC,EQ,239.500000,240.937500,235.187500,236.750000,239.750000,262058,623.14,11303,
2020-02-04,HINDZINC,EQ,239.625000,243.625000,237.500000,241.187500,236.750000,380525,917.04,9177,
2020-02-05,HINDZINC,EQ,241.500000,243.687500,236.875000,238.437500,241.187500,546239,1313.22,21747,
2020-02-06,HINDZINC,EQ,242.125000,248.375000,239.875000,240.937500,238.437500,693734,1687.88,19860,
2020-02-07,HINDZINC,EQ,242.187500,244.500000,240.875000,243.812500,240.937500,270231,656.50,4170,
2020-02-10,HINDZINC,EQ,245.250000,245.937500,239.562500,242.187500,243.812500,237184,574.04,4882,
2020-02-11,HINDZINC,EQ,243.000000,244.875000,240.625000,243.500000,242.187500,166306,404.03,3731,
2020-02-12,HINDZINC,EQ,243.750000,243.937500,239.500000,240.312500,243.500000,124648,300.97,2927,
2020-02-13,HINDZINC,EQ,240.625000,242.125000,237.812500,238.437500,240.312500,119546,285.45,3830,
2020-02-14,HINDZINC,EQ,238.750000,240.000000,237.750000,238.312500,238.437500,110874,264.67,3027,
2020-02-17,HINDZINC,EQ,238.312500,238.312500,235.375000,236.437500,238.312500,108013,255.52,3093,
2020-02-18,HINDZINC,EQ,237.500000,237.500000,230.125000,231.937500,236.437500,259530,604.76,9483,
2020-02-19,HINDZINC,EQ,232.125000,237.000000,230.625000,231.000000,231.937500,223402,520.08,4091,
2020-02-20,HINDZINC,EQ,231.250000,234.625000,226.875000,227.937500,231.000000,312347,722.65,13930,
2020-02-24,HINDZINC,EQ,226.875000,229.000000,224.375000,225.187500,227.937500,564046,1278.54,7402,
2020-02-25,HINDZINC,EQ,225.000000,226.875000,218.750000,222.000000,225.187500,292944,656.34,6351,
2020-02-26,HINDZINC,EQ,218.875000,222.437500,213.562500,216.000000,222.000000,433868,944.17,13429,
2020-02-27,HINDZINC,EQ,212.625000,234.562500,212.500000,228.000000,216.000000,1081833,2436.54,20220,
2020-02-28,HINDZINC,EQ,212.875000,222.187500,212.875000,215.312500,228.000000,512022,1115.40,11831,
2020-03-02,HINDZINC,EQ,216.625000,221.437500,205.000000,209.625000,215.312500,232692,500.84,6367,
2020-03-03,HINDZINC,EQ,212.500000,217.500000,209.750000,216.125000,209.625000,257282,549.39,7707,
2020-03-04,HINDZINC,EQ,215.437500,216.125000,209.000000,211.812500,216.125000,242266,513.40,9946,
2020-03-05,HINDZINC,EQ,215.000000,217.937500,211.250000,211.687500,211.812500,183091,390.70,5784,
2020-03-06,HINDZINC,EQ,208.750000,213.125000,202.375000,204.750000,211.687500,447195,926.51,10348,
2020-03-09,HINDZINC,EQ,201.812500,201.812500,193.000000,199.125000,204.750000,705935,1395.44,19474,
2020-03-11,HINDZINC,EQ,210.687500,210.687500,197.750000,200.000000,199.125000,513634,1043.49,17809,
2020-03-12,HINDZINC,EQ,191.250000,193.750000,175.187500,181.312500,200.000000,1087246,2027.66,27290,
2020-03-13,HINDZINC,EQ,162.312500,187.750000,145.062500,176.437500,181.312500,1441937,2517.60,44625,
2020-03-16,HINDZINC,EQ,170.000000,185.000000,166.500000,172.812500,176.437500,832344,1440.47,30968,
2020-03-17,HINDZINC,EQ,172.500000,177.500000,162.500000,167.625000,172.812500,643523,1107.11,16703,
2020-03-18,HINDZINC,EQ,171.250000,181.750000,158.125000,169.687500,167.625000,663614,1111.43,19429,
2020-03-19,HINDZINC,EQ,166.125000,168.750000,156.562500,159.062500,169.687500,667418,1084.67,13110,
2020-03-20,HINDZINC,EQ,162.500000,178.125000,159.125000,170.312500,159.062500,618166,1019.72,24687,
2020-03-23,HINDZINC,EQ,156.250000,168.750000,153.750000,156.937500,170.312500,546845,873.98,12753,
2020-03-24,HINDZINC,EQ,157.500000,162.500000,156.250000,157.750000,156.937500,622414,984.72,14045,
