date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2024-10-22,HYUNDAI,EQ,1934.000000,1970.000000,1807.000000,1819.600000,1960.000000,28619978,540429.98,996355,
2024-10-23,HYUNDAI,EQ,1815.200000,1928.900000,1810.000000,1896.850000,1819.600000,7729113,145770.81,260804,
2024-10-24,HYUNDAI,EQ,1927.950000,1933.850000,1853.450000,1871.200000,1896.850000,3271622,61948.57,139203,
2024-10-25,HYUNDAI,EQ,1871.000000,1884.250000,1783.000000,1843.750000,1871.200000,3219776,58630.78,165666,
2024-10-28,HYUNDAI,EQ,1843.750000,1848.650000,1795.000000,1803.350000,1843.750000,1341337,24313.99,106334,
2024-10-29,HYUNDAI,EQ,1807.950000,1807.950000,1752.000000,1758.500000,1803.350000,2446675,43182.21,134360,
2024-10-30,HYUNDAI,EQ,1769.950000,1843.100000,1760.650000,1832.050000,1758.500000,1516619,27543.44,69125,
2024-10-31,HYUNDAI,EQ,1823.000000,1842.950000,1815.150000,1822.550000,1832.050000,522279,9527.09,50594,
2024-11-01,HYUNDAI,EQ,1825.000000,1848.000000,1825.000000,1832.300000,1822.550000,158166,2903.21,18027,
2024-11-04,HYUNDAI,EQ,1832.250000,1841.000000,1796.100000,1814.450000,1832.300000,926694,16815.91,80527,
2024-11-05,HYUNDAI,EQ,1802.350000,1840.000000,1800.000000,1828.250000,1814.450000,889751,16261.03,60337,
2024-11-06,HYUNDAI,EQ,1826.000000,1868.400000,1823.100000,1853.500000,1828.250000,903413,16702.62,46740,
2024-11-07,HYUNDAI,EQ,1841.650000,1849.900000,1826.000000,1833.650000,1853.500000,650585,11959.54,69698,
2024-11-08,HYUNDAI,EQ,1830.200000,1847.600000,1809.600000,1840.150000,1833.650000,577813,10591.22,62978,
2024-11-11,HYUNDAI,EQ,1830.000000,1865.000000,1820.000000,1822.050000,1840.150000,445794,8193.81,40937,
2024-11-12,HYUNDAI,EQ,1826.200000,1842.250000,1772.200000,1803.950000,1822.050000,1069276,19269.85,55510,
2024-11-13,HYUNDAI,EQ,1787.000000,1795.000000,1714.000000,1739.950000,1803.950000,1500153,26004.21,119685,
2024-11-14,HYUNDAI,EQ,1749.950000,1779.000000,1716.100000,1765.750000,1739.950000,580587,10177.70,45397,
2024-11-18,HYUNDAI,EQ,1751.900000,1759.000000,1688.500000,1729.800000,1765.750000,1599438,27447.75,130689,
2024-11-19,HYUNDAI,EQ,1733.000000,1849.000000,1729.000000,1829.800000,1729.800000,1824631,33168.36,99461,
2024-11-21,HYUNDAI,EQ,1819.950000,1859.000000,1786.050000,1825.550000,1829.800000,1171989,21460.38,85356,
2024-11-22,HYUNDAI,EQ,1825.550000,1838.000000,1811.250000,1830.200000,1825.550000,436515,7983.06,34969,
2024-11-25,HYUNDAI,EQ,1835.050000,1860.000000,1832.050000,1853.350000,1830.200000,791187,14624.44,58865,
2024-11-26,HYUNDAI,EQ,1854.900000,1911.000000,1853.350000,1880.000000,1853.350000,825461,15590.55,70023,
2024-11-27,HYUNDAI,EQ,1905.300000,1926.600000,1895.000000,1907.450000,1880.000000,894423,17062.51,54428,
2024-11-28,HYUNDAI,EQ,1890.000000,1917.800000,1874.150000,1902.650000,1907.450000,692877,13131.87,65247,
2024-11-29,HYUNDAI,EQ,1905.200000,1939.000000,1897.050000,1916.550000,1902.650000,1301843,24981.61,73881,
2024-12-02,HYUNDAI,EQ,1875.000000,1915.450000,1870.250000,1880.900000,1916.550000,476433,9005.88,32315,
2024-12-03,HYUNDAI,EQ,1885.000000,1889.850000,1825.500000,1849.200000,1880.900000,961607,17805.19,51459,
2024-12-04,HYUNDAI,EQ,1840.250000,1877.000000,1840.250000,1872.200000,1849.200000,640379,11920.87,34997,
2024-12-05,HYUNDAI,EQ,1875.900000,1898.900000,1866.300000,1878.050000,1872.200000,506260,9516.47,32392,
2024-12-06,HYUNDAI,EQ,1876.000000,1880.000000,1853.600000,1858.500000,1878.050000,612872,11391.16,27778,
2024-12-09,HYUNDAI,EQ,1858.500000,1871.000000,1824.000000,1826.650000,1858.500000,403251,7403.27,34465,
2024-12-10,HYUNDAI,EQ,1829.950000,1842.950000,1820.000000,1833.450000,1826.650000,367019,6726.03,34531,
2024-12-11,HYUNDAI,EQ,1840.000000,1840.000000,1819.000000,1823.400000,1833.450000,337783,6160.33,28572,
2024-12-12,HYUNDAI,EQ,1769.050000,1861.000000,1768.650000,1798.600000,1823.400000,1048206,18759.78,57732,
2024-12-13,HYUNDAI,EQ,1800.000000,1808.700000,1760.000000,1772.000000,1798.600000,569711,10110.84,50600,
2024-12-16,HYUNDAI,EQ,1772.000000,1824.100000,1766.250000,1817.400000,1772.000000,545726,9808.26,39662,
2024-12-17,HYUNDAI,EQ,1817.400000,1831.000000,1802.050000,1824.250000,1817.400000,312411,5684.71,25919,
2024-12-18,HYUNDAI,EQ,1820.500000,1822.950000,1790.000000,1795.850000,1824.250000,324766,5844.13,23637,
2024-12-19,HYUNDAI,EQ,1785.150000,1792.000000,1766.000000,1787.450000,1795.850000,430008,7652.47,34097,
2024-12-20,HYUNDAI,EQ,1793.250000,1807.950000,1758.000000,1766.200000,1787.450000,531540,9423.91,48135,
2024-12-23,HYUNDAI,EQ,1779.550000,1786.000000,1738.000000,1752.600000,1766.200000,335306,5878.92,28431,
2024-12-24,HYUNDAI,EQ,1762.100000,1770.000000,1749.350000,1765.200000,1752.600000,192311,3384.39,19927,
2024-12-26,HYUNDAI,EQ,1765.200000,1786.950000,1750.000000,1777.800000,1765.200000,257169,4554.23,27651,
2024-12-27,HYUNDAI,EQ,1777.800000,1805.300000,1776.000000,1792.100000,1777.800000,223552,4002.39,20844,
2024-12-30,HYUNDAI,EQ,1781.400000,1804.850000,1776.000000,1796.600000,1792.100000,211968,3809.46,19351,
2024-12-31,HYUNDAI,EQ,1794.950000,1820.000000,1786.550000,1806.100000,1796.600000,231141,4165.35,24184,
2025-01-01,HYUNDAI,EQ,1800.000000,1805.000000,1791.000000,1799.400000,1806.100000,130344,2345.59,21329,
2025-01-02,HYUNDAI,EQ,1791.300000,1854.000000,1791.300000,1818.650000,1799.400000,624221,11394.73,37118,
2025-01-03,HYUNDAI,EQ,1821.950000,1834.400000,1812.050000,1828.650000,1818.650000,246250,4495.98,24806,
2025-01-06,HYUNDAI,EQ,1811.000000,1849.000000,1797.600000,1801.150000,1828.650000,395362,7167.25,39968,
2025-01-07,HYUNDAI,EQ,1803.050000,1848.900000,1803.050000,1833.000000,1801.150000,925887,16932.18,64540,
2025-01-08,HYUNDAI,EQ,1820.000000,1826.550000,1800.050000,1811.400000,1833.000000,289586,5245.17,24711,
2025-01-09,HYUNDAI,EQ,1802.000000,1807.150000,1766.000000,1785.550000,1811.400000,445286,7927.43,36764,
2025-01-10,HYUNDAI,EQ,1781.000000,1799.000000,1774.400000,1787.600000,1785.550000,543447,9714.75,39619,
2025-01-13,HYUNDAI,EQ,1768.400000,1782.600000,1747.150000,1766.950000,1787.600000,433775,7670.05,47413,
2025-01-14,HYUNDAI,EQ,1766.950000,1807.000000,1764.100000,1782.050000,1766.950000,330495,5924.19,38547,
2025-01-15,HYUNDAI,EQ,1790.000000,1818.000000,1776.000000,1795.500000,1782.050000,569286,10208.13,35921,
2025-01-16,HYUNDAI,EQ,1791.950000,1824.900000,1791.000000,1817.100000,1795.500000,542776,9848.70,32822,
2025-01-17,HYUNDAI,EQ,1765.000000,1815.000000,1738.000000,1789.100000,1817.100000,2441970,43666.80,185056,
2025-01-20,HYUNDAI,EQ,1789.200000,1795.300000,1761.050000,1782.450000,1789.100000,993234,17732.72,80096,
2025-01-21,HYUNDAI,EQ,1784.600000,1801.150000,1738.100000,1745.550000,1782.450000,1036378,18251.53,121267,
2025-01-22,HYUNDAI,EQ,1759.000000,1759.000000,1684.850000,1702.500000,1745.550000,1321964,22567.02,108492,
2025-01-23,HYUNDAI,EQ,1707.000000,1715.000000,1688.150000,1705.100000,1702.500000,937567,15960.47,106216,
2025-01-24,HYUNDAI,EQ,1706.100000,1710.350000,1685.200000,1705.300000,1705.100000,548666,9336.49,67859,
2025-01-27,HYUNDAI,EQ,1695.000000,1695.000000,1636.000000,1643.750000,1705.300000,1538942,25421.20,118525,
2025-01-28,HYUNDAI,EQ,1651.500000,1667.950000,1615.050000,1624.400000,1643.750000,1291382,21234.57,68566,
2025-01-29,HYUNDAI,EQ,1619.950000,1661.350000,1610.650000,1649.500000,1624.400000,676152,11071.44,58867,
2025-01-30,HYUNDAI,EQ,1655.000000,1655.000000,1615.000000,1622.000000,1649.500000,341982,5583.33,38871,
2025-01-31,HYUNDAI,EQ,1638.000000,1686.300000,1630.350000,1677.550000,1622.000000,638701,10674.61,41301,
2025-02-03,HYUNDAI,EQ,1750.850000,1811.900000,1741.300000,1799.900000,1750.450000,3536130,63490.26,128756,
2025-02-04,HYUNDAI,EQ,1801.050000,1850.000000,1801.050000,1844.850000,1799.900000,1154361,21179.40,76149,
2025-02-05,HYUNDAI,EQ,1840.000000,1847.000000,1801.550000,1841.350000,1844.850000,673537,12312.19,66222,
2025-02-06,HYUNDAI,EQ,1830.000000,1834.600000,1791.050000,1825.950000,1841.350000,867707,15770.44,70299,
2025-02-07,HYUNDAI,EQ,1828.950000,1929.000000,1821.050000,1898.200000,1825.950000,2903619,55025.49,158270,
2025-02-10,HYUNDAI,EQ,1887.500000,1887.500000,1845.150000,1854.850000,1898.200000,804255,14957.73,60656,
2025-02-11,HYUNDAI,EQ,1855.000000,1877.400000,1797.800000,1835.700000,1854.850000,1750256,32224.91,100930,
2025-02-12,HYUNDAI,EQ,1876.000000,1898.050000,1789.000000,1804.100000,1835.700000,2325740,42399.43,109789,
2025-02-13,HYUNDAI,EQ,1823.000000,1861.900000,1788.800000,1799.200000,1804.100000,1173472,21373.55,73148,
2025-02-14,HYUNDAI,EQ,1808.850000,1850.000000,1792.000000,1806.300000,1799.200000,1333382,24171.41,70033,
2025-02-17,HYUNDAI,EQ,1805.000000,1855.000000,1758.100000,1843.900000,1806.300000,1994718,36099.42,74472,
2025-02-18,HYUNDAI,EQ,1843.900000,1869.600000,1796.000000,1811.050000,1843.900000,1284671,23443.91,81370,
2025-02-19,HYUNDAI,EQ,1820.000000,1890.300000,1795.650000,1875.950000,1811.050000,1179676,21765.58,55542,
2025-02-20,HYUNDAI,EQ,1867.300000,1875.000000,1835.600000,1853.250000,1875.950000,1021304,18918.10,61712,
2025-02-21,HYUNDAI,EQ,1846.000000,1875.000000,1778.000000,1797.900000,1853.250000,1310998,23852.14,94418,
2025-02-24,HYUNDAI,EQ,1793.000000,1819.200000,1772.450000,1794.500000,1797.900000,978604,17582.45,71398,
2025-02-25,HYUNDAI,EQ,1794.500000,1839.700000,1791.200000,1826.350000,1794.500000,1269628,23112.34,81765,
2025-02-27,HYUNDAI,EQ,1809.000000,1810.400000,1700.000000,1723.000000,1826.350000,1554491,26753.99,116303,
2025-02-28,HYUNDAI,EQ,1760.000000,1813.450000,1656.000000,1729.900000,1723.000000,29179375,504603.77,279572,
2025-03-03,HYUNDAI,EQ,1681.000000,1729.200000,1661.100000,1695.250000,1729.900000,936736,15869.66,63308,
2025-03-04,HYUNDAI,EQ,1695.000000,1729.950000,1688.050000,1712.850000,1695.250000,756354,12966.36,62863,
2025-03-05,HYUNDAI,EQ,1712.850000,1732.250000,1704.300000,1718.100000,1712.850000,506644,8691.09,35266,
2025-03-06,HYUNDAI,EQ,1720.950000,1726.700000,1690.100000,1717.600000,1718.100000,729380,12478.14,46089,
2025-03-07,HYUNDAI,EQ,1703.000000,1723.100000,1703.000000,1715.400000,1717.600000,302079,5181.57,19817,
2025-03-10,HYUNDAI,EQ,1709.000000,1712.000000,1660.000000,1674.500000,1715.400000,769044,12924.56,41445,
2025-03-11,HYUNDAI,EQ,1654.050000,1685.950000,1654.050000,1663.000000,1674.500000,279335,4659.83,25512,
2025-03-12,HYUNDAI,EQ,1678.950000,1684.600000,1642.600000,1653.450000,1663.000000,340034,5628.26,26000,
2025-03-13,HYUNDAI,EQ,1654.000000,1676.400000,1637.000000,1644.450000,1653.450000,738740,12247.53,35680,
2025-03-17,HYUNDAI,EQ,1644.950000,1649.700000,1592.000000,1598.350000,1644.450000,944372,15177.08,87899,
2025-03-18,HYUNDAI,EQ,1600.450000,1607.250000,1551.300000,1580.150000,1598.350000,2189270,34334.64,113354,
2025-03-19,HYUNDAI,EQ,1585.000000,1626.400000,1585.000000,1615.300000,1580.150000,860058,13854.87,46672,
2025-03-20,HYUNDAI,EQ,1648.000000,1653.950000,1605.150000,1630.550000,1615.300000,1180718,19194.78,47921,
2025-03-21,HYUNDAI,EQ,1630.550000,1708.400000,1625.900000,1697.600000,1630.550000,1894623,31525.37,65932,
2025-03-24,HYUNDAI,EQ,1701.600000,1765.700000,1700.000000,1759.000000,1697.600000,1076346,18717.35,58805,
2025-03-25,HYUNDAI,EQ,1770.250000,1771.000000,1708.000000,1740.550000,1759.000000,531717,9216.25,40262,
2025-03-26,HYUNDAI,EQ,1748.000000,1761.000000,1686.700000,1708.700000,1740.550000,1019723,17443.73,85041,
2025-03-27,HYUNDAI,EQ,1691.000000,1819.000000,1680.050000,1758.150000,1708.700000,3241595,56628.75,99815,
2025-03-28,HYUNDAI,EQ,1735.000000,1749.900000,1701.000000,1707.650000,1758.150000,693170,11907.68,52760,
2025-04-01,HYUNDAI,EQ,1706.800000,1733.550000,1700.050000,1703.250000,1707.650000,527047,9021.49,35435,
2025-04-02,HYUNDAI,EQ,1720.000000,1722.350000,1666.150000,1680.400000,1703.250000,649728,10944.85,41571,
2025-04-03,HYUNDAI,EQ,1664.550000,1669.800000,1639.050000,1652.400000,1680.400000,893654,14753.12,57315,
2025-04-04,HYUNDAI,EQ,1658.950000,1670.950000,1625.000000,1639.000000,1652.400000,699970,11548.81,33744,
2025-04-07,HYUNDAI,EQ,1567.550000,1590.000000,1541.700000,1583.200000,1639.000000,1366060,21464.97,74105,
2025-04-08,HYUNDAI,EQ,1592.000000,1605.700000,1581.100000,1592.150000,1583.200000,374427,5967.69,45725,
2025-04-09,HYUNDAI,EQ,1592.150000,1605.750000,1582.550000,1592.550000,1592.150000,269169,4291.17,32337,
2025-04-11,HYUNDAI,EQ,1625.000000,1639.900000,1600.500000,1629.800000,1592.550000,997584,16188.14,53517,
2025-04-15,HYUNDAI,EQ,1641.300000,1659.000000,1640.000000,1653.900000,1629.800000,1173977,19390.04,46049,
2025-04-16,HYUNDAI,EQ,1653.900000,1659.900000,1631.300000,1636.300000,1653.900000,877329,14377.14,37084,
2025-04-17,HYUNDAI,EQ,1639.500000,1699.900000,1639.500000,1661.700000,1636.300000,1440046,23934.00,44401,
2025-04-21,HYUNDAI,EQ,1650.000000,1698.500000,1647.100000,1690.200000,1661.700000,292970,4924.74,29658,
2025-04-22,HYUNDAI,EQ,1695.000000,1709.000000,1684.000000,1703.700000,1690.200000,463480,7867.08,36191,
2025-04-23,HYUNDAI,EQ,1707.700000,1726.400000,1682.000000,1721.400000,1703.700000,2346661,39811.06,45813,
2025-04-24,HYUNDAI,EQ,1722.000000,1730.300000,1713.000000,1719.100000,1721.400000,481511,8280.03,33597,
2025-04-25,HYUNDAI,EQ,1719.000000,1723.000000,1655.900000,1667.700000,1719.100000,1690538,28257.75,34509,
2025-04-28,HYUNDAI,EQ,1651.000000,1667.700000,1635.800000,1661.300000,1667.700000,397009,6569.83,27834,
2025-04-29,HYUNDAI,EQ,1662.000000,1690.000000,1662.000000,1676.600000,1661.300000,597827,10016.15,29391,
2025-04-30,HYUNDAI,EQ,1683.400000,1715.400000,1681.700000,1707.600000,1676.600000,1236921,21073.23,53148,
2025-05-02,HYUNDAI,EQ,1703.500000,1725.000000,1690.000000,1719.200000,1707.600000,983753,16780.25,33994,
2025-05-05,HYUNDAI,EQ,1719.000000,1733.400000,1710.100000,1728.200000,1719.200000,509733,8786.19,28141,
2025-05-06,HYUNDAI,EQ,1728.000000,1755.000000,1711.400000,1740.700000,1728.200000,518493,9023.29,37225,
2025-05-07,HYUNDAI,EQ,1700.000000,1780.000000,1700.000000,1775.500000,1740.700000,578328,10172.61,39141,
2025-05-08,HYUNDAI,EQ,1762.000000,1784.400000,1720.500000,1733.100000,1775.500000,321599,5651.93,34067,
2025-05-09,HYUNDAI,EQ,1697.500000,1742.000000,1690.000000,1734.100000,1733.100000,560109,9630.06,32433,
2025-05-12,HYUNDAI,EQ,1750.400000,1770.200000,1742.300000,1755.900000,1734.100000,410715,7211.50,40399,
