date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ICICIBANK,EQ,539.900000,542.500000,535.700000,536.750000,538.900000,7642793,41118.22,63603,
2020-01-02,ICICIBANK,EQ,536.000000,541.900000,535.850000,540.600000,536.750000,10264223,55369.66,98335,
2020-01-03,ICICIBANK,EQ,538.000000,540.800000,536.250000,538.850000,540.600000,9594690,51663.26,93857,
2020-01-06,ICICIBANK,EQ,537.250000,537.250000,523.800000,525.700000,538.850000,12534334,66120.06,125249,
2020-01-07,ICICIBANK,EQ,531.300000,535.600000,521.650000,522.900000,525.700000,16101835,84809.27,131048,
2020-01-08,ICICIBANK,EQ,516.000000,527.350000,515.000000,525.950000,522.900000,16094310,83959.81,139653,
2020-01-09,ICICIBANK,EQ,530.700000,547.400000,530.300000,546.300000,525.950000,18934019,102573.79,206294,
2020-01-10,ICICIBANK,EQ,544.900000,546.500000,538.500000,540.250000,546.300000,12335407,66928.60,156533,
2020-01-13,ICICIBANK,EQ,539.400000,546.050000,538.000000,538.600000,540.250000,7901800,42758.00,87689,
2020-01-14,ICICIBANK,EQ,536.200000,538.950000,534.150000,537.600000,538.600000,13939440,74774.22,138643,
2020-01-15,ICICIBANK,EQ,535.100000,536.950000,530.650000,535.600000,537.600000,12353176,65868.48,146646,
2020-01-16,ICICIBANK,EQ,533.900000,540.000000,533.200000,537.150000,535.600000,11249232,60352.99,127585,
2020-01-17,ICICIBANK,EQ,534.500000,538.000000,530.600000,532.050000,537.150000,18312609,97894.45,163715,
2020-01-20,ICICIBANK,EQ,533.000000,544.000000,531.000000,534.850000,532.050000,19159996,103072.98,185612,
2020-01-21,ICICIBANK,EQ,532.950000,540.250000,530.200000,531.050000,534.850000,13477994,72127.83,158365,
2020-01-22,ICICIBANK,EQ,531.500000,534.950000,520.750000,522.850000,531.050000,17527408,92149.04,181749,
2020-01-23,ICICIBANK,EQ,521.400000,530.250000,517.050000,527.700000,522.850000,17061293,89586.57,168104,
2020-01-24,ICICIBANK,EQ,529.250000,537.400000,527.000000,533.850000,527.700000,17851868,95020.67,164870,
2020-01-27,ICICIBANK,EQ,538.500000,545.000000,531.500000,537.250000,533.850000,38149166,206177.52,345778,
2020-01-28,ICICIBANK,EQ,538.100000,540.600000,524.450000,528.200000,537.250000,24009224,128166.26,180957,
2020-01-29,ICICIBANK,EQ,531.550000,534.800000,525.300000,526.600000,528.200000,16400827,86958.57,137153,
2020-01-30,ICICIBANK,EQ,527.650000,533.950000,524.150000,532.200000,526.600000,14319317,75691.88,184707,
2020-01-31,ICICIBANK,EQ,530.000000,532.750000,522.400000,525.650000,532.200000,16292578,85935.21,151745,
2020-02-03,ICICIBANK,EQ,504.000000,519.150000,502.000000,515.550000,504.600000,22531888,115816.18,287673,
2020-02-04,ICICIBANK,EQ,520.000000,534.650000,516.650000,530.800000,515.550000,17781475,94027.50,184345,
2020-02-05,ICICIBANK,EQ,529.050000,540.400000,525.700000,539.100000,530.800000,18782476,100552.34,180999,
2020-02-06,ICICIBANK,EQ,540.350000,547.000000,536.250000,541.600000,539.100000,15296851,82888.44,165277,
2020-02-07,ICICIBANK,EQ,540.950000,541.750000,535.150000,536.450000,541.600000,8297149,44643.97,78560,
2020-02-10,ICICIBANK,EQ,538.650000,542.250000,530.500000,533.950000,536.450000,12536053,67224.92,135579,
2020-02-11,ICICIBANK,EQ,537.700000,544.800000,537.500000,539.750000,533.950000,11243552,60880.38,129103,
2020-02-12,ICICIBANK,EQ,545.800000,550.700000,542.700000,549.300000,539.750000,14026335,76685.29,135449,
2020-02-13,ICICIBANK,EQ,549.000000,549.000000,538.000000,541.000000,549.300000,9227235,50033.16,122655,
2020-02-14,ICICIBANK,EQ,541.250000,548.650000,536.550000,545.800000,541.000000,14458649,78713.88,138071,
2020-02-17,ICICIBANK,EQ,543.000000,545.350000,537.750000,541.600000,545.800000,7793293,42228.11,86606,
2020-02-18,ICICIBANK,EQ,541.000000,544.400000,536.000000,541.200000,541.600000,15918303,85959.86,142303,
2020-02-19,ICICIBANK,EQ,543.500000,546.500000,540.500000,544.800000,541.200000,8704234,47318.22,98834,
2020-02-20,ICICIBANK,EQ,545.500000,549.350000,541.800000,547.000000,544.800000,13588526,74245.07,131824,
2020-02-24,ICICIBANK,EQ,539.500000,541.850000,527.550000,529.850000,547.000000,16940750,90480.48,260963,
2020-02-25,ICICIBANK,EQ,532.450000,538.800000,525.300000,530.950000,529.850000,14942960,79573.45,218372,
2020-02-26,ICICIBANK,EQ,526.850000,529.350000,522.200000,523.700000,530.950000,15743918,82708.45,163585,
2020-02-27,ICICIBANK,EQ,522.800000,523.300000,512.650000,515.350000,523.700000,26315054,135708.40,264515,
2020-02-28,ICICIBANK,EQ,501.600000,506.850000,492.200000,497.250000,515.350000,32737933,163411.96,288616,
2020-03-02,ICICIBANK,EQ,508.250000,520.550000,498.450000,506.100000,497.250000,28642076,147168.53,271339,
2020-03-03,ICICIBANK,EQ,509.850000,519.500000,508.500000,514.750000,506.100000,19661945,101167.58,187417,
