date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,IDFCFIRSTB,EQ,45.350000,45.950000,44.950000,45.800000,45.150000,12581227,5726.91,21737,
2020-01-02,IDFCFIRSTB,EQ,46.000000,46.550000,45.500000,46.150000,45.800000,16903047,7773.49,32986,
2020-01-03,IDFCFIRSTB,EQ,46.100000,46.500000,45.150000,45.450000,46.150000,14646549,6703.47,27108,
2020-01-06,IDFCFIRSTB,EQ,45.050000,45.300000,43.500000,43.650000,45.450000,17221990,7599.52,32133,
2020-01-07,IDFCFIRSTB,EQ,44.000000,44.650000,43.000000,43.500000,43.650000,17336782,7597.56,29140,
2020-01-08,IDFCFIRSTB,EQ,43.000000,43.550000,42.600000,43.100000,43.500000,15122383,6510.87,26427,
2020-01-09,IDFCFIRSTB,EQ,43.750000,44.750000,43.500000,44.350000,43.100000,19277585,8524.22,26141,
2020-01-10,IDFCFIRSTB,EQ,44.600000,44.750000,43.800000,43.950000,44.350000,10735748,4754.54,19385,
2020-01-13,IDFCFIRSTB,EQ,44.200000,44.500000,43.900000,44.300000,43.950000,9007779,3982.34,15771,
2020-01-14,IDFCFIRSTB,EQ,44.300000,44.800000,44.000000,44.600000,44.300000,10977076,4879.01,22419,
2020-01-15,IDFCFIRSTB,EQ,44.700000,45.450000,44.100000,45.000000,44.600000,23476674,10553.87,25855,
2020-01-16,IDFCFIRSTB,EQ,45.250000,45.450000,44.850000,45.000000,45.000000,14976576,6766.16,18475,
2020-01-17,IDFCFIRSTB,EQ,43.500000,44.300000,41.350000,43.500000,45.000000,28332556,12266.80,42236,
2020-01-20,IDFCFIRSTB,EQ,45.450000,45.450000,42.700000,43.050000,43.500000,15760822,6842.52,30174,
2020-01-21,IDFCFIRSTB,EQ,43.000000,43.850000,42.950000,43.200000,43.050000,13924250,6035.22,23423,
2020-01-22,IDFCFIRSTB,EQ,43.500000,43.600000,43.050000,43.350000,43.200000,8871732,3844.27,17354,
2020-01-23,IDFCFIRSTB,EQ,43.300000,44.050000,43.050000,43.600000,43.350000,13603990,5932.82,18040,
2020-01-24,IDFCFIRSTB,EQ,43.500000,44.250000,43.500000,44.000000,43.600000,14965229,6578.59,20504,
2020-01-27,IDFCFIRSTB,EQ,43.900000,44.300000,43.350000,43.750000,44.000000,14328490,6288.97,23778,
2020-01-28,IDFCFIRSTB,EQ,43.800000,43.950000,43.050000,43.300000,43.750000,11659396,5080.31,18584,
2020-01-29,IDFCFIRSTB,EQ,43.400000,44.650000,43.400000,44.050000,43.300000,28530084,12614.33,40136,
2020-01-30,IDFCFIRSTB,EQ,42.550000,43.050000,40.250000,40.750000,44.050000,60562619,25189.12,99316,
2020-01-31,IDFCFIRSTB,EQ,41.000000,41.400000,40.200000,40.700000,40.750000,20967183,8547.42,34574,
2020-02-03,IDFCFIRSTB,EQ,39.200000,39.800000,38.800000,39.200000,39.150000,18296730,7183.96,29168,
2020-02-04,IDFCFIRSTB,EQ,39.550000,40.800000,39.300000,40.550000,39.200000,15944397,6388.74,24008,
2020-02-05,IDFCFIRSTB,EQ,40.800000,41.600000,40.450000,41.050000,40.550000,12425347,5112.68,22110,
2020-02-06,IDFCFIRSTB,EQ,41.150000,42.700000,40.900000,42.050000,41.050000,18913697,7913.67,25884,
2020-02-07,IDFCFIRSTB,EQ,42.200000,42.350000,41.650000,42.000000,42.050000,10135694,4258.16,16902,
2020-02-10,IDFCFIRSTB,EQ,42.150000,42.250000,41.100000,41.250000,42.000000,9818382,4074.32,15754,
2020-02-11,IDFCFIRSTB,EQ,41.400000,41.950000,41.300000,41.500000,41.250000,6833482,2844.70,12577,
2020-02-12,IDFCFIRSTB,EQ,41.700000,41.850000,40.700000,40.950000,41.500000,7732846,3182.35,15415,
2020-02-13,IDFCFIRSTB,EQ,40.950000,41.100000,40.650000,40.900000,40.950000,5677699,2319.59,10609,
2020-02-14,IDFCFIRSTB,EQ,40.850000,41.600000,39.450000,39.600000,40.900000,18544193,7473.02,32018,
2020-02-17,IDFCFIRSTB,EQ,39.700000,39.900000,38.750000,38.900000,39.600000,12010682,4711.86,22659,
2020-02-18,IDFCFIRSTB,EQ,38.750000,38.800000,37.750000,38.450000,38.900000,17612378,6719.17,27879,
2020-02-19,IDFCFIRSTB,EQ,39.150000,40.500000,38.900000,39.900000,38.450000,15547341,6151.52,22613,
2020-02-20,IDFCFIRSTB,EQ,39.950000,40.850000,39.450000,40.300000,39.900000,13127946,5299.02,20535,
2020-02-24,IDFCFIRSTB,EQ,39.950000,40.150000,39.200000,39.300000,40.300000,11688001,4637.23,20838,
2020-02-25,IDFCFIRSTB,EQ,39.400000,39.850000,38.850000,39.350000,39.300000,12208845,4797.98,15418,
2020-02-26,IDFCFIRSTB,EQ,39.000000,39.400000,38.800000,38.950000,39.350000,10700264,4184.33,13770,
2020-02-27,IDFCFIRSTB,EQ,38.950000,39.050000,38.300000,38.600000,38.950000,14874412,5748.50,23730,
2020-02-28,IDFCFIRSTB,EQ,37.950000,37.950000,36.600000,36.800000,38.600000,19992719,7415.64,34266,
2020-03-02,IDFCFIRSTB,EQ,37.300000,39.250000,36.900000,37.450000,36.800000,26350398,10088.57,31167,
2020-03-03,IDFCFIRSTB,EQ,38.000000,38.750000,37.450000,37.800000,37.450000,19865882,7538.59,25819,
2020-03-04,IDFCFIRSTB,EQ,38.000000,38.250000,36.650000,37.400000,37.800000,18548658,6931.25,22118,
2020-03-05,IDFCFIRSTB,EQ,37.900000,37.950000,36.800000,37.750000,37.400000,16161886,6056.91,26096,
2020-03-06,IDFCFIRSTB,EQ,35.000000,36.400000,34.550000,36.250000,37.750000,27772906,9861.55,41152,
2020-03-09,IDFCFIRSTB,EQ,35.000000,35.750000,32.800000,33.050000,36.250000,34178051,11587.04,52066,
2020-03-11,IDFCFIRSTB,EQ,33.050000,34.450000,32.650000,33.300000,33.050000,27321721,9218.87,45918,
2020-03-12,IDFCFIRSTB,EQ,32.100000,32.350000,27.200000,27.550000,33.300000,57012428,16609.84,90346,
2020-03-13,IDFCFIRSTB,EQ,24.800000,30.450000,20.700000,29.750000,27.550000,57593079,15615.00,79419,
2020-03-16,IDFCFIRSTB,EQ,27.200000,28.000000,26.050000,26.600000,29.750000,41302590,11147.04,111745,
2020-03-17,IDFCFIRSTB,EQ,26.250000,27.700000,25.000000,25.250000,26.600000,31237027,8224.34,48203,
