date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,INDHOTEL,EQ,145.000000,145.850000,143.600000,144.200000,145.000000,160775,232.34,1834,
2020-01-02,INDHOTEL,EQ,144.600000,151.000000,143.550000,147.600000,144.200000,1657880,2457.61,14333,
2020-01-03,INDHOTEL,EQ,145.500000,147.300000,144.100000,145.900000,147.600000,410983,599.15,4992,
2020-01-06,INDHOTEL,EQ,145.000000,145.800000,140.350000,141.050000,145.900000,416160,592.52,7342,
2020-01-07,INDHOTEL,EQ,142.900000,143.850000,140.550000,140.900000,141.050000,1202154,1704.96,14374,
2020-01-08,INDHOTEL,EQ,140.000000,140.250000,137.400000,139.200000,140.900000,1191802,1655.05,13325,
2020-01-09,INDHOTEL,EQ,140.400000,142.250000,138.800000,139.700000,139.200000,989555,1385.55,9197,
2020-01-10,INDHOTEL,EQ,140.200000,141.350000,136.500000,138.100000,139.700000,946528,1321.27,14053,
2020-01-13,INDHOTEL,EQ,139.850000,139.850000,137.500000,138.000000,138.100000,608348,842.26,10843,
2020-01-14,INDHOTEL,EQ,138.450000,140.650000,136.700000,140.000000,138.000000,2068215,2856.80,7916,
2020-01-15,INDHOTEL,EQ,140.000000,141.500000,136.850000,137.850000,140.000000,891068,1235.23,9517,
2020-01-16,INDHOTEL,EQ,138.450000,141.850000,137.300000,141.250000,137.850000,908345,1268.55,8668,
2020-01-17,INDHOTEL,EQ,141.000000,146.000000,139.300000,145.500000,141.250000,1142899,1643.77,26469,
2020-01-20,INDHOTEL,EQ,145.000000,145.900000,142.500000,143.400000,145.500000,1750451,2509.76,18322,
2020-01-21,INDHOTEL,EQ,141.550000,144.500000,141.550000,144.100000,143.400000,1250565,1790.67,7641,
2020-01-22,INDHOTEL,EQ,143.650000,145.750000,143.500000,144.200000,144.100000,251517,363.09,3037,
2020-01-23,INDHOTEL,EQ,144.450000,146.100000,141.800000,144.200000,144.200000,865884,1245.05,10395,
2020-01-24,INDHOTEL,EQ,144.000000,145.500000,143.800000,145.100000,144.200000,358719,520.32,4402,
2020-01-27,INDHOTEL,EQ,145.000000,147.750000,142.800000,143.250000,145.100000,535829,779.02,7897,
2020-01-28,INDHOTEL,EQ,145.300000,145.300000,139.250000,140.050000,143.250000,1640073,2303.37,30235,
2020-01-29,INDHOTEL,EQ,139.500000,142.350000,139.500000,140.250000,140.050000,613973,861.47,12845,
2020-01-30,INDHOTEL,EQ,141.000000,142.350000,139.550000,140.700000,140.250000,1779356,2508.48,7428,
2020-01-31,INDHOTEL,EQ,142.950000,143.000000,138.250000,142.300000,140.700000,718940,1014.10,9694,
2020-02-03,INDHOTEL,EQ,138.750000,141.650000,137.550000,140.850000,138.700000,602454,847.16,6361,
2020-02-04,INDHOTEL,EQ,141.500000,142.500000,139.350000,140.400000,140.850000,1989998,2805.25,7070,
2020-02-05,INDHOTEL,EQ,141.250000,141.500000,139.200000,140.150000,140.400000,585389,820.38,5037,
2020-02-06,INDHOTEL,EQ,140.200000,142.000000,140.200000,141.550000,140.150000,963024,1358.84,4751,
2020-02-07,INDHOTEL,EQ,142.000000,142.800000,139.400000,140.150000,141.550000,821782,1153.11,21585,
2020-02-10,INDHOTEL,EQ,139.500000,140.500000,137.000000,137.900000,140.150000,899029,1241.84,13201,
