date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,INDIGO,EQ,1333.550000,1347.650000,1330.000000,1333.000000,1333.550000,377625,5050.41,12274,
2020-01-02,INDIGO,EQ,1340.000000,1346.950000,1330.000000,1332.400000,1333.000000,396177,5300.05,10461,
2020-01-03,INDIGO,EQ,1318.500000,1382.500000,1301.400000,1360.950000,1332.400000,3665728,49589.35,95801,
2020-01-06,INDIGO,EQ,1341.000000,1347.900000,1318.000000,1327.100000,1360.950000,1398650,18620.95,35969,
2020-01-07,INDIGO,EQ,1327.150000,1384.000000,1327.150000,1364.050000,1327.100000,1430196,19395.18,41276,
2020-01-08,INDIGO,EQ,1326.050000,1368.000000,1320.000000,1353.100000,1364.050000,1793942,24234.86,46081,
2020-01-09,INDIGO,EQ,1385.000000,1410.000000,1369.200000,1402.200000,1353.100000,1937904,27062.96,53879,
2020-01-10,INDIGO,EQ,1418.000000,1430.900000,1406.350000,1416.300000,1402.200000,1336205,18957.69,42162,
2020-01-13,INDIGO,EQ,1421.300000,1436.000000,1407.650000,1424.150000,1416.300000,1243383,17716.72,39334,
2020-01-14,INDIGO,EQ,1430.000000,1436.400000,1418.000000,1423.250000,1424.150000,810440,11568.49,26284,
2020-01-15,INDIGO,EQ,1425.950000,1453.700000,1416.100000,1445.600000,1423.250000,808672,11589.43,30593,
2020-01-16,INDIGO,EQ,1492.050000,1509.700000,1443.000000,1457.450000,1445.600000,2437625,35780.99,85749,
2020-01-17,INDIGO,EQ,1458.000000,1480.000000,1448.550000,1472.950000,1457.450000,631678,9288.01,19592,
2020-01-20,INDIGO,EQ,1475.000000,1485.000000,1458.050000,1472.350000,1472.950000,528466,7788.46,15180,
2020-01-21,INDIGO,EQ,1460.000000,1462.800000,1426.100000,1438.800000,1472.350000,1294690,18683.45,43882,
2020-01-22,INDIGO,EQ,1440.000000,1474.950000,1428.750000,1468.100000,1438.800000,804058,11656.45,27476,
2020-01-23,INDIGO,EQ,1485.000000,1485.000000,1451.300000,1465.900000,1468.100000,976622,14316.84,38358,
2020-01-24,INDIGO,EQ,1465.000000,1513.350000,1460.200000,1501.500000,1465.900000,1782660,26736.34,71903,
2020-01-27,INDIGO,EQ,1499.000000,1513.400000,1480.250000,1495.750000,1501.500000,1412469,21180.29,42617,
2020-01-28,INDIGO,EQ,1515.000000,1541.000000,1443.700000,1453.750000,1495.750000,6189322,92371.82,170629,
2020-01-29,INDIGO,EQ,1475.000000,1480.350000,1436.550000,1462.100000,1453.750000,1904809,27806.01,52311,
2020-01-30,INDIGO,EQ,1451.000000,1456.950000,1405.000000,1419.200000,1462.100000,1822998,26202.92,46384,
2020-01-31,INDIGO,EQ,1417.000000,1426.950000,1371.000000,1378.250000,1419.200000,1809304,25167.65,65450,
2020-02-03,INDIGO,EQ,1366.550000,1401.700000,1349.300000,1391.800000,1358.150000,1155885,15931.71,32800,
2020-02-04,INDIGO,EQ,1400.000000,1419.950000,1395.000000,1413.000000,1391.800000,597879,8415.68,23657,
2020-02-05,INDIGO,EQ,1421.500000,1455.000000,1407.050000,1450.350000,1413.000000,885473,12685.05,36696,
2020-02-06,INDIGO,EQ,1450.000000,1458.350000,1387.000000,1404.600000,1450.350000,1789881,25222.35,43983,
2020-02-07,INDIGO,EQ,1408.000000,1413.000000,1391.450000,1400.150000,1404.600000,935774,13104.91,23000,
2020-02-10,INDIGO,EQ,1400.000000,1411.800000,1387.450000,1400.850000,1400.150000,758700,10634.92,41271,
2020-02-11,INDIGO,EQ,1411.000000,1416.000000,1384.050000,1391.000000,1400.850000,908662,12712.47,31586,
2020-02-12,INDIGO,EQ,1392.000000,1450.000000,1381.100000,1442.200000,1391.000000,1501808,21436.82,40027,
2020-02-13,INDIGO,EQ,1442.000000,1457.850000,1431.250000,1444.400000,1442.200000,948700,13681.64,26504,
2020-02-14,INDIGO,EQ,1434.800000,1464.800000,1429.700000,1439.100000,1444.400000,822170,11892.99,31312,
2020-02-17,INDIGO,EQ,1441.300000,1465.000000,1436.050000,1455.800000,1439.100000,507315,7377.37,17305,
