date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,INDUSINDBK,EQ,1196.015625,1205.468262,1171.335938,1174.104492,1194.433594,2699382,31907.33,55819,
2020-01-02,INDUSINDBK,EQ,1179.997559,1213.655273,1175.528320,1209.462891,1174.104492,2990973,35689.37,76221,
2020-01-03,INDUSINDBK,EQ,1205.507812,1216.582031,1196.094727,1209.344238,1209.462891,3315826,39923.92,65975,
2020-01-06,INDUSINDBK,EQ,1198.428223,1200.563965,1159.193848,1162.318359,1209.344238,3983545,46963.34,92915,
2020-01-07,INDUSINDBK,EQ,1177.387207,1192.851562,1140.802734,1156.187988,1162.318359,4516476,52594.82,82614,
2020-01-08,INDUSINDBK,EQ,1139.853516,1171.968750,1138.311035,1153.775391,1156.187988,4252658,49050.12,103838,
2020-01-09,INDUSINDBK,EQ,1178.613281,1199.140137,1173.234375,1192.574707,1153.775391,4420182,52538.71,84803,
2020-01-10,INDUSINDBK,EQ,1195.105957,1203.648926,1174.025391,1179.602051,1192.574707,4032204,47903.63,66900,
2020-01-13,INDUSINDBK,EQ,1186.365234,1223.701172,1176.517090,1217.887207,1179.602051,4718506,56435.24,74634,
2020-01-14,INDUSINDBK,EQ,1222.910156,1253.759766,1162.990723,1172.008301,1217.887207,19118598,231045.55,308946,
2020-01-15,INDUSINDBK,EQ,1157.572266,1157.572266,1100.579590,1107.817383,1172.008301,17692742,198266.10,315523,
2020-01-16,INDUSINDBK,EQ,1111.376953,1119.287109,1089.307617,1096.703613,1107.817383,13329810,146694.30,259541,
2020-01-17,INDUSINDBK,EQ,1067.871094,1089.228516,1041.807129,1069.650879,1096.703613,12667339,135462.79,223096,
2020-01-20,INDUSINDBK,EQ,1082.030273,1082.030273,1046.513672,1053.593262,1069.650879,7644902,81072.20,167157,
2020-01-21,INDUSINDBK,EQ,1053.632812,1067.871094,1044.140625,1057.073730,1053.593262,5691274,60235.86,111945,
2020-01-22,INDUSINDBK,EQ,1064.983887,1066.289062,1046.513672,1049.994141,1057.073730,3841533,40527.15,69447,
2020-01-23,INDUSINDBK,EQ,1052.050781,1059.802734,1044.219727,1053.474609,1049.994141,5509650,57960.98,93278,
2020-01-24,INDUSINDBK,EQ,1055.214844,1063.916016,1034.371582,1041.055664,1053.474609,5769186,60735.36,103366,
2020-01-27,INDUSINDBK,EQ,1037.416992,1037.812500,1000.634766,1005.539062,1041.055664,7610091,77556.42,152721,
2020-01-28,INDUSINDBK,EQ,1013.291016,1016.375977,981.057129,992.526855,1005.539062,7716357,77230.29,148305,
2020-01-29,INDUSINDBK,EQ,1003.719727,1009.889648,989.560547,995.295410,992.526855,5028882,50272.49,108515,
2020-01-30,INDUSINDBK,EQ,990.351562,991.933594,966.265137,974.135742,995.295410,6702404,65647.58,133437,
2020-01-31,INDUSINDBK,EQ,984.814453,1005.855469,982.520508,995.770020,974.135742,10608099,105696.72,173224,
2020-02-03,INDUSINDBK,EQ,966.621094,1003.363770,961.914551,999.131836,957.999023,9731203,95836.53,154366,
2020-02-04,INDUSINDBK,EQ,1006.962891,1015.664062,993.713379,1006.686035,999.131836,5856633,58907.05,133227,
2020-02-05,INDUSINDBK,EQ,1012.500000,1019.342285,1000.792969,1006.804688,1006.686035,5512671,55720.98,110877,
2020-02-06,INDUSINDBK,EQ,1012.500000,1059.486328,998.578125,1055.412598,1006.804688,9643758,99623.14,194303,
2020-02-07,INDUSINDBK,EQ,1063.916016,1064.746582,1024.167480,1027.371094,1055.412598,4867844,50521.31,101467,
2020-02-10,INDUSINDBK,EQ,1031.484375,1031.484375,1003.403320,1008.505371,1027.371094,5000148,50513.14,80869,
2020-02-11,INDUSINDBK,EQ,1020.410156,1036.151367,1016.494629,1022.506348,1008.505371,4369150,44801.11,105413,
2020-02-12,INDUSINDBK,EQ,996.679688,1030.614258,990.114258,1010.443359,1022.506348,11323636,114426.68,195885,
2020-02-13,INDUSINDBK,EQ,1013.884277,1013.884277,969.191895,973.542480,1010.443359,8228592,81096.41,146987,
2020-02-14,INDUSINDBK,EQ,976.034180,981.729492,926.437500,930.234375,973.542480,14579825,138505.22,287816,
2020-02-17,INDUSINDBK,EQ,930.234375,956.337891,921.137695,927.821777,930.234375,12516097,117219.96,210511,
2020-02-18,INDUSINDBK,EQ,927.624023,927.624023,876.801270,902.311523,927.821777,14168381,126617.31,225585,
2020-02-19,INDUSINDBK,EQ,913.623047,923.906250,882.773438,903.458496,902.311523,18109296,163070.50,217441,
2020-02-20,INDUSINDBK,EQ,905.752441,952.264160,905.752441,935.138672,903.458496,19852576,185715.86,288319,
2020-02-24,INDUSINDBK,EQ,925.488281,940.913086,906.938965,925.686035,935.138672,9076675,84381.52,131598,
2020-02-25,INDUSINDBK,EQ,934.189453,935.613281,900.808594,912.713379,925.686035,7730385,71196.64,129523,
2020-02-26,INDUSINDBK,EQ,905.712891,909.667969,890.050781,897.802734,912.713379,7421491,66667.59,98084,
2020-02-27,INDUSINDBK,EQ,900.966797,901.283203,870.908203,882.417480,897.802734,8641779,76080.78,155571,
2020-02-28,INDUSINDBK,EQ,870.117188,884.355469,858.291504,873.320801,882.417480,12937731,112984.19,181350,
2020-03-02,INDUSINDBK,EQ,893.847656,899.345215,846.426270,853.703613,873.320801,7237307,63603.73,107304,
2020-03-03,INDUSINDBK,EQ,858.251953,884.315918,848.759766,876.484863,853.703613,6615616,57220.17,114159,
2020-03-04,INDUSINDBK,EQ,881.547363,881.547363,831.357422,843.183105,876.484863,8677049,73416.46,136623,
2020-03-05,INDUSINDBK,EQ,850.341797,866.122559,840.849609,850.341797,843.183105,8615945,73334.31,135215,
2020-03-06,INDUSINDBK,EQ,789.433594,815.497559,722.830078,802.722656,850.341797,21283303,166241.44,304041,
2020-03-09,INDUSINDBK,EQ,751.464844,767.245605,701.670410,714.366211,802.722656,18330099,134272.97,257052,
2020-03-11,INDUSINDBK,EQ,703.924805,734.853516,668.408203,675.171387,714.366211,15557101,108727.44,237824,
