date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,INFY,EQ,735.000000,740.000000,732.550000,736.850000,731.150000,2112415,15533.69,36769,
2020-01-02,INFY,EQ,738.900000,740.800000,730.900000,734.700000,736.850000,5658200,41600.25,102483,
2020-01-03,INFY,EQ,733.900000,748.000000,733.900000,746.000000,734.700000,7882938,58701.73,105632,
2020-01-06,INFY,EQ,746.100000,753.800000,736.500000,738.850000,746.000000,6519403,48472.37,129992,
2020-01-07,INFY,EQ,738.000000,742.600000,725.100000,727.900000,738.850000,7899363,58031.20,189680,
2020-01-08,INFY,EQ,724.950000,729.000000,708.300000,718.200000,727.900000,8639443,62017.08,232857,
2020-01-09,INFY,EQ,721.700000,731.500000,714.300000,727.550000,718.200000,13521186,97974.55,161064,
2020-01-10,INFY,EQ,740.450000,742.900000,730.500000,738.150000,727.550000,9341405,68910.78,145267,
2020-01-13,INFY,EQ,760.000000,777.500000,755.000000,773.550000,738.150000,36952038,284211.29,753340,
2020-01-14,INFY,EQ,769.950000,776.950000,767.200000,775.650000,773.550000,11414418,88132.65,289583,
2020-01-15,INFY,EQ,773.850000,773.850000,762.150000,767.550000,775.650000,6047430,46382.98,96319,
2020-01-16,INFY,EQ,770.700000,772.500000,760.250000,767.000000,767.550000,5740586,43993.09,93520,
2020-01-17,INFY,EQ,770.700000,772.900000,762.250000,767.850000,767.000000,3762957,28837.44,98313,
2020-01-20,INFY,EQ,771.600000,774.400000,762.950000,768.450000,767.850000,3887680,29820.75,81096,
2020-01-21,INFY,EQ,768.450000,770.500000,760.750000,762.500000,768.450000,4448374,33989.78,83703,
2020-01-22,INFY,EQ,768.450000,778.000000,766.000000,770.200000,762.500000,9733935,75104.99,148501,
2020-01-23,INFY,EQ,777.100000,785.500000,776.700000,784.350000,770.200000,12528017,97845.66,197205,
2020-01-24,INFY,EQ,775.750000,786.500000,773.600000,782.750000,784.350000,7540490,58755.59,131263,
2020-01-27,INFY,EQ,779.050000,784.800000,774.400000,778.100000,782.750000,3741610,29111.60,102550,
