date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,IOC,EQ,83.966667,84.500000,83.833333,83.966667,83.700000,3191238,2683.16,13955,
2020-01-02,IOC,EQ,84.133333,84.800000,84.000000,84.666667,83.966667,3838770,3242.62,16315,
2020-01-03,IOC,EQ,84.333333,85.000000,84.100000,84.566667,84.666667,13278158,11217.36,45004,
2020-01-06,IOC,EQ,84.333333,84.333333,83.000000,83.266667,84.566667,18947248,15808.53,50588,
2020-01-07,IOC,EQ,83.533333,84.966667,82.733333,83.033333,83.266667,12677540,10617.00,45411,
2020-01-08,IOC,EQ,82.033333,82.600000,81.000000,81.233333,83.033333,13328638,10873.29,51233,
2020-01-09,IOC,EQ,83.266667,83.666667,81.900000,83.000000,81.233333,13828252,11451.31,78201,
2020-01-10,IOC,EQ,83.333333,83.833333,82.700000,83.633333,83.000000,12566014,10453.02,35492,
2020-01-13,IOC,EQ,83.933333,85.066667,83.533333,84.633333,83.633333,8621076,7287.54,30970,
2020-01-14,IOC,EQ,85.066667,85.466667,84.433333,84.600000,84.633333,6732202,5712.34,25334,
2020-01-15,IOC,EQ,84.633333,84.666667,83.333333,83.800000,84.600000,7152738,5994.66,30381,
2020-01-16,IOC,EQ,84.033333,84.333333,82.666667,82.766667,83.800000,10577692,8789.47,52692,
2020-01-17,IOC,EQ,82.766667,82.833333,81.533333,81.766667,82.766667,11573763,9489.04,44652,
2020-01-20,IOC,EQ,78.633333,79.800000,75.800000,78.333333,81.766667,67893711,53217.41,145893,
2020-01-21,IOC,EQ,78.666667,78.966667,76.166667,76.533333,78.333333,69767703,53747.85,151583,
2020-01-22,IOC,EQ,77.766667,77.933333,74.633333,75.766667,76.533333,107592836,81901.73,158038,
2020-01-23,IOC,EQ,76.733333,80.600000,76.700000,78.900000,75.766667,314893702,248599.87,235485,
2020-01-24,IOC,EQ,81.000000,81.100000,79.400000,79.766667,78.900000,39238492,31456.73,83739,
2020-01-27,IOC,EQ,79.500000,80.133333,78.000000,78.300000,79.766667,20398282,16099.18,54180,
2020-01-28,IOC,EQ,78.766667,79.733333,77.566667,78.600000,78.300000,31914822,25139.18,75584,
2020-01-29,IOC,EQ,79.200000,79.966667,78.533333,78.866667,78.600000,32001970,25400.54,50737,
