date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ITC,EQ,238.600000,238.600000,237.100000,238.100000,237.700000,4208837,10010.78,38576,
2020-01-02,ITC,EQ,238.200000,240.950000,238.100000,239.850000,238.100000,8402979,20142.41,84223,
2020-01-03,ITC,EQ,241.000000,241.000000,238.000000,238.500000,239.850000,9284478,22158.53,64049,
2020-01-06,ITC,EQ,237.500000,238.300000,235.000000,235.100000,238.500000,7636617,18033.75,72977,
2020-01-07,ITC,EQ,236.050000,237.900000,234.600000,235.350000,235.100000,8416741,19858.25,66747,
2020-01-08,ITC,EQ,234.000000,235.800000,233.250000,234.200000,235.350000,7043211,16513.74,66642,
2020-01-09,ITC,EQ,235.600000,236.600000,235.050000,235.800000,234.200000,9452653,22281.77,107069,
2020-01-10,ITC,EQ,237.600000,238.750000,236.800000,238.000000,235.800000,9973746,23723.97,89471,
2020-01-13,ITC,EQ,238.500000,240.500000,238.250000,239.250000,238.000000,12243639,29333.50,83515,
2020-01-14,ITC,EQ,240.250000,243.800000,238.300000,243.250000,239.250000,11843444,28644.88,89338,
2020-01-15,ITC,EQ,242.550000,243.000000,241.100000,242.400000,243.250000,5476729,13261.00,60662,
2020-01-16,ITC,EQ,242.500000,243.900000,240.100000,240.750000,242.400000,9369668,22663.60,85618,
2020-01-17,ITC,EQ,240.750000,242.100000,239.400000,239.950000,240.750000,7392403,17773.21,97633,
2020-01-20,ITC,EQ,240.050000,243.250000,240.050000,241.900000,239.950000,8020816,19407.54,70844,
2020-01-21,ITC,EQ,241.450000,241.450000,238.000000,238.450000,241.900000,9571070,22899.06,90383,
2020-01-22,ITC,EQ,239.600000,239.600000,237.100000,238.050000,238.450000,7654918,18239.01,83042,
2020-01-23,ITC,EQ,238.100000,238.750000,236.900000,237.900000,238.050000,6120434,14546.55,69953,
2020-01-24,ITC,EQ,237.400000,239.100000,237.000000,238.150000,237.900000,6801874,16202.48,66148,
2020-01-27,ITC,EQ,237.000000,237.400000,234.300000,234.600000,238.150000,6837613,16123.15,73157,
2020-01-28,ITC,EQ,234.750000,235.900000,230.500000,230.750000,234.600000,14582907,33889.53,134277,
2020-01-29,ITC,EQ,231.500000,237.650000,231.150000,236.650000,230.750000,20469708,48337.59,136048,
2020-01-30,ITC,EQ,236.950000,237.000000,233.000000,234.050000,236.650000,10394149,24418.43,75658,
2020-01-31,ITC,EQ,235.750000,238.400000,234.050000,235.150000,234.050000,18455880,43576.77,119578,
2020-02-03,ITC,EQ,215.000000,216.900000,205.000000,207.600000,219.000000,79764370,167088.88,436227,
2020-02-04,ITC,EQ,210.800000,217.600000,209.150000,215.650000,207.600000,35767812,76455.56,182198,
2020-02-05,ITC,EQ,216.300000,217.500000,211.500000,216.450000,215.650000,21253607,45738.21,245783,
2020-02-06,ITC,EQ,218.000000,219.900000,211.800000,213.550000,216.450000,27388582,59082.00,221588,
2020-02-07,ITC,EQ,213.800000,215.700000,212.750000,213.400000,213.550000,17133407,36734.40,126285,
2020-02-10,ITC,EQ,214.000000,214.050000,210.050000,210.550000,213.400000,9617387,20332.42,212652,
2020-02-11,ITC,EQ,216.500000,216.950000,211.800000,212.600000,210.550000,29803784,63717.25,352348,
2020-02-12,ITC,EQ,213.400000,214.800000,211.800000,213.050000,212.600000,9928416,21182.20,91939,
2020-02-13,ITC,EQ,213.050000,213.450000,211.200000,211.900000,213.050000,9153131,19410.22,111421,
2020-02-14,ITC,EQ,212.250000,212.900000,206.800000,207.700000,211.900000,13731692,28774.77,119326,
2020-02-17,ITC,EQ,208.000000,208.650000,204.000000,204.800000,207.700000,15561953,32039.06,113582,
2020-02-18,ITC,EQ,204.550000,204.600000,200.500000,203.850000,204.800000,20934864,42305.24,159783,
2020-02-19,ITC,EQ,205.250000,207.150000,203.850000,206.700000,203.850000,9054560,18626.92,115692,
2020-02-20,ITC,EQ,207.000000,208.550000,205.450000,207.450000,206.700000,15592846,32309.76,137512,
2020-02-24,ITC,EQ,207.000000,207.450000,201.800000,203.000000,207.450000,16594046,33848.26,141527,
2020-02-25,ITC,EQ,203.800000,205.400000,201.500000,201.800000,203.000000,15313516,31096.39,144560,
2020-02-26,ITC,EQ,200.650000,201.950000,196.300000,198.600000,201.800000,17869240,35614.19,140431,
2020-02-27,ITC,EQ,198.400000,199.150000,195.900000,197.550000,198.600000,17271066,34127.76,120175,
2020-02-28,ITC,EQ,195.000000,199.900000,192.050000,197.550000,197.550000,32628444,63963.56,240164,
2020-03-02,ITC,EQ,199.500000,203.450000,193.650000,195.300000,197.550000,18560049,37055.37,114142,
2020-03-03,ITC,EQ,197.000000,197.450000,192.550000,193.850000,195.300000,17947416,34919.06,148060,
2020-03-04,ITC,EQ,194.950000,195.550000,186.550000,187.500000,193.850000,27664076,52319.08,138723,
2020-03-05,ITC,EQ,187.550000,191.200000,186.550000,188.050000,187.500000,20025924,37821.97,151318,
2020-03-06,ITC,EQ,184.850000,184.850000,179.750000,181.750000,188.050000,26764504,48709.65,199706,
2020-03-09,ITC,EQ,179.000000,179.000000,174.500000,177.200000,181.750000,21795899,38613.09,156489,
2020-03-11,ITC,EQ,174.000000,176.750000,172.350000,175.650000,177.200000,27957737,48785.69,179482,
2020-03-12,ITC,EQ,169.000000,169.150000,150.550000,155.800000,175.650000,52040944,82292.13,264894,
2020-03-13,ITC,EQ,150.000000,164.000000,134.600000,162.250000,155.800000,61592332,95644.79,274571,
2020-03-16,ITC,EQ,158.000000,158.100000,145.250000,147.250000,162.250000,33255085,50164.91,215377,
2020-03-17,ITC,EQ,148.000000,155.800000,146.050000,149.150000,147.250000,47658462,72249.00,226554,
2020-03-18,ITC,EQ,152.100000,154.650000,147.350000,150.700000,149.150000,50248786,75900.57,282399,
2020-03-19,ITC,EQ,150.700000,163.550000,144.750000,161.850000,150.700000,89753683,138588.83,386234,
2020-03-20,ITC,EQ,165.100000,176.500000,165.100000,175.500000,161.850000,61997991,106651.09,327341,
2020-03-23,ITC,EQ,158.000000,162.000000,149.200000,154.300000,175.500000,51354135,79802.78,369765,
2020-03-24,ITC,EQ,162.950000,163.700000,147.400000,149.700000,154.300000,52569242,79509.11,348501,
2020-03-25,ITC,EQ,151.000000,152.000000,139.000000,147.350000,149.700000,62506221,90001.06,365896,
2020-03-26,ITC,EQ,150.000000,159.400000,143.250000,156.400000,147.350000,58443502,88169.39,287956,
2020-03-27,ITC,EQ,162.000000,166.000000,155.000000,163.200000,156.400000,32636891,52365.88,209456,
2020-03-30,ITC,EQ,156.050000,164.900000,156.050000,159.200000,163.200000,28120394,45666.82,262288,
2020-03-31,ITC,EQ,164.000000,173.850000,161.550000,171.700000,159.200000,42630922,71417.98,231840,
2020-04-01,ITC,EQ,171.700000,172.750000,164.550000,166.400000,171.700000,18142049,30405.21,180234,
2020-04-03,ITC,EQ,167.900000,182.750000,167.000000,177.900000,166.400000,62868085,110092.82,354482,
2020-04-07,ITC,EQ,185.700000,185.700000,173.650000,181.550000,177.900000,36119016,64817.03,238009,
2020-04-08,ITC,EQ,180.850000,184.000000,176.650000,178.650000,181.550000,37561322,67447.18,263938,
2020-04-09,ITC,EQ,184.000000,186.250000,180.000000,185.250000,178.650000,42643743,78306.31,215510,
2020-04-13,ITC,EQ,184.500000,186.650000,181.050000,181.600000,185.250000,17744825,32548.18,139175,
2020-04-15,ITC,EQ,184.050000,193.750000,182.700000,189.350000,181.600000,49092959,93061.40,337036,
2020-04-16,ITC,EQ,189.650000,191.200000,185.450000,186.350000,189.350000,27082646,50887.37,207231,
2020-04-17,ITC,EQ,190.450000,191.400000,186.950000,188.100000,186.350000,26669272,50376.62,168212,
2020-04-20,ITC,EQ,189.950000,189.950000,179.500000,180.700000,188.100000,35767070,64978.98,271108,
2020-04-21,ITC,EQ,178.000000,184.300000,176.050000,179.600000,180.700000,23334550,42228.14,269274,
2020-04-22,ITC,EQ,179.000000,183.550000,176.000000,182.250000,179.600000,25164099,45539.90,178772,
2020-04-23,ITC,EQ,182.950000,184.000000,179.650000,180.550000,182.250000,32968241,59966.02,234667,
2020-04-24,ITC,EQ,181.000000,182.800000,179.300000,180.050000,180.550000,18050148,32609.93,115014,
2020-04-27,ITC,EQ,180.250000,182.300000,179.300000,179.850000,180.050000,13086773,23664.17,87713,
2020-04-28,ITC,EQ,180.000000,180.800000,178.050000,179.450000,179.850000,17802711,31939.70,81480,
2020-04-29,ITC,EQ,180.500000,182.900000,179.650000,182.150000,179.450000,21461158,38938.32,131121,
2020-04-30,ITC,EQ,184.900000,184.900000,180.450000,182.050000,182.150000,30169126,55140.79,211892,
2020-05-04,ITC,EQ,181.750000,181.750000,170.650000,174.050000,182.050000,30298058,52960.24,200386,
2020-05-05,ITC,EQ,175.000000,177.450000,172.000000,173.900000,174.050000,17709577,31044.26,103113,
2020-05-06,ITC,EQ,171.400000,171.400000,160.500000,163.900000,173.900000,65586753,107251.20,435677,
2020-05-07,ITC,EQ,164.000000,165.850000,160.500000,161.000000,163.900000,24249898,39451.47,188468,
2020-05-08,ITC,EQ,163.950000,164.150000,157.100000,158.250000,161.000000,25307551,40408.61,228559,
2020-05-11,ITC,EQ,160.000000,163.500000,158.000000,158.450000,158.250000,18095693,29128.47,220940,
2020-05-12,ITC,EQ,158.450000,165.900000,157.500000,165.050000,158.450000,21387983,34502.10,166733,
2020-05-13,ITC,EQ,173.400000,173.600000,164.500000,165.400000,165.050000,20018552,33546.99,139320,
2020-05-14,ITC,EQ,164.500000,168.250000,161.950000,163.800000,165.400000,14949993,24634.47,126962,
2020-05-15,ITC,EQ,162.200000,165.500000,161.150000,164.650000,163.800000,14950688,24395.97,100036,
2020-05-18,ITC,EQ,166.000000,167.300000,163.150000,164.750000,164.650000,20802365,34446.45,164646,
2020-05-19,ITC,EQ,166.500000,171.650000,165.100000,170.750000,164.750000,20142194,34038.53,152331,
2020-05-20,ITC,EQ,171.950000,177.000000,171.000000,175.750000,170.750000,25320952,44372.43,191598,
2020-05-21,ITC,EQ,175.600000,190.450000,172.650000,188.950000,175.750000,58382988,107615.08,302533,
2020-05-22,ITC,EQ,188.000000,191.900000,184.600000,186.350000,188.950000,39013806,73058.88,222297,
2020-05-26,ITC,EQ,190.000000,194.950000,187.800000,191.700000,186.350000,53235758,101843.00,315054,
2020-05-27,ITC,EQ,192.500000,193.900000,186.900000,192.150000,191.700000,24546312,46785.58,150179,
2020-05-28,ITC,EQ,192.300000,192.900000,189.000000,190.650000,192.150000,24579385,46720.99,132770,
2020-05-29,ITC,EQ,190.450000,198.000000,189.000000,197.350000,190.650000,35836696,70042.05,204489,
2020-06-01,ITC,EQ,201.000000,205.250000,199.000000,200.550000,197.350000,28509025,57684.84,213104,
2020-06-02,ITC,EQ,201.900000,201.900000,196.700000,197.250000,200.550000,22631743,45085.16,152276,
2020-06-03,ITC,EQ,200.000000,200.900000,195.600000,196.700000,197.250000,18979339,37682.08,125283,
2020-06-04,ITC,EQ,197.750000,202.500000,195.000000,200.150000,196.700000,21999875,43663.02,139109,
2020-06-05,ITC,EQ,201.800000,202.000000,198.650000,200.000000,200.150000,14632889,29313.88,108844,
2020-06-08,ITC,EQ,202.900000,203.650000,197.000000,197.650000,200.000000,19555380,39107.60,147273,
2020-06-09,ITC,EQ,198.250000,206.200000,197.650000,198.500000,197.650000,39914936,80684.42,264818,
