date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,JINDALSTEL,EQ,209.750000,214.125000,205.500000,208.000000,209.625000,19719038,41206.82,89961,
2020-01-02,JINDALSTEL,EQ,212.375000,217.812500,211.250000,216.562500,208.000000,18605339,40026.51,97432,
2020-01-03,JINDALSTEL,EQ,216.687500,218.250000,212.500000,214.500000,216.562500,15629226,33698.15,74883,
2020-01-06,JINDALSTEL,EQ,211.562500,213.562500,206.875000,208.625000,214.500000,12536565,26302.33,68910,
2020-01-07,JINDALSTEL,EQ,211.250000,214.875000,207.187500,209.187500,208.625000,15684781,33057.86,95049,
2020-01-08,JINDALSTEL,EQ,208.062500,220.500000,205.062500,218.375000,209.187500,26432716,56154.08,147836,
2020-01-09,JINDALSTEL,EQ,221.562500,224.375000,217.937500,220.500000,218.375000,14704894,32440.28,97292,
2020-01-10,JINDALSTEL,EQ,221.250000,224.250000,218.375000,220.812500,220.500000,14663586,32451.83,104714,
2020-01-13,JINDALSTEL,EQ,222.250000,224.687500,217.625000,222.562500,220.812500,12617538,27875.46,60210,
2020-01-14,JINDALSTEL,EQ,223.125000,225.812500,214.562500,217.500000,222.562500,17758146,39097.75,78974,
2020-01-15,JINDALSTEL,EQ,216.125000,225.937500,213.937500,225.187500,217.500000,22528941,49895.05,109214,
2020-01-16,JINDALSTEL,EQ,225.562500,227.250000,220.125000,223.750000,225.187500,16750813,37440.91,99970,
2020-01-17,JINDALSTEL,EQ,224.375000,226.125000,219.750000,221.187500,223.750000,11562297,25849.33,61624,
2020-01-20,JINDALSTEL,EQ,218.750000,225.250000,216.562500,224.125000,221.187500,15955837,35472.75,81537,
2020-01-21,JINDALSTEL,EQ,221.250000,233.687500,220.500000,232.250000,224.125000,24391800,55501.69,117332,
2020-01-22,JINDALSTEL,EQ,232.375000,232.750000,221.875000,223.937500,232.250000,15554575,35275.89,77052,
2020-01-23,JINDALSTEL,EQ,224.250000,226.500000,221.875000,225.000000,223.937500,9131019,20501.77,50926,
2020-01-24,JINDALSTEL,EQ,224.250000,237.250000,223.687500,236.187500,225.000000,15884846,36918.34,92267,
2020-01-27,JINDALSTEL,EQ,226.250000,232.500000,222.062500,223.375000,236.187500,19963414,45070.23,108358,
2020-01-28,JINDALSTEL,EQ,224.750000,226.062500,216.500000,219.375000,223.375000,15536269,34207.29,94087,
2020-01-29,JINDALSTEL,EQ,223.687500,226.250000,213.250000,218.687500,219.375000,18947110,41751.85,105029,
2020-01-30,JINDALSTEL,EQ,220.000000,227.375000,215.437500,219.562500,218.687500,26726396,58957.13,157225,
2020-01-31,JINDALSTEL,EQ,222.500000,222.875000,215.750000,219.875000,219.562500,12165668,26671.13,80516,
2020-02-03,JINDALSTEL,EQ,207.500000,219.937500,202.125000,218.562500,208.937500,18617866,39631.83,110069,
2020-02-04,JINDALSTEL,EQ,220.000000,231.000000,217.187500,229.250000,218.562500,17149747,38622.90,110539,
2020-02-05,JINDALSTEL,EQ,229.250000,241.187500,227.375000,237.625000,229.250000,16038983,37265.28,99298,
2020-02-06,JINDALSTEL,EQ,240.187500,248.437500,239.000000,247.187500,237.625000,23050367,56435.05,139313,
2020-02-07,JINDALSTEL,EQ,244.375000,252.812500,243.500000,247.250000,247.187500,18327071,45454.74,107868,
2020-02-10,JINDALSTEL,EQ,245.625000,245.875000,238.000000,241.500000,247.250000,11848790,28717.89,62649,
2020-02-11,JINDALSTEL,EQ,247.125000,253.000000,243.812500,245.375000,241.500000,14984190,37329.76,81318,
2020-02-12,JINDALSTEL,EQ,248.375000,249.062500,242.500000,246.250000,245.375000,9845982,24193.53,53573,
2020-02-13,JINDALSTEL,EQ,245.625000,246.562500,240.812500,242.375000,246.250000,6996821,17034.08,39290,
2020-02-14,JINDALSTEL,EQ,241.125000,247.062500,236.750000,238.125000,242.375000,11472557,27743.24,63735,
2020-02-17,JINDALSTEL,EQ,240.625000,241.750000,236.062500,238.000000,238.125000,9989814,23871.27,61428,
2020-02-18,JINDALSTEL,EQ,235.875000,236.625000,227.125000,231.562500,238.000000,11382587,26269.48,72427,
2020-02-19,JINDALSTEL,EQ,235.000000,236.875000,230.000000,235.062500,231.562500,7840892,18340.61,51789,
2020-02-20,JINDALSTEL,EQ,234.375000,244.875000,232.250000,241.750000,235.062500,13351563,32026.78,78569,
2020-02-24,JINDALSTEL,EQ,238.000000,238.000000,216.062500,218.625000,241.750000,15918808,35909.96,92199,
2020-02-25,JINDALSTEL,EQ,224.937500,228.375000,219.187500,223.750000,218.625000,15986539,35750.78,108507,
2020-02-26,JINDALSTEL,EQ,215.062500,219.750000,211.437500,212.687500,223.750000,20484751,44003.52,129619,
2020-02-27,JINDALSTEL,EQ,212.500000,212.500000,205.687500,210.437500,212.687500,16948595,35315.13,87772,
2020-02-28,JINDALSTEL,EQ,197.500000,202.750000,182.875000,192.375000,210.437500,18351388,36171.02,97769,
2020-03-02,JINDALSTEL,EQ,201.375000,204.937500,186.812500,191.687500,192.375000,19350750,38670.26,122691,
2020-03-03,JINDALSTEL,EQ,197.500000,202.750000,194.187500,200.812500,191.687500,20377776,40473.95,139182,
2020-03-04,JINDALSTEL,EQ,201.250000,203.125000,185.125000,192.812500,200.812500,19402194,37278.89,108930,
2020-03-05,JINDALSTEL,EQ,196.000000,199.750000,191.000000,193.000000,192.812500,15143371,29459.32,103670,
2020-03-06,JINDALSTEL,EQ,175.000000,186.562500,175.000000,182.875000,193.000000,13706963,25119.46,110337,
2020-03-09,JINDALSTEL,EQ,176.562500,177.500000,158.187500,164.000000,182.875000,16841321,28411.03,77433,
2020-03-11,JINDALSTEL,EQ,163.250000,166.437500,156.250000,158.625000,164.000000,21628476,34661.09,94634,
2020-03-12,JINDALSTEL,EQ,149.687500,151.687500,134.875000,142.375000,158.625000,18156503,26258.33,82035,
2020-03-13,JINDALSTEL,EQ,128.750000,163.125000,124.000000,151.750000,142.375000,20171175,28950.03,107793,
2020-03-16,JINDALSTEL,EQ,140.375000,144.812500,133.500000,136.187500,151.750000,12352540,17156.70,80873,
2020-03-17,JINDALSTEL,EQ,138.750000,146.000000,131.812500,134.000000,136.187500,14710765,20666.84,102139,
