date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2023-09-04,JIOFIN,EQ,255.300000,266.950000,249.000000,253.450000,245.150000,99246736,255015.31,774466,
2023-09-05,JIOFIN,EQ,257.000000,260.000000,253.000000,255.050000,253.450000,47127078,121073.43,361296,
2023-09-06,JIOFIN,EQ,247.000000,259.800000,246.050000,252.850000,255.050000,225413157,568488.29,634106,
2023-09-07,JIOFIN,EQ,252.000000,257.300000,251.250000,251.800000,252.850000,43856832,111377.21,337076,
2023-09-08,JIOFIN,EQ,254.000000,255.000000,249.500000,253.200000,251.800000,36090005,91157.23,264191,
2023-09-11,JIOFIN,EQ,256.950000,257.700000,250.000000,250.150000,253.200000,24982858,63012.23,226553,
2023-09-12,JIOFIN,EQ,251.750000,252.000000,240.900000,244.250000,250.150000,39500716,97255.23,257463,
2023-09-13,JIOFIN,EQ,244.800000,247.800000,236.600000,240.200000,244.250000,27810990,67133.37,219521,
2023-09-14,JIOFIN,EQ,242.000000,244.550000,241.250000,242.550000,240.200000,14055236,34109.33,169150,
2023-09-15,JIOFIN,EQ,243.800000,244.650000,237.650000,239.400000,242.550000,27416106,65963.71,172549,
2023-09-18,JIOFIN,EQ,240.000000,240.850000,232.100000,233.200000,239.400000,24694419,58259.71,243174,
2023-09-20,JIOFIN,EQ,230.400000,232.000000,229.000000,229.650000,233.200000,18317607,42141.93,252513,
2023-09-21,JIOFIN,EQ,230.000000,235.600000,226.800000,227.650000,229.650000,33101551,76358.96,178122,
2023-09-22,JIOFIN,EQ,227.950000,232.250000,226.350000,227.800000,227.650000,38327554,87473.08,160047,
2023-09-25,JIOFIN,EQ,230.000000,230.850000,227.500000,229.750000,227.800000,13392150,30702.86,121802,
2023-09-26,JIOFIN,EQ,231.100000,231.700000,230.000000,230.400000,229.750000,8058261,18592.09,89985,
2023-09-27,JIOFIN,EQ,231.200000,231.200000,227.000000,227.350000,230.400000,10984321,25035.92,113266,
2023-09-28,JIOFIN,EQ,228.000000,228.850000,224.750000,225.050000,227.350000,9143582,20653.94,133113,
2023-09-29,JIOFIN,EQ,225.900000,232.900000,225.000000,231.200000,225.050000,12411231,28481.33,106913,
2023-10-03,JIOFIN,EQ,231.500000,233.900000,230.550000,231.400000,231.200000,13185432,30600.43,130173,
2023-10-04,JIOFIN,EQ,230.000000,230.000000,223.500000,224.650000,231.400000,23296548,52586.53,214101,
2023-10-05,JIOFIN,EQ,225.900000,227.900000,224.200000,225.400000,224.650000,13894930,31383.25,117800,
2023-10-06,JIOFIN,EQ,226.500000,227.650000,223.700000,225.100000,225.400000,7531900,16956.96,87525,
2023-10-09,JIOFIN,EQ,223.000000,223.000000,218.850000,219.650000,225.100000,9696908,21379.95,134087,
2023-10-10,JIOFIN,EQ,221.000000,223.900000,219.750000,220.150000,219.650000,10451289,23156.33,122564,
2023-10-11,JIOFIN,EQ,222.000000,227.700000,220.600000,225.100000,220.150000,11765082,26275.11,122758,
2023-10-12,JIOFIN,EQ,227.000000,227.400000,224.750000,225.150000,225.100000,7780605,17568.10,68271,
2023-10-13,JIOFIN,EQ,224.000000,225.900000,222.000000,224.550000,225.150000,10137218,22673.89,94521,
2023-10-16,JIOFIN,EQ,224.900000,225.950000,224.000000,224.800000,224.550000,10850724,24376.35,110054,
2023-10-17,JIOFIN,EQ,231.500000,233.000000,220.500000,220.950000,224.800000,34190044,77032.24,284116,
2023-10-18,JIOFIN,EQ,221.600000,222.900000,215.550000,216.000000,220.950000,27712062,60406.85,296269,
2023-10-19,JIOFIN,EQ,216.000000,216.000000,209.050000,214.200000,216.000000,42127110,89399.50,357319,
2023-10-20,JIOFIN,EQ,215.500000,217.000000,213.000000,214.200000,214.200000,11101464,23839.51,143906,
2023-10-23,JIOFIN,EQ,214.000000,214.200000,204.250000,206.600000,214.200000,17817781,37322.43,203604,
