date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,JSWSTEEL,EQ,270.700000,273.500000,265.850000,268.100000,270.050000,6952048,18735.12,44999,
2020-01-02,JSWSTEEL,EQ,272.000000,277.000000,271.550000,276.450000,268.100000,10780926,29640.45,73900,
2020-01-03,JSWSTEEL,EQ,276.450000,276.450000,270.750000,272.450000,276.450000,5943349,16235.33,38332,
2020-01-06,JSWSTEEL,EQ,270.500000,270.750000,262.300000,264.250000,272.450000,4529599,12034.41,30673,
2020-01-07,JSWSTEEL,EQ,266.150000,270.150000,263.100000,265.250000,264.250000,4465297,11904.58,31857,
2020-01-08,JSWSTEEL,EQ,261.400000,264.500000,257.000000,262.500000,265.250000,8088132,21101.82,44788,
2020-01-09,JSWSTEEL,EQ,267.700000,279.200000,267.700000,278.100000,262.500000,13317832,36538.51,82455,
2020-01-10,JSWSTEEL,EQ,278.000000,280.000000,275.000000,277.900000,278.100000,7625227,21180.87,51942,
2020-01-13,JSWSTEEL,EQ,278.050000,279.900000,275.400000,278.600000,277.900000,4540953,12610.20,33966,
2020-01-14,JSWSTEEL,EQ,278.000000,284.000000,278.000000,280.900000,278.600000,7428691,20920.22,53528,
2020-01-15,JSWSTEEL,EQ,279.850000,283.400000,276.250000,282.500000,280.900000,5538475,15530.59,39954,
2020-01-16,JSWSTEEL,EQ,282.500000,282.850000,276.150000,277.450000,282.500000,4791447,13315.86,40151,
2020-01-17,JSWSTEEL,EQ,276.800000,279.550000,272.850000,273.350000,277.450000,4733742,13060.39,29633,
2020-01-20,JSWSTEEL,EQ,273.500000,275.000000,268.650000,271.350000,273.350000,3823115,10370.14,25024,
2020-01-21,JSWSTEEL,EQ,270.000000,270.900000,264.350000,267.250000,271.350000,4799667,12840.51,36482,
2020-01-22,JSWSTEEL,EQ,268.300000,269.300000,264.750000,265.850000,267.250000,3334351,8901.48,25919,
2020-01-23,JSWSTEEL,EQ,266.000000,268.950000,264.100000,266.650000,265.850000,3529142,9414.52,24104,
2020-01-24,JSWSTEEL,EQ,266.700000,273.900000,265.300000,271.900000,266.650000,5991335,16228.53,46243,
2020-01-27,JSWSTEEL,EQ,265.450000,265.900000,258.300000,262.800000,271.900000,17151836,44931.83,91461,
2020-01-28,JSWSTEEL,EQ,260.800000,261.750000,251.600000,255.250000,262.800000,11168567,28668.23,69713,
2020-01-29,JSWSTEEL,EQ,259.000000,264.600000,258.300000,261.250000,255.250000,7832991,20527.38,50428,
2020-01-30,JSWSTEEL,EQ,261.300000,262.100000,255.250000,256.950000,261.250000,5511254,14253.70,43330,
2020-01-31,JSWSTEEL,EQ,258.150000,259.000000,249.100000,250.700000,256.950000,6329214,16078.96,48505,
2020-02-03,JSWSTEEL,EQ,245.500000,253.000000,243.750000,251.500000,244.750000,7021154,17454.25,45678,
2020-02-04,JSWSTEEL,EQ,253.250000,259.700000,248.700000,258.350000,251.500000,5839343,14952.80,41556,
2020-02-05,JSWSTEEL,EQ,259.500000,271.650000,256.350000,269.250000,258.350000,7218905,18963.12,45905,
2020-02-06,JSWSTEEL,EQ,271.100000,277.500000,267.750000,276.450000,269.250000,8567243,23492.61,54010,
2020-02-07,JSWSTEEL,EQ,275.400000,280.000000,272.750000,279.300000,276.450000,5258442,14605.95,31277,
2020-02-10,JSWSTEEL,EQ,276.000000,279.800000,273.200000,277.900000,279.300000,4972983,13759.55,32384,
2020-02-11,JSWSTEEL,EQ,280.050000,293.500000,278.600000,288.750000,277.900000,10958494,31595.07,72217,
2020-02-12,JSWSTEEL,EQ,288.650000,295.400000,288.500000,293.700000,288.750000,9119052,26706.58,55371,
2020-02-13,JSWSTEEL,EQ,292.200000,294.600000,288.400000,293.350000,293.700000,6220243,18168.91,40577,
2020-02-14,JSWSTEEL,EQ,291.600000,296.750000,288.300000,289.150000,293.350000,6086218,17820.11,39261,
2020-02-17,JSWSTEEL,EQ,289.150000,290.900000,285.300000,288.150000,289.150000,6084235,17540.50,36285,
2020-02-18,JSWSTEEL,EQ,289.000000,289.150000,281.100000,284.800000,288.150000,5463097,15538.91,35213,
2020-02-19,JSWSTEEL,EQ,287.200000,290.000000,279.900000,280.850000,284.800000,4952306,14132.49,28936,
2020-02-20,JSWSTEEL,EQ,280.700000,285.850000,277.000000,281.800000,280.850000,6960354,19601.52,43280,
2020-02-24,JSWSTEEL,EQ,277.950000,277.950000,256.000000,258.950000,281.800000,10565578,28163.10,64178,
2020-02-25,JSWSTEEL,EQ,264.000000,266.800000,258.400000,262.600000,258.950000,9928181,26083.88,66720,
2020-02-26,JSWSTEEL,EQ,256.000000,263.700000,255.550000,260.800000,262.600000,8111249,21066.83,57706,
2020-02-27,JSWSTEEL,EQ,259.000000,259.000000,248.300000,252.100000,260.800000,10258174,26001.66,87528,
2020-02-28,JSWSTEEL,EQ,245.500000,245.500000,232.650000,235.700000,252.100000,10723581,25545.74,82183,
2020-03-02,JSWSTEEL,EQ,242.200000,246.500000,230.850000,235.000000,235.700000,10865535,26254.74,79748,
2020-03-03,JSWSTEEL,EQ,239.250000,249.100000,238.650000,246.450000,235.000000,11580274,28226.66,69735,
2020-03-04,JSWSTEEL,EQ,246.550000,248.800000,236.850000,245.600000,246.450000,10790561,26134.00,60596,
2020-03-05,JSWSTEEL,EQ,248.700000,252.750000,244.350000,247.150000,245.600000,7130730,17678.71,51930,
2020-03-06,JSWSTEEL,EQ,235.000000,240.000000,228.200000,238.800000,247.150000,6850161,16176.36,46392,
2020-03-09,JSWSTEEL,EQ,229.050000,231.650000,225.100000,229.050000,238.800000,7888019,18024.15,53967,
2020-03-11,JSWSTEEL,EQ,227.000000,228.500000,220.100000,223.500000,229.050000,10073347,22530.08,76565,
2020-03-12,JSWSTEEL,EQ,210.000000,214.300000,199.050000,203.200000,223.500000,14115039,28970.30,77264,
2020-03-13,JSWSTEEL,EQ,188.000000,217.950000,175.200000,214.900000,203.200000,12883941,26390.57,109317,
2020-03-16,JSWSTEEL,EQ,202.000000,207.150000,181.550000,186.000000,214.900000,15167108,29374.89,95745,
2020-03-17,JSWSTEEL,EQ,188.900000,193.500000,175.150000,176.450000,186.000000,14096871,26249.25,80719,
2020-03-18,JSWSTEEL,EQ,180.050000,181.150000,156.450000,164.350000,176.450000,18951014,31567.34,95464,
2020-03-19,JSWSTEEL,EQ,157.800000,168.700000,151.700000,163.300000,164.350000,12583063,20126.90,72568,
2020-03-20,JSWSTEEL,EQ,167.000000,179.100000,164.650000,175.750000,163.300000,7449415,12811.21,58942,
2020-03-23,JSWSTEEL,EQ,158.200000,164.250000,136.100000,144.400000,175.750000,7422941,10819.78,63976,
2020-03-24,JSWSTEEL,EQ,149.250000,155.000000,140.350000,147.100000,144.400000,6487043,9515.78,60942,
2020-03-25,JSWSTEEL,EQ,145.000000,156.000000,142.550000,151.800000,147.100000,4384700,6627.87,47879,
2020-03-26,JSWSTEEL,EQ,151.000000,157.450000,144.500000,149.800000,151.800000,8021131,12130.47,60005,
2020-03-27,JSWSTEEL,EQ,152.100000,156.450000,146.200000,151.450000,149.800000,6108830,9232.88,46663,
2020-03-30,JSWSTEEL,EQ,148.450000,148.450000,136.500000,142.400000,151.450000,11851157,16701.74,84472,
2020-03-31,JSWSTEEL,EQ,145.950000,152.400000,144.500000,146.250000,142.400000,9965197,14704.82,76992,
2020-04-01,JSWSTEEL,EQ,145.950000,145.950000,139.050000,143.000000,146.250000,5967565,8455.01,55798,
2020-04-03,JSWSTEEL,EQ,143.250000,148.150000,132.500000,140.700000,143.000000,18559602,25595.20,150511,
2020-04-07,JSWSTEEL,EQ,148.050000,159.850000,145.450000,158.100000,140.700000,16440328,25290.39,109248,
2020-04-08,JSWSTEEL,EQ,155.000000,170.750000,152.150000,154.600000,158.100000,15245833,24510.26,99848,
2020-04-09,JSWSTEEL,EQ,159.000000,170.000000,158.000000,166.300000,154.600000,15243084,25225.85,103537,
2020-04-13,JSWSTEEL,EQ,167.500000,172.400000,161.150000,167.650000,166.300000,11554655,19253.46,91293,
2020-04-15,JSWSTEEL,EQ,170.000000,174.950000,165.850000,171.400000,167.650000,17616485,30150.96,110097,
2020-04-16,JSWSTEEL,EQ,169.300000,174.600000,167.400000,170.650000,171.400000,10428942,17951.52,60409,
2020-04-17,JSWSTEEL,EQ,175.000000,179.850000,170.350000,177.300000,170.650000,10104852,17593.50,59940,
2020-04-20,JSWSTEEL,EQ,183.000000,183.000000,166.100000,167.500000,177.300000,12629035,21660.68,90158,
