date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,KOTAKBANK,EQ,337.800000,339.350000,334.400000,334.810000,336.870000,7375280,24766.25,43248,
2020-01-02,KOTAKBANK,EQ,336.000000,336.700000,332.930000,334.310000,334.810000,9260445,30929.52,56954,
2020-01-03,KOTAKBANK,EQ,334.190000,334.600000,329.110000,331.420000,334.310000,7970445,26425.96,83688,
2020-01-06,KOTAKBANK,EQ,331.420000,331.490000,327.720000,330.510000,331.420000,7400435,24378.11,64555,
2020-01-07,KOTAKBANK,EQ,332.210000,334.950000,330.080000,334.170000,330.510000,12489655,41539.01,62054,
2020-01-08,KOTAKBANK,EQ,330.940000,332.290000,327.600000,330.970000,334.170000,15629655,51592.41,108277,
2020-01-09,KOTAKBANK,EQ,334.700000,334.750000,331.740000,333.010000,330.970000,13342120,44415.66,64081,
2020-01-10,KOTAKBANK,EQ,334.820000,338.400000,334.240000,336.940000,333.010000,12680415,42683.18,97398,
2020-01-13,KOTAKBANK,EQ,338.400000,340.900000,337.110000,338.220000,336.940000,9039790,30595.95,48374,
2020-01-14,KOTAKBANK,EQ,339.200000,339.220000,334.200000,335.360000,338.220000,10684460,35831.44,79735,
2020-01-15,KOTAKBANK,EQ,335.190000,337.320000,333.180000,335.120000,335.360000,12451225,41732.34,53526,
2020-01-16,KOTAKBANK,EQ,335.780000,341.120000,335.780000,340.310000,335.120000,16606410,56244.05,94314,
2020-01-17,KOTAKBANK,EQ,340.780000,341.170000,338.020000,339.620000,340.310000,11479375,39014.53,93648,
2020-01-20,KOTAKBANK,EQ,341.800000,341.800000,322.200000,323.580000,339.620000,40020170,131667.41,228321,
2020-01-21,KOTAKBANK,EQ,321.000000,326.120000,317.040000,325.020000,323.580000,28727345,92388.54,185564,
2020-01-22,KOTAKBANK,EQ,326.640000,327.580000,315.200000,317.100000,325.020000,27395810,87307.46,154814,
2020-01-23,KOTAKBANK,EQ,317.600000,321.680000,316.260000,321.170000,317.100000,17478415,55830.49,96078,
2020-01-24,KOTAKBANK,EQ,321.090000,329.800000,317.400000,328.590000,321.170000,21264685,69026.28,157612,
2020-01-27,KOTAKBANK,EQ,325.740000,325.800000,321.680000,323.670000,328.590000,9372145,30324.56,58316,
2020-01-28,KOTAKBANK,EQ,324.000000,327.600000,322.050000,325.210000,323.670000,9905520,32241.53,86400,
2020-01-29,KOTAKBANK,EQ,326.600000,329.240000,324.610000,328.090000,325.210000,11137465,36479.20,62207,
2020-01-30,KOTAKBANK,EQ,327.560000,328.060000,323.500000,325.650000,328.090000,7950780,25893.41,63063,
2020-01-31,KOTAKBANK,EQ,341.930000,345.800000,336.630000,338.350000,325.650000,47475230,161278.35,253091,
2020-02-03,KOTAKBANK,EQ,329.120000,336.160000,326.800000,335.250000,329.590000,12551470,41718.54,112048,
2020-02-04,KOTAKBANK,EQ,336.810000,340.560000,334.030000,339.660000,335.250000,10352085,35008.91,93785,
2020-02-05,KOTAKBANK,EQ,340.400000,341.490000,335.420000,337.950000,339.660000,10482560,35416.48,97390,
2020-02-06,KOTAKBANK,EQ,338.780000,339.580000,333.600000,334.800000,337.950000,12663090,42533.17,125534,
2020-02-07,KOTAKBANK,EQ,335.150000,335.590000,328.800000,330.610000,334.800000,11450755,37874.95,99398,
2020-02-10,KOTAKBANK,EQ,332.000000,334.920000,329.140000,333.860000,330.610000,6775620,22462.54,62012,
2020-02-11,KOTAKBANK,EQ,336.490000,337.160000,333.310000,335.490000,333.860000,9573830,32124.94,109723,
2020-02-12,KOTAKBANK,EQ,336.020000,344.000000,335.000000,342.980000,335.490000,15052685,51473.07,74600,
2020-02-13,KOTAKBANK,EQ,342.940000,342.940000,336.460000,337.960000,342.980000,11234600,37995.28,77476,
2020-02-14,KOTAKBANK,EQ,339.200000,340.600000,332.720000,336.190000,337.960000,9460785,31800.68,80400,
2020-02-17,KOTAKBANK,EQ,337.000000,339.840000,334.450000,338.220000,336.190000,9063825,30655.21,64474,
2020-02-18,KOTAKBANK,EQ,336.500000,339.960000,335.660000,338.200000,338.220000,11095195,37481.48,106786,
2020-02-19,KOTAKBANK,EQ,348.000000,348.000000,339.080000,340.220000,338.200000,15842670,54173.76,99948,
2020-02-20,KOTAKBANK,EQ,339.460000,339.850000,335.240000,337.190000,340.220000,10499515,35445.68,86420,
2020-02-24,KOTAKBANK,EQ,334.400000,336.750000,332.460000,335.650000,337.190000,9630665,32250.59,102079,
2020-02-25,KOTAKBANK,EQ,335.240000,337.940000,333.670000,335.160000,335.650000,7677775,25758.09,66430,
2020-02-26,KOTAKBANK,EQ,334.020000,335.540000,331.400000,333.300000,335.160000,12929475,43094.42,102345,
2020-02-27,KOTAKBANK,EQ,333.200000,337.780000,332.120000,336.550000,333.300000,13446760,44967.25,106427,
2020-02-28,KOTAKBANK,EQ,330.980000,332.020000,322.750000,324.070000,336.550000,18716560,61237.71,155883,
2020-03-02,KOTAKBANK,EQ,326.200000,327.460000,316.840000,319.800000,324.070000,23814235,76581.18,142088,
2020-03-03,KOTAKBANK,EQ,320.760000,327.270000,317.400000,325.260000,319.800000,14591930,46835.92,99649,
2020-03-04,KOTAKBANK,EQ,326.440000,326.620000,315.520000,321.590000,325.260000,12651105,40641.70,71265,
2020-03-05,KOTAKBANK,EQ,323.000000,335.300000,321.600000,330.270000,321.590000,25304810,83526.06,104590,
2020-03-06,KOTAKBANK,EQ,321.040000,328.800000,319.640000,326.210000,330.270000,17711215,57462.53,99088,
2020-03-09,KOTAKBANK,EQ,319.000000,321.990000,308.520000,315.630000,326.210000,27678515,87076.09,155125,
2020-03-11,KOTAKBANK,EQ,315.190000,320.980000,308.500000,317.860000,315.630000,23571065,74202.96,131798,
2020-03-12,KOTAKBANK,EQ,301.980000,309.290000,270.190000,293.010000,317.860000,39039615,115651.31,293267,
2020-03-13,KOTAKBANK,EQ,280.000000,301.000000,234.410000,294.010000,293.010000,57044750,166501.97,287821,
2020-03-16,KOTAKBANK,EQ,283.400000,288.950000,275.000000,276.740000,294.010000,32902655,92998.68,278004,
2020-03-17,KOTAKBANK,EQ,278.400000,280.590000,260.620000,264.540000,276.740000,24105675,65274.55,243153,
2020-03-18,KOTAKBANK,EQ,265.200000,265.800000,232.420000,234.390000,264.540000,55837735,135671.64,321974,
2020-03-19,KOTAKBANK,EQ,219.010000,250.720000,200.200000,242.170000,234.390000,49586305,114343.33,363531,
2020-03-20,KOTAKBANK,EQ,243.400000,256.720000,229.300000,252.470000,242.170000,51900095,126239.34,292289,
2020-03-23,KOTAKBANK,EQ,227.500000,240.890000,215.630000,219.650000,252.470000,33472025,75171.21,192424,
2020-03-24,KOTAKBANK,EQ,230.630000,237.000000,208.220000,230.580000,219.650000,36859170,82833.11,309836,
2020-03-25,KOTAKBANK,EQ,228.000000,264.800000,225.010000,258.030000,230.580000,32245305,78809.77,273630,
2020-03-26,KOTAKBANK,EQ,260.000000,278.000000,250.560000,274.590000,258.030000,36274745,97458.03,321991,
2020-03-27,KOTAKBANK,EQ,287.200000,290.000000,274.910000,279.820000,274.590000,51126245,144000.87,399910,
2020-03-30,KOTAKBANK,EQ,269.040000,276.000000,255.160000,258.740000,279.820000,27851845,74019.22,243969,
2020-03-31,KOTAKBANK,EQ,265.660000,266.000000,257.000000,259.210000,258.740000,22384305,58695.36,190222,
2020-04-01,KOTAKBANK,EQ,258.980000,258.980000,231.600000,236.330000,259.210000,54192660,128430.60,412418,
2020-04-03,KOTAKBANK,EQ,236.330000,236.600000,217.400000,228.170000,236.330000,50557965,113107.91,397346,
2020-04-07,KOTAKBANK,EQ,244.200000,245.810000,234.200000,239.610000,228.170000,42763330,102484.57,247930,
2020-04-08,KOTAKBANK,EQ,236.960000,248.510000,232.070000,237.530000,239.610000,37025550,88899.02,301897,
2020-04-09,KOTAKBANK,EQ,243.000000,256.240000,238.020000,254.580000,237.530000,40487010,101172.43,254962,
2020-04-13,KOTAKBANK,EQ,250.000000,251.430000,243.200000,250.180000,254.580000,21252985,52574.59,184796,
2020-04-15,KOTAKBANK,EQ,253.170000,254.190000,230.660000,234.750000,250.180000,45228755,110044.28,279371,
2020-04-16,KOTAKBANK,EQ,232.990000,232.990000,222.890000,226.170000,234.750000,55276050,125698.11,389029,
2020-04-17,KOTAKBANK,EQ,237.470000,239.590000,227.000000,237.250000,226.170000,42927310,99726.86,249175,
2020-04-20,KOTAKBANK,EQ,244.000000,244.900000,234.450000,235.550000,237.250000,32801150,78326.22,200813,
2020-04-21,KOTAKBANK,EQ,230.000000,231.000000,225.000000,226.030000,235.550000,23999240,54693.44,191697,
2020-04-22,KOTAKBANK,EQ,225.410000,233.350000,221.640000,230.430000,226.030000,34818485,79611.98,164073,
2020-04-23,KOTAKBANK,EQ,234.400000,251.000000,231.620000,249.930000,230.430000,52792275,128798.13,330907,
2020-04-24,KOTAKBANK,EQ,243.800000,251.600000,242.670000,247.910000,249.930000,33921185,84170.14,198346,
2020-04-27,KOTAKBANK,EQ,250.380000,264.980000,250.380000,260.720000,247.910000,38857095,101072.90,258885,
2020-04-28,KOTAKBANK,EQ,262.020000,267.300000,262.020000,265.330000,260.720000,33392250,88455.56,177924,
2020-04-29,KOTAKBANK,EQ,265.400000,270.400000,263.040000,265.570000,265.330000,33519865,88912.21,150188,
2020-04-30,KOTAKBANK,EQ,268.000000,276.000000,266.810000,271.440000,265.570000,31362845,85309.45,147161,
2020-05-04,KOTAKBANK,EQ,259.000000,261.180000,252.740000,255.560000,271.440000,25482300,65394.87,208435,
2020-05-05,KOTAKBANK,EQ,259.400000,260.580000,245.000000,247.670000,255.560000,25024255,63504.44,185692,
2020-05-06,KOTAKBANK,EQ,246.200000,255.480000,242.850000,249.190000,247.670000,23021370,57615.48,191619,
2020-05-07,KOTAKBANK,EQ,246.100000,248.000000,236.850000,239.960000,249.190000,34216385,82470.64,218234,
2020-05-08,KOTAKBANK,EQ,244.400000,248.590000,242.210000,243.490000,239.960000,17556220,43090.18,107011,
2020-05-11,KOTAKBANK,EQ,248.110000,250.460000,237.000000,237.690000,243.490000,23371235,56768.59,209948,
2020-05-12,KOTAKBANK,EQ,235.600000,235.600000,227.400000,231.440000,237.690000,51342755,118041.42,294134,
2020-05-13,KOTAKBANK,EQ,243.010000,244.000000,234.540000,237.340000,231.440000,59574745,142545.29,345030,
2020-05-14,KOTAKBANK,EQ,235.780000,242.800000,233.430000,234.620000,237.340000,35500350,84555.01,227139,
2020-05-15,KOTAKBANK,EQ,235.970000,237.980000,230.840000,235.660000,234.620000,19321145,45250.88,138559,
2020-05-18,KOTAKBANK,EQ,235.000000,235.200000,222.000000,222.730000,235.660000,31987230,72123.40,198093,
2020-05-19,KOTAKBANK,EQ,230.000000,233.980000,225.060000,226.090000,222.730000,31916165,73164.16,197960,
2020-05-20,KOTAKBANK,EQ,226.000000,235.600000,223.000000,232.020000,226.090000,26271945,60510.10,147062,
2020-05-21,KOTAKBANK,EQ,233.000000,237.910000,228.920000,230.050000,232.020000,29890665,69991.30,173216,
2020-05-22,KOTAKBANK,EQ,228.000000,233.440000,223.300000,232.040000,230.050000,25948875,59287.18,174734,
2020-05-26,KOTAKBANK,EQ,232.000000,235.000000,228.910000,230.640000,232.040000,27354125,63257.53,154373,
2020-05-27,KOTAKBANK,EQ,232.790000,248.600000,232.200000,243.510000,230.640000,58733810,140476.91,273258,
2020-05-28,KOTAKBANK,EQ,244.800000,250.980000,241.920000,245.890000,243.510000,53550075,132386.72,242119,
2020-05-29,KOTAKBANK,EQ,243.300000,245.960000,240.010000,244.800000,245.890000,27486760,66995.88,148450,
2020-06-01,KOTAKBANK,EQ,249.800000,255.840000,247.600000,249.680000,244.800000,34717930,87382.82,211673,
2020-06-02,KOTAKBANK,EQ,264.600000,270.650000,259.610000,268.580000,249.680000,86600160,229426.42,377478,
2020-06-03,KOTAKBANK,EQ,272.800000,285.640000,268.440000,277.310000,268.580000,61722075,170420.01,304561,
2020-06-04,KOTAKBANK,EQ,276.010000,276.010000,266.070000,266.880000,277.310000,30020745,81075.43,207092,
2020-06-05,KOTAKBANK,EQ,268.800000,271.600000,264.200000,267.560000,266.880000,28441130,76092.55,177632,
