date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2026-02-27,LTM,EQ,4590.000000,4649.000000,4435.000000,4462.000000,4504.000000,464787,20904.26,32752,
2026-03-02,LTM,EQ,4393.900000,4477.000000,4356.500000,4404.400000,4462.000000,171388,7557.91,23580,
2026-03-04,LTM,EQ,4330.100000,4434.000000,4325.300000,4349.300000,4404.400000,193103,8445.84,21331,
2026-03-05,LTM,EQ,4385.000000,4412.000000,4260.000000,4306.400000,4349.300000,193854,8336.57,25530,
2026-03-06,LTM,EQ,4270.000000,4388.300000,4262.000000,4292.000000,4306.400000,228424,9862.75,26914,
2026-03-09,LTM,EQ,4250.000000,4356.000000,4195.500000,4317.200000,4292.000000,253802,10901.58,27885,
2026-03-10,LTM,EQ,4355.000000,4369.000000,4275.500000,4323.100000,4317.200000,98559,4247.68,17592,
2026-03-11,LTM,EQ,4330.000000,4373.400000,4253.100000,4262.700000,4323.100000,186094,7996.60,25180,
2026-03-12,LTM,EQ,4262.700000,4372.900000,4220.000000,4323.600000,4262.700000,229386,9900.23,26119,
2026-03-13,LTM,EQ,4299.000000,4299.000000,4197.000000,4206.500000,4323.600000,160275,6786.68,25596,
2026-03-16,LTM,EQ,4214.900000,4274.000000,4160.100000,4207.100000,4206.500000,220848,9270.53,28626,
2026-03-17,LTM,EQ,4229.000000,4229.000000,4108.100000,4189.200000,4207.100000,203282,8496.08,19164,
2026-03-18,LTM,EQ,4221.500000,4372.900000,4214.700000,4298.800000,4189.200000,243300,10516.39,27062,
2026-03-19,LTM,EQ,4279.900000,4279.900000,4181.000000,4198.500000,4298.800000,107184,4533.90,16192,
2026-03-20,LTM,EQ,4140.000000,4389.400000,4048.000000,4298.800000,4198.500000,1110895,46634.20,61547,
2026-03-23,LTM,EQ,4236.000000,4236.000000,4071.000000,4105.600000,4298.800000,569410,23450.86,52147,
2026-03-24,LTM,EQ,4210.000000,4240.000000,4105.700000,4211.500000,4105.600000,317949,13299.93,41645,
2026-03-25,LTM,EQ,4220.000000,4323.600000,4170.000000,4292.900000,4211.500000,537105,22954.15,46363,
2026-03-27,LTM,EQ,4272.000000,4310.300000,4182.100000,4200.700000,4292.900000,432608,18317.39,47557,
2026-03-30,LTM,EQ,4178.900000,4178.900000,4000.000000,4013.800000,4200.700000,532474,21604.38,39074,
2026-04-01,LTM,EQ,4149.700000,4247.600000,4078.600000,4107.000000,4013.800000,258855,10755.79,39192,
2026-04-02,LTM,EQ,4080.000000,4318.900000,4016.600000,4303.900000,4107.000000,696404,29483.69,50151,
