date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,M&M,EQ,532.900000,538.000000,529.550000,536.600000,531.550000,2611808,13945.82,27497,
2020-01-02,M&M,EQ,537.000000,541.000000,533.500000,539.850000,536.600000,2776519,14957.30,43016,
2020-01-03,M&M,EQ,538.950000,539.000000,530.400000,532.750000,539.850000,1930883,10307.41,30030,
2020-01-06,M&M,EQ,529.900000,530.000000,520.500000,524.500000,532.750000,2059404,10776.75,34854,
2020-01-07,M&M,EQ,528.900000,532.000000,523.050000,526.650000,524.500000,2111349,11138.51,34387,
2020-01-08,M&M,EQ,520.900000,526.450000,519.000000,524.650000,526.650000,1612378,8428.37,33088,
2020-01-09,M&M,EQ,529.850000,542.450000,525.700000,541.250000,524.650000,2897598,15569.68,45977,
2020-01-10,M&M,EQ,544.100000,547.600000,539.250000,546.600000,541.250000,2355888,12825.87,35902,
2020-01-13,M&M,EQ,548.900000,557.000000,546.600000,554.950000,546.600000,3442869,19035.32,51510,
2020-01-14,M&M,EQ,554.950000,563.750000,554.950000,562.500000,554.950000,2793249,15637.60,50589,
2020-01-15,M&M,EQ,562.000000,571.000000,556.700000,569.750000,562.500000,2564513,14495.62,42204,
2020-01-16,M&M,EQ,569.250000,569.800000,564.050000,567.450000,569.750000,2243200,12721.46,29664,
2020-01-17,M&M,EQ,566.800000,574.000000,565.150000,569.300000,567.450000,2646260,15087.98,42403,
2020-01-20,M&M,EQ,569.000000,574.000000,564.350000,567.200000,569.300000,1847978,10523.09,25034,
2020-01-21,M&M,EQ,564.000000,564.900000,550.100000,552.800000,567.200000,3101684,17225.53,46464,
2020-01-22,M&M,EQ,553.500000,556.500000,549.000000,553.600000,552.800000,1862669,10310.06,29578,
2020-01-23,M&M,EQ,553.500000,567.400000,549.550000,566.500000,553.600000,2113303,11869.88,29380,
2020-01-24,M&M,EQ,566.100000,572.000000,564.100000,567.750000,566.500000,2284717,13003.02,40082,
2020-01-27,M&M,EQ,565.000000,582.500000,563.000000,578.300000,567.750000,3654906,21106.93,50823,
2020-01-28,M&M,EQ,581.250000,589.750000,568.500000,572.500000,578.300000,3689004,21434.39,66297,
2020-01-29,M&M,EQ,577.500000,580.700000,572.150000,577.750000,572.500000,1934080,11149.97,44201,
2020-01-30,M&M,EQ,578.000000,587.550000,563.850000,567.850000,577.750000,2901951,16652.42,50548,
2020-01-31,M&M,EQ,570.800000,577.000000,565.300000,567.150000,567.850000,2352196,13423.23,48884,
2020-02-03,M&M,EQ,545.000000,565.750000,535.200000,558.700000,545.200000,3818209,21104.35,61630,
2020-02-04,M&M,EQ,562.000000,578.800000,558.800000,576.900000,558.700000,2793702,15969.06,49302,
2020-02-05,M&M,EQ,580.250000,589.850000,577.400000,584.350000,576.900000,3320830,19416.64,54572,
2020-02-06,M&M,EQ,585.000000,589.150000,576.050000,580.150000,584.350000,2207104,12845.90,41416,
2020-02-07,M&M,EQ,579.000000,581.500000,561.300000,569.100000,580.150000,4083215,23289.97,52666,
2020-02-10,M&M,EQ,566.800000,567.000000,526.050000,528.400000,569.100000,9648880,52008.98,149883,
2020-02-11,M&M,EQ,533.200000,537.700000,522.700000,524.050000,528.400000,5404802,28622.35,96880,
2020-02-12,M&M,EQ,526.650000,534.300000,523.900000,531.000000,524.050000,3426829,18136.36,69539,
2020-02-13,M&M,EQ,530.450000,538.000000,528.300000,533.600000,531.000000,3392352,18106.14,43781,
2020-02-14,M&M,EQ,535.250000,536.950000,520.650000,523.000000,533.600000,3507540,18523.43,65333,
2020-02-17,M&M,EQ,524.100000,525.400000,516.000000,522.750000,523.000000,2652464,13818.65,61444,
2020-02-18,M&M,EQ,520.500000,524.900000,514.100000,523.200000,522.750000,2868873,14914.77,54410,
2020-02-19,M&M,EQ,528.150000,529.650000,521.800000,526.400000,523.200000,1952880,10253.15,36230,
2020-02-20,M&M,EQ,525.900000,533.000000,523.000000,524.850000,526.400000,2077458,10978.40,37210,
2020-02-24,M&M,EQ,522.000000,522.000000,511.100000,513.200000,524.850000,1911411,9857.26,44611,
2020-02-25,M&M,EQ,515.550000,519.500000,506.100000,508.950000,513.200000,2105613,10799.72,35509,
2020-02-26,M&M,EQ,507.700000,512.450000,500.000000,503.000000,508.950000,3058370,15471.84,47336,
2020-02-27,M&M,EQ,504.000000,504.000000,487.550000,493.500000,503.000000,6039260,29768.49,142978,
2020-02-28,M&M,EQ,485.000000,485.000000,453.600000,457.050000,493.500000,8613275,40517.83,153523,
2020-03-02,M&M,EQ,453.550000,472.450000,444.350000,458.300000,457.050000,9225488,42437.93,119400,
2020-03-03,M&M,EQ,462.000000,471.000000,455.250000,466.250000,458.300000,4582866,21237.65,60825,
2020-03-04,M&M,EQ,466.050000,477.000000,457.500000,474.650000,466.250000,5912943,27606.95,92674,
2020-03-05,M&M,EQ,472.700000,482.500000,469.000000,479.300000,474.650000,4081050,19478.66,44892,
2020-03-06,M&M,EQ,458.850000,473.750000,456.500000,471.000000,479.300000,4502562,21006.53,59236,
2020-03-09,M&M,EQ,453.550000,465.700000,441.000000,463.200000,471.000000,4540695,20758.51,94537,
2020-03-11,M&M,EQ,462.850000,469.650000,449.700000,451.600000,463.200000,5104926,23481.58,97943,
2020-03-12,M&M,EQ,427.900000,435.950000,399.650000,423.350000,451.600000,9408371,39542.69,127409,
2020-03-13,M&M,EQ,400.500000,449.750000,345.650000,428.850000,423.350000,6230433,25996.20,123154,
2020-03-16,M&M,EQ,421.000000,428.600000,388.800000,391.800000,428.850000,3156668,12689.51,61242,
2020-03-17,M&M,EQ,392.000000,408.000000,369.950000,373.400000,391.800000,4526918,17725.62,84025,
2020-03-18,M&M,EQ,379.000000,383.700000,339.100000,346.400000,373.400000,6596185,23597.11,148085,
2020-03-19,M&M,EQ,331.750000,331.800000,302.000000,314.200000,346.400000,10486203,33123.01,144878,
2020-03-20,M&M,EQ,316.000000,328.200000,308.250000,322.600000,314.200000,8819560,28136.69,117438,
2020-03-23,M&M,EQ,299.000000,303.900000,280.600000,293.400000,322.600000,6001458,17451.96,98906,
2020-03-24,M&M,EQ,300.000000,309.900000,264.400000,269.000000,293.400000,6695822,19029.66,94116,
2020-03-25,M&M,EQ,263.400000,288.350000,245.400000,277.850000,269.000000,9393738,25391.91,139052,
2020-03-26,M&M,EQ,277.850000,294.000000,273.100000,285.500000,277.850000,7557611,21439.02,100986,
2020-03-27,M&M,EQ,297.000000,305.000000,280.800000,294.500000,285.500000,9505256,27591.26,124475,
2020-03-30,M&M,EQ,281.700000,284.850000,270.000000,274.400000,294.500000,8942943,24695.40,129852,
2020-03-31,M&M,EQ,283.850000,287.200000,277.800000,284.950000,274.400000,6236769,17705.58,85138,
2020-04-01,M&M,EQ,281.000000,283.000000,265.500000,272.850000,284.950000,5980392,16273.87,92476,
2020-04-03,M&M,EQ,274.000000,290.000000,271.350000,280.700000,272.850000,6961905,19726.71,111923,
2020-04-07,M&M,EQ,295.500000,323.800000,292.750000,321.000000,280.700000,10795410,33562.98,152828,
2020-04-08,M&M,EQ,315.000000,350.400000,312.800000,326.400000,321.000000,8451196,28148.13,195990,
2020-04-09,M&M,EQ,335.750000,391.650000,332.400000,381.400000,326.400000,11027462,39548.05,199673,
2020-04-13,M&M,EQ,380.000000,380.000000,355.000000,362.850000,381.400000,7717757,28142.39,129086,
2020-04-15,M&M,EQ,373.050000,379.900000,349.300000,353.150000,362.850000,11300959,40712.52,181710,
2020-04-16,M&M,EQ,343.100000,360.450000,343.000000,356.700000,353.150000,6155773,21757.75,99892,
2020-04-17,M&M,EQ,370.750000,370.750000,355.550000,363.200000,356.700000,6178611,22374.34,80038,
2020-04-20,M&M,EQ,367.000000,367.450000,354.000000,355.850000,363.200000,4834224,17318.43,76198,
