date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,MARUTI,EQ,7377.000000,7409.950000,7282.050000,7311.700000,7368.600000,634725,46583.07,42182,
2020-01-02,MARUTI,EQ,7327.600000,7368.000000,7312.000000,7329.850000,7311.700000,616838,45271.74,51801,
2020-01-03,MARUTI,EQ,7328.950000,7332.000000,7226.000000,7254.250000,7329.850000,571967,41614.07,42037,
2020-01-06,MARUTI,EQ,7200.000000,7210.000000,7026.500000,7042.400000,7254.250000,748516,52950.28,64186,
2020-01-07,MARUTI,EQ,7100.000000,7165.600000,7026.400000,7073.600000,7042.400000,590500,41864.15,50872,
2020-01-08,MARUTI,EQ,7060.000000,7116.650000,6980.450000,7035.200000,7073.600000,793313,55802.33,54674,
2020-01-09,MARUTI,EQ,7140.000000,7240.000000,7102.000000,7227.900000,7035.200000,798184,57315.37,60422,
2020-01-10,MARUTI,EQ,7261.400000,7349.900000,7234.400000,7330.500000,7227.900000,747847,54588.58,59339,
2020-01-13,MARUTI,EQ,7332.000000,7370.000000,7279.800000,7352.700000,7330.500000,537399,39367.03,45690,
2020-01-14,MARUTI,EQ,7355.000000,7412.400000,7325.600000,7386.800000,7352.700000,548522,40464.95,46069,
2020-01-15,MARUTI,EQ,7388.950000,7505.000000,7353.000000,7482.950000,7386.800000,692726,51400.15,46714,
2020-01-16,MARUTI,EQ,7456.500000,7521.000000,7421.200000,7462.650000,7482.950000,640207,47799.33,45686,
2020-01-17,MARUTI,EQ,7469.000000,7569.900000,7432.550000,7520.150000,7462.650000,750738,56299.78,49650,
2020-01-20,MARUTI,EQ,7521.250000,7529.500000,7421.050000,7449.600000,7520.150000,407828,30457.38,37148,
2020-01-21,MARUTI,EQ,7411.500000,7434.650000,7287.800000,7302.650000,7449.600000,442561,32531.96,36589,
2020-01-22,MARUTI,EQ,7340.000000,7374.950000,7107.950000,7135.600000,7302.650000,1048435,75126.36,88307,
2020-01-23,MARUTI,EQ,7145.400000,7220.000000,7123.150000,7147.100000,7135.600000,589326,42215.23,43298,
2020-01-24,MARUTI,EQ,7148.800000,7210.000000,7111.250000,7128.450000,7147.100000,645723,46198.31,50530,
2020-01-27,MARUTI,EQ,7101.500000,7225.000000,7061.000000,7148.800000,7128.450000,573149,41056.11,47664,
2020-01-28,MARUTI,EQ,7179.950000,7219.950000,6963.000000,6997.050000,7148.800000,1614448,114245.31,151546,
2020-01-29,MARUTI,EQ,7010.000000,7116.250000,6975.000000,7010.300000,6997.050000,1001252,70522.01,116694,
2020-01-30,MARUTI,EQ,7020.000000,7049.000000,6981.000000,7020.450000,7010.300000,579174,40624.97,48242,
2020-01-31,MARUTI,EQ,7035.000000,7064.000000,6895.550000,6913.500000,7020.450000,868935,60536.51,87940,
2020-02-03,MARUTI,EQ,6780.000000,7044.850000,6780.000000,7011.300000,6812.650000,1010531,70192.76,115802,
2020-02-04,MARUTI,EQ,7020.000000,7215.000000,7001.000000,7199.600000,7011.300000,973311,69433.62,77101,
2020-02-05,MARUTI,EQ,7215.000000,7231.600000,7025.600000,7040.900000,7199.600000,718489,51019.03,67964,
2020-02-06,MARUTI,EQ,7075.000000,7120.350000,6976.800000,7021.600000,7040.900000,875714,61658.91,66469,
2020-02-07,MARUTI,EQ,7039.000000,7050.000000,6935.000000,6971.750000,7021.600000,645814,45052.15,55241,
2020-02-10,MARUTI,EQ,6975.000000,6989.100000,6851.100000,6892.900000,6971.750000,593773,40966.75,53020,
2020-02-11,MARUTI,EQ,6950.000000,7089.000000,6912.300000,7033.750000,6892.900000,743160,52286.27,62908,
2020-02-12,MARUTI,EQ,7056.100000,7110.000000,7007.950000,7043.300000,7033.750000,599364,42322.22,42309,
2020-02-13,MARUTI,EQ,7050.000000,7056.000000,6925.000000,7005.050000,7043.300000,723169,50418.44,49754,
2020-02-14,MARUTI,EQ,7000.050000,7088.950000,6901.000000,6913.800000,7005.050000,614859,42968.19,57126,
2020-02-17,MARUTI,EQ,6920.000000,6980.000000,6880.000000,6906.750000,6913.800000,463548,32110.43,33826,
2020-02-18,MARUTI,EQ,6925.000000,6930.000000,6735.800000,6781.100000,6906.750000,830678,56375.21,72639,
2020-02-19,MARUTI,EQ,6850.000000,6854.950000,6624.600000,6756.600000,6781.100000,1033939,69632.94,98165,
2020-02-20,MARUTI,EQ,6761.000000,6807.550000,6720.000000,6757.600000,6756.600000,682513,46223.18,57024,
2020-02-24,MARUTI,EQ,6710.000000,6710.000000,6439.800000,6470.400000,6757.600000,1091346,71511.00,116104,
2020-02-25,MARUTI,EQ,6505.400000,6510.000000,6376.550000,6414.550000,6470.400000,964897,62209.56,120005,
2020-02-26,MARUTI,EQ,6350.000000,6368.850000,6186.050000,6234.850000,6414.550000,1580738,99349.32,116894,
2020-02-27,MARUTI,EQ,6230.000000,6338.050000,6166.800000,6289.800000,6234.850000,1492657,93435.94,143056,
